sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_ReloadTime,Weapon_Projectile_Rate
20049,Cursed Splitter,0.071,,-4%,
20050,Aeronic Oscillator,0.242,+1%,-6%,+8%
20051,Extinguished Furnace,0.242,,-6%,+8%
20052,Anointed Filament,0.041,+1%,-2%,+2%
20053,Glassy Polariser,0.0,+1%,,
20054,Writhing Atomiser,0.449,,-11%,+13%
20055,Extinguished Accelerator,0.14,,,+9%
20056,Anomalous Polariser,0.298,+1%,,+18%
20057,Watery Injector,0.424,+1%,-7%,+17%
20058,Crimson Mirror,0.035,,,+3%
20059,Impossible De-limiter,0.487,+2%,-6%,+3%
20060,Writhing Boundary Hunter,0.147,+1%,-2%,+8%
20061,Anomalous Neutraliser,0.291,+1%,-11%,+4%
20062,Relinquished Neutraliser,0.182,+1%,-2%,+10%
20063,Cursed Neutraliser,0.018,,,+2%
20064,Impossible De-limiter,0.0,+1%,,
20065,Crimson Accelerator,0.0,+1%,,
20066,Salvaged Obliterator,0.076,+1%,-2%,+4%
20067,Relinquished Atomiser,0.041,+1%,-2%,+2%
20068,Forsaken Obliterator,0.0,+1%,,
20069,Crimson Capacitor,0.024,,-2%,
20070,Polymorphous Refractor,0.024,,-2%,
20071,Cursed Obliterator,0.105,,,+7%
20072,Anomalous Obliterator,0.07,,,+5%
20073,Relinquished Refractor,0.322,+1%,-2%,+18%
20074,Extinguished Atomiser,0.182,+1%,-2%,+10%
20075,Doomed Furnace,0.07,,,+5%
20076,Rescued Injector,0.0,+1%,,
20077,Non-compliant Gravitiser,0.228,+1%,,+14%
20078,Haunted Obliterator,0.405,,-4%,+20%
20079,Glassy Gravitiser,0.105,,,+7%
20080,Aeronic Mirror,0.211,,,+13%
20081,Cursed De-limiter,0.059,+1%,-2%,+3%
20082,Crimson Oscillator,0.333,+1%,-15%,
20083,Relinquished De-limiter,0.0,+1%,,
20084,Non-compliant Capacitor,0.035,,,+3%
20085,Watery Injector,0.175,,,+11%
20086,Anomalous Boundary Hunter,0.059,+1%,-2%,+3%
20087,Polymorphous Furnace,0.041,+1%,-2%,+2%
20088,Released Polariser,0.0,+1%,,
20089,Relinquished Resonator,0.287,+1%,-2%,+16%
20090,Glassy Capacitor,0.035,,,+3%
20091,Cursed De-limiter,0.059,+1%,-2%,+3%
20092,Polymorphous Injector,0.208,+1%,-9%,+2%
20093,Rescued Polariser,0.0,+1%,,
20094,Crimson Filament,0.095,,-5%,
20095,Extinguished De-limiter,0.0,+1%,,
20096,Nanite-Marked De-limiter,0.076,+1%,-2%,+4%
20097,Extinguished Neutraliser,0.0,+1%,,
20098,Anomalous Oscillator,0.228,+1%,,+14%
20099,Forsaken Furnace,0.041,+1%,-2%,+2%
20100,Forsaken Resonator,0.048,+1%,-3%,
20101,Crimson Amplifier,0.071,+1%,-4%,
20102,Glassy Accelerator,0.0,+1%,,
20103,Rescued Oscillator,0.316,+1%,,+19%
20104,Aeronic Resonator,0.0,+1%,,
20105,Haunted Gravitiser,0.024,+1%,-2%,
20106,Relinquished Capacitor,0.0,+1%,,
20107,Writhing Obliterator,0.024,,-2%,
20108,Watery Injector,0.024,,-2%,
20109,Forsaken Mirror,0.175,+1%,,+11%
20110,Anomalous Neutraliser,0.0,+1%,,
20111,Doomed Annihilator,0.246,,,+15%
20112,Salvaged Gravitiser,0.0,+1%,,
20113,Rescued Resonator,0.336,+1%,-7%,+12%
20114,Polymorphous Resonator,0.1,+1%,-3%,+4%
20115,Writhing Obliterator,0.095,,-5%,
20116,Extinguished Dynamo,0.024,,-2%,
20117,Impossible Boundary Hunter,0.0,+1%,,
20118,Released Filament,0.167,,-8%,
20119,Impossible Polariser,0.228,+1%,,+14%
20120,Rescued Neutraliser,0.07,,,+5%
20121,Haunted Oscillator,0.076,+1%,-2%,+4%
20122,Rescued Dynamo,0.298,,,+18%
20123,Anointed Obliterator,0.041,,-2%,+2%
20124,Non-compliant Resonator,0.041,+1%,-2%,+2%
20125,Salvaged Injector,0.175,,,+11%
20126,Haunted Atomiser,0.024,,-2%,
20127,Anointed Polariser,0.018,,,+2%
20128,Polymorphous Injector,0.024,,-2%,
20129,Polymorphous Filament,0.19,,-9%,
20130,Non-compliant Atomiser,0.041,+1%,-2%,+2%
20131,Relinquished Dynamo,0.632,+2%,,+18%
20132,Writhing Mirror,0.048,,-3%,
20133,Haunted Filament,0.041,+1%,-2%,+2%
20134,Haunted Accelerator,0.246,,,+15%
20135,Nanite-Marked Accelerator,0.281,+1%,,+17%
20136,Crimson Atomiser,0.0,+1%,,
20137,Watery Boundary Hunter,0.333,+2%,,
20138,Released Atomiser,0.193,+1%,,+12%
20139,Anointed Polariser,0.024,,-2%,
20140,Rescued Annihilator,0.018,,,+2%
20141,Polymorphous Amplifier,0.175,,,+11%
20142,Extinguished Splitter,0.0,+1%,,
20143,Impossible Injector,0.018,+1%,,+2%
20144,Non-compliant Polariser,0.129,,-2%,+7%
20145,Nanite-Marked Capacitor,0.249,+1%,-10%,+3%
20146,Doomed Dynamo,0.0,+1%,,
20147,Aeronic Amplifier,0.123,,,+8%
20148,Crimson Splitter,0.048,,-3%,
20149,Impossible Refractor,0.0,+1%,,
20150,Aeronic Annihilator,0.024,,-2%,
20151,Rescued Gravitiser,0.048,,-3%,
20152,Crimson Injector,0.346,,-3%,+18%
20153,Aeronic Amplifier,0.018,,,+2%
20154,Haunted Filament,0.167,,-8%,
20155,Impossible Dynamo,0.088,,,+6%
20156,Forsaken Mirror,0.076,+1%,-2%,+4%
20157,Anointed Polariser,0.217,+1%,-2%,+12%
20158,Polymorphous De-limiter,0.024,,-2%,
20159,Aeronic Oscillator,0.07,,,+5%
20160,Aeronic De-limiter,0.158,+1%,,+10%
20161,Forsaken Gravitiser,0.228,+1%,,+14%
20162,Haunted Gravitiser,0.024,,-2%,
20163,Forsaken Accelerator,0.262,,-12%,
20164,Watery Mirror,0.059,+1%,-2%,+3%
20165,Anomalous Polariser,0.041,+1%,-2%,+2%
20166,Cursed Furnace,0.333,+2%,,
20167,Non-compliant Refractor,0.0,+1%,,
20168,Salvaged Refractor,0.024,,-2%,
20169,Cursed Boundary Hunter,0.305,+1%,-2%,+17%
20170,Relinquished Splitter,0.0,+1%,,
20171,Relinquished Gravitiser,0.0,+1%,,
20172,Haunted Polariser,0.14,,,+9%
20173,Polymorphous Obliterator,0.105,,,+7%
20174,Polymorphous Obliterator,0.024,,-2%,
20175,Extinguished Atomiser,0.208,+1%,-9%,+2%
20176,Released Capacitor,0.214,,-10%,
20177,Salvaged Furnace,0.0,+1%,,
20178,Polymorphous Furnace,0.246,,-1%,+15%
20179,Extinguished Dynamo,0.024,,-2%,
20180,Polymorphous Filament,0.252,,-2%,+14%
20181,Impossible Obliterator,0.024,,-2%,
20182,Cursed Annihilator,0.0,+1%,,
20183,Crimson Filament,0.065,+1%,-3%,+2%
20184,Aeronic Obliterator,0.228,,,+14%
20185,Relinquished Neutraliser,0.158,+1%,,+10%
20186,Aeronic Filament,0.088,,,+6%
20187,Doomed Splitter,0.041,,-2%,+2%
20188,Nanite-Marked Refractor,0.263,,,+16%
20189,Doomed Refractor,0.105,,,+7%
20190,Rescued Dynamo,0.0,+1%,,
20191,Anomalous Obliterator,0.071,,-4%,
20192,Nanite-Marked Obliterator,0.214,,-10%,
20193,Rescued Accelerator,0.234,,-2%,+13%
20194,Nanite-Marked Neutraliser,0.024,+1%,-2%,
20195,Cursed Oscillator,0.089,+1%,-4%,+2%
20196,Crimson De-limiter,0.175,,,+11%
20197,Writhing Dynamo,0.041,,-2%,+2%
20198,Aeronic Neutraliser,0.076,+1%,-2%,+4%
20199,Released Splitter,0.024,,-2%,
20200,Writhing Resonator,0.024,,-2%,
20201,Cursed Boundary Hunter,0.1,+1%,-3%,+4%
20202,Relinquished Splitter,0.041,+1%,-2%,+2%
20203,Non-compliant Annihilator,0.024,+1%,-2%,
20204,Nanite-Marked Gravitiser,0.182,+1%,-2%,+10%
20205,Forsaken Resonator,0.263,,,+16%
20206,Writhing Atomiser,0.048,,-3%,
20207,Extinguished Refractor,0.059,+1%,-2%,+3%
20208,Nanite-Marked Oscillator,0.287,+1%,-2%,+16%
20209,Extinguished Capacitor,0.351,+2%,,+2%
20210,Forsaken Capacitor,0.286,+1%,-13%,
20211,Extinguished Amplifier,0.238,,-11%,
20212,Cursed Resonator,0.041,+1%,-2%,+2%
20213,Haunted Oscillator,0.246,+1%,,+15%
20214,Rescued Injector,0.129,+1%,-2%,+7%
20215,Polymorphous De-limiter,0.112,,-2%,+6%
20216,Glassy Injector,0.0,+1%,,
20217,Non-compliant Gravitiser,0.0,+1%,,
20218,Rescued Furnace,0.018,,,+2%
20219,Crimson Neutraliser,0.263,,,+16%
20220,Nanite-Marked Mirror,0.053,,,+4%
20221,Crimson Dynamo,0.053,,,+4%
20222,Anomalous Gravitiser,0.167,+1%,-8%,
20223,Haunted Atomiser,0.041,+1%,-2%,+2%
20224,Relinquished Amplifier,0.129,+1%,-2%,+7%
20225,Forsaken Polariser,0.053,+1%,,+4%
20226,Writhing Obliterator,0.041,+1%,-2%,+2%
20227,Haunted Accelerator,0.024,,-2%,
20228,Released Oscillator,0.018,+1%,,+2%
20229,Anomalous Boundary Hunter,0.024,,-2%,
20230,Released Boundary Hunter,0.0,+1%,,
20231,Anomalous Neutraliser,0.263,+1%,,+16%
20232,Salvaged Atomiser,0.0,+1%,,
20233,Writhing Oscillator,0.0,+1%,,
20234,Doomed Oscillator,0.041,+1%,-2%,+2%
20235,Cursed Filament,0.024,,-2%,
20236,Haunted Boundary Hunter,0.228,+1%,,+14%
20237,Glassy Atomiser,0.024,,-2%,
20238,Relinquished Resonator,0.0,+1%,,
20239,Polymorphous Oscillator,0.041,+1%,-2%,+2%
20240,Crimson Injector,0.1,+1%,-3%,+4%
20241,Aeronic Obliterator,0.083,+1%,-3%,+3%
20242,Doomed Furnace,0.395,+1%,-8%,+14%
20243,Aeronic Amplifier,0.024,,-2%,
20244,Cursed Furnace,0.19,,-9%,
20245,Anomalous Polariser,0.19,,-9%,
20246,Forsaken Atomiser,0.041,,-2%,+2%
20247,Extinguished Injector,0.0,+1%,,
20248,Crimson Accelerator,0.024,,-2%,
20249,Nanite-Marked Obliterator,0.048,,-3%,
20250,Nanite-Marked Filament,0.184,+1%,-8%,+2%
20251,Anomalous Gravitiser,0.094,,-2%,+5%
20252,Doomed Gravitiser,0.286,,-13%,
20253,Anointed Neutraliser,0.088,,,+6%
20254,Relinquished De-limiter,0.147,+1%,-2%,+8%
20255,Salvaged Obliterator,0.053,+1%,,+4%
20256,Non-compliant Atomiser,0.088,,,+6%
20257,Non-compliant Accelerator,0.333,,,+20%
20258,Nanite-Marked Mirror,0.105,,,+7%
20259,Impossible Splitter,0.0,+1%,,
20260,Rescued Oscillator,0.071,,-4%,
20261,Doomed Neutraliser,0.095,,-5%,
20262,Salvaged Refractor,0.252,+1%,-2%,+14%
20263,Aeronic Amplifier,0.0,+1%,,
20264,Doomed Dynamo,0.105,,,+7%
20265,Non-compliant Capacitor,0.088,+1%,,+6%
20266,Glassy Polariser,0.286,,-13%,
20267,Writhing Mirror,0.119,,-6%,
20268,Nanite-Marked Injector,0.048,,-3%,
20269,Watery Obliterator,0.253,,-5%,+10%
20270,Extinguished Oscillator,0.0,+1%,,
20271,Rescued Polariser,0.041,+1%,-2%,+2%
20272,Impossible Accelerator,0.024,+1%,-2%,
20273,Aeronic Neutraliser,0.035,,,+3%
20274,Anomalous Refractor,0.07,,,+5%
20275,Released Polariser,0.041,+1%,-2%,+2%
20276,Writhing Atomiser,0.124,+1%,-4%,+4%
20277,Glassy Injector,0.0,+1%,,
20278,Crimson Neutraliser,0.129,,-2%,+7%
20279,Forsaken Atomiser,0.0,+1%,,
20280,Watery Polariser,0.024,,-2%,
20281,Released De-limiter,0.024,,-2%,
20282,Aeronic Filament,0.256,+1%,-11%,+2%
20283,Non-compliant Refractor,0.0,+1%,,
20284,Relinquished Injector,0.0,+1%,,
20285,Impossible Obliterator,0.303,+1%,-13%,+2%
20286,Polymorphous Injector,0.167,,-8%,
20287,Aeronic Annihilator,0.065,+1%,-3%,+2%
20288,Nanite-Marked Resonator,0.0,+1%,,
20289,Nanite-Marked Obliterator,0.07,,,+5%
20290,Glassy De-limiter,0.024,+1%,-2%,
20291,Extinguished Mirror,0.14,,,+9%
20292,Salvaged De-limiter,0.07,,,+5%
20293,Writhing Atomiser,0.0,+1%,,
20294,Doomed Furnace,0.147,+1%,-2%,+8%
20295,Glassy Atomiser,0.118,+1%,-3%,+5%
20296,Impossible Splitter,0.0,+1%,,
20297,Doomed Oscillator,0.208,,-9%,+2%
20298,Anointed Accelerator,0.024,+1%,-2%,
20299,Rescued Obliterator,0.035,,,+3%
20300,Released Injector,0.041,+1%,-2%,+2%
20301,Glassy Injector,0.119,+1%,-6%,
20302,Rescued Refractor,0.1,+1%,-3%,+4%
20303,Writhing Oscillator,0.088,,,+6%
20304,Writhing Resonator,0.024,,-2%,
20305,Polymorphous Atomiser,0.018,,,+2%
20306,Extinguished Annihilator,0.035,,,+3%
20307,Aeronic Refractor,0.024,,-2%,
20308,Anointed Neutraliser,0.0,+1%,,
20309,Doomed Obliterator,0.018,,,+2%
20310,Extinguished Oscillator,0.041,+1%,-2%,+2%
20311,Writhing Capacitor,0.024,,-2%,
20312,Glassy Obliterator,0.0,+1%,,
20313,Glassy Amplifier,0.024,,-2%,
20314,Watery Accelerator,0.284,+1%,-10%,+5%
20315,Doomed Annihilator,0.059,+1%,-2%,+3%
20316,Polymorphous Amplifier,0.0,,-1%,
20317,Glassy Obliterator,0.018,,,+2%
20318,Relinquished Furnace,0.0,+1%,,
20319,Watery Capacitor,0.281,,,+17%
20320,Anomalous Filament,0.42,,-12%,+10%
20321,Extinguished Accelerator,0.083,+1%,-3%,+3%
20322,Doomed Refractor,0.035,,,+3%
20323,Non-compliant Neutraliser,0.071,,-4%,
20324,Glassy Mirror,0.0,+1%,,
20325,Relinquished Obliterator,0.071,,-4%,
20326,Relinquished Furnace,0.035,,,+3%
20327,Cursed Gravitiser,0.035,,,+3%
20328,Doomed Resonator,0.018,,,+2%
20329,Nanite-Marked Dynamo,0.119,,-6%,
20330,Released Splitter,0.024,,-2%,
20331,Released Accelerator,0.333,,-15%,
20332,Non-compliant Amplifier,0.357,+1%,-2%,+20%
20333,Nanite-Marked Injector,0.0,+1%,,
20334,Doomed Annihilator,0.018,+1%,,+2%
20335,Nanite-Marked Annihilator,0.456,+2%,,+8%
20336,Relinquished Boundary Hunter,0.041,+1%,-2%,+2%
20337,Salvaged Boundary Hunter,0.089,+1%,-4%,+2%
20338,Writhing Polariser,0.095,+1%,-5%,
20339,Relinquished Injector,0.0,+1%,,
20340,Aeronic Filament,0.234,+1%,-2%,+13%
20341,Anomalous Oscillator,0.035,,,+3%
20342,Anomalous Neutraliser,0.214,,-10%,
20343,Anointed Gravitiser,0.0,+1%,,
20344,Forsaken Oscillator,0.219,,-8%,+4%
20345,Writhing Gravitiser,0.024,,-2%,
20346,Cursed Resonator,0.035,,,+3%
20347,Salvaged Refractor,0.0,+1%,,
20348,Relinquished Refractor,0.0,+1%,,
20349,Forsaken Furnace,0.024,+1%,-2%,
20350,Anointed Filament,0.333,+2%,,
20351,Anomalous Mirror,0.035,,,+3%
20352,Watery Capacitor,0.357,+1%,-2%,+20%
20353,Released Capacitor,0.0,+1%,,
20354,Forsaken Annihilator,0.094,+1%,-2%,+5%
20355,Anointed Capacitor,0.041,+1%,-2%,+2%
20356,Salvaged Resonator,0.07,,,+5%
20357,Doomed Oscillator,0.018,,,+2%
20358,Anointed Furnace,0.065,+1%,-3%,+2%
20359,Anomalous Annihilator,0.041,+1%,-2%,+2%
20360,Extinguished Resonator,0.281,,,+17%
20361,Crimson Polariser,0.323,+1%,-5%,+14%
20362,Anointed Boundary Hunter,0.089,,-4%,+2%
20363,Impossible Polariser,0.076,+1%,-2%,+4%
20364,Rescued Atomiser,0.018,,,+2%
20365,Glassy Neutraliser,0.228,,,+14%
20366,Polymorphous Refractor,0.0,+1%,,
20367,Watery Mirror,0.124,+1%,-4%,+4%
20368,Watery Mirror,0.0,+1%,,
20369,Rescued Oscillator,0.238,,-11%,
20370,Writhing Amplifier,0.333,+2%,,
20371,Cursed Mirror,0.182,+1%,-2%,+10%
20372,Glassy Neutraliser,0.333,+2%,,
20373,Nanite-Marked Injector,0.261,+1%,-9%,+5%
20374,Anomalous Neutraliser,0.0,+1%,,
20375,Released Neutraliser,0.018,+1%,,+2%
20376,Anomalous Resonator,0.322,+1%,-2%,+18%
20377,Non-compliant Neutraliser,0.018,,,+2%
20378,Salvaged Injector,0.0,+1%,,
20379,Salvaged Gravitiser,0.048,,-3%,
20380,Relinquished Neutraliser,0.123,,,+8%
20381,Salvaged Annihilator,0.0,+1%,,
20382,Watery Atomiser,0.158,,,+10%
20383,Nanite-Marked Oscillator,0.917,+2%,-13%,+18%
20384,Haunted Oscillator,0.018,,,+2%
20385,Salvaged Furnace,0.1,+1%,-3%,+4%
20386,Anointed Amplifier,0.105,+1%,,+7%
20387,Relinquished Polariser,0.0,+1%,,
20388,Nanite-Marked Polariser,0.119,,-6%,
20389,Writhing Accelerator,0.065,+1%,-3%,+2%
20390,Relinquished Atomiser,0.238,,-11%,
20391,Relinquished Oscillator,0.0,+1%,,
20392,Polymorphous Atomiser,0.07,+1%,,+5%
20393,Forsaken Refractor,0.153,+1%,-3%,+7%
20394,Haunted Amplifier,0.333,+1%,-15%,
20395,Nanite-Marked Dynamo,0.217,+1%,-2%,+12%
20396,Polymorphous Neutraliser,0.308,+1%,-11%,+5%
20397,Watery Refractor,0.059,+1%,-2%,+3%
20398,Forsaken Atomiser,0.024,,-2%,
20399,Glassy Boundary Hunter,0.088,,,+6%
20400,Rescued Splitter,0.0,+1%,,
20401,Cursed Splitter,0.048,,-3%,
20402,Anointed Gravitiser,0.298,,,+18%
20403,Anomalous Refractor,0.391,+1%,-13%,+7%
20404,Glassy Furnace,0.123,,,+8%
20405,Cursed De-limiter,0.0,+1%,,
20406,Haunted Polariser,0.333,+2%,,
20407,Cursed Filament,0.0,+1%,,
20408,Glassy Refractor,0.1,+1%,-3%,+4%
20409,Salvaged Gravitiser,0.024,,-2%,
20410,Polymorphous Annihilator,0.246,,,+15%
20411,Polymorphous Atomiser,0.018,,,+2%
20412,Polymorphous Refractor,0.0,+1%,,
20413,Released Oscillator,0.035,+1%,,+3%
20414,Relinquished Obliterator,0.0,+1%,,
20415,Anomalous Filament,0.048,,-3%,
20416,Glassy Neutraliser,0.0,+1%,,
20417,Anointed Polariser,0.095,,-5%,
20418,Relinquished Oscillator,0.333,+2%,,
20419,Extinguished Obliterator,0.07,+1%,,+5%
20420,Cursed Mirror,0.059,+1%,-2%,+3%
20421,Glassy Amplifier,0.211,,,+13%
20422,Nanite-Marked Capacitor,0.048,,-3%,
20423,Impossible Mirror,0.024,,-2%,
20424,Rescued Splitter,0.0,+1%,,
20425,Non-compliant De-limiter,0.228,,,+14%
20426,Polymorphous Capacitor,0.048,,-3%,
20427,Relinquished Filament,0.088,,,+6%
20428,Glassy Obliterator,0.018,,,+2%
20429,Cursed Oscillator,0.31,+1%,-14%,
20430,Glassy Capacitor,0.46,+1%,-10%,+15%
20431,Anomalous Neutraliser,0.024,+1%,-2%,
20432,Crimson Splitter,0.167,,-8%,
20433,Haunted Dynamo,0.214,,-10%,
20434,Impossible Gravitiser,0.167,,-8%,
20435,Nanite-Marked De-limiter,0.211,,,+13%
20436,Relinquished Neutraliser,0.0,+1%,,
20437,Watery Furnace,0.0,+1%,,
20438,Relinquished Obliterator,0.024,,-2%,
20439,Forsaken Mirror,0.0,+1%,,
20440,Impossible Injector,0.34,+1%,-2%,+19%
20441,Crimson Oscillator,0.024,,-2%,
20442,Nanite-Marked Atomiser,0.0,+1%,,
20443,Doomed Boundary Hunter,0.024,,-2%,
20444,Doomed Polariser,0.0,+1%,,
20445,Nanite-Marked Furnace,0.0,+1%,,
20446,Cursed Splitter,0.333,+2%,,
20447,Salvaged Furnace,0.31,,-14%,
20448,Crimson Boundary Hunter,0.0,+1%,,
20449,Aeronic Obliterator,0.088,,,+6%
20450,Anomalous Furnace,0.357,+2%,-2%,
20451,Cursed Refractor,0.024,,-2%,
20452,Forsaken Injector,0.083,+1%,-3%,+3%
20453,Doomed Refractor,0.0,+1%,,
20454,Aeronic Mirror,0.024,,-2%,
20455,Anointed Polariser,0.281,,,+17%
20456,Anointed Polariser,0.041,+1%,-2%,+2%
20457,Cursed Oscillator,0.333,,,+20%
20458,Polymorphous Amplifier,0.1,+1%,-3%,+4%
20459,Anomalous Gravitiser,0.0,+1%,,
20460,Aeronic Filament,0.024,,-2%,
20461,Extinguished Boundary Hunter,0.211,+1%,,+13%
20462,Released Capacitor,0.018,+1%,,+2%
20463,Non-compliant Obliterator,0.0,+1%,,
20464,Cursed Polariser,0.175,,,+11%
20465,Glassy Amplifier,0.071,,-4%,
20466,Aeronic Obliterator,0.0,+1%,,
20467,Salvaged Injector,0.053,,,+4%
20468,Writhing Polariser,0.024,,-2%,
20469,Forsaken Oscillator,0.035,,,+3%
20470,Forsaken Atomiser,0.059,+1%,-2%,+3%
20471,Anointed Dynamo,0.14,,,+9%
20472,Non-compliant Resonator,0.0,,-1%,
20473,Impossible Boundary Hunter,0.024,,-2%,
20474,Glassy Obliterator,0.182,+1%,-2%,+10%
20475,Aeronic Accelerator,0.0,+1%,,
20476,Watery Injector,0.284,+1%,-10%,+5%
20477,Watery Furnace,0.124,+1%,-4%,+4%
20478,Forsaken Polariser,0.386,+1%,-15%,+4%
20479,Writhing Resonator,0.112,,-2%,+6%
20480,Haunted Dynamo,0.095,,-5%,
20481,Anointed Obliterator,0.048,,-3%,
20482,Crimson Dynamo,0.024,,-2%,
20483,Extinguished Dynamo,0.316,,,+19%
20484,Impossible Accelerator,0.14,+1%,,+9%
20485,Doomed Polariser,0.076,+1%,-2%,+4%
20486,Anointed Boundary Hunter,0.024,,-2%,
20487,Extinguished Obliterator,0.024,,-2%,
20488,Writhing Amplifier,0.0,+1%,,
20489,Anomalous Gravitiser,0.333,+2%,,
20490,Impossible Oscillator,0.0,+1%,,
20491,Writhing De-limiter,0.0,+1%,,
20492,Cursed Polariser,0.351,+2%,,+2%
20493,Rescued Furnace,0.041,+1%,-2%,+2%
20494,Aeronic Furnace,0.024,,-2%,
20495,Non-compliant Refractor,0.143,+1%,-7%,
20496,Watery De-limiter,0.0,+1%,,
20497,Cursed Furnace,0.211,+1%,,+13%
20498,Anointed Atomiser,0.105,,,+7%
20499,Aeronic Dynamo,0.713,+2%,-14%,+5%
20500,Anomalous Capacitor,0.164,+1%,-2%,+9%
20501,Anomalous Annihilator,0.0,+1%,,
20502,Doomed Oscillator,0.38,,-14%,+5%
20503,Impossible Furnace,0.076,+1%,-2%,+4%
20504,Writhing Gravitiser,0.024,,-2%,
20505,Non-compliant Capacitor,0.335,+1%,-4%,+16%
20506,Polymorphous Gravitiser,0.107,+1%,-4%,+3%
20507,Forsaken Mirror,0.0,+1%,,
20508,Doomed Obliterator,0.024,,-2%,
20509,Forsaken Neutraliser,0.024,,-2%,
20510,Salvaged Polariser,0.0,+1%,,
20511,Rescued Boundary Hunter,0.373,+1%,-13%,+6%
20512,Forsaken Neutraliser,0.19,,-9%,
20513,Anointed Gravitiser,0.083,+1%,-3%,+3%
20514,Released Dynamo,0.018,+1%,,+2%
20515,Rescued Polariser,0.16,,-7%,+2%
20516,Cursed Neutraliser,0.419,+1%,-9%,+14%
20517,Aeronic Obliterator,0.076,+1%,-2%,+4%
20518,Non-compliant Oscillator,0.217,+1%,-2%,+12%
20519,Nanite-Marked Atomiser,0.211,,,+13%
20520,Anomalous Oscillator,0.0,+1%,,
20521,Nanite-Marked Mirror,0.377,+1%,-8%,+13%
20522,Extinguished Mirror,0.1,+1%,-3%,+4%
20523,Doomed Neutraliser,0.018,,,+2%
20524,Impossible Amplifier,0.024,,-2%,
20525,Glassy Mirror,0.0,+1%,,
20526,Extinguished Mirror,0.024,,-2%,
20527,Doomed Gravitiser,0.0,+1%,,
20528,Nanite-Marked Refractor,0.14,,,+9%
20529,Anointed Amplifier,0.024,,-2%,
20530,Haunted De-limiter,0.024,,-2%,
20531,Aeronic Amplifier,0.113,+1%,-5%,+2%
20532,Aeronic Dynamo,0.0,+1%,,
20533,Salvaged Gravitiser,0.147,,-2%,+8%
20534,Anointed Polariser,0.351,+2%,,+2%
20535,Glassy Filament,0.123,,,+8%
20536,Anointed Injector,0.024,,-2%,
20537,Released Refractor,0.159,+1%,-4%,+6%
20538,Relinquished Atomiser,0.018,,,+2%
20539,Watery Resonator,0.053,,,+4%
20540,Cursed Accelerator,0.0,+1%,,
20541,Rescued Obliterator,0.024,,-2%,
20542,Glassy Oscillator,0.024,,-2%,
20543,Non-compliant Mirror,0.083,+1%,-3%,+3%
20544,Released Resonator,0.083,+1%,-3%,+3%
20545,Doomed Resonator,0.246,,,+15%
20546,Glassy Amplifier,0.0,+1%,,
20547,Glassy Oscillator,0.07,,,+5%
20548,Haunted Dynamo,0.333,,,+20%
20549,Crimson Obliterator,0.262,,-12%,
20550,Crimson Annihilator,0.333,,,+20%
20551,Impossible Oscillator,0.259,+1%,-6%,+9%
20552,Relinquished Refractor,0.246,,,+15%
20553,Writhing Atomiser,0.024,,-2%,
20554,Haunted Accelerator,0.0,+1%,,
20555,Crimson Capacitor,0.0,+1%,,
20556,Rescued Atomiser,0.279,+1%,-12%,+2%
20557,Released Refractor,0.024,,-2%,
20558,Glassy Filament,0.065,+1%,-3%,+2%
20559,Glassy Filament,0.0,+1%,,
20560,Impossible De-limiter,0.024,+1%,-2%,
20561,Haunted Refractor,0.018,+1%,,+2%
20562,Doomed Obliterator,0.0,+1%,,
20563,Salvaged Gravitiser,0.263,,,+16%
20564,Doomed Boundary Hunter,0.024,+1%,-2%,
20565,Cursed Capacitor,0.124,,-4%,+4%
20566,Extinguished Atomiser,0.367,+1%,-12%,+7%
20567,Haunted Refractor,0.024,+1%,-2%,
20568,Anointed Injector,0.035,,,+3%
20569,Glassy Resonator,0.0,+1%,,
20570,Released Polariser,0.059,+1%,-2%,+3%
20571,Haunted Polariser,0.365,+1%,-6%,+15%
20572,Forsaken Polariser,0.0,+1%,,
20573,Salvaged Gravitiser,0.0,+1%,,
20574,Haunted Resonator,0.14,,,+9%
20575,Relinquished Atomiser,0.0,+1%,,
20576,Anomalous Filament,0.598,+2%,-4%,+12%
20577,Impossible Furnace,0.095,,-5%,
20578,Doomed Injector,0.076,+1%,-2%,+4%
20579,Cursed Oscillator,0.071,,-4%,
20580,Anointed De-limiter,0.459,,-7%,+19%
20581,Aeronic De-limiter,0.0,+1%,,
20582,Polymorphous Mirror,0.024,,-2%,
20583,Forsaken Accelerator,0.263,,,+16%
20584,Nanite-Marked Accelerator,0.175,+1%,-1%,+11%
20585,Glassy Mirror,0.148,,-5%,+4%
20586,Relinquished Dynamo,0.0,+1%,,
20587,Glassy Capacitor,0.0,+1%,,
20588,Crimson Furnace,0.0,+1%,,
20589,Cursed Gravitiser,0.214,,-10%,
20590,Doomed Boundary Hunter,0.193,+1%,-1%,+12%
20591,Aeronic Resonator,0.0,+1%,,
20592,Extinguished Boundary Hunter,0.234,+1%,-2%,+13%
20593,Glassy Furnace,0.346,+1%,-3%,+18%
20594,Rescued Refractor,0.0,+1%,,
20595,Watery Injector,0.19,,-9%,
20596,Glassy Dynamo,0.0,+1%,,
20597,Polymorphous Gravitiser,0.041,+1%,-2%,+2%
20598,Released Injector,0.024,,-2%,
20599,Haunted Dynamo,0.024,,-2%,
20600,Cursed Accelerator,0.381,+2%,-3%,
