sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ClipSize
2409,Infrared Resonator,0.5,,,+12.0
2410,Plasma Solidifier,0.0,,+2%,
2411,Plasma Accelerator,0.5,,,+12.0
2412,Ion Amplifier,0.5,+1%,,
2413,Beam Battery,0.5,+1%,,
2414,Plasma Battery,0.5,,,+12.0
2415,Ion Resonator,0.5,+1%,,
2416,Sunlight Projector,0.5,+1%,+2%,
2417,Infrared Energiser,0.5,,,+12.0
2418,Infrared Amplifier,0.0,,+2%,
2419,Sunlight Solidifier,0.5,,,+12.0
2420,Ion Solidifier,0.5,,,+12.0
2421,Sunlight Amplifier,0.5,+1%,,
2422,Plasma Excitor,0.0,,+2%,
2423,Ion Injector,0.5,,,+12.0
2424,Infrared Excitor,0.5,+1%,,
2425,Beam Solidifier,0.5,+1%,,
2426,Sunlight Energiser,0.0,,+2%,
2427,Ion Amplifier,0.625,+1%,+4%,
2428,Plasma Injector,0.0,,+2%,
2429,Sunlight Projector,0.375,,+8%,
2430,Beam Energiser,0.5,,,+12.0
2431,Plasma Resonator,0.5,+1%,,
2432,Infrared Resonator,0.5,+1%,,
2433,Plasma Battery,0.5,+1%,,
2434,Beam Accelerator,0.5,+1%,,
2435,Plasma Excitor,0.5,,,+12.0
2436,Ion Excitor,0.0,,+2%,
2437,Sunlight Accelerator,0.5,,,+12.0
2438,Beam Solidifier,0.5,,,+12.0
2439,Sunlight Accelerator,1.0,+1%,,+12.0
2440,Sunlight Capture Cell,0.0,,+2%,
2441,Plasma Energiser,0.0,,+2%,
2442,Plasma Amplifier,0.5,+1%,,
2443,Beam Projector,0.5,+1%,,
2444,Sunlight Battery,0.5,+1%,,
2445,Plasma Amplifier,0.5,,,+12.0
2446,Plasma Energiser,0.5,,+2%,+12.0
2447,Beam Injector,0.5,+1%,,
2448,Infrared Capture Cell,0.5,,,+12.0
2449,Infrared Solidifier,0.0,,+2%,
2450,Infrared Solidifier,0.5,,,+12.0
2451,Sunlight Injector,0.5,,,+12.0
2452,Plasma Resonator,0.5,,,+12.0
2453,Sunlight Projector,0.5,+1%,,
2454,Plasma Solidifier,0.0,,+2%,
2455,Beam Accelerator,0.5,+1%,,
2456,Infrared Battery,0.5,,,+12.0
2457,Infrared Accelerator,0.5,,,+12.0
2458,Infrared Amplifier,0.125,,+4%,
2459,Infrared Capture Cell,0.5,,,+12.0
2460,Sunlight Solidifier,0.5,,+10%,
2461,Beam Amplifier,0.5,,,+12.0
2462,Sunlight Energiser,1.0,+1%,,+12.0
2463,Infrared Accelerator,0.5,,,+12.0
2464,Ion Energiser,0.5,,+10%,
2465,Sunlight Amplifier,0.312,,+7%,
2466,Sunlight Accelerator,0.5,,,+12.0
2467,Plasma Resonator,1.0,+1%,,+12.0
2468,Plasma Excitor,0.5,+1%,,
2469,Beam Accelerator,0.0,,+2%,
2470,Infrared Accelerator,0.5,,,+12.0
2471,Ion Injector,0.5,,+2%,+12.0
2472,Ion Capture Cell,0.0,,+2%,
2473,Ion Excitor,0.5,,,+12.0
2474,Beam Accelerator,0.0,,+2%,
2475,Beam Solidifier,0.062,,+3%,
2476,Sunlight Capture Cell,0.5,,,+12.0
2477,Sunlight Energiser,0.0,,+2%,
2478,Sunlight Capture Cell,1.0,+1%,,+12.0
2479,Ion Battery,0.0,,+2%,
2480,Ion Capture Cell,0.75,,+6%,+12.0
2481,Sunlight Amplifier,0.5,+1%,,
2482,Infrared Energiser,0.5,,+2%,+12.0
2483,Sunlight Capture Cell,0.5,+1%,,
2484,Sunlight Battery,0.5,,,+12.0
2485,Infrared Amplifier,0.5,+1%,,
2486,Beam Accelerator,0.5,,,+12.0
2487,Sunlight Accelerator,0.5,+1%,,
2488,Ion Battery,0.5,,,+12.0
2489,Ion Energiser,0.625,+1%,+4%,
2490,Sunlight Excitor,0.5,+1%,,
2491,Plasma Capture Cell,0.5,,,+12.0
2492,Plasma Solidifier,0.5,+1%,,
2493,Infrared Excitor,0.5,+1%,,
2494,Beam Resonator,0.312,,+7%,
2495,Ion Resonator,0.0,,+2%,
2496,Plasma Battery,0.5,+1%,,
2497,Plasma Capture Cell,0.5,,,+12.0
2498,Ion Energiser,0.5,,,+12.0
2499,Plasma Resonator,0.0,,+2%,
2500,Ion Accelerator,0.5,+1%,,
2501,Plasma Resonator,0.562,+1%,+3%,
2502,Ion Energiser,0.938,+1%,+9%,
2503,Sunlight Energiser,0.0,,+2%,
2504,Infrared Projector,0.5,+1%,,
2505,Plasma Energiser,0.5,+1%,,
2506,Plasma Accelerator,0.0,,+2%,
2507,Infrared Solidifier,0.5,+1%,,
2508,Beam Capture Cell,0.0,,+2%,
2509,Sunlight Projector,1.0,+1%,,+12.0
2510,Infrared Excitor,0.0,,+2%,
2511,Plasma Solidifier,0.5,+1%,,
2512,Ion Excitor,0.5,+1%,,
2513,Beam Solidifier,0.438,,+9%,
2514,Infrared Injector,0.125,,+4%,
2515,Infrared Battery,0.5,,,+12.0
2516,Sunlight Amplifier,0.5,,+2%,+12.0
2517,Sunlight Solidifier,0.5,,,+12.0
2518,Plasma Amplifier,0.5,+1%,,
2519,Beam Excitor,0.5,+1%,,
2520,Plasma Accelerator,0.5,,,+12.0
2521,Beam Solidifier,0.312,,+7%,
2522,Sunlight Accelerator,0.5,+1%,,
2523,Infrared Solidifier,0.062,,+3%,
2524,Sunlight Accelerator,1.0,+1%,,+12.0
2525,Infrared Projector,0.5,+1%,,
2526,Plasma Energiser,0.0,,+2%,
2527,Plasma Resonator,0.0,,+2%,
2528,Beam Excitor,0.5,,+2%,+12.0
2529,Plasma Amplifier,0.125,,+4%,
2530,Ion Energiser,0.5,,,+12.0
2531,Plasma Injector,0.5,,,+12.0
2532,Ion Solidifier,0.5,,,+12.0
2533,Infrared Resonator,0.5,,,+12.0
2534,Sunlight Excitor,0.875,+1%,+8%,
2535,Infrared Accelerator,0.312,,+7%,
2536,Ion Battery,0.5,+1%,+2%,
2537,Sunlight Injector,0.5,,+10%,
2538,Sunlight Accelerator,0.5,+1%,,
2539,Infrared Accelerator,0.0,,+2%,
2540,Beam Accelerator,0.5,,+10%,
2541,Sunlight Injector,0.0,,+2%,
2542,Beam Capture Cell,0.5,,,+12.0
2543,Plasma Solidifier,0.312,,+7%,
2544,Beam Resonator,0.312,,+7%,
2545,Sunlight Battery,0.5,+1%,,
2546,Beam Amplifier,0.5,,,+12.0
2547,Infrared Injector,0.5,+1%,,
2548,Sunlight Excitor,0.5,+1%,,
2549,Plasma Excitor,0.75,+1%,+6%,
2550,Ion Injector,0.5,+1%,+2%,
2551,Plasma Projector,0.5,,,+12.0
2552,Beam Resonator,0.5,+1%,,
2553,Beam Capture Cell,0.0,,+2%,
2554,Beam Capture Cell,0.5,+1%,,
2555,Ion Amplifier,0.5,+1%,+2%,
2556,Infrared Resonator,0.375,,+8%,
2557,Sunlight Amplifier,0.5,,,+12.0
2558,Plasma Solidifier,0.0,,+2%,
2559,Beam Accelerator,0.5,,,+12.0
2560,Ion Injector,0.5,+1%,,
2561,Plasma Injector,0.5,+1%,,
2562,Beam Battery,0.5,,,+12.0
2563,Plasma Energiser,0.5,+1%,,
2564,Beam Battery,0.5,,,+12.0
2565,Infrared Excitor,0.5,+1%,,
2566,Infrared Resonator,0.5,,+2%,+12.0
2567,Infrared Amplifier,0.0,,+2%,
2568,Ion Battery,0.5,+1%,,
2569,Ion Amplifier,0.5,+1%,,
2570,Infrared Accelerator,0.5,+1%,,
2571,Beam Solidifier,0.0,,+2%,
2572,Sunlight Energiser,0.5,+1%,,
2573,Plasma Resonator,0.5,,+2%,+12.0
2574,Infrared Solidifier,0.938,+1%,+9%,
2575,Sunlight Accelerator,0.0,,+2%,
2576,Infrared Accelerator,0.5,+1%,,
2577,Sunlight Accelerator,0.5,,,+12.0
2578,Sunlight Capture Cell,0.5,,,+12.0
2579,Plasma Energiser,0.125,,+4%,
2580,Plasma Capture Cell,0.5,,,+12.0
2581,Sunlight Capture Cell,0.562,,+3%,+12.0
2582,Ion Solidifier,0.5,,+10%,
2583,Sunlight Energiser,0.5,,,+12.0
2584,Beam Battery,0.0,,+2%,
2585,Beam Amplifier,0.5,,,+12.0
2586,Infrared Solidifier,0.5,,,+12.0
2587,Beam Accelerator,0.5,+1%,,
2588,Beam Solidifier,0.5,,,+12.0
2589,Sunlight Projector,0.5,,,+12.0
2590,Plasma Capture Cell,0.125,,+4%,
2591,Ion Amplifier,0.562,+1%,+3%,
2592,Sunlight Injector,0.5,+1%,,
2593,Infrared Amplifier,0.5,+1%,,
2594,Sunlight Energiser,0.5,,+2%,+12.0
2595,Sunlight Accelerator,0.5,+1%,,
2596,Plasma Battery,0.5,+1%,+2%,
2597,Infrared Battery,0.0,,+2%,
2598,Beam Injector,0.5,,,+12.0
2599,Plasma Injector,0.5,,,+12.0
2600,Ion Excitor,0.0,,+2%,
2601,Ion Projector,0.5,+1%,,
2602,Ion Solidifier,0.5,+1%,,
2603,Infrared Amplifier,0.5,+1%,,
2604,Infrared Solidifier,0.5,,,+12.0
2605,Sunlight Amplifier,0.5,,,+12.0
2606,Sunlight Excitor,0.5,+1%,,
2607,Infrared Excitor,0.5,,,+12.0
2608,Infrared Accelerator,0.5,+1%,,
2609,Sunlight Excitor,0.5,,,+12.0
2610,Ion Resonator,0.5,+1%,,
2611,Beam Excitor,0.0,,+2%,
2612,Sunlight Solidifier,0.5,,,+12.0
2613,Ion Solidifier,0.0,,+2%,
2614,Sunlight Excitor,0.0,,+2%,
2615,Beam Energiser,0.0,,+2%,
2616,Ion Capture Cell,0.5,,,+12.0
2617,Beam Accelerator,0.5,,,+12.0
2618,Infrared Resonator,0.0,,+2%,
2619,Sunlight Capture Cell,0.0,,+2%,
2620,Sunlight Energiser,0.0,,+2%,
2621,Beam Solidifier,0.5,+1%,,
2622,Sunlight Projector,0.0,,+2%,
2623,Ion Amplifier,0.5,+1%,,
2624,Sunlight Excitor,0.5,,,+12.0
2625,Infrared Injector,0.5,,,+12.0
2626,Plasma Excitor,1.0,+1%,,+12.0
2627,Sunlight Amplifier,0.5,,,+12.0
2628,Plasma Amplifier,0.5,+1%,,
2629,Beam Amplifier,1.0,+1%,+10%,
2630,Infrared Accelerator,0.5,,,+12.0
2631,Plasma Projector,0.5,+1%,,
2632,Sunlight Resonator,0.5,,,+12.0
2633,Infrared Amplifier,0.75,+1%,+6%,
2634,Ion Injector,1.0,+1%,,+12.0
2635,Plasma Energiser,0.5,,,+12.0
2636,Infrared Energiser,0.5,,,+12.0
2637,Infrared Projector,0.5,+1%,,
2638,Plasma Energiser,0.5,+1%,,
2639,Ion Projector,0.5,+1%,,
2640,Sunlight Energiser,0.0,,+2%,
2641,Ion Excitor,0.5,,,+12.0
2642,Plasma Excitor,0.5,+1%,,
2643,Beam Battery,0.5,+1%,+2%,
2644,Ion Energiser,0.5,,,+12.0
2645,Sunlight Resonator,0.0,,+2%,
2646,Plasma Battery,0.5,+1%,,
2647,Beam Solidifier,0.5,+1%,+2%,
2648,Ion Capture Cell,0.5,,,+12.0
2649,Ion Amplifier,0.0,,+2%,
2650,Ion Solidifier,0.5,,,+12.0
2651,Beam Accelerator,0.0,,+2%,
2652,Infrared Capture Cell,0.625,,+4%,+12.0
2653,Infrared Resonator,0.0,,+2%,
2654,Sunlight Solidifier,0.5,+1%,+2%,
2655,Ion Battery,0.5,,,+12.0
2656,Plasma Injector,0.5,+1%,,
2657,Sunlight Battery,0.0,,+2%,
2658,Ion Battery,0.5,,,+12.0
2659,Sunlight Resonator,0.5,+1%,,
2660,Sunlight Excitor,0.5,+1%,,
2661,Sunlight Accelerator,0.5,+1%,,
2662,Plasma Solidifier,0.0,,+2%,
2663,Infrared Solidifier,0.0,,+2%,
2664,Sunlight Amplifier,0.5,+1%,,
2665,Beam Resonator,0.062,,+3%,
2666,Sunlight Injector,0.5,,,+12.0
2667,Sunlight Resonator,0.5,+1%,,
2668,Plasma Injector,0.5,+1%,,
2669,Sunlight Excitor,0.5,,,+12.0
2670,Plasma Battery,0.0,,+2%,
2671,Plasma Battery,0.5,+1%,,
2672,Plasma Injector,1.0,+1%,,+12.0
2673,Beam Accelerator,0.5,+1%,+2%,
2674,Infrared Amplifier,0.5,,,+12.0
2675,Infrared Energiser,0.5,,,+12.0
2676,Beam Excitor,0.0,,+2%,
2677,Infrared Capture Cell,0.5,+1%,,
2678,Sunlight Injector,0.5,+1%,,
2679,Infrared Solidifier,0.25,,+6%,
2680,Ion Battery,0.5,+1%,,
2681,Plasma Projector,0.5,+1%,,
2682,Infrared Projector,0.5,+1%,,
2683,Sunlight Capture Cell,0.5,+1%,,
2684,Sunlight Accelerator,0.0,,+2%,
2685,Sunlight Capture Cell,0.5,,,+12.0
2686,Beam Amplifier,0.0,,+2%,
2687,Ion Battery,0.5,,,+12.0
2688,Sunlight Accelerator,0.5,,,+12.0
2689,Infrared Solidifier,0.5,,,+12.0
2690,Infrared Amplifier,0.062,,+3%,
2691,Sunlight Amplifier,0.25,,+6%,
2692,Sunlight Capture Cell,0.5,,,+12.0
2693,Beam Solidifier,0.062,,+3%,
2694,Beam Injector,0.5,+1%,,
2695,Ion Amplifier,0.0,,+2%,
2696,Sunlight Capture Cell,0.0,,+2%,
2697,Ion Battery,0.875,+1%,+8%,
2698,Sunlight Accelerator,0.5,+1%,,
2699,Plasma Solidifier,0.5,+1%,,
2700,Sunlight Capture Cell,0.5,,,+12.0
2701,Plasma Battery,0.438,,+9%,
2702,Infrared Capture Cell,0.0,,+2%,
2703,Sunlight Energiser,0.5,+1%,,
2704,Beam Solidifier,0.5,,,+12.0
2705,Infrared Energiser,0.188,,+5%,
2706,Infrared Resonator,0.5,,,+12.0
2707,Ion Battery,0.0,,+2%,
2708,Beam Injector,0.5,+1%,,
2709,Sunlight Battery,0.5,,,+12.0
2710,Ion Accelerator,0.5,,,+12.0
2711,Infrared Solidifier,0.0,,+2%,
2712,Sunlight Accelerator,0.5,+1%,,
2713,Sunlight Solidifier,0.5,+1%,,
2714,Plasma Projector,0.5,,,+12.0
2715,Beam Amplifier,0.5,,,+12.0
2716,Infrared Battery,0.5,,,+12.0
2717,Infrared Excitor,0.5,,,+12.0
2718,Plasma Resonator,0.5,,,+12.0
2719,Infrared Injector,0.5,,,+12.0
2720,Beam Accelerator,0.0,,+2%,
2721,Beam Injector,0.5,,,+12.0
2722,Plasma Amplifier,0.5,,,+12.0
2723,Infrared Projector,0.5,+1%,,
2724,Ion Capture Cell,0.5,+1%,,
2725,Sunlight Injector,0.5,,,+12.0
2726,Ion Capture Cell,0.5,+1%,,
2727,Infrared Energiser,0.75,+1%,+6%,
2728,Sunlight Capture Cell,0.0,,+2%,
2729,Sunlight Amplifier,0.5,+1%,,
2730,Beam Capture Cell,0.5,,,+12.0
2731,Beam Capture Cell,0.0,,+2%,
2732,Plasma Excitor,0.5,,,+12.0
2733,Beam Capture Cell,0.5,+1%,,
2734,Plasma Capture Cell,0.875,+1%,+8%,
2735,Beam Excitor,0.5,,+2%,+12.0
2736,Infrared Energiser,0.5,,,+12.0
2737,Sunlight Battery,0.0,,+2%,
2738,Plasma Injector,0.5,,+2%,+12.0
2739,Infrared Battery,0.0,,+2%,
2740,Plasma Projector,0.5,,,+12.0
2741,Infrared Resonator,0.5,,,+12.0
2742,Plasma Projector,0.5,+1%,,
2743,Sunlight Solidifier,0.0,,+2%,
2744,Plasma Accelerator,0.5,,,+12.0
2745,Plasma Accelerator,0.0,,+2%,
2746,Plasma Solidifier,0.5,+1%,,
2747,Ion Excitor,0.5,,+10%,
2748,Ion Battery,0.5,,,+12.0
2749,Sunlight Battery,0.375,,+8%,
2750,Infrared Projector,0.5,+1%,,
2751,Plasma Solidifier,0.5,,,+12.0
2752,Infrared Energiser,0.5,+1%,,
2753,Ion Injector,0.0,,+2%,
2754,Plasma Accelerator,0.5,+1%,,
2755,Plasma Capture Cell,0.5,,,+12.0
2756,Sunlight Injector,0.5,+1%,,
2757,Ion Energiser,0.812,,+7%,+12.0
2758,Ion Projector,0.125,,+4%,
2759,Beam Accelerator,0.5,+1%,,
2760,Ion Battery,0.0,,+2%,
2761,Plasma Capture Cell,0.5,,,+12.0
2762,Ion Projector,0.5,,,+12.0
2763,Sunlight Injector,0.5,,,+12.0
2764,Infrared Excitor,0.5,+1%,,
2765,Sunlight Resonator,0.5,,,+12.0
2766,Sunlight Capture Cell,0.5,,,+12.0
2767,Ion Battery,0.5,+1%,,
2768,Plasma Capture Cell,0.5,+1%,+2%,
2769,Beam Injector,0.5,+1%,,
2770,Plasma Battery,0.0,,+2%,
2771,Beam Battery,0.5,+1%,+2%,
2772,Infrared Capture Cell,0.125,,+4%,
2773,Ion Resonator,0.0,,+2%,
2774,Beam Battery,0.5,,,+12.0
2775,Beam Projector,1.0,+1%,,+12.0
2776,Beam Battery,0.5,+1%,,
2777,Beam Projector,1.0,+1%,,+12.0
2778,Beam Resonator,0.5,+1%,,
2779,Infrared Accelerator,0.125,,+4%,
2780,Plasma Capture Cell,0.5,+1%,,
2781,Sunlight Accelerator,1.0,+1%,+10%,
2782,Beam Battery,0.5,+1%,,
2783,Infrared Battery,0.5,+1%,,
2784,Sunlight Resonator,0.5,,,+12.0
2785,Ion Battery,0.0,,+2%,
2786,Sunlight Injector,0.5,+1%,,
2787,Infrared Solidifier,0.0,,+2%,
2788,Infrared Injector,0.5,+1%,,
2789,Beam Injector,0.5,,,+12.0
2790,Beam Accelerator,1.0,+1%,,+12.0
2791,Plasma Excitor,1.0,+1%,,+12.0
2792,Beam Battery,0.5,,,+12.0
2793,Beam Resonator,0.5,,,+12.0
2794,Sunlight Excitor,0.5,,+2%,+12.0
2795,Beam Energiser,1.0,+1%,,+12.0
2796,Ion Amplifier,0.5,,+2%,+12.0
2797,Ion Battery,0.5,+1%,,
2798,Beam Solidifier,0.5,,+2%,+12.0
2799,Ion Injector,0.0,,+2%,
2800,Beam Excitor,0.0,,+2%,
2801,Plasma Projector,0.0,,+2%,
2802,Infrared Resonator,0.5,,,+12.0
2803,Ion Solidifier,0.5,,,+12.0
2804,Beam Projector,0.5,+1%,,
2805,Beam Injector,0.5,,,+12.0
2806,Ion Energiser,0.5,+1%,,
2807,Infrared Battery,0.5,,,+12.0
2808,Sunlight Projector,0.5,,,+12.0
2809,Sunlight Projector,1.0,+1%,,+12.0
2810,Infrared Battery,0.5,,+10%,
2811,Plasma Excitor,0.5,,,+12.0
2812,Sunlight Energiser,0.5,+1%,,
2813,Beam Injector,0.5,,+2%,+12.0
2814,Ion Solidifier,0.5,+1%,,
2815,Infrared Solidifier,0.5,+1%,,
2816,Plasma Amplifier,0.5,+1%,,
2817,Plasma Excitor,0.5,,,+12.0
2818,Plasma Excitor,0.062,,+3%,
2819,Plasma Solidifier,0.0,,+2%,
2820,Ion Energiser,0.5,+1%,,
2821,Sunlight Energiser,0.5,+1%,,
2822,Sunlight Excitor,0.0,,+2%,
2823,Sunlight Projector,0.5,,,+12.0
2824,Beam Injector,0.5,+1%,,
2825,Ion Energiser,0.5,+1%,,
2826,Sunlight Solidifier,0.0,,+2%,
2827,Ion Capture Cell,0.062,,+3%,
2828,Beam Capture Cell,1.0,+1%,,+12.0
2829,Ion Energiser,0.5,+1%,,
2830,Sunlight Energiser,0.5,,,+12.0
2831,Ion Solidifier,0.0,,+2%,
2832,Infrared Injector,0.0,,+2%,
2833,Ion Excitor,0.188,,+5%,
2834,Ion Injector,0.5,,,+12.0
2835,Ion Battery,0.5,,,+12.0
2836,Infrared Capture Cell,0.062,,+3%,
2837,Plasma Capture Cell,0.5,,,+12.0
2838,Ion Energiser,0.0,,+2%,
2839,Infrared Accelerator,1.0,+1%,,+12.0
2840,Sunlight Accelerator,0.062,,+3%,
2841,Ion Energiser,1.0,+1%,,+12.0
2842,Infrared Capture Cell,0.5,+1%,,
2843,Plasma Battery,0.5,+1%,,
2844,Sunlight Amplifier,1.0,+1%,,+12.0
2845,Ion Accelerator,1.0,+1%,,+12.0
2846,Plasma Injector,0.5,,,+12.0
2847,Sunlight Capture Cell,0.5,,,+12.0
2848,Beam Capture Cell,0.5,,,+12.0
2849,Plasma Battery,0.5,,,+12.0
2850,Infrared Projector,0.5,+1%,,
2851,Ion Accelerator,0.5,,,+12.0
2852,Beam Amplifier,0.5,,,+12.0
2853,Beam Capture Cell,0.5,,+2%,+12.0
2854,Ion Injector,0.0,,+2%,
2855,Plasma Solidifier,0.5,+1%,,
2856,Plasma Battery,0.188,,+5%,
2857,Plasma Solidifier,0.0,,+2%,
2858,Sunlight Injector,0.5,,,+12.0
2859,Sunlight Amplifier,0.0,,+2%,
2860,Sunlight Battery,0.5,+1%,,
2861,Ion Capture Cell,0.0,,+2%,
2862,Sunlight Accelerator,0.5,,,+12.0
2863,Infrared Injector,0.5,,,+12.0
2864,Plasma Excitor,1.0,+1%,,+12.0
2865,Sunlight Amplifier,0.5,+1%,,
2866,Sunlight Resonator,0.5,+1%,,
2867,Infrared Excitor,0.0,,+2%,
2868,Infrared Solidifier,0.0,,+2%,
2869,Sunlight Battery,0.5,,,+12.0
2870,Beam Solidifier,0.5,+1%,,
2871,Infrared Accelerator,0.5,,,+12.0
2872,Beam Injector,0.0,,+2%,
2873,Ion Projector,1.0,+1%,,+12.0
2874,Plasma Projector,0.5,+1%,,
2875,Sunlight Solidifier,0.5,+1%,,
2876,Ion Energiser,0.5,,,+12.0
2877,Sunlight Amplifier,0.5,,,+12.0
2878,Sunlight Solidifier,0.5,+1%,,
2879,Ion Battery,0.5,,,+12.0
2880,Beam Projector,0.5,,,+12.0
2881,Infrared Capture Cell,1.0,+1%,,+12.0
2882,Ion Resonator,0.0,,+2%,
2883,Plasma Energiser,0.5,+1%,,
2884,Ion Amplifier,1.0,+1%,,+12.0
2885,Sunlight Accelerator,0.0,,+2%,
2886,Ion Energiser,0.5,+1%,,
2887,Ion Accelerator,0.5,+1%,,
2888,Sunlight Accelerator,0.5,,,+12.0
2889,Beam Accelerator,0.5,+1%,,
2890,Infrared Energiser,0.5,,,+12.0
2891,Sunlight Excitor,0.5,,,+12.0
2892,Infrared Injector,0.625,+1%,+4%,
2893,Beam Battery,0.0,,+2%,
2894,Sunlight Amplifier,0.5,,,+12.0
2895,Infrared Energiser,0.0,,+2%,
2896,Infrared Solidifier,0.5,,,+12.0
2897,Sunlight Injector,1.0,+1%,,+12.0
2898,Sunlight Accelerator,0.0,,+2%,
2899,Sunlight Solidifier,0.188,,+5%,
2900,Beam Resonator,0.5,,,+12.0
2901,Sunlight Projector,0.5,,+10%,
2902,Ion Battery,0.5,+1%,,
2903,Ion Excitor,0.5,,,+12.0
2904,Beam Projector,0.5,,,+12.0
2905,Beam Injector,0.5,,,+12.0
2906,Infrared Resonator,0.5,+1%,,
2907,Beam Solidifier,0.0,,+2%,
2908,Infrared Excitor,0.0,,+2%,
2909,Infrared Accelerator,0.5,,,+12.0
2910,Plasma Projector,0.5,,,+12.0
2911,Beam Capture Cell,0.5,+1%,,
2912,Sunlight Amplifier,0.5,,,+12.0
2913,Infrared Accelerator,0.5,+1%,,
2914,Beam Battery,0.062,,+3%,
2915,Beam Resonator,0.5,,,+12.0
2916,Plasma Accelerator,0.5,,,+12.0
2917,Sunlight Solidifier,0.125,,+4%,
2918,Plasma Resonator,0.062,,+3%,
2919,Infrared Energiser,0.5,,,+12.0
2920,Ion Resonator,1.0,+1%,,+12.0
2921,Infrared Solidifier,0.5,,,+12.0
2922,Infrared Battery,0.5,+1%,,
2923,Ion Battery,0.5,+1%,,
2924,Plasma Projector,0.5,,+2%,+12.0
2925,Sunlight Projector,0.0,,+2%,
2926,Infrared Injector,0.312,,+7%,
2927,Ion Capture Cell,0.0,,+2%,
2928,Beam Solidifier,0.5,+1%,,
2929,Plasma Resonator,0.5,,,+12.0
2930,Ion Accelerator,0.5,,,+12.0
2931,Ion Amplifier,0.125,,+4%,
2932,Plasma Capture Cell,0.5,+1%,,
2933,Ion Projector,0.5,,+2%,+12.0
2934,Infrared Injector,0.5,,,+12.0
2935,Ion Capture Cell,0.0,,+2%,
2936,Infrared Capture Cell,0.5,,,+12.0
2937,Ion Injector,1.0,+1%,,+12.0
2938,Sunlight Solidifier,0.5,+1%,,
2939,Sunlight Resonator,0.0,,+2%,
2940,Infrared Projector,0.0,,+2%,
2941,Beam Resonator,0.5,+1%,,
2942,Plasma Amplifier,0.0,,+2%,
2943,Ion Amplifier,0.5,,,+12.0
2944,Beam Projector,0.5,+1%,,
2945,Infrared Energiser,0.5,+1%,,
2946,Sunlight Amplifier,0.5,+1%,,
2947,Sunlight Amplifier,0.5,+1%,,
2948,Plasma Resonator,0.0,,+2%,
2949,Beam Resonator,0.5,+1%,,
2950,Plasma Excitor,0.0,,+2%,
2951,Beam Projector,0.5,,,+12.0
2952,Ion Amplifier,0.5,+1%,,
2953,Ion Amplifier,1.0,+1%,,+12.0
2954,Beam Battery,0.5,,,+12.0
2955,Plasma Solidifier,0.0,,+2%,
2956,Sunlight Energiser,0.5,,,+12.0
2957,Sunlight Battery,0.5,+1%,,
2958,Beam Projector,0.5,+1%,,
2959,Beam Injector,0.5,+1%,,
2960,Infrared Energiser,0.0,,+2%,
2961,Infrared Amplifier,0.5,+1%,+2%,
2962,Beam Excitor,0.5,,,+12.0
2963,Sunlight Injector,0.5,+1%,,
2964,Infrared Excitor,0.5,+1%,,
2965,Infrared Solidifier,0.5,,,+12.0
2966,Plasma Injector,1.0,,+10%,+12.0
2967,Ion Resonator,0.5,,,+12.0
2968,Ion Battery,1.0,+1%,,+12.0
2969,Ion Excitor,0.5,+1%,+2%,
2970,Beam Battery,0.0,,+2%,
2971,Sunlight Capture Cell,0.5,,,+12.0
2972,Ion Accelerator,0.5,+1%,,
2973,Plasma Energiser,0.0,,+2%,
2974,Ion Battery,1.0,+1%,,+12.0
2975,Infrared Solidifier,0.0,,+2%,
2976,Ion Excitor,0.5,+1%,,
2977,Ion Projector,0.5,+1%,,
2978,Infrared Injector,0.5,+1%,,
2979,Sunlight Projector,0.438,,+9%,
2980,Plasma Amplifier,0.062,,+3%,
2981,Beam Injector,0.062,,+3%,
2982,Beam Projector,0.5,+1%,+2%,
2983,Infrared Solidifier,0.5,+1%,,
2984,Ion Solidifier,0.0,,+2%,
2985,Infrared Projector,0.062,,+3%,
2986,Ion Excitor,0.5,+1%,,
2987,Infrared Accelerator,0.438,,+9%,
2988,Infrared Energiser,0.5,,,+12.0
2989,Sunlight Injector,0.5,+1%,,
2990,Plasma Energiser,0.5,,,+12.0
2991,Ion Resonator,0.5,,,+12.0
2992,Sunlight Energiser,0.5,+1%,,
2993,Plasma Excitor,0.5,,,+12.0
2994,Plasma Capture Cell,0.5,+1%,,
2995,Ion Accelerator,0.5,+1%,,
2996,Beam Resonator,0.0,,+2%,
2997,Infrared Accelerator,0.5,+1%,,
2998,Ion Capture Cell,0.5,,,+12.0
2999,Infrared Projector,0.5,+1%,,
3000,Ion Solidifier,0.5,+1%,+2%,
3001,Plasma Accelerator,0.5,,,+12.0
3002,Sunlight Resonator,0.5,+1%,+2%,
3003,Beam Solidifier,0.5,,,+12.0
3004,Ion Injector,0.25,,+6%,
3005,Plasma Projector,0.5,,,+12.0
3006,Ion Solidifier,0.5,+1%,,
3007,Infrared Battery,0.5,,,+12.0
3008,Plasma Energiser,0.5,,,+12.0
3009,Beam Amplifier,0.0,,+2%,
3010,Sunlight Amplifier,0.625,,+4%,+12.0
3011,Sunlight Energiser,0.0,,+2%,
3012,Plasma Excitor,0.625,+1%,+4%,
3013,Beam Capture Cell,0.5,+1%,,
3014,Beam Solidifier,0.0,,+2%,
3015,Plasma Injector,0.5,+1%,,
3016,Beam Battery,0.5,+1%,,
