Seed	Name	Perfection	Weapon_Projectile_Damage	Weapon_Projectile_ReloadTime	Weapon_Projectile_BurstCap
4067	Copper Muzzle	0.4	+1%	-6%
4068	Copper Launch System	0.67	+1%		+1.0
4069	Enhanced Muzzle	0.67	+1%		+1.0
4070	Copper Heat Pump	0.4	+1%	-6%
4071	Enhanced Barrel	0.4	+1%	-6%
4072	Gold-Plated Compression Unit	0.67	+1%		+1.0
4073	Copper Shells	0.73	+1%	-6%	+1.0
4074	Reinforced Heat Pump	0.4	+1%	-6%
4075	Reinforced Compression Unit	0.67	+1%		+1.0
4076	Enhanced Shells	0.6	+1%	-9%
4077	Reinforced Wiring	0.67	+1%		+1.0
4078	Pressurised Wiring	0.4	+1%	-6%
4079	Gold-Plated Barrel	0.47	+1%	-7%
4080	Pressurised Compression Unit	0.67	+1%		+1.0
4081	Copper Heat Pump	1.0	+1%	-10%	+1.0
4082	Copper Compression Unit	0.8	+1%	-7%	+1.0
4083	Copper Launch System	0.47	+1%	-7%
4084	Copper Launch System	0.67	+1%		+1.0
4085	Pressurised Wiring	0.4	+1%	-6%
4086	Copper Heat Pump	0.4	+1%	-6%
4087	Enhanced Internals	0.67	+1%		+1.0
4088	Gold-Plated Launch System	0.4	+1%	-6%
4089	Gold-Plated Heat Pump	0.67	+1%		+1.0
4090	Copper Compression Unit	0.4	+1%	-6%
4091	Gold-Plated Heat Pump	0.6	+1%	-9%
4092	Gold-Plated Shells	0.73	+1%	-6%	+1.0
4093	Gold-Plated Barrel	0.6	+1%	-9%
4094	Copper Compression Unit	0.53	+1%	-8%
4095	Enhanced Compression Unit	0.4	+1%	-6%
4096	Enhanced Heat Pump	0.67	+1%		+1.0
4097	Enhanced Dynamo	0.53	+1%	-8%
4098	Enhanced Compression Unit	0.8	+1%	-7%	+1.0
4099	Reinforced Heat Pump	0.67	+1%		+1.0
4100	Enhanced Heat Pump	0.6	+1%	-9%
4101	Copper Compression Unit	0.4	+1%	-6%
4102	Gold-Plated Shells	0.4	+1%	-6%
4103	Copper Heat Pump	0.73	+1%	-6%	+1.0
4104	Reinforced Compression Unit	0.4	+1%	-6%
4105	Enhanced Trigger	0.67	+1%		+1.0
4106	Gold-Plated Wiring	0.67	+1%		+1.0
4107	Copper Shells	0.67	+1%		+1.0
4108	Reinforced Trigger	0.6	+1%	-9%
4109	Pressurised Compression Unit	0.73	+1%	-6%	+1.0
4110	Reinforced Internals	0.67	+1%	-10%
4111	Reinforced Trigger	0.67	+1%		+1.0
4112	Gold-Plated Barrel	0.67	+1%		+1.0
4113	Enhanced Shells	0.87	+1%	-8%	+1.0
4114	Gold-Plated Heat Pump	0.67	+1%		+1.0
4115	Gold-Plated Heat Pump	0.47	+1%	-7%
4116	Gold-Plated Shells	1.0	+1%	-10%	+1.0
4117	Pressurised Launch System	0.67	+1%		+1.0
4118	Pressurised Launch System	0.6	+1%	-9%
4119	Reinforced Shells	0.67	+1%		+1.0
4120	Pressurised Wiring	0.87	+1%	-8%	+1.0
4121	Copper Barrel	0.47	+1%	-7%
4122	Pressurised Shells	0.67	+1%		+1.0
4123	Copper Barrel	0.67	+1%		+1.0
4124	Gold-Plated Compression Unit	0.67	+1%	-10%
4125	Reinforced Heat Pump	0.87	+1%	-8%	+1.0
4126	Copper Dynamo	0.67	+1%		+1.0
4127	Pressurised Wiring	0.93	+1%	-9%	+1.0
4128	Pressurised Muzzle	0.53	+1%	-8%
4129	Reinforced Shells	0.67	+1%		+1.0
4130	Copper Compression Unit	0.6	+1%	-9%
4131	Enhanced Muzzle	0.67	+1%		+1.0
4132	Enhanced Compression Unit	0.67	+1%		+1.0
4133	Reinforced Heat Pump	0.87	+1%	-8%	+1.0
4134	Enhanced Launch System	0.73	+1%	-6%	+1.0
4135	Gold-Plated Muzzle	0.67	+1%		+1.0
4136	Pressurised Trigger	0.4	+1%	-6%
4137	Pressurised Heat Pump	0.67	+1%		+1.0
4138	Enhanced Shells	0.73	+1%	-6%	+1.0
4139	Enhanced Dynamo	0.67	+1%	-10%
4140	Pressurised Dynamo	0.67	+1%		+1.0
4141	Pressurised Internals	0.67	+1%		+1.0
4142	Gold-Plated Compression Unit	0.67	+1%		+1.0
4143	Pressurised Muzzle	0.67	+1%		+1.0
4144	Reinforced Dynamo	0.6	+1%	-9%
4145	Gold-Plated Wiring	0.4	+1%	-6%
4146	Copper Internals	0.67	+1%		+1.0
4147	Gold-Plated Wiring	0.6	+1%	-9%
4148	Gold-Plated Barrel	0.87	+1%	-8%	+1.0
4149	Copper Trigger	0.87	+1%	-8%	+1.0
4150	Reinforced Compression Unit	0.73	+1%	-6%	+1.0
4151	Enhanced Shells	0.67	+1%	-10%
4152	Reinforced Trigger	0.8	+1%	-7%	+1.0
4153	Reinforced Launch System	0.73	+1%	-6%	+1.0
4154	Gold-Plated Launch System	0.6	+1%	-9%
4155	Pressurised Launch System	0.93	+1%	-9%	+1.0
4156	Enhanced Compression Unit	0.67	+1%		+1.0
4157	Copper Dynamo	0.6	+1%	-9%
4158	Enhanced Dynamo	0.67	+1%		+1.0
4159	Pressurised Compression Unit	0.67	+1%		+1.0
4160	Copper Barrel	0.67	+1%		+1.0
4161	Enhanced Heat Pump	0.67	+1%		+1.0
4162	Pressurised Compression Unit	0.6	+1%	-9%
4163	Reinforced Dynamo	0.47	+1%	-7%
4164	Copper Launch System	0.93	+1%	-9%	+1.0
4165	Reinforced Muzzle	0.67	+1%		+1.0
4166	Copper Internals	0.47	+1%	-7%
4167	Reinforced Internals	0.4	+1%	-6%
4168	Reinforced Muzzle	0.67	+1%		+1.0
4169	Enhanced Dynamo	0.67	+1%		+1.0
4170	Pressurised Wiring	0.67	+1%		+1.0
4171	Enhanced Heat Pump	0.4	+1%	-6%
4172	Copper Shells	0.4	+1%	-6%
4173	Enhanced Compression Unit	0.4	+1%	-6%
4174	Enhanced Barrel	0.87	+1%	-8%	+1.0
4175	Gold-Plated Wiring	0.67	+1%		+1.0
4176	Copper Shells	0.6	+1%	-9%
4177	Enhanced Dynamo	0.4	+1%	-6%
4178	Reinforced Wiring	0.4	+1%	-6%
4179	Reinforced Dynamo	0.73	+1%	-6%	+1.0
4180	Pressurised Trigger	0.67	+1%		+1.0
4181	Enhanced Heat Pump	0.53	+1%	-8%
4182	Reinforced Muzzle	0.47	+1%	-7%
4183	Gold-Plated Dynamo	0.67	+1%		+1.0
4184	Copper Dynamo	0.6	+1%	-9%
4185	Pressurised Barrel	0.73	+1%	-6%	+1.0
4186	Pressurised Internals	0.67	+1%		+1.0
4187	Gold-Plated Heat Pump	0.73	+1%	-6%	+1.0
4188	Gold-Plated Launch System	0.67	+1%		+1.0
4189	Reinforced Trigger	0.4	+1%	-6%
4190	Enhanced Compression Unit	0.67	+1%		+1.0
4191	Gold-Plated Muzzle	0.73	+1%	-6%	+1.0
4192	Gold-Plated Compression Unit	0.67	+1%		+1.0
4193	Gold-Plated Muzzle	0.67	+1%		+1.0
4194	Pressurised Launch System	0.67	+1%	-10%
4195	Reinforced Muzzle	0.67	+1%		+1.0
4196	Gold-Plated Compression Unit	0.6	+1%	-9%
4197	Enhanced Dynamo	0.4	+1%	-6%
4198	Enhanced Barrel	0.67	+1%		+1.0
4199	Gold-Plated Trigger	1.0	+1%	-10%	+1.0
4200	Copper Dynamo	0.53	+1%	-8%
4201	Pressurised Wiring	0.67	+1%		+1.0
4202	Gold-Plated Shells	0.67	+1%		+1.0
4203	Reinforced Muzzle	0.4	+1%	-6%
4204	Pressurised Shells	0.6	+1%	-9%
4205	Gold-Plated Internals	0.53	+1%	-8%
4206	Copper Muzzle	0.4	+1%	-6%
4207	Pressurised Launch System	0.67	+1%		+1.0
4208	Reinforced Dynamo	0.67	+1%		+1.0
4209	Pressurised Shells	0.47	+1%	-7%
4210	Pressurised Shells	0.53	+1%	-8%
4211	Pressurised Launch System	0.67	+1%		+1.0
4212	Reinforced Launch System	0.67	+1%		+1.0
4213	Pressurised Launch System	0.53	+1%	-8%
4214	Pressurised Dynamo	0.67	+1%		+1.0
4215	Enhanced Dynamo	0.67	+1%		+1.0
4216	Gold-Plated Heat Pump	0.73	+1%	-6%	+1.0
4217	Gold-Plated Compression Unit	0.4	+1%	-6%
4218	Enhanced Trigger	0.67	+1%		+1.0
4219	Reinforced Dynamo	0.67	+1%		+1.0
4220	Gold-Plated Internals	0.47	+1%	-7%
4221	Enhanced Compression Unit	0.4	+1%	-6%
4222	Enhanced Muzzle	0.53	+1%	-8%
4223	Gold-Plated Dynamo	0.4	+1%	-6%
4224	Copper Muzzle	0.53	+1%	-8%
4225	Gold-Plated Barrel	0.4	+1%	-6%
4226	Copper Launch System	0.67	+1%		+1.0
4227	Pressurised Launch System	0.67	+1%		+1.0
4228	Reinforced Dynamo	0.67	+1%		+1.0
4229	Reinforced Wiring	0.4	+1%	-6%
4230	Reinforced Wiring	0.67	+1%		+1.0
4231	Enhanced Wiring	0.87	+1%	-8%	+1.0
4232	Gold-Plated Launch System	0.67	+1%		+1.0
4233	Copper Shells	0.73	+1%	-6%	+1.0
4234	Pressurised Heat Pump	0.4	+1%	-6%
4235	Enhanced Muzzle	0.67	+1%		+1.0
4236	Copper Shells	0.67	+1%		+1.0
4237	Reinforced Dynamo	0.67	+1%		+1.0
4238	Gold-Plated Trigger	0.67	+1%		+1.0
4239	Copper Trigger	0.47	+1%	-7%
4240	Pressurised Launch System	0.67	+1%	-10%
4241	Gold-Plated Wiring	0.4	+1%	-6%
4242	Copper Internals	0.8	+1%	-7%	+1.0
4243	Pressurised Dynamo	0.4	+1%	-6%
4244	Copper Heat Pump	0.6	+1%	-9%
4245	Gold-Plated Muzzle	0.6	+1%	-9%
4246	Gold-Plated Trigger	0.53	+1%	-8%
4247	Copper Wiring	0.67	+1%		+1.0
4248	Copper Heat Pump	0.67	+1%		+1.0
4249	Pressurised Wiring	0.67	+1%		+1.0
4250	Pressurised Shells	0.67	+1%		+1.0
4251	Pressurised Trigger	0.53	+1%	-8%
4252	Pressurised Launch System	0.67	+1%		+1.0
4253	Enhanced Barrel	0.67	+1%		+1.0
4254	Reinforced Barrel	0.4	+1%	-6%
4255	Reinforced Shells	0.67	+1%		+1.0
4256	Pressurised Barrel	0.73	+1%	-6%	+1.0
4257	Copper Dynamo	0.67	+1%		+1.0
4258	Copper Dynamo	0.67	+1%		+1.0
4259	Reinforced Dynamo	0.67	+1%		+1.0
4260	Copper Muzzle	0.4	+1%	-6%
4261	Copper Trigger	0.67	+1%	-10%
4262	Copper Muzzle	0.53	+1%	-8%
4263	Pressurised Launch System	0.67	+1%		+1.0
4264	Reinforced Dynamo	0.67	+1%		+1.0
4265	Enhanced Shells	0.67	+1%		+1.0
4266	Pressurised Dynamo	0.73	+1%	-6%	+1.0
4267	Gold-Plated Launch System	0.67	+1%		+1.0
4268	Enhanced Barrel	0.67	+1%		+1.0
4269	Pressurised Muzzle	1.0	+1%	-10%	+1.0
4270	Copper Wiring	0.67	+1%		+1.0
4271	Copper Launch System	0.4	+1%	-6%
4272	Copper Shells	0.47	+1%	-7%
4273	Enhanced Trigger	0.93	+1%	-9%	+1.0
4274	Copper Wiring	0.4	+1%	-6%
4275	Gold-Plated Wiring	0.67	+1%		+1.0
4276	Reinforced Internals	0.73	+1%	-6%	+1.0
4277	Enhanced Launch System	0.67	+1%		+1.0
4278	Enhanced Muzzle	0.67	+1%		+1.0
4279	Reinforced Wiring	0.67	+1%		+1.0
4280	Pressurised Compression Unit	0.67	+1%		+1.0
4281	Copper Wiring	0.67	+1%		+1.0
4282	Gold-Plated Trigger	0.47	+1%	-7%
4283	Copper Compression Unit	0.53	+1%	-8%
4284	Reinforced Internals	0.67	+1%		+1.0
4285	Reinforced Dynamo	0.53	+1%	-8%
4286	Pressurised Muzzle	0.8	+1%	-7%	+1.0
4287	Pressurised Dynamo	0.67	+1%		+1.0
4288	Gold-Plated Dynamo	0.67	+1%		+1.0
4289	Copper Wiring	0.67	+1%		+1.0
4290	Gold-Plated Muzzle	0.4	+1%	-6%
4291	Enhanced Barrel	0.4	+1%	-6%
4292	Pressurised Wiring	0.53	+1%	-8%
4293	Reinforced Barrel	0.6	+1%	-9%
4294	Enhanced Wiring	0.47	+1%	-7%
4295	Copper Muzzle	0.67	+1%		+1.0
4296	Gold-Plated Heat Pump	0.93	+1%	-9%	+1.0
4297	Enhanced Barrel	0.67	+1%		+1.0
4298	Copper Muzzle	0.67	+1%		+1.0
4299	Enhanced Dynamo	0.93	+1%	-9%	+1.0
4300	Reinforced Wiring	0.4	+1%	-6%
4301	Reinforced Barrel	0.53	+1%	-8%
4302	Enhanced Shells	0.6	+1%	-9%
4303	Copper Launch System	0.67	+1%		+1.0
4304	Copper Wiring	0.4	+1%	-6%
4305	Enhanced Barrel	0.67	+1%		+1.0
4306	Pressurised Trigger	0.6	+1%	-9%
4307	Enhanced Heat Pump	0.67	+1%		+1.0
4308	Enhanced Internals	0.4	+1%	-6%
4309	Copper Trigger	0.4	+1%	-6%
4310	Copper Shells	1.0	+1%	-10%	+1.0
4311	Reinforced Dynamo	1.0	+1%	-10%	+1.0
4312	Pressurised Heat Pump	0.67	+1%		+1.0
4313	Reinforced Wiring	0.67	+1%		+1.0
4314	Enhanced Internals	0.67	+1%		+1.0
4315	Reinforced Internals	0.67	+1%		+1.0
4316	Copper Wiring	0.47	+1%	-7%
4317	Gold-Plated Heat Pump	0.67	+1%		+1.0
4318	Reinforced Internals	0.67	+1%		+1.0
4319	Gold-Plated Dynamo	0.4	+1%	-6%
4320	Enhanced Heat Pump	0.4	+1%	-6%
4321	Pressurised Trigger	0.6	+1%	-9%
4322	Gold-Plated Muzzle	0.67	+1%		+1.0
4323	Gold-Plated Trigger	0.47	+1%	-7%
4324	Reinforced Compression Unit	0.67	+1%		+1.0
4325	Enhanced Dynamo	0.67	+1%		+1.0
4326	Enhanced Muzzle	0.4	+1%	-6%
4327	Pressurised Shells	0.53	+1%	-8%
4328	Gold-Plated Trigger	0.53	+1%	-8%
4329	Enhanced Launch System	0.67	+1%		+1.0
4330	Copper Barrel	0.67	+1%		+1.0
4331	Pressurised Heat Pump	0.67	+1%		+1.0
4332	Enhanced Heat Pump	0.93	+1%	-9%	+1.0
4333	Reinforced Trigger	0.67	+1%		+1.0
4334	Enhanced Barrel	0.47	+1%	-7%
4335	Enhanced Launch System	0.6	+1%	-9%
4336	Reinforced Heat Pump	0.67	+1%		+1.0
4337	Enhanced Compression Unit	0.4	+1%	-6%
4338	Reinforced Barrel	0.73	+1%	-6%	+1.0
4339	Enhanced Barrel	0.67	+1%		+1.0
4340	Reinforced Heat Pump	0.93	+1%	-9%	+1.0
4341	Gold-Plated Shells	0.67	+1%		+1.0
4342	Copper Compression Unit	0.67	+1%	-10%
4343	Gold-Plated Shells	0.4	+1%	-6%
4344	Pressurised Heat Pump	0.67	+1%		+1.0
4345	Reinforced Shells	0.67	+1%		+1.0
4346	Enhanced Compression Unit	0.8	+1%	-7%	+1.0
4347	Enhanced Muzzle	0.67	+1%		+1.0
4348	Reinforced Heat Pump	0.4	+1%	-6%
4349	Reinforced Wiring	0.4	+1%	-6%
4350	Reinforced Muzzle	0.67	+1%		+1.0
4351	Gold-Plated Launch System	0.67	+1%		+1.0
4352	Copper Internals	0.67	+1%		+1.0
4353	Copper Launch System	0.4	+1%	-6%
4354	Pressurised Trigger	0.67	+1%		+1.0
4355	Reinforced Wiring	0.53	+1%	-8%
4356	Enhanced Barrel	0.47	+1%	-7%
4357	Gold-Plated Wiring	0.67	+1%		+1.0
4358	Copper Launch System	0.67	+1%		+1.0
4359	Copper Shells	0.87	+1%	-8%	+1.0
4360	Pressurised Compression Unit	0.4	+1%	-6%
4361	Pressurised Launch System	0.4	+1%	-6%
4362	Copper Shells	0.67	+1%		+1.0
4363	Pressurised Launch System	0.93	+1%	-9%	+1.0
4364	Pressurised Muzzle	0.67	+1%		+1.0
4365	Pressurised Dynamo	0.4	+1%	-6%
4366	Pressurised Internals	0.6	+1%	-9%
4367	Reinforced Muzzle	0.4	+1%	-6%
4368	Gold-Plated Launch System	0.67	+1%		+1.0
4369	Pressurised Trigger	0.4	+1%	-6%
4370	Gold-Plated Launch System	0.67	+1%		+1.0
4371	Enhanced Dynamo	0.67	+1%		+1.0
4372	Copper Launch System	0.67	+1%		+1.0
4373	Copper Wiring	0.47	+1%	-7%
4374	Gold-Plated Wiring	0.73	+1%	-6%	+1.0
4375	Reinforced Wiring	0.4	+1%	-6%
4376	Gold-Plated Shells	0.4	+1%	-6%
4377	Reinforced Trigger	0.67	+1%		+1.0
4378	Reinforced Wiring	0.87	+1%	-8%	+1.0
4379	Reinforced Internals	0.67	+1%		+1.0
4380	Enhanced Trigger	0.67	+1%		+1.0
4381	Copper Internals	0.67	+1%		+1.0
4382	Reinforced Heat Pump	0.4	+1%	-6%
4383	Pressurised Trigger	0.47	+1%	-7%
4384	Reinforced Compression Unit	0.8	+1%	-7%	+1.0
4385	Copper Launch System	0.4	+1%	-6%
4386	Gold-Plated Internals	0.47	+1%	-7%
4387	Enhanced Internals	0.53	+1%	-8%
4388	Pressurised Trigger	0.73	+1%	-6%	+1.0
4389	Enhanced Dynamo	0.67	+1%		+1.0
4390	Enhanced Wiring	0.4	+1%	-6%
4391	Copper Heat Pump	0.67	+1%		+1.0
4392	Copper Heat Pump	0.67	+1%		+1.0
4393	Enhanced Trigger	0.67	+1%	-10%
4394	Copper Heat Pump	0.6	+1%	-9%
4395	Gold-Plated Trigger	0.53	+1%	-8%
4396	Reinforced Trigger	0.67	+1%		+1.0
4397	Gold-Plated Wiring	0.87	+1%	-8%	+1.0
4398	Reinforced Internals	0.67	+1%		+1.0
4399	Copper Launch System	0.47	+1%	-7%
4400	Reinforced Shells	0.67	+1%		+1.0
4401	Copper Barrel	0.4	+1%	-6%
4402	Copper Barrel	0.67	+1%	-10%
4403	Reinforced Shells	0.67	+1%		+1.0
4404	Pressurised Compression Unit	0.67	+1%		+1.0
4405	Copper Trigger	0.67	+1%		+1.0
4406	Copper Shells	0.67	+1%		+1.0
4407	Reinforced Launch System	1.0	+1%	-10%	+1.0
4408	Reinforced Barrel	0.47	+1%	-7%
4409	Gold-Plated Heat Pump	0.53	+1%	-8%
4410	Reinforced Launch System	0.6	+1%	-9%
4411	Enhanced Barrel	0.67	+1%		+1.0
4412	Gold-Plated Muzzle	0.4	+1%	-6%
4413	Reinforced Heat Pump	0.67	+1%		+1.0
4414	Enhanced Internals	0.67	+1%		+1.0
4415	Gold-Plated Shells	0.67	+1%		+1.0
4416	Enhanced Wiring	0.67	+1%		+1.0
4417	Enhanced Wiring	0.67	+1%	-10%
4418	Gold-Plated Compression Unit	0.67	+1%		+1.0
4419	Gold-Plated Compression Unit	0.67	+1%		+1.0
4420	Enhanced Trigger	0.67	+1%		+1.0
4421	Enhanced Heat Pump	0.4	+1%	-6%
4422	Pressurised Internals	0.73	+1%	-6%	+1.0
4423	Copper Dynamo	0.4	+1%	-6%
4424	Pressurised Trigger	0.4	+1%	-6%
4425	Enhanced Wiring	0.67	+1%	-10%
4426	Copper Muzzle	0.67	+1%		+1.0
4427	Copper Wiring	0.67	+1%		+1.0
4428	Gold-Plated Launch System	0.67	+1%	-10%
4429	Copper Internals	0.67	+1%		+1.0
4430	Copper Wiring	0.73	+1%	-6%	+1.0
4431	Gold-Plated Compression Unit	0.8	+1%	-7%	+1.0
4432	Pressurised Dynamo	0.53	+1%	-8%
4433	Gold-Plated Shells	0.67	+1%		+1.0
4434	Copper Heat Pump	0.4	+1%	-6%
4435	Reinforced Internals	0.67	+1%		+1.0
4436	Reinforced Trigger	0.67	+1%		+1.0
4437	Pressurised Barrel	0.67	+1%		+1.0
4438	Copper Launch System	0.67	+1%		+1.0
4439	Reinforced Barrel	0.53	+1%	-8%
4440	Enhanced Muzzle	0.4	+1%	-6%
4441	Copper Launch System	0.47	+1%	-7%
4442	Reinforced Launch System	0.67	+1%		+1.0
4443	Pressurised Wiring	0.67	+1%		+1.0
4444	Reinforced Muzzle	0.67	+1%		+1.0
4445	Gold-Plated Internals	0.67	+1%		+1.0
4446	Reinforced Heat Pump	0.47	+1%	-7%
4447	Enhanced Heat Pump	0.53	+1%	-8%
4448	Copper Heat Pump	0.93	+1%	-9%	+1.0
4449	Pressurised Launch System	0.4	+1%	-6%
4450	Reinforced Shells	0.87	+1%	-8%	+1.0
4451	Copper Internals	0.67	+1%		+1.0
4452	Reinforced Muzzle	0.67	+1%		+1.0
4453	Gold-Plated Shells	0.67	+1%	-10%
4454	Pressurised Launch System	0.67	+1%		+1.0
4455	Gold-Plated Internals	0.67	+1%		+1.0
4456	Enhanced Trigger	0.67	+1%		+1.0
4457	Pressurised Launch System	0.67	+1%	-10%
4458	Pressurised Launch System	0.87	+1%	-8%	+1.0
4459	Copper Trigger	0.4	+1%	-6%
4460	Reinforced Wiring	0.87	+1%	-8%	+1.0
4461	Enhanced Trigger	0.73	+1%	-6%	+1.0
4462	Reinforced Trigger	0.4	+1%	-6%
4463	Enhanced Wiring	0.67	+1%		+1.0
4464	Pressurised Wiring	0.67	+1%		+1.0
4465	Enhanced Compression Unit	0.6	+1%	-9%
4466	Enhanced Heat Pump	0.4	+1%	-6%
4467	Copper Launch System	0.67	+1%		+1.0
4468	Reinforced Heat Pump	0.6	+1%	-9%
4469	Reinforced Compression Unit	0.67	+1%		+1.0
4470	Gold-Plated Trigger	0.67	+1%		+1.0
4471	Pressurised Heat Pump	0.73	+1%	-6%	+1.0
4472	Pressurised Internals	0.73	+1%	-6%	+1.0
4473	Pressurised Muzzle	0.87	+1%	-8%	+1.0
4474	Enhanced Dynamo	0.93	+1%	-9%	+1.0
4475	Gold-Plated Internals	0.67	+1%		+1.0
4476	Reinforced Trigger	0.67	+1%		+1.0
4477	Reinforced Dynamo	0.67	+1%		+1.0
4478	Copper Muzzle	0.67	+1%		+1.0
4479	Gold-Plated Launch System	0.73	+1%	-6%	+1.0
4480	Gold-Plated Launch System	0.4	+1%	-6%
4481	Gold-Plated Heat Pump	0.67	+1%		+1.0
4482	Gold-Plated Internals	0.67	+1%	-10%
4483	Gold-Plated Internals	0.67	+1%	-10%
4484	Gold-Plated Internals	0.6	+1%	-9%
4485	Pressurised Compression Unit	0.4	+1%	-6%
4486	Pressurised Barrel	0.67	+1%		+1.0
4487	Copper Muzzle	0.67	+1%		+1.0
4488	Reinforced Trigger	0.67	+1%		+1.0
4489	Reinforced Wiring	0.4	+1%	-6%
4490	Reinforced Launch System	0.47	+1%	-7%
4491	Pressurised Trigger	0.67	+1%		+1.0
4492	Pressurised Muzzle	0.67	+1%		+1.0
4493	Gold-Plated Heat Pump	0.67	+1%		+1.0
4494	Gold-Plated Trigger	0.67	+1%	-10%
4495	Copper Launch System	0.67	+1%	-10%
4496	Gold-Plated Muzzle	0.47	+1%	-7%
4497	Pressurised Barrel	0.47	+1%	-7%
4498	Copper Shells	0.67	+1%		+1.0
4499	Enhanced Internals	1.0	+1%	-10%	+1.0
4500	Pressurised Internals	0.47	+1%	-7%
4501	Copper Launch System	0.67	+1%		+1.0
4502	Enhanced Shells	0.6	+1%	-9%
4503	Pressurised Wiring	0.53	+1%	-8%
4504	Pressurised Shells	0.73	+1%	-6%	+1.0
4505	Reinforced Muzzle	0.4	+1%	-6%
4506	Enhanced Muzzle	0.67	+1%		+1.0
4507	Reinforced Internals	0.67	+1%		+1.0
4508	Pressurised Internals	0.4	+1%	-6%
4509	Pressurised Internals	0.67	+1%		+1.0
4510	Enhanced Shells	0.67	+1%		+1.0
4511	Gold-Plated Trigger	0.47	+1%	-7%
4512	Gold-Plated Internals	0.67	+1%		+1.0
4513	Pressurised Compression Unit	0.67	+1%	-10%
4514	Copper Trigger	0.93	+1%	-9%	+1.0
4515	Copper Dynamo	0.53	+1%	-8%
4516	Gold-Plated Launch System	0.8	+1%	-7%	+1.0
4517	Pressurised Heat Pump	0.67	+1%		+1.0
4518	Reinforced Trigger	0.8	+1%	-7%	+1.0
4519	Copper Muzzle	0.47	+1%	-7%
4520	Enhanced Barrel	0.4	+1%	-6%
4521	Pressurised Launch System	0.73	+1%	-6%	+1.0
4522	Gold-Plated Wiring	0.47	+1%	-7%
4523	Reinforced Dynamo	0.6	+1%	-9%
4524	Enhanced Barrel	0.67	+1%		+1.0
4525	Enhanced Barrel	0.4	+1%	-6%
4526	Copper Muzzle	0.8	+1%	-7%	+1.0
4527	Gold-Plated Muzzle	0.73	+1%	-6%	+1.0
4528	Enhanced Barrel	0.67	+1%		+1.0
4529	Pressurised Muzzle	0.53	+1%	-8%
4530	Pressurised Dynamo	0.47	+1%	-7%
4531	Copper Barrel	0.4	+1%	-6%
4532	Gold-Plated Barrel	0.4	+1%	-6%
4533	Gold-Plated Internals	0.67	+1%		+1.0
4534	Gold-Plated Wiring	0.47	+1%	-7%
4535	Reinforced Heat Pump	0.73	+1%	-6%	+1.0
4536	Copper Barrel	0.67	+1%		+1.0
4537	Enhanced Trigger	0.67	+1%		+1.0
4538	Enhanced Launch System	0.73	+1%	-6%	+1.0
4539	Gold-Plated Barrel	0.67	+1%		+1.0
4540	Pressurised Muzzle	0.67	+1%		+1.0
4541	Pressurised Launch System	0.4	+1%	-6%
4542	Pressurised Wiring	0.67	+1%		+1.0
4543	Pressurised Shells	0.4	+1%	-6%
4544	Enhanced Internals	0.67	+1%		+1.0
4545	Enhanced Internals	0.4	+1%	-6%
4546	Enhanced Shells	1.0	+1%	-10%	+1.0
4547	Copper Compression Unit	0.4	+1%	-6%
4548	Pressurised Muzzle	0.93	+1%	-9%	+1.0
4549	Pressurised Wiring	0.93	+1%	-9%	+1.0
4550	Reinforced Muzzle	0.67	+1%		+1.0
4551	Enhanced Internals	0.4	+1%	-6%
4552	Copper Trigger	0.53	+1%	-8%
4553	Enhanced Wiring	0.73	+1%	-6%	+1.0
4554	Copper Dynamo	0.67	+1%		+1.0
4555	Pressurised Internals	0.67	+1%		+1.0
4556	Pressurised Internals	0.4	+1%	-6%
4557	Gold-Plated Dynamo	0.4	+1%	-6%
4558	Copper Trigger	0.67	+1%		+1.0
4559	Copper Shells	0.67	+1%		+1.0
4560	Copper Barrel	0.67	+1%		+1.0
4561	Copper Compression Unit	0.67	+1%		+1.0
4562	Pressurised Dynamo	0.4	+1%	-6%
4563	Reinforced Dynamo	0.67	+1%		+1.0
4564	Copper Trigger	0.53	+1%	-8%
4565	Copper Compression Unit	0.67	+1%		+1.0
4566	Gold-Plated Compression Unit	0.8	+1%	-7%	+1.0
4567	Enhanced Heat Pump	0.67	+1%	-10%
4568	Reinforced Heat Pump	0.67	+1%		+1.0
4569	Pressurised Internals	0.67	+1%		+1.0
4570	Pressurised Internals	0.67	+1%	-10%
4571	Copper Dynamo	0.47	+1%	-7%
4572	Enhanced Shells	0.67	+1%		+1.0
4573	Reinforced Barrel	0.47	+1%	-7%
4574	Pressurised Dynamo	0.67	+1%		+1.0
4575	Reinforced Barrel	0.4	+1%	-6%
4576	Pressurised Heat Pump	0.8	+1%	-7%	+1.0
4577	Pressurised Barrel	0.4	+1%	-6%
4578	Enhanced Shells	0.4	+1%	-6%
4579	Gold-Plated Shells	0.6	+1%	-9%
4580	Copper Shells	0.47	+1%	-7%
4581	Gold-Plated Compression Unit	0.67	+1%	-10%
4582	Reinforced Muzzle	0.67	+1%		+1.0
4583	Reinforced Internals	0.73	+1%	-6%	+1.0
4584	Copper Shells	0.67	+1%		+1.0
4585	Enhanced Heat Pump	0.67	+1%		+1.0
4586	Pressurised Heat Pump	0.67	+1%		+1.0
4587	Enhanced Internals	0.67	+1%		+1.0
4588	Pressurised Launch System	0.67	+1%		+1.0
4589	Gold-Plated Muzzle	0.53	+1%	-8%
4590	Pressurised Muzzle	0.67	+1%		+1.0
