sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ReloadTime,Weapon_Projectile_ClipSize
21833,Atomic Resonator,0.037,,+2%,-2%,
21834,Flow Excitor,0.333,,,-2%,+12.0
21835,Atomic Accelerator,0.037,+1%,+2%,,
21836,Atomic Battery,0.375,,,-3%,+12.0
21837,Overloaded Energiser,0.185,+1%,+6%,,
21838,Waveform Capture Cell,0.333,+1%,,,+12.0
21839,Waveform Excitor,0.407,,+3%,,+12.0
21840,Flow Amplifier,0.481,,+5%,-2%,+12.0
21841,Surge Capture Cell,0.296,+1%,+9%,,
21842,Flow Excitor,0.167,+1%,,-6%,
21843,Surge Resonator,0.593,,+8%,,+12.0
21844,Atomic Injector,0.375,,,-3%,+12.0
21845,Atomic Energiser,0.0,+1%,,-2%,
21846,Waveform Energiser,0.148,,+5%,-2%,
21847,Surge Energiser,0.037,+1%,+2%,,
21848,Flow Amplifier,0.222,+1%,+7%,,
21849,Atomic Solidifier,0.407,,+3%,,+12.0
21850,Overloaded Battery,0.366,,+3%,-9%,
21851,Surge Accelerator,0.333,,,-2%,+12.0
21852,Atomic Excitor,0.333,+1%,,,+12.0
21853,Overloaded Accelerator,0.0,+1%,,-2%,
21854,Surge Resonator,0.458,,,-5%,+12.0
21855,Atomic Resonator,0.074,+1%,+3%,-2%,
21856,Overloaded Excitor,0.0,+1%,,-2%,
21857,Surge Capture Cell,0.37,,+2%,,+12.0
21858,Flow Amplifier,0.333,,,-2%,+12.0
21859,Atomic Accelerator,0.333,+1%,,,+12.0
21860,Waveform Projector,0.037,+1%,+2%,,
21861,Overloaded Resonator,0.333,+1%,,,+12.0
21862,Surge Accelerator,0.037,,+2%,-2%,
21863,Overloaded Accelerator,0.333,+1%,,,+12.0
21864,Waveform Solidifier,0.333,+1%,,,+12.0
21865,Atomic Solidifier,0.0,+1%,,-2%,
21866,Waveform Projector,0.481,,+5%,,+12.0
21867,Flow Projector,0.333,,,-2%,+12.0
21868,Atomic Excitor,0.333,+1%,,,+12.0
21869,Atomic Accelerator,0.333,,,-2%,+12.0
21870,Surge Capture Cell,0.333,+1%,,,+12.0
21871,Atomic Solidifier,0.0,+1%,,-2%,
21872,Waveform Battery,0.185,,+6%,-2%,
21873,Overloaded Injector,0.185,+1%,+6%,,
21874,Flow Accelerator,0.037,,+2%,-2%,
21875,Overloaded Energiser,0.333,+1%,,,+12.0
21876,Overloaded Capture Cell,0.333,+1%,,,+12.0
21877,Atomic Amplifier,0.0,+1%,,-2%,
21878,Flow Accelerator,0.37,,+2%,-2%,+12.0
21879,Overloaded Amplifier,0.37,,+2%,,+12.0
21880,Surge Injector,0.037,+1%,+2%,-2%,
21881,Surge Solidifier,0.037,+1%,+2%,,
21882,Overloaded Projector,0.333,,,-2%,+12.0
21883,Flow Amplifier,0.037,+1%,+2%,,
21884,Flow Amplifier,0.037,,+2%,-2%,
21885,Waveform Capture Cell,0.079,,+2%,-3%,
21886,Waveform Amplifier,0.333,+1%,,,+12.0
21887,Waveform Projector,0.185,+1%,+6%,,
21888,Waveform Capture Cell,0.37,,+2%,,+12.0
21889,Waveform Energiser,0.208,+1%,,-7%,
21890,Waveform Excitor,0.37,,+2%,,+12.0
21891,Overloaded Resonator,0.111,,+4%,-2%,
21892,Overloaded Injector,0.333,+1%,,,+12.0
21893,Waveform Accelerator,0.333,+1%,,,+12.0
21894,Surge Solidifier,0.116,+1%,+3%,-3%,
21895,Waveform Injector,0.333,+1%,,-2%,+12.0
21896,Waveform Capture Cell,0.407,,+3%,-2%,+12.0
21897,Overloaded Solidifier,0.333,,,-2%,+12.0
21898,Waveform Accelerator,0.333,+1%,,,+12.0
21899,Overloaded Injector,0.037,+1%,+2%,,
21900,Waveform Energiser,0.37,,+2%,,+12.0
21901,Flow Capture Cell,0.333,,,-2%,+12.0
21902,Overloaded Resonator,0.417,,,-4%,+12.0
21903,Surge Excitor,0.037,+1%,+2%,,
21904,Overloaded Capture Cell,0.481,+1%,+5%,,+12.0
21905,Flow Energiser,0.333,+1%,,,+12.0
21906,Overloaded Accelerator,0.222,,+7%,-2%,
21907,Waveform Resonator,0.333,+1%,,,+12.0
21908,Flow Accelerator,0.407,,+3%,,+12.0
21909,Waveform Solidifier,0.37,,+2%,,+12.0
21910,Surge Solidifier,0.074,,+3%,-2%,
21911,Atomic Solidifier,0.537,,+2%,-6%,+12.0
21912,Atomic Energiser,0.556,,+7%,,+12.0
21913,Surge Excitor,0.0,+1%,+1%,,
21914,Waveform Amplifier,0.037,+1%,+2%,,
21915,Atomic Accelerator,0.333,+1%,,,+12.0
21916,Atomic Excitor,0.333,+1%,,,+12.0
21917,Surge Excitor,0.333,,,-2%,+12.0
21918,Overloaded Battery,0.625,,,-9%,+12.0
21919,Flow Accelerator,0.37,,+2%,,+12.0
21920,Surge Solidifier,0.037,+1%,+2%,-2%,
21921,Surge Accelerator,0.333,+1%,,,+12.0
21922,Flow Battery,0.037,+1%,+2%,,
21923,Atomic Battery,0.333,+1%,,,+12.0
21924,Flow Excitor,0.333,+1%,,,+12.0
21925,Surge Solidifier,0.407,,+3%,-2%,+12.0
21926,Overloaded Injector,0.185,+1%,+6%,,
21927,Surge Solidifier,0.037,,+2%,-2%,
21928,Overloaded Battery,0.167,+1%,,-6%,
21929,Waveform Accelerator,0.037,,+2%,-2%,
21930,Atomic Projector,0.25,+1%,,-8%,
21931,Surge Resonator,0.333,+1%,,,+12.0
21932,Waveform Solidifier,0.0,+1%,,-2%,
21933,Flow Amplifier,0.037,+1%,+2%,,
21934,Atomic Projector,0.074,+1%,+3%,-2%,
21935,Atomic Amplifier,0.037,+1%,+2%,,
21936,Atomic Energiser,0.333,+1%,,,+12.0
21937,Atomic Capture Cell,0.417,,,-4%,+12.0
21938,Waveform Resonator,0.333,+1%,,,+12.0
21939,Atomic Excitor,0.079,,+2%,-3%,
21940,Waveform Solidifier,0.333,+1%,,,+12.0
21941,Surge Energiser,0.037,,+2%,-2%,
21942,Flow Projector,0.333,+1%,,,+12.0
21943,Atomic Injector,0.407,,+3%,,+12.0
21944,Overloaded Excitor,0.37,,+2%,-2%,+12.0
21945,Waveform Projector,0.037,+1%,+2%,,
21946,Waveform Accelerator,0.194,,+4%,-4%,
21947,Surge Excitor,0.042,+1%,,-3%,
21948,Atomic Injector,0.037,,+2%,-2%,
21949,Atomic Energiser,0.185,+1%,+6%,,
21950,Flow Amplifier,0.245,,+2%,-7%,
21951,Overloaded Excitor,0.333,,,-2%,+12.0
21952,Surge Solidifier,0.162,,+2%,-5%,
21953,Overloaded Excitor,0.37,,+2%,,+12.0
21954,Surge Battery,0.074,,+3%,-2%,
21955,Surge Excitor,0.259,,+8%,-2%,
21956,Surge Projector,0.333,+1%,,,+12.0
21957,Flow Projector,0.0,+1%,+1%,-2%,
21958,Atomic Solidifier,0.5,,,-6%,+12.0
21959,Atomic Resonator,0.667,+2%,,,+12.0
21960,Atomic Accelerator,0.0,+1%,,-2%,
21961,Flow Amplifier,0.333,,,-2%,+12.0
21962,Atomic Resonator,0.333,,,-2%,+12.0
21963,Waveform Energiser,0.37,,+2%,,+12.0
21964,Overloaded Energiser,0.333,+1%,,,+12.0
21965,Overloaded Injector,0.417,+1%,,-4%,+12.0
21966,Overloaded Amplifier,0.333,+1%,,,+12.0
21967,Waveform Capture Cell,0.074,+1%,+3%,,
21968,Overloaded Accelerator,0.037,+1%,+2%,,
21969,Atomic Solidifier,0.407,+1%,+3%,,+12.0
21970,Waveform Excitor,0.0,+1%,,-2%,
21971,Surge Battery,0.417,,,-4%,+12.0
21972,Atomic Battery,0.333,,+1%,,+12.0
21973,Waveform Injector,0.0,+1%,,-2%,
21974,Flow Capture Cell,0.333,,,-2%,+12.0
21975,Overloaded Battery,0.37,,+2%,,+12.0
21976,Flow Amplifier,0.333,+1%,,,+12.0
21977,Waveform Amplifier,0.329,,+2%,-9%,
21978,Waveform Capture Cell,0.37,,+2%,,+12.0
21979,Surge Capture Cell,0.037,,+2%,-2%,
21980,Atomic Capture Cell,0.074,+1%,+3%,,
21981,Surge Resonator,0.037,,+2%,-2%,
21982,Surge Amplifier,0.116,,+3%,-3%,
21983,Surge Resonator,0.407,,+3%,,+12.0
21984,Flow Amplifier,0.0,+1%,,-2%,
21985,Overloaded Injector,0.333,+1%,,,+12.0
21986,Surge Energiser,0.079,,+2%,-3%,
21987,Waveform Energiser,0.333,,,-2%,+12.0
21988,Flow Projector,0.37,,+2%,,+12.0
21989,Overloaded Amplifier,0.0,+1%,,-2%,
21990,Flow Solidifier,0.62,,+2%,-8%,+12.0
21991,Overloaded Excitor,0.245,+1%,+2%,-7%,
21992,Flow Energiser,0.259,+1%,+8%,-2%,
21993,Waveform Excitor,0.333,+1%,,,+12.0
21994,Flow Solidifier,0.333,+1%,,,+12.0
21995,Atomic Resonator,0.625,,,-9%,+12.0
21996,Overloaded Solidifier,0.333,,,-2%,+12.0
21997,Waveform Injector,0.0,+1%,,-2%,
21998,Atomic Accelerator,0.0,+1%,,-2%,
21999,Atomic Amplifier,0.037,+1%,+2%,,
22000,Overloaded Excitor,0.0,+1%,,-2%,
22001,Flow Energiser,0.407,+1%,+3%,,+12.0
22002,Atomic Projector,0.333,,+1%,,+12.0
22003,Waveform Capture Cell,0.37,,+2%,,+12.0
22004,Waveform Injector,0.333,+1%,,,+12.0
22005,Waveform Energiser,0.333,,,-2%,+12.0
22006,Surge Injector,0.162,+1%,+2%,-5%,
22007,Overloaded Excitor,0.37,,+2%,,+12.0
22008,Atomic Capture Cell,0.37,+1%,+2%,,+12.0
22009,Surge Capture Cell,0.074,,+3%,-2%,
22010,Waveform Injector,0.148,+1%,+5%,,
22011,Atomic Injector,0.0,+1%,,-2%,
22012,Atomic Accelerator,0.0,+1%,,-2%,
22013,Overloaded Excitor,0.593,,+8%,,+12.0
22014,Flow Injector,0.375,,,-3%,+12.0
22015,Overloaded Resonator,0.042,+1%,,-3%,
22016,Atomic Battery,0.63,,+9%,,+12.0
22017,Surge Excitor,0.116,,+3%,-3%,
22018,Surge Solidifier,0.37,,+2%,,+12.0
22019,Overloaded Energiser,0.083,+1%,,-4%,
22020,Overloaded Projector,0.597,,+7%,-3%,+12.0
22021,Atomic Resonator,0.37,,+2%,,+12.0
22022,Atomic Projector,0.481,,+5%,,+12.0
22023,Surge Projector,0.407,+1%,+3%,,+12.0
22024,Atomic Resonator,0.037,+1%,+2%,-2%,
22025,Flow Energiser,0.495,,+2%,-5%,+12.0
22026,Flow Injector,0.407,,+3%,,+12.0
22027,Waveform Battery,0.333,+1%,,-2%,+12.0
22028,Waveform Excitor,0.148,,+5%,-2%,
22029,Surge Injector,0.333,,,-2%,+12.0
22030,Flow Projector,0.37,,+2%,,+12.0
22031,Waveform Battery,0.042,+1%,,-3%,
22032,Flow Amplifier,0.333,+2%,,-2%,
22033,Overloaded Battery,0.333,,,-2%,+12.0
22034,Surge Injector,0.037,+1%,+2%,,
22035,Waveform Capture Cell,0.264,,+7%,-3%,
22036,Surge Battery,0.333,,+1%,,+12.0
22037,Flow Capture Cell,0.111,+1%,+4%,,
22038,Overloaded Excitor,0.083,+1%,,-4%,
22039,Waveform Capture Cell,0.556,,+7%,,+12.0
22040,Flow Amplifier,0.037,+1%,+2%,,
22041,Surge Accelerator,0.37,,+2%,,+12.0
22042,Overloaded Accelerator,0.333,+1%,,,+12.0
22043,Overloaded Resonator,0.37,,+2%,-2%,+12.0
22044,Waveform Excitor,0.333,+1%,,,+12.0
22045,Overloaded Projector,0.037,,+2%,-2%,
22046,Overloaded Resonator,0.037,+1%,+2%,,
22047,Atomic Excitor,0.037,,+2%,-2%,
22048,Flow Solidifier,0.407,,+3%,,+12.0
22049,Atomic Excitor,0.079,,+2%,-3%,
22050,Atomic Projector,0.333,+1%,,,+12.0
22051,Waveform Resonator,0.407,,+3%,,+12.0
22052,Overloaded Projector,0.333,+1%,+10%,,
22053,Atomic Capture Cell,0.111,,+4%,-2%,
22054,Surge Resonator,0.042,+1%,,-3%,
22055,Surge Amplifier,0.37,,+2%,,+12.0
22056,Overloaded Battery,0.185,+1%,+6%,-2%,
22057,Waveform Battery,0.074,+1%,+3%,,
22058,Overloaded Projector,0.37,+1%,+2%,,+12.0
22059,Waveform Accelerator,0.333,,,-2%,+12.0
22060,Atomic Capture Cell,0.333,+1%,,,+12.0
22061,Atomic Projector,0.0,+1%,,-2%,
22062,Atomic Capture Cell,0.375,,,-3%,+12.0
22063,Surge Energiser,0.37,,+2%,-10%,
22064,Atomic Amplifier,0.333,+1%,,-2%,+12.0
22065,Flow Amplifier,0.111,+1%,+4%,,
22066,Overloaded Battery,0.042,+1%,,-3%,
22067,Overloaded Energiser,0.37,,+2%,,+12.0
22068,Surge Solidifier,0.333,,,-2%,+12.0
22069,Flow Energiser,0.0,+1%,,-2%,
22070,Flow Injector,0.333,+1%,,,+12.0
22071,Overloaded Resonator,0.444,,+4%,,+12.0
22072,Flow Battery,0.0,+1%,,-2%,
22073,Surge Projector,0.417,,,-4%,+12.0
22074,Flow Excitor,0.037,,+2%,-2%,
22075,Atomic Battery,0.042,+1%,,-3%,
22076,Flow Excitor,0.037,+1%,+2%,,
22077,Waveform Energiser,0.37,+1%,+2%,,+12.0
22078,Flow Solidifier,0.245,,+2%,-7%,
22079,Flow Excitor,0.0,+1%,,-2%,
22080,Flow Resonator,0.593,,+8%,-2%,+12.0
22081,Atomic Amplifier,0.667,,+10%,,+12.0
22082,Overloaded Energiser,0.333,,,-2%,+12.0
22083,Overloaded Battery,0.333,,,-2%,+12.0
22084,Waveform Solidifier,0.333,+1%,,,+12.0
22085,Overloaded Projector,0.111,+1%,+4%,,
22086,Atomic Battery,0.333,+1%,,,+12.0
22087,Waveform Projector,0.0,+1%,,-2%,
22088,Flow Accelerator,0.444,+1%,+4%,,+12.0
22089,Waveform Battery,0.333,+1%,,,+12.0
22090,Overloaded Accelerator,0.042,+1%,,-3%,
22091,Overloaded Capture Cell,0.037,,+2%,-2%,
22092,Surge Battery,0.333,+1%,,,+12.0
22093,Waveform Injector,0.0,+1%,,-2%,
22094,Atomic Battery,0.0,+1%,,-2%,
22095,Atomic Accelerator,0.0,+1%,+1%,,
22096,Overloaded Capture Cell,0.37,+1%,+2%,,+12.0
22097,Atomic Capture Cell,0.0,+1%,,-2%,
22098,Flow Capture Cell,0.37,,+2%,,+12.0
22099,Atomic Accelerator,0.37,,+2%,,+12.0
22100,Waveform Projector,0.083,+1%,,-4%,
22101,Waveform Capture Cell,0.333,+1%,,,+12.0
22102,Atomic Accelerator,0.296,,+9%,-2%,
22103,Surge Amplifier,0.375,+1%,,-3%,+12.0
22104,Atomic Solidifier,0.37,+1%,+2%,,+12.0
22105,Surge Injector,0.444,+1%,+4%,,+12.0
22106,Surge Capture Cell,0.042,+1%,,-3%,
22107,Flow Capture Cell,0.0,+1%,,-2%,
22108,Overloaded Amplifier,0.407,,+3%,,+12.0
22109,Overloaded Resonator,0.333,+1%,,,+12.0
22110,Waveform Energiser,0.037,+1%,+2%,,
22111,Flow Amplifier,0.125,+1%,,-5%,
22112,Flow Projector,0.333,,,-2%,+12.0
22113,Waveform Injector,0.481,+1%,+5%,,+12.0
22114,Surge Accelerator,0.037,+1%,+2%,,
22115,Waveform Excitor,0.333,+1%,,,+12.0
22116,Overloaded Injector,0.0,+1%,,-2%,
22117,Flow Accelerator,0.37,,+2%,,+12.0
22118,Surge Battery,0.333,+1%,,,+12.0
22119,Surge Solidifier,0.519,+1%,+6%,,+12.0
22120,Waveform Accelerator,0.444,,+4%,,+12.0
22121,Overloaded Battery,0.074,,+3%,-2%,
22122,Flow Injector,0.37,,+2%,,+12.0
22123,Atomic Resonator,0.593,+1%,+8%,,+12.0
22124,Flow Injector,0.037,+1%,+2%,-2%,
22125,Surge Capture Cell,0.037,,+2%,-2%,
22126,Atomic Capture Cell,0.333,+1%,,,+12.0
22127,Flow Amplifier,0.37,,+2%,,+12.0
22128,Surge Capture Cell,0.593,,+8%,-2%,+12.0
22129,Flow Capture Cell,0.333,+1%,,,+12.0
22130,Surge Amplifier,0.375,,,-3%,+12.0
22131,Surge Accelerator,0.375,,,-3%,+12.0
22132,Waveform Solidifier,0.333,+1%,,,+12.0
22133,Flow Excitor,0.667,,,-10%,+12.0
22134,Flow Projector,0.593,,+8%,,+12.0
22135,Waveform Energiser,0.37,,+2%,,+12.0
22136,Overloaded Accelerator,0.333,+1%,,,+12.0
22137,Atomic Injector,0.5,+1%,,-6%,+12.0
22138,Overloaded Excitor,0.037,+1%,+2%,,
22139,Waveform Capture Cell,0.333,,,-2%,+12.0
22140,Overloaded Accelerator,0.37,,+2%,,+12.0
22141,Flow Capture Cell,0.333,+1%,,,+12.0
22142,Overloaded Solidifier,0.556,,+7%,,+12.0
22143,Surge Resonator,0.333,+1%,,-2%,+12.0
22144,Surge Battery,0.458,+1%,,-5%,+12.0
22145,Atomic Injector,0.37,,+2%,,+12.0
22146,Surge Injector,0.333,+1%,,,+12.0
22147,Flow Energiser,0.037,,+2%,-2%,
22148,Atomic Solidifier,0.0,+1%,,-2%,
22149,Surge Injector,0.5,,+10%,-6%,
22150,Surge Resonator,0.333,+1%,,,+12.0
22151,Overloaded Injector,0.111,+1%,+4%,,
22152,Overloaded Accelerator,0.037,+1%,+2%,,
22153,Waveform Injector,0.037,,+2%,-2%,
22154,Surge Excitor,0.63,,+9%,,+12.0
22155,Atomic Energiser,0.556,,+7%,,+12.0
22156,Overloaded Capture Cell,0.074,,+3%,-2%,
22157,Atomic Excitor,0.037,+1%,+2%,,
22158,Atomic Injector,0.333,+1%,,,+12.0
22159,Overloaded Injector,0.444,,+4%,-2%,+12.0
22160,Overloaded Projector,0.333,+1%,,,+12.0
22161,Surge Injector,0.333,,,-2%,+12.0
22162,Surge Capture Cell,0.259,+1%,+8%,-2%,
22163,Waveform Solidifier,0.074,,+3%,-2%,
22164,Overloaded Accelerator,0.417,,,-4%,+12.0
22165,Surge Amplifier,0.583,,,-8%,+12.0
22166,Surge Resonator,0.0,+1%,,-2%,
22167,Surge Projector,0.37,+1%,+2%,,+12.0
22168,Atomic Accelerator,0.0,+1%,,-2%,
22169,Waveform Resonator,0.0,+1%,,-2%,
22170,Surge Amplifier,0.37,,+2%,,+12.0
22171,Overloaded Resonator,0.542,,,-7%,+12.0
22172,Overloaded Accelerator,0.0,+1%,,-2%,
22173,Surge Battery,0.375,,,-3%,+12.0
22174,Overloaded Projector,0.375,,,-3%,+12.0
22175,Waveform Accelerator,0.37,,+2%,,+12.0
22176,Overloaded Excitor,0.0,+1%,,-2%,
22177,Surge Resonator,0.37,,+2%,,+12.0
22178,Surge Energiser,0.667,,+10%,,+12.0
22179,Waveform Projector,0.037,+1%,+2%,,
22180,Flow Solidifier,0.222,+1%,+7%,,
22181,Surge Injector,0.593,,+8%,,+12.0
22182,Atomic Projector,0.37,+1%,+2%,,+12.0
22183,Overloaded Projector,0.37,,+2%,,+12.0
22184,Overloaded Battery,0.037,+1%,+2%,,
22185,Atomic Amplifier,0.042,+1%,,-3%,
22186,Atomic Capture Cell,0.333,+1%,,-2%,+12.0
22187,Atomic Energiser,0.333,,,-2%,+12.0
22188,Flow Resonator,0.333,+1%,,,+12.0
22189,Waveform Projector,0.148,+1%,+5%,,
22190,Overloaded Energiser,0.148,+1%,+5%,,
22191,Surge Injector,0.37,,+2%,,+12.0
22192,Surge Capture Cell,0.037,+1%,+2%,,
22193,Surge Energiser,0.481,,+5%,,+12.0
22194,Surge Accelerator,0.375,,,-3%,+12.0
22195,Atomic Injector,0.333,+1%,,,+12.0
22196,Overloaded Amplifier,0.333,,,-2%,+12.0
22197,Overloaded Projector,0.333,+1%,,,+12.0
22198,Surge Energiser,0.583,,,-8%,+12.0
22199,Surge Battery,0.333,+1%,,,+12.0
22200,Waveform Excitor,0.083,+1%,,-4%,
22201,Surge Accelerator,0.407,+1%,+3%,,+12.0
22202,Surge Battery,0.37,,+2%,,+12.0
22203,Atomic Battery,0.245,+1%,+2%,-7%,
22204,Overloaded Injector,0.333,+1%,,-2%,+12.0
22205,Atomic Accelerator,0.333,,,-2%,+12.0
22206,Waveform Accelerator,0.037,+1%,+2%,,
22207,Overloaded Solidifier,0.375,,,-3%,+12.0
22208,Flow Energiser,0.0,+1%,+1%,,
22209,Flow Projector,0.222,,+7%,-2%,
22210,Atomic Solidifier,0.167,+1%,,-6%,
22211,Overloaded Resonator,0.0,+1%,,-2%,
22212,Surge Projector,0.0,+1%,,-2%,
22213,Overloaded Excitor,0.63,,+9%,,+12.0
22214,Overloaded Energiser,0.444,,+4%,-2%,+12.0
22215,Flow Capture Cell,0.333,+1%,,,+12.0
22216,Surge Energiser,0.407,,+3%,,+12.0
22217,Atomic Solidifier,0.111,+1%,+4%,,
22218,Surge Projector,0.0,+1%,,-2%,
22219,Surge Capture Cell,0.12,,+2%,-4%,
22220,Waveform Resonator,0.245,+1%,+2%,-7%,
22221,Flow Battery,0.333,+1%,,,+12.0
22222,Surge Resonator,0.148,+1%,+5%,,
22223,Surge Solidifier,0.0,+1%,,-2%,
22224,Atomic Solidifier,0.333,,,-2%,+12.0
22225,Atomic Resonator,0.037,,+2%,-2%,
22226,Waveform Injector,0.333,,,-2%,+12.0
22227,Atomic Capture Cell,0.037,+1%,+2%,,
22228,Overloaded Amplifier,0.556,+1%,+7%,,+12.0
22229,Waveform Projector,0.458,,,-5%,+12.0
22230,Flow Accelerator,0.37,,+2%,,+12.0
22231,Flow Excitor,0.625,+1%,,-9%,+12.0
22232,Surge Amplifier,0.333,+1%,,,+12.0
22233,Surge Battery,0.37,,+2%,,+12.0
22234,Surge Battery,0.37,,+2%,,+12.0
22235,Overloaded Injector,0.037,,+2%,-2%,
22236,Surge Injector,0.042,,+1%,-3%,
22237,Atomic Solidifier,0.333,+1%,,,+12.0
22238,Overloaded Capture Cell,0.333,+1%,+1%,,+12.0
22239,Flow Projector,0.037,,+2%,-2%,
22240,Flow Injector,0.111,+1%,+4%,,
22241,Flow Accelerator,0.333,,,-2%,+12.0
22242,Surge Amplifier,0.333,,,-2%,+12.0
22243,Overloaded Capture Cell,0.333,+1%,,-2%,+12.0
22244,Surge Excitor,0.037,,+2%,-2%,
22245,Waveform Accelerator,0.037,+1%,+2%,,
22246,Atomic Resonator,0.333,+1%,,-2%,+12.0
22247,Flow Solidifier,0.074,+1%,+3%,,
22248,Surge Excitor,0.37,,+2%,,+12.0
22249,Waveform Injector,0.0,+1%,,-2%,
22250,Surge Excitor,0.111,+1%,+4%,,
22251,Surge Projector,0.0,+1%,,-2%,
22252,Atomic Projector,0.407,,+3%,,+12.0
22253,Flow Solidifier,0.037,+1%,+2%,,
22254,Flow Solidifier,0.148,,+5%,-2%,
22255,Overloaded Injector,0.333,+1%,,,+12.0
22256,Waveform Energiser,0.333,+1%,,-2%,+12.0
22257,Atomic Resonator,0.037,,+2%,-2%,
22258,Surge Amplifier,0.333,+1%,,,+12.0
22259,Flow Energiser,0.556,+1%,+7%,,+12.0
22260,Flow Solidifier,0.37,,+2%,,+12.0
22261,Waveform Accelerator,0.222,+1%,+7%,,
22262,Surge Excitor,0.472,,+7%,-8%,
22263,Flow Capture Cell,0.333,+1%,,,+12.0
22264,Waveform Solidifier,0.074,,+3%,-2%,
22265,Atomic Resonator,0.333,+1%,,,+12.0
22266,Overloaded Resonator,0.074,+1%,+3%,-2%,
22267,Surge Capture Cell,0.37,,+2%,,+12.0
22268,Overloaded Capture Cell,0.333,+1%,,,+12.0
22269,Waveform Projector,0.37,,+2%,,+12.0
22270,Atomic Resonator,0.333,+1%,,,+12.0
22271,Surge Resonator,0.0,+1%,,-2%,
22272,Waveform Resonator,0.741,,+3%,-10%,+12.0
22273,Atomic Energiser,0.333,,,-2%,+12.0
22274,Flow Excitor,0.333,+1%,,,+12.0
22275,Flow Projector,0.0,+1%,+1%,,
22276,Waveform Capture Cell,0.333,,,-2%,+12.0
22277,Waveform Resonator,0.167,+1%,,-6%,
22278,Surge Battery,0.333,+1%,,,+12.0
22279,Waveform Resonator,0.37,,+2%,,+12.0
22280,Waveform Solidifier,0.037,,+2%,-2%,
22281,Overloaded Resonator,0.0,+1%,+1%,,
22282,Overloaded Accelerator,0.333,+1%,,-2%,+12.0
22283,Overloaded Amplifier,0.333,,,-2%,+12.0
22284,Overloaded Battery,0.0,+1%,,-2%,
22285,Flow Battery,0.542,,,-7%,+12.0
22286,Overloaded Excitor,0.12,,+2%,-4%,
22287,Flow Energiser,0.5,,,-6%,+12.0
22288,Overloaded Excitor,0.407,,+3%,,+12.0
22289,Flow Energiser,0.037,,+2%,-2%,
22290,Surge Battery,0.037,+1%,+2%,-2%,
22291,Surge Excitor,0.741,,+3%,-10%,+12.0
22292,Atomic Solidifier,0.375,,,-3%,+12.0
22293,Flow Excitor,0.042,+1%,,-3%,
22294,Waveform Battery,0.037,+1%,+2%,,
22295,Waveform Resonator,0.074,,+3%,-2%,
22296,Atomic Accelerator,0.148,,+5%,-2%,
22297,Overloaded Amplifier,0.037,+1%,+2%,-2%,
22298,Overloaded Projector,0.417,,,-4%,+12.0
22299,Flow Capture Cell,0.37,+1%,+2%,,+12.0
22300,Waveform Energiser,0.037,,+2%,-2%,
22301,Waveform Capture Cell,0.407,+1%,+3%,,+12.0
22302,Atomic Battery,0.37,,+2%,,+12.0
22303,Overloaded Battery,0.542,,,-7%,+12.0
22304,Waveform Battery,0.0,+1%,,-2%,
22305,Atomic Amplifier,0.227,,+6%,-3%,
22306,Overloaded Injector,0.037,,+2%,-2%,
22307,Flow Projector,0.333,+1%,,,+12.0
22308,Atomic Solidifier,0.037,+1%,+2%,,
22309,Waveform Capture Cell,0.37,,+2%,,+12.0
22310,Waveform Battery,0.333,,,-2%,+12.0
22311,Surge Resonator,0.333,+1%,,-2%,+12.0
22312,Waveform Accelerator,0.333,+1%,+10%,,
22313,Atomic Injector,0.37,+1%,+2%,,+12.0
22314,Waveform Energiser,0.0,+1%,,-2%,
22315,Atomic Battery,0.333,,,-2%,+12.0
22316,Overloaded Accelerator,0.5,,,-6%,+12.0
22317,Surge Excitor,0.333,+1%,,,+12.0
22318,Waveform Projector,0.593,,+8%,,+12.0
22319,Atomic Resonator,0.148,,+5%,-2%,
22320,Waveform Accelerator,0.333,+1%,,,+12.0
22321,Atomic Battery,0.042,+1%,,-3%,
22322,Overloaded Accelerator,0.333,+1%,,-2%,+12.0
22323,Overloaded Accelerator,0.037,,+2%,-2%,
22324,Waveform Injector,0.37,,+2%,-2%,+12.0
22325,Waveform Battery,0.037,,+2%,-2%,
22326,Overloaded Projector,0.333,,,-2%,+12.0
22327,Waveform Amplifier,0.37,,+2%,,+12.0
22328,Flow Projector,0.542,,,-7%,+12.0
22329,Atomic Energiser,0.333,+1%,,,+12.0
22330,Flow Amplifier,0.37,,+2%,,+12.0
22331,Atomic Amplifier,0.0,+1%,,-2%,
22332,Flow Excitor,0.185,+1%,+6%,-2%,
22333,Overloaded Excitor,0.333,,,-2%,+12.0
22334,Flow Projector,0.0,+1%,,-2%,
22335,Overloaded Energiser,0.074,,+3%,-2%,
22336,Atomic Amplifier,0.333,,,-2%,+12.0
22337,Surge Battery,0.0,+1%,,-2%,
22338,Atomic Energiser,0.333,,,-2%,+12.0
22339,Surge Projector,0.074,+1%,+3%,,
22340,Overloaded Amplifier,0.042,+1%,,-3%,
22341,Overloaded Solidifier,0.125,+1%,,-5%,
22342,Flow Energiser,0.37,,+2%,,+12.0
22343,Flow Battery,0.37,,+2%,,+12.0
22344,Waveform Accelerator,0.185,,+6%,-2%,
22345,Flow Injector,0.407,,+3%,,+12.0
22346,Surge Solidifier,0.259,+1%,+8%,,
