Seed	Name	Perfection	Weapon_Scan_Radius	Weapon_Scan_Discovery_Creature	Weapon_Scan_Discovery_Flora
21937	Precision Probe	0.057		+1,114%	
21938	Overclocked Scope	0.118			+1,236%
21939	Precision Siphon	0.037		+1,073%	
21940	Overclocked Detector	0.154			+1,307%
21941	Low-Heat Prediction Unit	0.366		+1,732%	
21942	Analog Sweep Ray	0.107			+1,214%
21943	Precision Processor	0.198			+1,395%
21944	Waveform Siphon	0.545		+1,294%	+1,795%
21945	Overclocked Sweep Ray	0.1	+6%		
21946	Overclocked Computer	0.008		+1,016%	
21947	Low-Heat Siphon	0.4	+9%		
21948	Precision Processor	0.25		+1,500%	
21949	Precision Prediction Unit	0.1	+6%		
21950	Analog Analysis Unit	0.253		+1,506%	
21951	Waveform Siphon	0.185		+1,370%	
21952	Low-Heat Detector	0.056		+1,111%	
21953	Waveform Siphon	0.176			+1,352%
21954	Low-Heat Visualiser	0.256		+1,511%	
21955	Low-Heat Siphon	0.364		+1,727%	
21956	Low-Heat Sweep Ray	0.4	+9%		
21957	Analog Sweep Ray	0.56	+10%	+1,120%	
21958	Precision Detector	0.319		+1,638%	
21959	Precision Scope	0.383		+1,765%	
21960	Precision Computer	0.013		+1,025%	
21961	Analog Analysis Unit	0.112			+1,223%
21962	Precision Scope	0.05		+1,099%	
21963	Overclocked Prediction Unit	0.017			+1,033%
21964	Waveform Prediction Unit	0.2	+7%		
21965	Waveform Processor	0.118	+6%		+1,035%
21966	Waveform Analysis Unit	0.115			+1,229%
21967	Overclocked Probe	0.2	+7%		
21968	Waveform Computer	0.2	+7%		
21969	Precision Detector	0.2	+7%		
21970	Overclocked Siphon	0.5	+10%		
21971	Low-Heat Visualiser	0.182			+1,364%
21972	Precision Visualiser	0.34			+1,680%
21973	Overclocked Processor	0.02			+1,039%
21974	Analog Probe	0.08		+1,160%	
21975	Waveform Visualiser	0.278			+1,555%
21976	Analog Analysis Unit	0.092			+1,184%
21977	Overclocked Analysis Unit	0.033		+1,065%	
21978	Overclocked Probe	0.001			+1,002%
21979	Low-Heat Probe	0.0		+1,000%	
21980	Precision Probe	0.4	+9%		
21981	Low-Heat Scope	0.043		+1,086%	
21982	Low-Heat Analysis Unit	0.201		+1,402%	
21983	Low-Heat Scope	0.126			+1,252%
21984	Analog Analysis Unit	0.019		+1,038%	
21985	Waveform Processor	0.1	+6%		
21986	Low-Heat Prediction Unit	0.259		+1,517%	
21987	Overclocked Prediction Unit	0.055		+1,109%	
21988	Analog Sweep Ray	0.416		+1,831%	
21989	Waveform Analysis Unit	0.012			+1,024%
21990	Analog Detector	0.177			+1,354%
21991	Waveform Siphon	0.636	+8%	+1,672%	
21992	Analog Prediction Unit	0.993	+10%	+1,986%	
21993	Overclocked Siphon	0.1	+6%		
21994	Analog Detector	0.1	+6%		
21995	Precision Scope	0.423			+1,846%
21996	Waveform Detector	0.032		+1,064%	
21997	Overclocked Processor	0.1	+6%		
21998	Precision Computer	0.117		+1,233%	
21999	Precision Analysis Unit	0.5	+10%		
22000	Waveform Siphon	0.038		+1,075%	
22001	Analog Prediction Unit	0.28			+1,559%
22002	Precision Sweep Ray	0.106			+1,211%
22003	Overclocked Probe	0.063			+1,125%
22004	Overclocked Processor	0.339			+1,678%
22005	Overclocked Prediction Unit	0.409			+1,817%
22006	Low-Heat Processor	0.1	+6%		
22007	Waveform Siphon	0.006		+1,011%	
22008	Precision Probe	0.133	+6%		+1,066%
22009	Low-Heat Probe	0.001		+1,001%	
22010	Overclocked Processor	0.4	+9%		
22011	Precision Processor	0.1	+6%		
22012	Precision Computer	0.193			+1,386%
22013	Waveform Siphon	0.251			+1,501%
22014	Analog Processor	0.013		+1,025%	
22015	Waveform Scope	0.1	+6%		
22016	Precision Visualiser	0.173			+1,346%
22017	Low-Heat Siphon	0.37		+1,739%	
22018	Low-Heat Detector	0.452			+1,903%
22019	Waveform Prediction Unit	0.1	+6%		
22020	Waveform Sweep Ray	0.257		+1,029%	+1,484%
22021	Precision Scope	0.409			+1,818%
22022	Precision Sweep Ray	0.008			+1,015%
22023	Low-Heat Sweep Ray	0.2	+7%		
22024	Precision Scope	0.485	+9%	+1,170%	
22025	Analog Prediction Unit	0.653		+1,330%	+1,975%
22026	Analog Processor	0.013			+1,026%
22027	Overclocked Visualiser	0.424	+9%		+1,048%
22028	Overclocked Siphon	0.025		+1,049%	
22029	Low-Heat Processor	0.0			+1,000%
22030	Analog Sweep Ray	0.33			+1,659%
22031	Overclocked Visualiser	0.344			+1,687%
22032	Analog Analysis Unit	0.1	+6%		
22033	Waveform Visualiser	0.004			+1,007%
22034	Low-Heat Processor	0.5	+10%		
22035	Overclocked Probe	0.259		+1,518%	
22036	Low-Heat Visualiser	0.048			+1,096%
22037	Analog Probe	0.3	+8%		
22038	Waveform Siphon	0.217		+1,433%	
22039	Overclocked Probe	0.013			+1,025%
22040	Analog Analysis Unit	0.5	+10%		
22041	Low-Heat Computer	0.447			+1,893%
22042	Waveform Computer	0.1	+6%		
22043	Waveform Scope	0.553		+1,136%	+1,968%
22044	Overclocked Siphon	0.4	+9%		
22045	Waveform Sweep Ray	0.249		+1,498%	
22046	Waveform Scope	0.5	+10%		
22047	Precision Siphon	0.128		+1,256%	
22048	Analog Detector	0.376			+1,752%
22049	Precision Siphon	0.042		+1,084%	
22050	Precision Sweep Ray	0.3	+8%		
22051	Overclocked Scope	0.041		+1,081%	
22052	Waveform Sweep Ray	0.1	+6%		
22053	Precision Probe	0.364		+1,728%	
22054	Low-Heat Scope	0.054		+1,107%	
22055	Low-Heat Analysis Unit	0.0			+1,000%
22056	Waveform Visualiser	0.866	+10%	+1,732%	
22057	Overclocked Visualiser	0.1	+6%		
22058	Waveform Sweep Ray	0.214			+1,428%
22059	Overclocked Computer	0.298			+1,596%
22060	Precision Probe	0.3	+8%		
22061	Precision Sweep Ray	0.088			+1,176%
22062	Precision Probe	0.139			+1,278%
22063	Low-Heat Prediction Unit	0.217		+1,433%	
22064	Precision Analysis Unit	0.042		+1,083%	
22065	Analog Analysis Unit	0.1	+6%		
22066	Waveform Visualiser	0.002		+1,003%	
22067	Waveform Prediction Unit	0.151		+1,301%	
22068	Low-Heat Detector	0.152		+1,304%	
22069	Analog Prediction Unit	0.227		+1,453%	
22070	Analog Processor	0.052		+1,103%	
22071	Waveform Scope	0.061			+1,122%
22072	Analog Visualiser	0.162			+1,324%
22073	Low-Heat Sweep Ray	0.081			+1,162%
22074	Analog Siphon	0.394		+1,788%	
22075	Precision Visualiser	0.1	+6%		
22076	Analog Siphon	0.5	+10%		
22077	Overclocked Prediction Unit	0.3	+8%		
22078	Analog Detector	0.063		+1,126%	
22079	Analog Siphon	0.074			+1,147%
22080	Analog Scope	0.369		+1,534%	+1,203%
22081	Precision Analysis Unit	0.424			+1,847%
22082	Waveform Prediction Unit	0.065			+1,129%
22083	Waveform Visualiser	0.008			+1,015%
22084	Overclocked Detector	0.402			+1,803%
22085	Waveform Sweep Ray	0.1	+6%		
22086	Precision Visualiser	0.003			+1,006%
22087	Overclocked Sweep Ray	0.4	+9%		
22088	Analog Computer	0.018		+1,035%	
22089	Overclocked Visualiser	0.001		+1,001%	
22090	Waveform Computer	0.1	+6%		
22091	Waveform Probe	0.378		+1,756%	
22092	Low-Heat Visualiser	0.3	+8%		
22093	Overclocked Processor	0.467			+1,933%
22094	Precision Visualiser	0.031		+1,061%	
22095	Precision Computer	0.1	+6%		
22096	Waveform Probe	0.223	+7%	+1,045%	
22097	Precision Probe	0.1	+6%		
22098	Analog Probe	0.305			+1,609%
22099	Precision Computer	0.262		+1,524%	
22100	Overclocked Sweep Ray	0.3	+8%		
22101	Overclocked Probe	0.1	+6%		
22102	Precision Computer	0.106		+1,212%	
22103	Low-Heat Analysis Unit	0.28	+7%		+1,159%
22104	Precision Detector	0.236	+6%	+1,271%	
22105	Low-Heat Processor	0.351	+6%		+1,502%
22106	Low-Heat Probe	0.242			+1,484%
22107	Analog Probe	0.1	+6%		
22108	Waveform Analysis Unit	0.01			+1,020%
22109	Waveform Scope	0.4	+9%		
22110	Overclocked Prediction Unit	0.1	+6%		
22111	Analog Analysis Unit	0.5	+10%		
22112	Analog Sweep Ray	0.016			+1,031%
22113	Overclocked Processor	0.418	+9%		+1,036%
22114	Low-Heat Computer	0.1	+6%		
22115	Overclocked Siphon	0.165		+1,329%	
22116	Waveform Processor	0.1	+6%		
22117	Analog Computer	0.006			+1,011%
22118	Low-Heat Visualiser	0.2	+7%		
22119	Low-Heat Detector	0.3	+8%		
22120	Overclocked Computer	0.015		+1,029%	
22121	Waveform Visualiser	0.072		+1,143%	
22122	Analog Processor	0.327			+1,654%
22123	Precision Scope	0.513	+6%	+1,826%	
22124	Analog Processor	0.411	+6%	+1,622%	
22125	Low-Heat Probe	0.071		+1,141%	
22126	Precision Probe	0.1	+6%		
22127	Analog Analysis Unit	0.371		+1,742%	
22128	Low-Heat Probe	0.358		+1,467%	+1,249%
22129	Analog Probe	0.3	+8%		
22130	Low-Heat Analysis Unit	0.099		+1,198%	
22131	Low-Heat Computer	0.061		+1,121%	
22132	Overclocked Detector	0.3	+8%		
22133	Analog Siphon	0.066		+1,131%	
22134	Analog Sweep Ray	0.003			+1,005%
22135	Overclocked Prediction Unit	0.085			+1,170%
22136	Waveform Computer	0.452			+1,904%
22137	Precision Processor	0.107	+6%		+1,013%
22138	Waveform Siphon	0.3	+8%		
22139	Overclocked Probe	0.007		+1,013%	
22140	Waveform Computer	0.169		+1,338%	
22141	Analog Probe	0.1	+6%		
22142	Waveform Detector	0.414			+1,828%
22143	Low-Heat Scope	0.596	+6%		+1,991%
22144	Low-Heat Visualiser	0.1	+6%		+1,000%
22145	Precision Processor	0.485			+1,970%
22146	Low-Heat Processor	0.002			+1,003%
22147	Analog Prediction Unit	0.015		+1,029%	
22148	Precision Detector	0.063		+1,125%	
22149	Low-Heat Processor	0.312		+1,624%	
22150	Low-Heat Scope	0.4	+9%		
22151	Waveform Processor	0.1	+6%		
22152	Waveform Computer	0.4	+9%		
22153	Overclocked Processor	0.028		+1,055%	
22154	Low-Heat Siphon	0.436			+1,871%
22155	Precision Prediction Unit	0.005			+1,010%
22156	Waveform Probe	0.059		+1,118%	
22157	Precision Siphon	0.2	+7%		
22158	Precision Processor	0.012			+1,023%
22159	Waveform Processor	0.035			+1,070%
22160	Waveform Sweep Ray	0.045			+1,089%
22161	Low-Heat Processor	0.386		+1,771%	
22162	Low-Heat Probe	0.5	+10%	+1,000%	
22163	Overclocked Detector	0.05		+1,099%	
22164	Waveform Computer	0.468		+1,936%	
22165	Low-Heat Analysis Unit	0.283		+1,566%	
22166	Low-Heat Scope	0.078		+1,155%	
22167	Low-Heat Sweep Ray	0.33	+8%		+1,059%
22168	Precision Computer	0.1	+6%		
22169	Overclocked Scope	0.412		+1,823%	
22170	Low-Heat Analysis Unit	0.285			+1,570%
22171	Waveform Scope	0.274			+1,547%
22172	Waveform Computer	0.2	+7%		
22173	Low-Heat Visualiser	0.013		+1,025%	
22174	Waveform Sweep Ray	0.143		+1,286%	
22175	Overclocked Computer	0.14			+1,279%
22176	Waveform Siphon	0.121		+1,242%	
22177	Low-Heat Scope	0.131			+1,261%
22178	Low-Heat Prediction Unit	0.033			+1,066%
22179	Overclocked Sweep Ray	0.1	+6%		
22180	Analog Detector	0.5	+10%		
22181	Low-Heat Processor	0.393			+1,785%
22182	Precision Sweep Ray	0.01			+1,019%
22183	Waveform Sweep Ray	0.334			+1,667%
22184	Waveform Visualiser	0.1	+6%		
22185	Precision Analysis Unit	0.305		+1,610%	
22186	Precision Probe	0.526	+8%		+1,452%
22187	Precision Prediction Unit	0.295		+1,590%	
22188	Analog Scope	0.2	+7%		
22189	Overclocked Sweep Ray	0.4	+9%		
22190	Waveform Prediction Unit	0.3	+8%		
22191	Low-Heat Processor	0.109			+1,217%
22192	Low-Heat Probe	0.1	+6%		
22193	Low-Heat Prediction Unit	0.05			+1,099%
22194	Low-Heat Computer	0.169		+1,337%	
22195	Precision Processor	0.133		+1,266%	
22196	Waveform Analysis Unit	0.053			+1,106%
22197	Waveform Sweep Ray	0.1	+6%		
22198	Low-Heat Prediction Unit	0.198			+1,395%
22199	Low-Heat Visualiser	0.5	+10%		
22200	Overclocked Siphon	0.2	+7%		
22201	Low-Heat Computer	0.254	+7%		+1,107%
22202	Low-Heat Visualiser	0.01			+1,020%
22203	Precision Visualiser	0.527	+6%	+1,853%	
22204	Waveform Processor	0.488	+9%		+1,176%
22205	Precision Computer	0.039		+1,078%	
22206	Overclocked Computer	0.1	+6%		
22207	Waveform Detector	0.191		+1,381%	
22208	Analog Prediction Unit	0.5	+10%		
22209	Analog Sweep Ray	0.195		+1,389%	
22210	Precision Detector	0.344			+1,688%
22211	Waveform Scope	0.106			+1,211%
22212	Low-Heat Sweep Ray	0.034			+1,068%
22213	Waveform Siphon	0.08		+1,159%	
22214	Waveform Prediction Unit	0.147			+1,293%
22215	Analog Probe	0.1	+6%		
22216	Low-Heat Prediction Unit	0.125			+1,250%
22217	Precision Detector	0.2	+7%		
22218	Low-Heat Sweep Ray	0.057		+1,114%	
22219	Low-Heat Probe	0.028		+1,056%	
22220	Overclocked Scope	0.397	+8%	+1,194%	
22221	Analog Visualiser	0.014			+1,028%
22222	Low-Heat Scope	0.1	+6%		
22223	Low-Heat Detector	0.1	+6%		
22224	Precision Detector	0.058			+1,116%
22225	Precision Scope	0.174		+1,347%	
22226	Overclocked Processor	0.37			+1,740%
22227	Precision Probe	0.2	+7%		
22228	Waveform Analysis Unit	0.154			+1,307%
22229	Overclocked Sweep Ray	0.277			+1,553%
22230	Analog Computer	0.06			+1,120%
22231	Analog Siphon	0.286	+7%		+1,172%
22232	Low-Heat Analysis Unit	0.3	+8%		
22233	Low-Heat Visualiser	0.005			+1,010%
22234	Low-Heat Visualiser	0.04		+1,079%	
22235	Waveform Processor	0.004		+1,008%	
22236	Low-Heat Processor	0.066		+1,132%	
22237	Precision Detector	0.15			+1,299%
22238	Waveform Probe	0.122	+6%		+1,043%
22239	Analog Sweep Ray	0.005		+1,010%	
22240	Analog Processor	0.1	+6%		
22241	Analog Computer	0.037			+1,073%
22242	Low-Heat Analysis Unit	0.403		+1,806%	
22243	Waveform Probe	0.68	+8%		+1,760%
22244	Low-Heat Siphon	0.302		+1,604%	
22245	Overclocked Computer	0.1	+6%		
22246	Precision Scope	0.246	+6%		+1,292%
22247	Analog Detector	0.1	+6%		
22248	Low-Heat Siphon	0.358			+1,715%
22249	Overclocked Processor	0.3	+8%		
22250	Low-Heat Siphon	0.1	+6%		
22251	Low-Heat Sweep Ray	0.1	+6%		
22252	Precision Sweep Ray	0.061			+1,122%
22253	Analog Detector	0.5	+10%		
22254	Analog Detector	0.043		+1,086%	
22255	Waveform Processor	0.1	+6%		
22256	Overclocked Prediction Unit	0.152		+1,100%	+1,204%
22257	Precision Scope	0.209		+1,417%	
22258	Low-Heat Analysis Unit	0.2	+7%		
22259	Analog Prediction Unit	0.101		+1,201%	
22260	Analog Detector	0.003			+1,006%
22261	Overclocked Computer	0.2	+7%		
22262	Low-Heat Siphon	0.354		+1,707%	
22263	Analog Probe	0.33			+1,659%
22264	Overclocked Detector	0.027		+1,053%	
22265	Precision Scope	0.1	+6%		
22266	Waveform Scope	0.33	+6%	+1,460%	
22267	Low-Heat Probe	0.026			+1,052%
22268	Waveform Probe	0.1	+6%		
22269	Overclocked Sweep Ray	0.037		+1,073%	
22270	Precision Scope	0.251			+1,501%
22271	Low-Heat Scope	0.003		+1,005%	
22272	Overclocked Scope	0.287		+1,112%	+1,462%
22273	Precision Prediction Unit	0.096		+1,192%	
22274	Analog Siphon	0.076			+1,151%
22275	Analog Sweep Ray	0.2	+7%		
22276	Overclocked Probe	0.275		+1,549%	
22277	Overclocked Scope	0.1	+6%		
22278	Low-Heat Visualiser	0.2			+1,399%
22279	Overclocked Scope	0.179		+1,357%	
22280	Overclocked Detector	0.402		+1,804%	
22281	Waveform Scope	0.1	+6%		
22282	Waveform Computer	0.349	+8%		+1,098%
22283	Waveform Analysis Unit	0.461			+1,922%
22284	Waveform Visualiser	0.1	+6%		
22285	Analog Visualiser	0.196		+1,391%	
22286	Waveform Siphon	0.001		+1,002%	
22287	Analog Prediction Unit	0.201		+1,402%	
22288	Waveform Siphon	0.368			+1,736%
22289	Analog Prediction Unit	0.006		+1,011%	
22290	Low-Heat Visualiser	0.14		+1,280%	
22291	Low-Heat Siphon	0.491		+1,982%	+1,000%
22292	Precision Detector	0.0		+1,000%	
22293	Analog Siphon	0.076			+1,152%
22294	Overclocked Visualiser	0.2	+7%		
22295	Overclocked Scope	0.04		+1,080%	
22296	Precision Computer	0.459		+1,917%	
22297	Waveform Analysis Unit	0.203	+7%	+1,006%	
22298	Waveform Sweep Ray	0.062			+1,123%
22299	Analog Probe	0.4	+9%		
22300	Overclocked Prediction Unit	0.245		+1,490%	
22301	Overclocked Probe	0.079			+1,157%
22302	Precision Visualiser	0.03			+1,060%
22303	Waveform Visualiser	0.095		+1,190%	
22304	Overclocked Visualiser	0.396		+1,791%	
22305	Precision Analysis Unit	0.183		+1,366%	
22306	Waveform Processor	0.002		+1,004%	
22307	Analog Sweep Ray	0.1	+6%		
22308	Precision Detector	0.2	+7%		
22309	Overclocked Probe	0.297			+1,594%
22310	Overclocked Visualiser	0.092		+1,184%	
22311	Low-Heat Scope	0.1	+6%		
22312	Overclocked Computer	0.1	+6%		
22313	Precision Processor	0.468	+9%		+1,135%
22314	Overclocked Prediction Unit	0.446			+1,892%
22315	Precision Visualiser	0.445		+1,889%	
22316	Waveform Computer	0.032		+1,064%	
22317	Low-Heat Siphon	0.2	+7%		
22318	Overclocked Sweep Ray	0.026			+1,052%
22319	Precision Scope	0.329		+1,657%	
22320	Overclocked Computer	0.147			+1,294%
22321	Precision Visualiser	0.1	+6%		
22322	Waveform Computer	0.1	+6%		+1,000%
22323	Waveform Computer	0.057		+1,113%	
22324	Overclocked Processor	0.142		+1,157%	+1,126%
22325	Overclocked Visualiser	0.291		+1,581%	
22326	Waveform Sweep Ray	0.177			+1,354%
22327	Overclocked Analysis Unit	0.272			+1,543%
22328	Analog Sweep Ray	0.138			+1,276%
22329	Precision Prediction Unit	0.001			+1,001%
22330	Analog Analysis Unit	0.441			+1,882%
22331	Precision Analysis Unit	0.3	+8%		
22332	Analog Siphon	0.413	+9%	+1,026%	
22333	Waveform Siphon	0.456			+1,911%
22334	Analog Sweep Ray	0.151		+1,302%	
22335	Waveform Prediction Unit	0.09		+1,179%	
22336	Precision Analysis Unit	0.009			+1,017%
22337	Low-Heat Visualiser	0.1	+6%		
22338	Precision Prediction Unit	0.075			+1,150%
22339	Low-Heat Sweep Ray	0.3	+8%		
22340	Waveform Analysis Unit	0.3	+8%		
22341	Waveform Detector	0.003		+1,005%	
22342	Analog Prediction Unit	0.446			+1,891%
22343	Analog Visualiser	0.109			+1,218%
22344	Overclocked Computer	0.307		+1,614%	
22345	Analog Processor	0.405			+1,809%
22346	Low-Heat Detector	0.1	+6%		
22347	Waveform Siphon	0.25		+1,499%	
22348	Precision Visualiser	0.251			+1,502%
22349	Overclocked Visualiser	0.286			+1,571%
22350	Waveform Probe	0.345		+1,690%	
22351	Low-Heat Processor	0.017		+1,017%	+1,016%
22352	Low-Heat Visualiser	0.022			+1,043%
22353	Low-Heat Processor	0.292			+1,584%
22354	Analog Probe	0.392			+1,783%
22355	Waveform Probe	0.076		+1,049%	+1,102%
22356	Waveform Sweep Ray	0.07			+1,139%
22357	Analog Analysis Unit	0.3	+8%		
22358	Precision Prediction Unit	0.103		+1,205%	
22359	Waveform Sweep Ray	0.2	+7%		
22360	Analog Processor	0.2	+7%		
22361	Precision Sweep Ray	0.0			+1,000%
22362	Waveform Prediction Unit	0.006		+1,012%	
22363	Analog Probe	0.01		+1,019%	
22364	Analog Sweep Ray	0.2	+7%		
22365	Overclocked Detector	0.54	+7%		+1,679%
22366	Analog Scope	0.1	+6%		
22367	Precision Detector	0.077			+1,153%
22368	Low-Heat Analysis Unit	0.195		+1,389%	
22369	Precision Scope	0.063			+1,125%
22370	Precision Detector	0.002		+1,003%	
22371	Analog Probe	0.377			+1,754%
22372	Precision Detector	0.1	+6%		
22373	Waveform Scope	0.358	+8%	+1,115%	
22374	Waveform Analysis Unit	0.5	+10%		
22375	Overclocked Computer	0.4	+9%		
22376	Precision Computer	0.418		+1,836%	
22377	Analog Scope	0.2	+7%		
22378	Analog Analysis Unit	0.003		+1,005%	
22379	Low-Heat Analysis Unit	0.3	+8%		
22380	Precision Scope	0.019			+1,037%
22381	Overclocked Sweep Ray	0.244		+1,487%	
22382	Waveform Probe	0.001			+1,001%
22383	Analog Computer	0.227			+1,453%
22384	Analog Probe	0.344			+1,687%
22385	Low-Heat Visualiser	0.322		+1,644%	
22386	Low-Heat Sweep Ray	0.002			+1,004%
22387	Low-Heat Scope	0.021			+1,041%
22388	Overclocked Scope	0.406			+1,812%
22389	Overclocked Analysis Unit	0.3	+8%		
22390	Waveform Probe	0.128		+1,255%	
22391	Analog Computer	0.438			+1,876%
22392	Overclocked Probe	0.065		+1,130%	
22393	Waveform Computer	0.228		+1,455%	
22394	Analog Computer	0.075		+1,119%	+1,031%
22395	Waveform Processor	0.136		+1,056%	+1,216%
22396	Precision Visualiser	0.499			+1,997%
22397	Overclocked Probe	0.186			+1,372%
22398	Waveform Probe	0.278		+1,556%	
22399	Low-Heat Sweep Ray	0.102	+6%		+1,003%
22400	Precision Detector	0.251			+1,501%
22401	Waveform Detector	0.176	+6%	+1,151%	
22402	Precision Computer	0.2	+7%		
22403	Waveform Prediction Unit	0.3	+8%		
22404	Low-Heat Siphon	0.1	+6%		
22405	Analog Analysis Unit	0.161		+1,322%	
22406	Low-Heat Prediction Unit	0.374	+8%		+1,147%
22407	Overclocked Prediction Unit	0.465			+1,929%
22408	Low-Heat Computer	0.1	+6%		
22409	Precision Scope	0.234			+1,468%
22410	Low-Heat Sweep Ray	0.352	+6%		+1,503%
22411	Precision Detector	0.1	+6%		
22412	Waveform Analysis Unit	0.11			+1,219%
22413	Waveform Probe	0.2	+7%		
22414	Waveform Sweep Ray	0.1	+6%		
22415	Low-Heat Visualiser	0.191			+1,382%
22416	Precision Processor	0.008			+1,016%
22417	Precision Processor	0.037		+1,073%	
22418	Low-Heat Visualiser	0.162			+1,323%
22419	Analog Probe	0.2	+7%		
22420	Waveform Prediction Unit	0.358		+1,716%	
22421	Overclocked Detector	0.385		+1,039%	+1,730%
22422	Waveform Siphon	0.148			+1,295%
22423	Analog Probe	0.38	+6%		+1,560%
22424	Waveform Sweep Ray	0.435			+1,870%
22425	Overclocked Processor	0.1	+6%		
22426	Overclocked Sweep Ray	0.399		+1,798%	
22427	Analog Detector	0.206			+1,412%
22428	Analog Detector	0.061			+1,122%
22429	Low-Heat Visualiser	0.114		+1,227%	
22430	Waveform Computer	0.027		+1,053%	
22431	Low-Heat Analysis Unit	0.222		+1,443%	
22432	Precision Prediction Unit	0.5	+10%		
22433	Overclocked Sweep Ray	0.352			+1,703%
22434	Precision Detector	0.467		+1,934%	
22435	Low-Heat Sweep Ray	0.1	+6%		
22436	Overclocked Siphon	0.057		+1,114%	
22437	Overclocked Visualiser	0.2	+7%		
22438	Precision Computer	0.1	+6%		
22439	Precision Prediction Unit	0.1	+6%		
22440	Precision Siphon	0.441			+1,882%
22441	Low-Heat Probe	0.1	+6%		
22442	Waveform Computer	0.041		+1,081%	
22443	Analog Siphon	0.015		+1,029%	
22444	Low-Heat Siphon	0.004			+1,007%
22445	Low-Heat Processor	0.5	+10%		
22446	Precision Visualiser	0.072			+1,143%
22447	Low-Heat Detector	0.007		+1,014%	
22448	Precision Computer	0.292			+1,583%
22449	Low-Heat Visualiser	0.0		+1,000%	
22450	Precision Siphon	0.4	+9%		
22451	Analog Prediction Unit	0.2	+7%		
22452	Waveform Computer	0.242			+1,483%
22453	Waveform Computer	0.265		+1,529%	
22454	Precision Detector	0.2	+7%		
22455	Precision Visualiser	0.4	+9%		
22456	Analog Processor	0.076		+1,151%	
22457	Precision Computer	0.351		+1,334%	+1,367%
22458	Overclocked Detector	0.1	+6%		
22459	Overclocked Scope	0.014			+1,028%
22460	Overclocked Computer	0.153		+1,305%	
22461	Low-Heat Detector	0.1	+6%		
22462	Waveform Analysis Unit	0.002			+1,003%
22463	Analog Processor	0.1	+6%		
22464	Overclocked Analysis Unit	0.057		+1,113%	
22465	Waveform Detector	0.237		+1,474%	
22466	Analog Sweep Ray	0.051			+1,102%
22467	Overclocked Visualiser	0.236		+1,471%	
22468	Precision Prediction Unit	0.378			+1,755%
22469	Overclocked Analysis Unit	0.406		+1,812%	
22470	Precision Visualiser	0.691	+9%	+1,582%	
22471	Overclocked Probe	0.17			+1,339%
22472	Overclocked Detector	0.0		+1,000%	
22473	Precision Processor	0.5	+10%		
22474	Low-Heat Visualiser	0.232		+1,464%	
22475	Waveform Probe	0.1	+6%		
22476	Overclocked Prediction Unit	0.5	+10%		
22477	Low-Heat Processor	0.1	+6%		
22478	Precision Analysis Unit	0.466			+1,931%
22479	Low-Heat Scope	0.304		+1,608%	
22480	Analog Prediction Unit	0.814		+1,868%	+1,758%
22481	Analog Analysis Unit	0.2	+7%		
22482	Low-Heat Probe	0.263			+1,525%
22483	Waveform Probe	0.339		+1,678%	
22484	Overclocked Sweep Ray	0.451		+1,902%	
22485	Overclocked Analysis Unit	0.34		+1,680%	
22486	Precision Visualiser	0.1	+6%		
22487	Low-Heat Prediction Unit	0.177			+1,354%
22488	Low-Heat Probe	0.287		+1,574%	
22489	Analog Visualiser	0.2	+7%		
22490	Precision Scope	0.1	+6%		
22491	Overclocked Computer	0.232			+1,464%
22492	Analog Visualiser	0.2	+7%		
22493	Waveform Probe	0.005			+1,009%
22494	Waveform Sweep Ray	0.339		+1,677%	
22495	Overclocked Analysis Unit	0.034			+1,067%
22496	Waveform Processor	0.3	+8%		
22497	Analog Processor	0.2	+7%		
22498	Precision Scope	0.686	+8%		+1,772%
22499	Low-Heat Prediction Unit	0.12			+1,240%
22500	Precision Prediction Unit	0.184		+1,367%	
22501	Waveform Siphon	0.152			+1,303%
22502	Precision Prediction Unit	0.5	+10%		
22503	Overclocked Siphon	0.012			+1,024%
22504	Low-Heat Probe	0.016			+1,032%
22505	Precision Visualiser	0.307	+8%		+1,013%
22506	Low-Heat Scope	0.2	+7%		
22507	Analog Scope	0.3	+8%		
22508	Analog Analysis Unit	0.01			+1,019%
22509	Overclocked Processor	0.435		+1,870%	
22510	Low-Heat Prediction Unit	0.2	+7%		
22511	Analog Detector	0.3	+8%		
22512	Waveform Scope	0.4	+9%		
22513	Analog Scope	0.444		+1,888%	
22514	Low-Heat Processor	0.228			+1,456%
22515	Analog Visualiser	0.023		+1,045%	
22516	Overclocked Analysis Unit	0.1	+6%		
22517	Waveform Processor	0.122	+6%	+1,043%	
22518	Waveform Siphon	0.396			+1,791%
22519	Low-Heat Visualiser	0.461		+1,921%	
22520	Overclocked Detector	0.039			+1,077%
22521	Precision Scope	0.242			+1,483%
22522	Precision Detector	0.276			+1,552%
22523	Waveform Siphon	0.072		+1,143%	
22524	Waveform Probe	0.269			+1,537%
22525	Overclocked Detector	0.02			+1,040%
22526	Waveform Sweep Ray	0.1	+6%		
22527	Overclocked Sweep Ray	0.719	+9%		+1,638%
22528	Overclocked Siphon	0.027			+1,053%
22529	Analog Siphon	0.1	+6%		
22530	Low-Heat Visualiser	0.316		+1,169%	+1,463%
22531	Precision Detector	0.1	+6%		
22532	Analog Processor	0.365			+1,730%
22533	Low-Heat Analysis Unit	0.403	+9%	+1,005%	
22534	Precision Siphon	0.2	+7%		
22535	Analog Computer	0.43		+1,859%	
