sep=,
Seed,Name,Perfection,Vehicle_GunDamage,Vehicle_GunRate
25602,Re-sealed Purifier Unit,0.5,,+2%
25603,Uncorroded Sonar Array,0.5,+2%,
25604,Re-sealed Lux Stabiliser,1.0,+3%,
25605,Reinforced Sonic Batteries,0.0,+1%,
25606,Reinforced Purifier Unit,0.0,+1%,
25607,Uncorroded Sonic Batteries,0.0,+1%,
25608,Reinforced Ion Coils,1.0,,+3%
25609,Reinforced Power Array,0.5,,+2%
25610,Reinforced Ion Coils,1.0,,+3%
25611,Reinforced Lux Stabiliser,0.0,+1%,
25612,Well-Made Sonar Array,0.5,+2%,
25613,Re-sealed Power Array,0.0,+1%,
25614,Efficient Lux Stabiliser,0.5,+2%,
25615,Efficient Lux Stabiliser,0.0,+1%,
25616,Efficient Power Array,0.0,+1%,
25617,Efficient Pressure Nozzle,1.0,,+3%
25618,Uncorroded Liquid Ignitors,0.0,+1%,
25619,Reinforced Lux Stabiliser,0.0,+1%,
25620,Efficient Hyperthermal Pump,0.0,+1%,
25621,Well-Made Purifier Unit,0.0,+1%,
25622,Efficient Pressure Nozzle,0.5,,+2%
25623,Reinforced Saline Beam,0.5,,+2%
25624,Uncorroded Ion Coils,0.0,,+1%
25625,Re-sealed Purifier Unit,1.0,,+3%
25626,Re-sealed Lux Stabiliser,0.5,+2%,
25627,Re-sealed Lux Stabiliser,0.5,,+2%
25628,Reinforced Sonar Array,0.0,+1%,
25629,Reinforced Power Array,0.5,+2%,
25630,Efficient Sonic Batteries,0.5,,+2%
25631,Efficient Sonar Array,0.5,,+2%
25632,Uncorroded Pressure Nozzle,0.5,+2%,
25633,Uncorroded Ion Coils,0.0,+1%,
25634,Re-sealed Liquid Ignitors,0.5,+2%,
25635,Uncorroded Ion Coils,1.0,+3%,
25636,Re-sealed Purifier Unit,0.5,+2%,
25637,Efficient Lux Stabiliser,0.5,,+2%
25638,Uncorroded Lux Stabiliser,0.5,+2%,
25639,Re-sealed Ion Coils,0.0,+1%,
25640,Uncorroded Hyperthermal Pump,1.0,,+3%
25641,Uncorroded Purifier Unit,0.5,+2%,
25642,Reinforced Power Array,0.5,,+2%
25643,Well-Made Lux Stabiliser,0.0,+1%,
25644,Uncorroded Sonic Batteries,0.5,+2%,
25645,Re-sealed Ion Coils,0.5,,+2%
25646,Efficient Hyperthermal Pump,0.0,+1%,
25647,Well-Made Ion Coils,0.0,+1%,
25648,Efficient Liquid Ignitors,1.0,,+3%
25649,Reinforced Lux Stabiliser,0.5,+2%,
25650,Reinforced Hyperthermal Pump,1.0,,+3%
25651,Re-sealed Lux Stabiliser,0.5,+2%,
25652,Efficient Ion Coils,0.0,+1%,
25653,Re-sealed Saline Beam,0.0,+1%,
25654,Efficient Lux Stabiliser,0.5,,+2%
25655,Re-sealed Lux Stabiliser,0.5,+2%,
25656,Uncorroded Power Array,0.5,,+2%
25657,Uncorroded Power Array,0.0,+1%,
25658,Well-Made Ion Coils,0.5,,+2%
25659,Reinforced Pressure Nozzle,0.5,+2%,
25660,Re-sealed Power Array,1.0,,+3%
25661,Uncorroded Lux Stabiliser,0.5,+2%,
25662,Reinforced Hyperthermal Pump,0.5,+2%,
25663,Re-sealed Purifier Unit,0.5,,+2%
25664,Uncorroded Ion Coils,0.5,,+2%
25665,Efficient Liquid Ignitors,0.5,,+2%
25666,Efficient Liquid Ignitors,0.5,+2%,
25667,Well-Made Hyperthermal Pump,0.0,+1%,
25668,Well-Made Ion Coils,1.0,,+3%
25669,Reinforced Power Array,0.5,+2%,
25670,Uncorroded Liquid Ignitors,0.5,,+2%
25671,Uncorroded Sonar Array,0.0,+1%,
25672,Uncorroded Ion Coils,0.5,,+2%
25673,Efficient Sonic Batteries,0.5,+2%,
25674,Uncorroded Sonar Array,0.5,+2%,
25675,Efficient Power Array,0.0,+1%,
25676,Re-sealed Sonic Batteries,0.0,,+1%
25677,Uncorroded Power Array,0.5,,+2%
25678,Re-sealed Lux Stabiliser,0.5,,+2%
25679,Reinforced Lux Stabiliser,1.0,,+3%
25680,Efficient Pressure Nozzle,0.5,,+2%
25681,Uncorroded Power Array,0.0,+1%,
25682,Uncorroded Sonic Batteries,0.5,,+2%
25683,Well-Made Saline Beam,0.5,,+2%
25684,Re-sealed Pressure Nozzle,0.5,,+2%
25685,Uncorroded Saline Beam,0.5,,+2%
25686,Efficient Power Array,0.0,+1%,
25687,Reinforced Ion Coils,0.5,,+2%
25688,Reinforced Pressure Nozzle,0.5,,+2%
25689,Efficient Lux Stabiliser,1.0,,+3%
25690,Well-Made Pressure Nozzle,0.5,,+2%
25691,Well-Made Sonar Array,0.5,,+2%
25692,Uncorroded Saline Beam,0.0,+1%,
25693,Uncorroded Power Array,0.0,+1%,
25694,Reinforced Power Array,0.0,+1%,
25695,Well-Made Purifier Unit,0.5,,+2%
25696,Re-sealed Purifier Unit,0.0,,+1%
25697,Efficient Ion Coils,0.0,+1%,
25698,Reinforced Saline Beam,0.5,,+2%
25699,Uncorroded Sonar Array,0.5,+2%,
25700,Reinforced Purifier Unit,1.0,,+3%
25701,Efficient Ion Coils,0.5,,+2%
25702,Efficient Power Array,0.0,+1%,
25703,Efficient Lux Stabiliser,0.5,,+2%
25704,Reinforced Saline Beam,0.5,,+2%
25705,Well-Made Sonar Array,0.0,+1%,
25706,Reinforced Sonic Batteries,0.5,,+2%
25707,Efficient Ion Coils,0.5,,+2%
25708,Reinforced Purifier Unit,0.0,+1%,
25709,Uncorroded Lux Stabiliser,0.5,,+2%
25710,Well-Made Purifier Unit,1.0,,+3%
25711,Well-Made Power Array,0.5,,+2%
25712,Reinforced Purifier Unit,0.0,+1%,
25713,Well-Made Hyperthermal Pump,0.5,,+2%
25714,Efficient Lux Stabiliser,0.5,,+2%
25715,Efficient Sonar Array,0.0,+1%,
25716,Well-Made Purifier Unit,0.0,+1%,
25717,Efficient Hyperthermal Pump,0.5,+2%,
25718,Reinforced Purifier Unit,0.5,,+2%
25719,Reinforced Lux Stabiliser,0.5,+2%,
25720,Well-Made Pressure Nozzle,0.5,,+2%
25721,Well-Made Hyperthermal Pump,0.5,,+2%
25722,Uncorroded Sonic Batteries,0.5,+2%,
25723,Efficient Saline Beam,0.5,,+2%
25724,Uncorroded Lux Stabiliser,0.5,,+2%
25725,Re-sealed Hyperthermal Pump,1.0,,+3%
25726,Well-Made Sonar Array,0.0,+1%,
25727,Uncorroded Purifier Unit,0.0,+1%,
25728,Reinforced Liquid Ignitors,0.5,,+2%
25729,Re-sealed Ion Coils,0.5,,+2%
25730,Re-sealed Purifier Unit,0.5,,+2%
25731,Uncorroded Liquid Ignitors,0.5,+2%,
25732,Re-sealed Pressure Nozzle,1.0,,+3%
25733,Efficient Purifier Unit,0.5,,+2%
25734,Re-sealed Purifier Unit,0.5,,+2%
25735,Uncorroded Sonar Array,1.0,,+3%
25736,Re-sealed Purifier Unit,0.0,+1%,
25737,Efficient Ion Coils,0.5,+2%,
25738,Efficient Hyperthermal Pump,0.5,,+2%
25739,Re-sealed Lux Stabiliser,1.0,,+3%
25740,Uncorroded Purifier Unit,0.5,+2%,
25741,Efficient Hyperthermal Pump,0.5,,+2%
25742,Reinforced Pressure Nozzle,0.5,,+2%
25743,Well-Made Pressure Nozzle,0.5,+2%,
25744,Uncorroded Ion Coils,0.5,,+2%
25745,Uncorroded Saline Beam,0.5,,+2%
25746,Re-sealed Ion Coils,0.5,,+2%
25747,Well-Made Lux Stabiliser,0.0,+1%,
25748,Uncorroded Sonar Array,0.0,+1%,
25749,Uncorroded Liquid Ignitors,0.5,+2%,
25750,Uncorroded Hyperthermal Pump,0.5,,+2%
25751,Efficient Liquid Ignitors,0.5,+2%,
25752,Efficient Pressure Nozzle,0.0,+1%,
25753,Re-sealed Pressure Nozzle,0.0,+1%,
25754,Uncorroded Saline Beam,0.5,,+2%
25755,Efficient Sonar Array,0.0,+1%,
25756,Well-Made Liquid Ignitors,0.0,+1%,
25757,Re-sealed Hyperthermal Pump,0.0,,+1%
25758,Well-Made Ion Coils,0.5,+2%,
25759,Reinforced Sonic Batteries,0.5,+2%,
25760,Reinforced Sonar Array,0.0,+1%,
25761,Well-Made Pressure Nozzle,0.5,,+2%
25762,Re-sealed Hyperthermal Pump,1.0,,+3%
25763,Uncorroded Ion Coils,0.5,,+2%
25764,Re-sealed Hyperthermal Pump,0.0,+1%,
25765,Well-Made Saline Beam,0.5,,+2%
25766,Uncorroded Purifier Unit,0.0,+1%,
25767,Reinforced Sonar Array,0.0,+1%,
25768,Efficient Sonic Batteries,0.5,,+2%
25769,Re-sealed Hyperthermal Pump,0.0,+1%,
25770,Re-sealed Sonic Batteries,1.0,,+3%
25771,Reinforced Sonar Array,0.0,+1%,
25772,Well-Made Ion Coils,0.5,+2%,
25773,Reinforced Liquid Ignitors,0.5,+2%,
25774,Re-sealed Hyperthermal Pump,0.5,,+2%
25775,Reinforced Sonar Array,0.5,,+2%
25776,Re-sealed Sonic Batteries,0.0,,+1%
25777,Well-Made Lux Stabiliser,0.0,+1%,
25778,Well-Made Purifier Unit,0.5,,+2%
25779,Re-sealed Pressure Nozzle,0.5,+2%,
25780,Efficient Liquid Ignitors,0.5,,+2%
25781,Re-sealed Purifier Unit,0.5,,+2%
25782,Efficient Hyperthermal Pump,0.0,+1%,
25783,Well-Made Power Array,0.5,+2%,
25784,Reinforced Power Array,0.0,+1%,
25785,Re-sealed Hyperthermal Pump,0.5,+2%,
25786,Uncorroded Sonar Array,0.0,,+1%
25787,Efficient Pressure Nozzle,0.0,+1%,
25788,Efficient Liquid Ignitors,1.0,,+3%
25789,Efficient Lux Stabiliser,0.5,,+2%
25790,Well-Made Sonar Array,0.5,,+2%
25791,Uncorroded Ion Coils,0.5,,+2%
25792,Reinforced Hyperthermal Pump,0.5,+2%,
25793,Efficient Sonic Batteries,0.0,,+1%
25794,Reinforced Power Array,0.5,,+2%
25795,Re-sealed Sonar Array,0.5,,+2%
25796,Efficient Sonar Array,0.0,+1%,
25797,Reinforced Sonic Batteries,1.0,,+3%
25798,Uncorroded Saline Beam,0.5,,+2%
25799,Uncorroded Hyperthermal Pump,0.5,,+2%
25800,Re-sealed Saline Beam,0.5,,+2%
25801,Re-sealed Liquid Ignitors,0.5,+2%,
25802,Efficient Liquid Ignitors,0.0,+1%,
25803,Efficient Liquid Ignitors,0.5,,+2%
25804,Well-Made Sonar Array,0.5,+2%,
25805,Uncorroded Power Array,0.5,,+2%
25806,Reinforced Saline Beam,0.5,,+2%
25807,Uncorroded Saline Beam,0.0,+1%,
25808,Efficient Sonic Batteries,0.0,+1%,
25809,Re-sealed Sonar Array,0.5,,+2%
25810,Reinforced Saline Beam,0.0,+1%,
25811,Efficient Pressure Nozzle,0.0,,+1%
25812,Reinforced Liquid Ignitors,0.5,,+2%
25813,Efficient Ion Coils,0.5,,+2%
25814,Efficient Lux Stabiliser,0.0,+1%,
25815,Uncorroded Pressure Nozzle,0.5,,+2%
25816,Re-sealed Power Array,0.5,,+2%
25817,Uncorroded Sonar Array,1.0,,+3%
25818,Uncorroded Sonic Batteries,0.0,+1%,
25819,Efficient Hyperthermal Pump,1.0,,+3%
25820,Well-Made Liquid Ignitors,0.5,+2%,
25821,Reinforced Hyperthermal Pump,0.0,+1%,
25822,Well-Made Power Array,0.5,,+2%
25823,Well-Made Sonic Batteries,0.5,,+2%
25824,Well-Made Purifier Unit,0.0,+1%,
25825,Uncorroded Hyperthermal Pump,0.0,+1%,
25826,Efficient Sonar Array,0.5,,+2%
25827,Re-sealed Liquid Ignitors,0.5,,+2%
25828,Re-sealed Pressure Nozzle,0.0,+1%,
25829,Efficient Ion Coils,0.0,+1%,
25830,Re-sealed Sonic Batteries,1.0,,+3%
25831,Efficient Power Array,0.0,+1%,
25832,Uncorroded Saline Beam,0.0,+1%,
25833,Well-Made Sonic Batteries,0.5,,+2%
25834,Uncorroded Lux Stabiliser,0.0,+1%,
25835,Reinforced Ion Coils,0.5,+2%,
25836,Efficient Liquid Ignitors,0.5,,+2%
25837,Well-Made Sonar Array,0.0,+1%,
25838,Efficient Hyperthermal Pump,0.5,+2%,
25839,Reinforced Pressure Nozzle,0.5,+2%,
25840,Re-sealed Power Array,0.5,,+2%
25841,Reinforced Hyperthermal Pump,0.0,+1%,
25842,Re-sealed Pressure Nozzle,0.5,+2%,
25843,Uncorroded Power Array,1.0,+3%,
25844,Uncorroded Ion Coils,0.0,+1%,
25845,Well-Made Sonic Batteries,0.5,+2%,
25846,Efficient Purifier Unit,1.0,,+3%
25847,Re-sealed Sonic Batteries,0.0,+1%,
25848,Well-Made Ion Coils,0.0,+1%,
25849,Efficient Hyperthermal Pump,0.0,+1%,
25850,Efficient Pressure Nozzle,0.0,+1%,
25851,Well-Made Saline Beam,0.5,,+2%
25852,Efficient Sonar Array,0.5,,+2%
25853,Reinforced Ion Coils,0.5,,+2%
25854,Efficient Sonic Batteries,0.0,,+1%
25855,Reinforced Sonic Batteries,0.5,,+2%
25856,Efficient Saline Beam,0.0,+1%,
25857,Reinforced Saline Beam,0.0,+1%,
25858,Reinforced Purifier Unit,0.5,+2%,
25859,Reinforced Power Array,0.0,+1%,
25860,Efficient Pressure Nozzle,1.0,,+3%
25861,Re-sealed Ion Coils,1.0,,+3%
25862,Uncorroded Ion Coils,0.0,+1%,
25863,Reinforced Purifier Unit,0.5,,+2%
25864,Re-sealed Ion Coils,0.5,,+2%
25865,Reinforced Purifier Unit,0.0,+1%,
25866,Uncorroded Ion Coils,0.5,+2%,
25867,Well-Made Pressure Nozzle,0.0,+1%,
25868,Uncorroded Hyperthermal Pump,0.0,+1%,
25869,Well-Made Power Array,0.5,,+2%
25870,Well-Made Lux Stabiliser,0.0,+1%,
25871,Re-sealed Sonic Batteries,0.0,+1%,
25872,Re-sealed Saline Beam,1.0,,+3%
25873,Efficient Sonar Array,1.0,,+3%
25874,Efficient Ion Coils,0.5,+2%,
25875,Well-Made Pressure Nozzle,0.5,+2%,
25876,Well-Made Sonar Array,0.5,,+2%
25877,Re-sealed Ion Coils,0.5,,+2%
25878,Efficient Pressure Nozzle,0.5,,+2%
25879,Efficient Power Array,0.5,,+2%
25880,Re-sealed Saline Beam,0.5,,+2%
25881,Efficient Sonar Array,0.5,,+2%
25882,Efficient Sonar Array,0.5,,+2%
25883,Reinforced Sonic Batteries,0.5,+2%,
25884,Well-Made Hyperthermal Pump,0.5,,+2%
25885,Efficient Lux Stabiliser,0.5,,+2%
25886,Well-Made Sonic Batteries,0.0,+1%,
25887,Reinforced Sonar Array,0.0,+1%,
25888,Reinforced Pressure Nozzle,0.5,,+2%
25889,Uncorroded Sonar Array,0.0,+1%,
25890,Reinforced Sonar Array,0.5,,+2%
25891,Re-sealed Hyperthermal Pump,0.5,,+2%
25892,Re-sealed Sonic Batteries,0.5,,+2%
25893,Reinforced Purifier Unit,0.0,,+1%
25894,Well-Made Lux Stabiliser,0.0,+1%,
25895,Uncorroded Saline Beam,0.0,,+1%
25896,Well-Made Lux Stabiliser,0.5,,+2%
25897,Well-Made Pressure Nozzle,0.5,+2%,
25898,Efficient Sonic Batteries,1.0,+3%,
25899,Well-Made Power Array,0.5,+2%,
25900,Well-Made Ion Coils,0.5,+2%,
25901,Uncorroded Ion Coils,0.5,+2%,
25902,Well-Made Pressure Nozzle,0.5,+2%,
25903,Reinforced Purifier Unit,0.0,+1%,
25904,Reinforced Sonar Array,0.5,,+2%
25905,Uncorroded Ion Coils,0.5,,+2%
25906,Re-sealed Ion Coils,0.5,+2%,
25907,Uncorroded Liquid Ignitors,0.0,+1%,
25908,Uncorroded Lux Stabiliser,0.0,,+1%
25909,Uncorroded Ion Coils,0.5,+2%,
25910,Re-sealed Saline Beam,0.5,,+2%
25911,Efficient Ion Coils,0.5,+2%,
25912,Reinforced Purifier Unit,0.5,,+2%
25913,Uncorroded Liquid Ignitors,0.0,+1%,
25914,Re-sealed Sonar Array,0.0,+1%,
25915,Efficient Sonar Array,0.5,,+2%
25916,Well-Made Saline Beam,0.5,+2%,
25917,Reinforced Sonic Batteries,0.5,,+2%
25918,Reinforced Lux Stabiliser,1.0,,+3%
25919,Re-sealed Pressure Nozzle,0.5,,+2%
25920,Reinforced Lux Stabiliser,1.0,+3%,
25921,Uncorroded Hyperthermal Pump,0.0,+1%,
25922,Reinforced Liquid Ignitors,0.5,,+2%
25923,Well-Made Liquid Ignitors,0.5,,+2%
25924,Reinforced Sonic Batteries,0.5,,+2%
25925,Reinforced Liquid Ignitors,0.5,,+2%
25926,Reinforced Sonic Batteries,0.5,,+2%
25927,Re-sealed Pressure Nozzle,0.0,+1%,
25928,Re-sealed Saline Beam,0.5,+2%,
25929,Uncorroded Ion Coils,0.5,,+2%
25930,Re-sealed Sonic Batteries,0.0,+1%,
25931,Efficient Sonic Batteries,0.5,+2%,
25932,Efficient Saline Beam,0.5,,+2%
25933,Reinforced Sonic Batteries,0.0,+1%,
25934,Efficient Pressure Nozzle,1.0,,+3%
25935,Efficient Hyperthermal Pump,0.5,,+2%
25936,Efficient Sonic Batteries,0.5,+2%,
25937,Reinforced Sonic Batteries,0.5,+2%,
25938,Re-sealed Pressure Nozzle,0.5,,+2%
25939,Re-sealed Saline Beam,0.5,,+2%
25940,Efficient Saline Beam,0.5,,+2%
25941,Reinforced Pressure Nozzle,0.5,,+2%
25942,Well-Made Saline Beam,0.5,,+2%
25943,Reinforced Power Array,0.5,,+2%
25944,Reinforced Saline Beam,0.5,,+2%
25945,Uncorroded Lux Stabiliser,0.5,,+2%
25946,Re-sealed Saline Beam,0.5,,+2%
25947,Well-Made Saline Beam,0.0,+1%,
25948,Well-Made Saline Beam,0.5,+2%,
25949,Well-Made Purifier Unit,0.5,+2%,
25950,Uncorroded Sonic Batteries,0.5,+2%,
25951,Re-sealed Pressure Nozzle,0.0,+1%,
25952,Re-sealed Saline Beam,0.5,,+2%
25953,Efficient Power Array,1.0,+3%,
25954,Uncorroded Hyperthermal Pump,0.0,+1%,
25955,Uncorroded Hyperthermal Pump,0.0,+1%,
25956,Uncorroded Power Array,0.5,+2%,
25957,Uncorroded Sonar Array,0.5,,+2%
25958,Uncorroded Sonic Batteries,0.0,+1%,
25959,Efficient Liquid Ignitors,0.0,+1%,
25960,Uncorroded Sonic Batteries,0.5,+2%,
25961,Efficient Hyperthermal Pump,0.5,+2%,
25962,Efficient Saline Beam,0.5,+2%,
25963,Uncorroded Liquid Ignitors,0.5,,+2%
25964,Uncorroded Ion Coils,0.0,+1%,
25965,Uncorroded Saline Beam,0.5,,+2%
25966,Reinforced Purifier Unit,0.5,,+2%
25967,Well-Made Hyperthermal Pump,0.5,,+2%
25968,Uncorroded Pressure Nozzle,0.5,,+2%
25969,Well-Made Hyperthermal Pump,0.0,+1%,
25970,Reinforced Lux Stabiliser,0.5,,+2%
25971,Well-Made Sonar Array,0.0,+1%,
25972,Well-Made Hyperthermal Pump,1.0,,+3%
25973,Well-Made Purifier Unit,0.5,,+2%
25974,Reinforced Power Array,1.0,,+3%
25975,Uncorroded Hyperthermal Pump,0.0,+1%,
25976,Reinforced Power Array,0.5,,+2%
25977,Uncorroded Saline Beam,0.0,+1%,
25978,Well-Made Power Array,0.5,,+2%
25979,Reinforced Saline Beam,0.0,+1%,
25980,Reinforced Sonic Batteries,0.5,,+2%
25981,Efficient Hyperthermal Pump,0.0,+1%,
25982,Re-sealed Ion Coils,0.0,+1%,
25983,Efficient Hyperthermal Pump,0.5,+2%,
25984,Well-Made Saline Beam,0.5,,+2%
25985,Uncorroded Purifier Unit,0.5,+2%,
25986,Reinforced Saline Beam,1.0,+3%,
25987,Uncorroded Saline Beam,1.0,,+3%
25988,Uncorroded Hyperthermal Pump,0.5,+2%,
25989,Uncorroded Sonic Batteries,0.0,+1%,
25990,Well-Made Ion Coils,0.0,+1%,
25991,Re-sealed Lux Stabiliser,0.0,+1%,
25992,Reinforced Ion Coils,0.5,,+2%
25993,Reinforced Purifier Unit,0.5,,+2%
25994,Uncorroded Sonar Array,0.5,+2%,
25995,Uncorroded Hyperthermal Pump,0.5,+2%,
25996,Well-Made Power Array,0.5,,+2%
25997,Uncorroded Sonic Batteries,0.5,+2%,
25998,Efficient Power Array,0.5,,+2%
25999,Reinforced Lux Stabiliser,0.5,,+2%
26000,Reinforced Sonar Array,0.5,,+2%
26001,Well-Made Lux Stabiliser,0.5,,+2%
26002,Uncorroded Liquid Ignitors,0.5,,+2%
26003,Well-Made Pressure Nozzle,0.0,+1%,
26004,Reinforced Hyperthermal Pump,0.0,+1%,
26005,Reinforced Power Array,0.0,+1%,
26006,Uncorroded Pressure Nozzle,0.0,+1%,
26007,Re-sealed Sonar Array,0.0,+1%,
26008,Uncorroded Pressure Nozzle,0.0,+1%,
26009,Well-Made Ion Coils,0.5,,+2%
26010,Reinforced Liquid Ignitors,0.5,+2%,
26011,Uncorroded Ion Coils,0.5,,+2%
26012,Well-Made Power Array,0.5,,+2%
26013,Uncorroded Liquid Ignitors,0.5,,+2%
26014,Re-sealed Pressure Nozzle,1.0,,+3%
26015,Uncorroded Pressure Nozzle,0.0,+1%,
26016,Re-sealed Purifier Unit,0.5,,+2%
26017,Re-sealed Hyperthermal Pump,0.0,+1%,
26018,Re-sealed Sonar Array,0.5,+2%,
26019,Re-sealed Sonic Batteries,0.5,+2%,
26020,Reinforced Liquid Ignitors,0.5,,+2%
26021,Re-sealed Lux Stabiliser,0.5,,+2%
26022,Efficient Pressure Nozzle,0.0,+1%,
26023,Reinforced Saline Beam,0.5,,+2%
26024,Efficient Hyperthermal Pump,0.0,+1%,
26025,Efficient Lux Stabiliser,0.5,,+2%
26026,Well-Made Purifier Unit,0.5,+2%,
26027,Well-Made Liquid Ignitors,0.5,,+2%
26028,Well-Made Sonar Array,0.0,+1%,
26029,Uncorroded Pressure Nozzle,0.5,,+2%
26030,Re-sealed Sonar Array,0.5,+2%,
26031,Efficient Hyperthermal Pump,0.0,,+1%
26032,Well-Made Hyperthermal Pump,0.5,+2%,
26033,Re-sealed Purifier Unit,0.0,,+1%
26034,Efficient Purifier Unit,0.5,,+2%
26035,Well-Made Lux Stabiliser,0.5,,+2%
26036,Efficient Ion Coils,0.0,+1%,
26037,Well-Made Purifier Unit,0.5,,+2%
26038,Uncorroded Sonar Array,1.0,,+3%
26039,Efficient Liquid Ignitors,0.0,+1%,
26040,Reinforced Hyperthermal Pump,0.5,,+2%
26041,Re-sealed Liquid Ignitors,0.5,,+2%
26042,Efficient Power Array,0.5,+2%,
26043,Re-sealed Ion Coils,0.0,+1%,
26044,Well-Made Sonic Batteries,0.0,+1%,
26045,Reinforced Sonar Array,0.0,+1%,
26046,Uncorroded Sonic Batteries,0.5,,+2%
26047,Well-Made Sonic Batteries,0.5,,+2%
26048,Uncorroded Pressure Nozzle,0.5,,+2%
26049,Efficient Pressure Nozzle,0.0,+1%,
26050,Uncorroded Purifier Unit,1.0,,+3%
26051,Reinforced Saline Beam,0.0,+1%,
26052,Reinforced Sonic Batteries,0.5,+2%,
26053,Reinforced Power Array,0.5,,+2%
26054,Well-Made Saline Beam,0.5,+2%,
26055,Well-Made Saline Beam,0.5,+2%,
26056,Well-Made Power Array,0.0,+1%,
26057,Well-Made Sonic Batteries,0.5,,+2%
26058,Reinforced Purifier Unit,0.0,+1%,
26059,Efficient Ion Coils,0.5,,+2%
26060,Uncorroded Hyperthermal Pump,0.5,+2%,
26061,Reinforced Saline Beam,1.0,+3%,
26062,Re-sealed Lux Stabiliser,0.5,,+2%
26063,Reinforced Pressure Nozzle,0.5,,+2%
26064,Efficient Ion Coils,0.5,,+2%
26065,Well-Made Liquid Ignitors,0.5,,+2%
26066,Efficient Lux Stabiliser,0.5,,+2%
26067,Reinforced Sonar Array,1.0,,+3%
26068,Well-Made Saline Beam,0.5,,+2%
26069,Reinforced Sonar Array,0.5,,+2%
26070,Efficient Ion Coils,0.5,,+2%
26071,Reinforced Liquid Ignitors,0.5,,+2%
26072,Reinforced Hyperthermal Pump,0.0,+1%,
26073,Re-sealed Pressure Nozzle,0.5,,+2%
26074,Well-Made Saline Beam,0.5,,+2%
26075,Efficient Lux Stabiliser,0.5,,+2%
26076,Re-sealed Power Array,0.0,+1%,
26077,Uncorroded Hyperthermal Pump,0.0,+1%,
26078,Reinforced Hyperthermal Pump,0.5,,+2%
26079,Efficient Sonar Array,0.0,+1%,
26080,Re-sealed Liquid Ignitors,0.5,,+2%
26081,Reinforced Purifier Unit,0.0,+1%,
26082,Efficient Hyperthermal Pump,0.5,+2%,
26083,Efficient Sonar Array,0.0,+1%,
26084,Uncorroded Liquid Ignitors,0.5,,+2%
26085,Efficient Purifier Unit,0.5,,+2%
26086,Uncorroded Lux Stabiliser,0.5,+2%,
26087,Efficient Hyperthermal Pump,0.0,+1%,
26088,Efficient Ion Coils,1.0,,+3%
26089,Reinforced Sonic Batteries,0.0,+1%,
26090,Reinforced Sonar Array,0.0,+1%,
26091,Reinforced Sonar Array,0.5,+2%,
26092,Efficient Sonic Batteries,0.5,+2%,
26093,Reinforced Saline Beam,0.0,+1%,
26094,Efficient Pressure Nozzle,0.5,+2%,
26095,Reinforced Purifier Unit,0.0,+1%,
26096,Uncorroded Lux Stabiliser,1.0,,+3%
26097,Efficient Ion Coils,0.0,+1%,
26098,Re-sealed Pressure Nozzle,0.5,+2%,
26099,Reinforced Purifier Unit,0.0,+1%,
26100,Efficient Pressure Nozzle,0.5,,+2%
26101,Well-Made Sonic Batteries,0.5,,+2%
26102,Efficient Hyperthermal Pump,0.0,+1%,
26103,Re-sealed Pressure Nozzle,0.5,,+2%
26104,Reinforced Sonar Array,0.5,+2%,
26105,Well-Made Ion Coils,0.5,+2%,
26106,Efficient Sonic Batteries,0.5,,+2%
26107,Re-sealed Lux Stabiliser,0.5,,+2%
26108,Re-sealed Sonic Batteries,0.5,,+2%
26109,Well-Made Liquid Ignitors,0.0,+1%,
26110,Reinforced Power Array,1.0,+3%,
26111,Reinforced Sonar Array,0.0,+1%,
26112,Uncorroded Liquid Ignitors,0.5,,+2%
26113,Efficient Sonar Array,0.5,+2%,
26114,Reinforced Ion Coils,0.5,+2%,
26115,Efficient Liquid Ignitors,0.5,,+2%
26116,Efficient Sonar Array,0.5,,+2%
26117,Reinforced Ion Coils,0.5,,+2%
26118,Efficient Sonic Batteries,0.5,+2%,
26119,Re-sealed Hyperthermal Pump,0.5,,+2%
26120,Re-sealed Hyperthermal Pump,0.5,,+2%
26121,Uncorroded Sonar Array,0.5,,+2%
26122,Reinforced Ion Coils,0.5,,+2%
26123,Well-Made Liquid Ignitors,1.0,,+3%
26124,Well-Made Power Array,0.0,+1%,
26125,Re-sealed Sonar Array,0.5,,+2%
26126,Uncorroded Power Array,0.0,+1%,
26127,Well-Made Sonar Array,0.0,+1%,
26128,Uncorroded Ion Coils,0.5,,+2%
26129,Re-sealed Ion Coils,1.0,,+3%
26130,Reinforced Purifier Unit,0.5,,+2%
26131,Efficient Purifier Unit,0.5,,+2%
26132,Efficient Purifier Unit,1.0,,+3%
26133,Uncorroded Pressure Nozzle,0.5,,+2%
26134,Efficient Lux Stabiliser,0.5,,+2%
26135,Reinforced Saline Beam,0.0,+1%,
26136,Uncorroded Purifier Unit,0.0,+1%,
26137,Reinforced Sonic Batteries,1.0,,+3%
26138,Uncorroded Saline Beam,0.5,,+2%
26139,Efficient Saline Beam,0.5,,+2%
26140,Uncorroded Ion Coils,0.5,+2%,
26141,Uncorroded Liquid Ignitors,0.0,+1%,
26142,Well-Made Lux Stabiliser,0.0,+1%,
26143,Reinforced Saline Beam,0.0,+1%,
26144,Reinforced Saline Beam,0.5,,+2%
26145,Well-Made Saline Beam,1.0,,+3%
26146,Re-sealed Sonar Array,0.5,+2%,
26147,Efficient Liquid Ignitors,0.0,+1%,
