sep=,
Seed,Name,Perfection,Vehicle_GunDamage,Vehicle_GunHeatTime,Vehicle_GunRate
2034,Reinforced Capacitors,0.375,,+4%,
2035,Copper Recycler,0.5,+2%,+3%,
2036,Backup Plating,0.25,,,+2%
2037,Copper Capacitors,0.25,+2%,,
2038,Additional Plating,0.25,,+3%,
2039,Copper Generator Unit,0.25,+1%,,+2%
2040,Reinforced Stabiliser,0.0,+1%,,
2041,Copper Mass Chamber,0.5,,,+3%
2042,Additional Mass Chamber,0.688,,+3%,+3%
2043,Backup Recycler,0.156,+1%,+2%,
2044,Additional Core,0.25,+2%,,
2045,Backup Plating,0.25,,,+2%
2046,Well-Made Capacitors,0.25,+2%,,
2047,Copper Recycler,0.25,+2%,,
2048,Well-Made Generator Unit,0.0,+1%,,
2049,Additional Mass Chamber,0.125,,+2%,
2050,Well-Made Generator Unit,0.75,+2%,,+3%
2051,Copper Magnets,0.25,,+3%,
2052,Well-Made Plating,0.344,+2%,+2%,
2053,Well-Made Generator Unit,0.5,,+5%,
2054,Backup Capacitors,0.25,,,+2%
2055,Copper Injectors,0.25,,+3%,
2056,Additional Generator Unit,0.5,+2%,,+2%
2057,Backup Generator Unit,0.375,,+4%,
2058,Reinforced Injectors,0.5,,,+3%
2059,Additional Stabiliser,0.344,+2%,+2%,
2060,Copper Core,0.25,,,+2%
2061,Copper Stabiliser,0.5,+2%,,+2%
2062,Well-Made Generator Unit,0.0,+1%,,
2063,Well-Made Recycler,0.344,,+2%,+2%
2064,Well-Made Capacitors,0.125,,+2%,
2065,Well-Made Generator Unit,0.5,+2%,,+2%
2066,Backup Magnets,0.5,+1%,,+3%
2067,Reinforced Core,0.25,,,+2%
2068,Backup Capacitors,0.375,,+4%,
2069,Well-Made Injectors,0.25,+2%,,
2070,Reinforced Stabiliser,0.25,+2%,,
2071,Reinforced Injectors,0.25,,,+2%
2072,Backup Mass Chamber,0.531,,+2%,+3%
2073,Additional Recycler,0.125,,+2%,
2074,Reinforced Recycler,0.25,,,+2%
2075,Backup Capacitors,0.0,+1%,,
2076,Well-Made Accelerator,0.344,,+2%,+2%
2077,Reinforced Core,0.25,,+3%,
2078,Copper Core,0.5,+2%,,+2%
2079,Backup Plating,0.125,,+2%,
2080,Copper Generator Unit,0.25,+2%,,
2081,Additional Recycler,0.25,,+3%,
2082,Reinforced Generator Unit,0.5,,,+3%
2083,Reinforced Injectors,0.5,+3%,,
2084,Well-Made Mass Chamber,0.0,+1%,,
2085,Reinforced Capacitors,0.531,,+2%,+3%
2086,Copper Core,0.812,+2%,+5%,
2087,Well-Made Generator Unit,0.25,,,+2%
2088,Well-Made Accelerator,0.5,+2%,+3%,
2089,Backup Mass Chamber,0.75,+3%,,+2%
2090,Well-Made Recycler,0.344,,+2%,+2%
2091,Backup Stabiliser,0.375,,+4%,
2092,Reinforced Injectors,0.25,+1%,,+2%
2093,Well-Made Core,0.75,+2%,,+3%
2094,Copper Capacitors,0.25,,,+2%
2095,Additional Injectors,0.25,+2%,,
2096,Additional Capacitors,0.25,+2%,,
2097,Copper Plating,0.5,,,+3%
2098,Backup Stabiliser,0.25,,,+2%
2099,Copper Stabiliser,0.5,,,+3%
2100,Well-Made Magnets,0.125,,+2%,
2101,Copper Recycler,0.25,,,+2%
2102,Reinforced Magnets,0.5,+1%,,+3%
2103,Copper Magnets,0.5,,+3%,+2%
2104,Well-Made Magnets,0.25,,,+2%
2105,Copper Stabiliser,0.0,+1%,,
2106,Backup Recycler,1.0,,+5%,+3%
2107,Copper Capacitors,0.156,+1%,+2%,
2108,Reinforced Accelerator,0.125,,+2%,
2109,Additional Capacitors,0.125,,+2%,
2110,Reinforced Recycler,0.5,,,+3%
2111,Well-Made Stabiliser,0.125,,+2%,
2112,Reinforced Recycler,0.0,+1%,,
2113,Copper Injectors,0.25,+2%,,
2114,Well-Made Stabiliser,0.25,,,+2%
2115,Well-Made Plating,0.5,,+3%,+2%
2116,Well-Made Mass Chamber,0.125,,+2%,
2117,Additional Capacitors,0.25,,,+2%
2118,Additional Stabiliser,0.156,+1%,+2%,
2119,Copper Magnets,0.0,+1%,,
2120,Copper Injectors,0.25,,,+2%
2121,Additional Capacitors,0.75,+2%,,+3%
2122,Copper Capacitors,0.344,,+2%,+2%
2123,Reinforced Recycler,0.25,,+3%,
2124,Backup Injectors,0.375,,+4%,
2125,Well-Made Mass Chamber,0.375,,+4%,
2126,Additional Plating,0.5,,,+3%
2127,Well-Made Stabiliser,0.25,,,+2%
2128,Backup Capacitors,0.5,,+5%,
2129,Copper Injectors,0.344,,+2%,+2%
2130,Backup Accelerator,0.25,,,+2%
2131,Backup Core,0.344,+2%,+2%,
2132,Additional Injectors,0.844,,+4%,+3%
2133,Additional Recycler,0.375,,+4%,
2134,Backup Stabiliser,0.344,+2%,+2%,
2135,Reinforced Stabiliser,0.25,,,+2%
2136,Backup Accelerator,0.156,+1%,+2%,
2137,Backup Plating,0.25,,+3%,
2138,Reinforced Core,0.5,+1%,,+3%
2139,Reinforced Mass Chamber,0.375,,+4%,
2140,Backup Capacitors,0.5,,+3%,+2%
2141,Well-Made Injectors,0.0,+1%,,
2142,Copper Magnets,0.25,+1%,,+2%
2143,Reinforced Generator Unit,0.25,+1%,,+2%
2144,Reinforced Stabiliser,0.125,,+2%,
2145,Additional Accelerator,0.0,+1%,,
2146,Copper Recycler,0.344,,+2%,+2%
2147,Backup Recycler,0.125,,+2%,
2148,Additional Capacitors,0.25,+2%,,
2149,Backup Capacitors,0.25,+1%,,+2%
2150,Additional Plating,0.125,,+2%,
2151,Copper Core,0.25,,,+2%
2152,Copper Injectors,0.5,,,+3%
2153,Additional Capacitors,0.5,+3%,,
2154,Backup Magnets,0.125,,+2%,
2155,Backup Stabiliser,0.25,,,+2%
2156,Well-Made Core,0.5,,,+3%
2157,Additional Plating,0.5,,,+3%
2158,Additional Capacitors,0.125,,+2%,
2159,Additional Generator Unit,0.25,,+3%,
2160,Reinforced Accelerator,0.0,+1%,,
2161,Additional Mass Chamber,0.375,,+4%,
2162,Well-Made Mass Chamber,0.25,+2%,,
2163,Reinforced Core,0.25,+2%,,
2164,Backup Mass Chamber,0.25,,,+2%
2165,Backup Accelerator,0.25,,,+2%
2166,Reinforced Stabiliser,0.5,,,+3%
2167,Well-Made Stabiliser,0.5,,+5%,
2168,Well-Made Generator Unit,0.5,,,+3%
2169,Copper Generator Unit,0.25,,,+2%
2170,Backup Stabiliser,0.5,+2%,,+2%
2171,Well-Made Accelerator,0.0,+1%,,
2172,Reinforced Recycler,0.25,,,+2%
2173,Backup Mass Chamber,0.125,,+2%,
2174,Well-Made Capacitors,0.0,+1%,,
2175,Copper Recycler,0.25,+2%,,
2176,Backup Core,0.75,+3%,,+2%
2177,Backup Magnets,0.5,,+5%,
2178,Reinforced Stabiliser,0.0,+1%,,
2179,Copper Accelerator,0.0,+1%,,
2180,Copper Accelerator,0.5,+1%,,+3%
2181,Copper Stabiliser,0.0,+1%,,
2182,Copper Injectors,0.5,,,+3%
2183,Copper Plating,0.156,+1%,+2%,
2184,Reinforced Capacitors,0.344,+2%,+2%,
2185,Copper Stabiliser,0.25,,+3%,
2186,Additional Accelerator,0.25,,,+2%
2187,Reinforced Generator Unit,0.25,,,+2%
2188,Copper Injectors,0.25,,,+2%
2189,Reinforced Mass Chamber,0.5,+1%,,+3%
2190,Well-Made Capacitors,0.125,,+2%,
2191,Backup Capacitors,0.25,,+3%,
2192,Well-Made Mass Chamber,0.375,,+4%,
2193,Additional Magnets,0.125,,+2%,
2194,Backup Plating,0.5,+3%,,
2195,Backup Core,0.25,+2%,,
2196,Backup Injectors,0.5,+2%,+3%,
2197,Backup Mass Chamber,0.5,,,+3%
2198,Copper Accelerator,0.25,+2%,,
2199,Copper Stabiliser,0.5,,,+3%
2200,Backup Magnets,0.531,,+2%,+3%
2201,Copper Core,0.844,,+4%,+3%
2202,Well-Made Stabiliser,0.25,+2%,,
2203,Well-Made Mass Chamber,0.5,,,+3%
2204,Well-Made Generator Unit,0.0,+1%,,
2205,Backup Accelerator,0.25,,,+2%
2206,Backup Stabiliser,0.25,,+3%,
2207,Additional Generator Unit,0.25,+2%,,
2208,Reinforced Generator Unit,0.25,,+3%,
2209,Reinforced Capacitors,0.469,+1%,+4%,
2210,Backup Generator Unit,0.5,+1%,,+3%
2211,Additional Plating,0.25,,,+2%
2212,Additional Injectors,0.125,,+2%,
2213,Reinforced Core,0.25,+2%,,
2214,Backup Capacitors,0.125,,+2%,
2215,Well-Made Accelerator,0.25,+2%,,
2216,Well-Made Generator Unit,0.25,,+3%,
2217,Reinforced Accelerator,0.25,,,+2%
2218,Additional Generator Unit,0.25,,+3%,
2219,Copper Plating,0.25,,,+2%
2220,Copper Injectors,0.656,,+4%,+2%
2221,Backup Accelerator,0.125,,+2%,
2222,Backup Injectors,0.25,+2%,,
2223,Copper Mass Chamber,0.25,,,+2%
2224,Well-Made Magnets,0.25,,+3%,
2225,Well-Made Core,0.25,+2%,,
2226,Additional Capacitors,0.375,,+4%,
2227,Additional Stabiliser,0.25,,,+2%
2228,Reinforced Plating,0.25,+2%,,
2229,Well-Made Stabiliser,0.75,+3%,,+2%
2230,Copper Stabiliser,0.25,,,+2%
2231,Copper Injectors,0.375,,+4%,
2232,Additional Plating,0.0,+1%,,
2233,Backup Generator Unit,0.25,,,+2%
2234,Well-Made Recycler,0.344,,+2%,+2%
2235,Additional Recycler,0.5,+2%,+3%,
2236,Backup Stabiliser,0.25,,,+2%
2237,Additional Accelerator,0.25,+1%,,+2%
2238,Reinforced Magnets,0.25,+2%,,
2239,Copper Injectors,0.125,,+2%,
2240,Copper Accelerator,0.25,,,+2%
2241,Well-Made Recycler,0.0,+1%,,
2242,Additional Accelerator,0.344,,+2%,+2%
2243,Additional Injectors,0.25,,,+2%
2244,Backup Core,0.125,,+2%,
2245,Well-Made Injectors,0.25,,,+2%
2246,Reinforced Mass Chamber,0.25,,,+2%
2247,Copper Mass Chamber,0.125,,+2%,
2248,Backup Generator Unit,0.25,+2%,,
2249,Additional Recycler,0.0,+1%,,
2250,Well-Made Stabiliser,0.0,+1%,,
2251,Reinforced Accelerator,0.0,,+1%,
2252,Reinforced Core,0.25,+2%,,
2253,Well-Made Core,0.5,+2%,,+2%
2254,Reinforced Core,0.25,,,+2%
2255,Additional Mass Chamber,0.344,+2%,+2%,
2256,Additional Mass Chamber,0.25,+1%,,+2%
2257,Well-Made Capacitors,0.812,+2%,+5%,
2258,Reinforced Recycler,0.0,+1%,,
2259,Copper Capacitors,0.25,,,+2%
2260,Well-Made Core,0.0,+1%,,
2261,Reinforced Injectors,0.0,+1%,,
2262,Copper Stabiliser,0.0,+1%,,
2263,Well-Made Accelerator,0.0,+1%,,
2264,Backup Accelerator,0.25,,,+2%
2265,Reinforced Capacitors,0.25,,,+2%
2266,Well-Made Capacitors,0.375,,+4%,
2267,Reinforced Accelerator,0.25,,,+2%
2268,Reinforced Magnets,0.5,+2%,,+2%
2269,Backup Accelerator,0.812,,+5%,+2%
2270,Well-Made Capacitors,0.375,,+4%,
2271,Additional Core,0.25,,,+2%
2272,Additional Mass Chamber,0.25,+2%,,
2273,Backup Mass Chamber,0.25,+2%,,
2274,Additional Mass Chamber,0.5,,+3%,+2%
2275,Well-Made Generator Unit,0.0,+1%,,
2276,Backup Stabiliser,0.25,+2%,,
2277,Backup Stabiliser,0.156,+1%,+2%,
2278,Additional Magnets,0.0,+1%,,
2279,Additional Plating,0.25,,+3%,
2280,Reinforced Stabiliser,0.344,,+2%,+2%
2281,Copper Recycler,0.25,,,+2%
2282,Additional Recycler,0.5,+2%,,+2%
2283,Well-Made Accelerator,0.25,,,+2%
2284,Copper Plating,0.5,,+5%,
2285,Additional Accelerator,0.125,,+2%,
2286,Well-Made Accelerator,0.125,,+2%,
2287,Additional Recycler,0.25,+2%,,
2288,Well-Made Mass Chamber,0.25,+2%,,
2289,Copper Capacitors,0.25,,,+2%
2290,Additional Core,0.5,,+5%,
2291,Copper Plating,0.5,+2%,,+2%
2292,Additional Recycler,0.375,,+4%,
2293,Well-Made Capacitors,0.5,+1%,,+3%
2294,Backup Mass Chamber,0.0,+1%,,
2295,Reinforced Mass Chamber,0.25,,+3%,
2296,Copper Capacitors,0.125,,+2%,
2297,Reinforced Generator Unit,0.125,,+2%,
2298,Backup Core,0.344,,+2%,+2%
2299,Reinforced Capacitors,0.156,+1%,+2%,
2300,Additional Stabiliser,0.344,+2%,+2%,
2301,Copper Injectors,0.25,,,+2%
2302,Backup Stabiliser,0.344,+2%,+2%,
2303,Reinforced Stabiliser,0.125,,+2%,
2304,Additional Injectors,0.25,,,+2%
2305,Additional Recycler,0.5,+3%,,
2306,Copper Magnets,0.25,,,+2%
2307,Backup Recycler,0.125,,+2%,
2308,Reinforced Magnets,0.5,+2%,,+2%
2309,Well-Made Stabiliser,0.344,+2%,+2%,
2310,Backup Mass Chamber,0.25,,,+2%
2311,Copper Core,0.0,+1%,,
2312,Additional Stabiliser,0.25,,,+2%
2313,Backup Injectors,0.25,,,+2%
2314,Well-Made Generator Unit,0.0,+1%,,
2315,Well-Made Core,0.25,,,+2%
2316,Copper Recycler,0.0,+1%,,
2317,Additional Stabiliser,0.0,+1%,,
2318,Well-Made Generator Unit,0.812,,+5%,+2%
2319,Well-Made Generator Unit,0.25,,,+2%
2320,Backup Plating,0.25,+2%,,
2321,Well-Made Accelerator,0.75,+2%,,+3%
2322,Backup Capacitors,0.469,+1%,+4%,
2323,Reinforced Core,0.344,+2%,+2%,
2324,Additional Core,0.125,,+2%,
2325,Reinforced Injectors,0.75,+2%,,+3%
2326,Backup Capacitors,0.344,+2%,+2%,
2327,Copper Capacitors,0.344,,+2%,+2%
2328,Well-Made Generator Unit,0.25,+2%,,
2329,Backup Capacitors,0.5,,+3%,+2%
2330,Well-Made Capacitors,0.25,,,+2%
2331,Additional Stabiliser,0.25,,+3%,
2332,Copper Injectors,0.0,+1%,,
2333,Reinforced Capacitors,0.125,,+2%,
2334,Copper Recycler,0.125,,+2%,
2335,Reinforced Injectors,0.25,,,+2%
2336,Reinforced Accelerator,0.25,,+3%,
2337,Reinforced Capacitors,0.25,,,+2%
2338,Reinforced Magnets,0.25,,,+2%
2339,Additional Accelerator,0.25,,,+2%
2340,Reinforced Plating,0.0,+1%,,
2341,Additional Mass Chamber,0.125,,+2%,
2342,Backup Core,0.25,,,+2%
2343,Well-Made Generator Unit,0.25,+2%,,
2344,Additional Stabiliser,0.25,+2%,,
2345,Reinforced Generator Unit,0.0,+1%,,
2346,Copper Magnets,0.688,,+3%,+3%
2347,Well-Made Magnets,0.125,,+2%,
2348,Backup Capacitors,0.25,,,+2%
2349,Copper Core,0.5,,+3%,+2%
2350,Reinforced Mass Chamber,0.0,+1%,,
2351,Reinforced Recycler,0.156,+1%,+2%,
2352,Backup Mass Chamber,0.25,,,+2%
2353,Well-Made Capacitors,0.0,+1%,,
2354,Reinforced Magnets,0.25,,,+2%
2355,Reinforced Core,0.5,,+5%,
2356,Copper Plating,0.125,,+2%,
2357,Backup Mass Chamber,0.125,,+2%,
2358,Copper Stabiliser,0.5,,+5%,
2359,Well-Made Capacitors,0.125,,+2%,
2360,Backup Injectors,0.375,,+4%,
2361,Additional Mass Chamber,0.125,,+2%,
2362,Well-Made Capacitors,0.125,,+2%,
2363,Reinforced Accelerator,0.344,+2%,+2%,
2364,Backup Stabiliser,0.125,,+2%,
2365,Backup Recycler,0.469,+1%,+4%,
2366,Copper Mass Chamber,0.5,,,+3%
2367,Additional Core,0.156,+1%,+2%,
2368,Additional Generator Unit,0.375,,+4%,
2369,Backup Generator Unit,0.344,,+2%,+2%
2370,Backup Generator Unit,0.5,+1%,,+3%
2371,Backup Recycler,0.375,,+4%,
2372,Additional Plating,0.25,,+3%,
2373,Additional Generator Unit,0.5,,+3%,+2%
2374,Copper Capacitors,0.25,,,+2%
2375,Copper Injectors,0.25,,+3%,
2376,Well-Made Capacitors,0.688,,+3%,+3%
2377,Well-Made Core,0.125,,+2%,
2378,Well-Made Plating,0.5,,,+3%
2379,Reinforced Stabiliser,0.25,+2%,,
2380,Backup Core,0.25,,,+2%
2381,Well-Made Magnets,0.25,,,+2%
2382,Well-Made Injectors,0.812,,+5%,+2%
2383,Additional Magnets,0.375,,+4%,
2384,Backup Mass Chamber,0.5,+3%,,
2385,Backup Plating,0.344,+2%,+2%,
2386,Well-Made Core,0.5,,,+3%
2387,Backup Plating,0.25,+1%,,+2%
2388,Well-Made Capacitors,0.25,+2%,,
2389,Additional Mass Chamber,0.125,,+2%,
2390,Backup Generator Unit,0.125,,+2%,
2391,Reinforced Injectors,0.0,+1%,,
2392,Copper Capacitors,0.344,,+2%,+2%
2393,Backup Recycler,0.25,,,+2%
2394,Copper Magnets,0.25,,+3%,
2395,Reinforced Injectors,0.812,,+5%,+2%
2396,Additional Recycler,0.375,,+4%,
2397,Copper Recycler,0.25,,,+2%
2398,Additional Magnets,0.125,,+2%,
2399,Reinforced Stabiliser,0.344,,+2%,+2%
2400,Additional Accelerator,0.25,+1%,,+2%
2401,Well-Made Accelerator,0.25,+2%,,
2402,Copper Magnets,0.25,+2%,,
2403,Reinforced Capacitors,0.344,+2%,+2%,
2404,Reinforced Mass Chamber,0.25,+2%,,
2405,Additional Generator Unit,0.375,,+4%,
2406,Backup Recycler,0.125,,+2%,
2407,Well-Made Core,0.5,+2%,,+2%
2408,Well-Made Accelerator,0.344,,+2%,+2%
2409,Reinforced Core,0.344,,+2%,+2%
2410,Copper Recycler,0.5,,+5%,
2411,Copper Injectors,0.5,,,+3%
2412,Additional Mass Chamber,0.0,+1%,,
2413,Backup Magnets,0.75,+3%,,+2%
2414,Copper Magnets,0.5,,,+3%
2415,Additional Core,0.0,+1%,,
2416,Well-Made Stabiliser,0.156,+1%,+2%,
2417,Reinforced Generator Unit,0.25,,,+2%
2418,Reinforced Mass Chamber,0.5,,+5%,
2419,Well-Made Recycler,0.5,,,+3%
2420,Additional Recycler,0.5,,,+3%
2421,Well-Made Mass Chamber,0.5,+3%,,
2422,Copper Accelerator,0.375,,+4%,
2423,Additional Plating,0.5,+2%,,+2%
2424,Reinforced Accelerator,0.0,+1%,,
2425,Backup Recycler,0.5,+3%,,
2426,Well-Made Generator Unit,0.125,,+2%,
2427,Additional Mass Chamber,0.156,+1%,+2%,
2428,Copper Plating,0.25,,+3%,
2429,Well-Made Stabiliser,0.344,,+2%,+2%
2430,Backup Generator Unit,0.5,,,+3%
2431,Copper Core,0.25,+2%,,
2432,Reinforced Core,0.344,+2%,+2%,
2433,Copper Magnets,0.0,+1%,,
2434,Backup Injectors,0.25,+2%,,
2435,Copper Accelerator,0.5,,,+3%
2436,Additional Accelerator,0.125,,+2%,
2437,Well-Made Injectors,0.25,,,+2%
2438,Backup Recycler,0.25,,,+2%
2439,Well-Made Injectors,0.5,+2%,,+2%
2440,Well-Made Capacitors,0.125,,+2%,
2441,Copper Generator Unit,0.25,,+3%,
2442,Copper Mass Chamber,0.0,+1%,,
2443,Backup Stabiliser,0.0,+1%,,
2444,Well-Made Magnets,0.531,+3%,+2%,
2445,Copper Mass Chamber,0.25,,,+2%
2446,Copper Generator Unit,0.531,,+2%,+3%
2447,Backup Plating,0.0,+1%,,
2448,Reinforced Capacitors,0.25,,,+2%
2449,Reinforced Recycler,0.5,,+5%,
2450,Reinforced Recycler,0.25,,,+2%
2451,Well-Made Plating,0.344,,+2%,+2%
2452,Copper Core,0.5,,,+3%
2453,Well-Made Stabiliser,0.25,+2%,,
2454,Copper Recycler,0.375,,+4%,
2455,Backup Injectors,0.25,+2%,,
2456,Reinforced Magnets,0.25,,,+2%
2457,Reinforced Injectors,0.25,,,+2%
2458,Reinforced Mass Chamber,0.125,,+2%,
2459,Reinforced Capacitors,0.25,,,+2%
2460,Well-Made Recycler,0.125,,+2%,
2461,Backup Mass Chamber,0.25,,,+2%
2462,Well-Made Generator Unit,0.25,+1%,,+2%
2463,Reinforced Injectors,0.25,,,+2%
2464,Additional Generator Unit,0.344,+2%,+2%,
2465,Well-Made Mass Chamber,0.344,,+2%,+2%
2466,Well-Made Injectors,0.5,,,+3%
2467,Copper Core,0.5,+2%,,+2%
2468,Copper Accelerator,0.812,+2%,+5%,
2469,Backup Injectors,0.5,,+5%,
2470,Reinforced Injectors,0.25,+1%,,+2%
2471,Additional Plating,0.5,,+3%,+2%
2472,Additional Capacitors,0.125,,+2%,
2473,Additional Accelerator,0.25,,,+2%
2474,Backup Injectors,0.5,,+5%,
2475,Backup Recycler,0.125,,+2%,
2476,Well-Made Capacitors,0.656,,+4%,+2%
2477,Well-Made Generator Unit,0.375,,+4%,
2478,Well-Made Capacitors,0.75,+2%,,+3%
2479,Additional Magnets,0.375,,+4%,
2480,Additional Capacitors,0.344,,+2%,+2%
2481,Well-Made Mass Chamber,0.25,+2%,,
2482,Reinforced Generator Unit,0.5,,+3%,+2%
2483,Well-Made Capacitors,0.0,+1%,,
2484,Well-Made Magnets,0.25,,,+2%
2485,Reinforced Mass Chamber,0.0,+1%,,
2486,Backup Injectors,0.25,,,+2%
2487,Well-Made Injectors,0.0,+1%,,
2488,Additional Magnets,0.25,,,+2%
2489,Additional Generator Unit,0.156,+1%,+2%,
2490,Well-Made Accelerator,0.0,+1%,,
2491,Copper Capacitors,0.25,,,+2%
2492,Copper Recycler,0.812,+2%,+5%,
2493,Reinforced Accelerator,0.0,+1%,,
2494,Backup Core,0.125,,+2%,
2495,Additional Core,0.5,,+5%,
2496,Copper Magnets,0.25,+2%,,
2497,Copper Capacitors,0.5,,,+3%
2498,Additional Generator Unit,0.5,,,+3%
2499,Copper Core,0.5,,+5%,
2500,Additional Injectors,0.344,+2%,+2%,
2501,Copper Core,0.156,+1%,+2%,
2502,Additional Generator Unit,0.156,+1%,+2%,
2503,Well-Made Generator Unit,0.125,,+2%,
2504,Reinforced Stabiliser,0.0,+1%,,
2505,Copper Generator Unit,0.156,+1%,+2%,
2506,Copper Injectors,0.5,,+5%,
2507,Reinforced Recycler,0.812,+2%,+5%,
2508,Backup Capacitors,0.25,,+3%,
2509,Well-Made Stabiliser,0.5,+2%,,+2%
2510,Reinforced Accelerator,0.125,,+2%,
2511,Copper Recycler,0.0,+1%,,
2512,Additional Accelerator,0.25,+2%,,
2513,Backup Recycler,0.344,+2%,+2%,
2514,Reinforced Plating,0.344,+2%,+2%,
2515,Reinforced Magnets,0.25,,,+2%
2516,Well-Made Mass Chamber,0.656,,+4%,+2%
2517,Well-Made Recycler,0.25,,,+2%
2518,Copper Mass Chamber,0.0,+1%,,
2519,Backup Accelerator,0.0,+1%,,
2520,Copper Injectors,0.25,,,+2%
2521,Backup Recycler,0.125,,+2%,
2522,Well-Made Injectors,0.0,+1%,,
2523,Reinforced Recycler,0.125,,+2%,
2524,Well-Made Injectors,0.5,+2%,,+2%
2525,Reinforced Stabiliser,0.25,+2%,,
2526,Copper Generator Unit,0.25,,+3%,
2527,Copper Core,0.25,,+3%,
2528,Backup Accelerator,0.812,,+5%,+2%
2529,Copper Mass Chamber,0.125,,+2%,
2530,Additional Generator Unit,0.25,,,+2%
2531,Copper Plating,0.25,,,+2%
2532,Additional Recycler,0.656,,+4%,+2%
2533,Reinforced Core,0.344,,+2%,+2%
2534,Well-Made Accelerator,0.531,+3%,+2%,
2535,Reinforced Injectors,0.125,,+2%,
2536,Additional Magnets,0.344,+2%,+2%,
2537,Well-Made Plating,0.125,,+2%,
2538,Well-Made Injectors,0.0,+1%,,
2539,Reinforced Injectors,0.125,,+2%,
2540,Backup Injectors,0.125,,+2%,
2541,Well-Made Plating,0.5,,+5%,
2542,Backup Capacitors,0.5,,,+3%
2543,Copper Recycler,0.125,,+2%,
2544,Backup Core,0.156,+1%,+2%,
2545,Well-Made Magnets,0.0,+1%,,
2546,Backup Mass Chamber,0.844,,+4%,+3%
2547,Reinforced Plating,0.0,+1%,,
2548,Well-Made Accelerator,0.5,+2%,+3%,
2549,Copper Accelerator,0.531,+3%,+2%,
2550,Additional Plating,0.812,+2%,+5%,
2551,Copper Stabiliser,0.5,,+3%,+2%
2552,Backup Core,0.0,+1%,,
2553,Backup Capacitors,0.5,,+5%,
2554,Backup Capacitors,0.0,+1%,,
2555,Additional Mass Chamber,0.344,+2%,+2%,
2556,Reinforced Core,0.125,,+2%,
2557,Well-Made Mass Chamber,1.0,,+5%,+3%
2558,Copper Recycler,0.25,,+3%,
2559,Backup Injectors,0.25,,,+2%
2560,Additional Plating,0.5,+2%,+3%,
2561,Copper Plating,0.25,+2%,,
2562,Backup Magnets,0.25,,,+2%
2563,Copper Generator Unit,0.0,+1%,,
2564,Backup Magnets,0.25,,,+2%
2565,Reinforced Accelerator,0.25,+2%,,
2566,Reinforced Core,0.656,,+4%,+2%
2567,Reinforced Mass Chamber,0.469,+1%,+4%,
2568,Additional Magnets,0.0,+1%,,
2569,Additional Mass Chamber,0.25,+2%,,
2570,Reinforced Injectors,0.25,+2%,,
2571,Backup Recycler,0.125,,+2%,
2572,Well-Made Generator Unit,0.656,+2%,+4%,
2573,Copper Core,0.5,,+3%,+2%
2574,Reinforced Recycler,0.156,+1%,+2%,
2575,Well-Made Injectors,0.375,,+4%,
2576,Reinforced Injectors,0.25,+1%,,+2%
2577,Well-Made Injectors,0.25,,,+2%
2578,Well-Made Capacitors,0.25,,,+2%
2579,Copper Generator Unit,0.125,,+2%,
2580,Copper Capacitors,0.25,,,+2%
2581,Well-Made Capacitors,0.344,,+2%,+2%
2582,Additional Recycler,0.125,,+2%,
2583,Well-Made Generator Unit,0.688,,+3%,+3%
2584,Backup Magnets,0.25,,+3%,
2585,Backup Mass Chamber,0.25,,,+2%
2586,Reinforced Recycler,0.25,,,+2%
2587,Backup Injectors,0.25,+2%,,
2588,Backup Recycler,0.25,,,+2%
2589,Well-Made Stabiliser,0.25,,,+2%
2590,Copper Capacitors,0.125,,+2%,
2591,Additional Mass Chamber,0.344,+2%,+2%,
2592,Well-Made Plating,0.0,+1%,,
2593,Reinforced Mass Chamber,0.25,+2%,,
2594,Well-Made Generator Unit,0.5,,+3%,+2%
2595,Well-Made Injectors,0.0,+1%,,
2596,Copper Magnets,0.625,+1%,+5%,
2597,Reinforced Magnets,0.125,,+2%,
2598,Backup Plating,0.25,,,+2%
2599,Copper Plating,0.25,,,+2%
2600,Additional Accelerator,0.25,,+3%,
2601,Additional Stabiliser,0.25,+2%,,
2602,Additional Recycler,0.5,+1%,,+3%
2603,Reinforced Mass Chamber,0.25,+2%,,
2604,Reinforced Recycler,0.25,,,+2%
2605,Well-Made Mass Chamber,0.5,,,+3%
2606,Well-Made Accelerator,0.0,+1%,,
2607,Reinforced Accelerator,0.5,,,+3%
2608,Reinforced Injectors,0.0,+1%,,
2609,Well-Made Accelerator,0.25,,,+2%
2610,Additional Core,0.0,+1%,,
2611,Backup Accelerator,0.125,,+2%,
2612,Well-Made Recycler,0.5,,,+3%
2613,Additional Recycler,0.25,,+3%,
2614,Well-Made Accelerator,0.5,,+5%,
2615,Backup Generator Unit,0.25,,+3%,
2616,Additional Capacitors,0.531,,+2%,+3%
2617,Backup Injectors,0.5,,,+3%
2618,Reinforced Core,0.312,+1%,+3%,
2619,Well-Made Capacitors,0.125,,+2%,
2620,Well-Made Generator Unit,0.25,,+3%,
2621,Backup Recycler,0.25,+2%,,
2622,Well-Made Stabiliser,0.125,,+2%,
2623,Additional Mass Chamber,0.25,+2%,,
2624,Well-Made Accelerator,0.5,+2%,,+2%
2625,Reinforced Plating,0.5,,,+3%
2626,Copper Accelerator,0.5,+1%,,+3%
2627,Well-Made Mass Chamber,0.25,,,+2%
2628,Copper Mass Chamber,0.0,+1%,,
2629,Backup Mass Chamber,0.344,+2%,+2%,
