Seed,Name,Perfection,Vehicle_LaserDamage,Vehicle_LaserHeatTime
21481,Retuned Emission Chamber,0.333,+8%,
21482,Boosted Light Filter,0.25,,+2%
21483,Efficient Diode Battery,0.167,+7%,
21484,Boosted Beam Amplifier,0.0,+6%,
21485,Retuned Lens Optics,0.833,+11%,
21486,Enhanced Lens Optics,0.0,+6%,
21487,Enhanced Beam Capacitor,0.333,+8%,
21488,Retuned Emission Chamber,0.0,+6%,
21489,Enhanced Cooling System,0.75,,+4%
21490,Efficient Photon Mirror,0.25,,+2%
21491,Retuned Output Coupler,0.667,+10%,
21492,Enhanced Emission Chamber,0.0,+6%,
21493,Boosted Reflector Glass,1.0,,+5%
21494,Boosted Light Filter,0.5,,+3%
21495,Enhanced Cooling System,0.0,+6%,
21496,Efficient Lens Optics,0.0,+6%,
21497,Efficient Photon Mirror,0.0,+6%,
21498,Additional Beam Capacitor,0.75,,+4%
21499,Additional Beam Amplifier,0.25,,+2%
21500,Boosted Output Coupler,0.833,+11%,
21501,Enhanced Emission Chamber,1.0,,+5%
21502,Retuned Beam Capacitor,0.167,+7%,
21503,Boosted Diode Battery,1.0,,+5%
21504,Boosted Output Coupler,0.333,+8%,
21505,Additional Emission Chamber,0.5,+9%,
21506,Efficient Lens Optics,0.25,,+2%
21507,Boosted Cooling System,0.333,+8%,
21508,Enhanced Lens Optics,0.0,+6%,
21509,Enhanced Cooling System,1.0,,+5%
21510,Enhanced Cooling System,0.5,,+3%
21511,Efficient Lens Optics,1.0,,+5%
21512,Efficient Diode Battery,0.75,,+4%
21513,Additional Lens Optics,0.333,+8%,
21514,Enhanced Light Filter,0.25,,+2%
21515,Retuned Lens Optics,0.0,+6%,
21516,Retuned Cooling System,0.5,+9%,
21517,Boosted Reflector Glass,0.167,+7%,
21518,Enhanced Emission Chamber,0.5,,+3%
21519,Retuned Light Filter,0.25,,+2%
21520,Enhanced Emission Chamber,0.5,,+3%
21521,Efficient Beam Capacitor,0.25,,+2%
21522,Boosted Emission Chamber,0.75,,+4%
21523,Boosted Photon Mirror,0.0,+6%,
21524,Boosted Lens Optics,0.833,+11%,
21525,Retuned Diode Battery,0.0,+6%,
21526,Retuned Emission Chamber,0.25,,+2%
21527,Additional Cooling System,1.0,,+5%
21528,Efficient Cooling System,1.0,,+5%
21529,Boosted Photon Mirror,0.25,,+2%
21530,Retuned Emission Chamber,0.25,,+2%
21531,Boosted Beam Amplifier,0.0,+6%,
21532,Boosted Lens Optics,0.167,+7%,
21533,Efficient Diode Battery,0.167,+7%,
21534,Retuned Diode Battery,0.25,,+2%
21535,Additional Lens Optics,0.5,,+3%
21536,Retuned Lens Optics,0.75,,+4%
21537,Boosted Beam Capacitor,0.167,+7%,
21538,Efficient Cooling System,0.0,+6%,
21539,Additional Beam Capacitor,0.5,,+3%
21540,Efficient Cooling System,0.25,,+2%
21541,Enhanced Emission Chamber,0.167,+7%,
21542,Boosted Emission Chamber,0.25,,+2%
21543,Additional Output Coupler,0.167,+7%,
21544,Boosted Beam Amplifier,0.333,+8%,
21545,Efficient Output Coupler,0.0,+6%,
21546,Boosted Photon Mirror,0.5,,+3%
21547,Additional Photon Mirror,0.333,+8%,
21548,Enhanced Cooling System,0.333,+8%,
21549,Retuned Beam Amplifier,1.0,,+5%
21550,Retuned Lens Optics,0.25,,+2%
21551,Additional Reflector Glass,0.167,+7%,
21552,Efficient Beam Capacitor,0.167,+7%,
21553,Boosted Lens Optics,0.5,+9%,
21554,Enhanced Output Coupler,0.5,,+3%
21555,Additional Emission Chamber,0.167,+7%,
21556,Retuned Beam Capacitor,1.0,+12%,
21557,Efficient Beam Capacitor,0.5,+9%,
21558,Efficient Lens Optics,0.333,+8%,
21559,Efficient Diode Battery,0.0,+6%,
21560,Retuned Photon Mirror,1.0,,+5%
21561,Additional Beam Amplifier,0.0,+6%,
21562,Retuned Output Coupler,0.0,+6%,
21563,Boosted Emission Chamber,0.75,,+4%
21564,Boosted Emission Chamber,0.167,+7%,
21565,Enhanced Beam Capacitor,0.25,,+2%
21566,Efficient Emission Chamber,0.0,+6%,
21567,Retuned Cooling System,0.25,,+2%
21568,Boosted Beam Amplifier,0.0,+6%,
21569,Boosted Beam Amplifier,0.25,,+2%
21570,Enhanced Cooling System,0.5,,+3%
21571,Retuned Diode Battery,1.0,+12%,
21572,Retuned Beam Amplifier,1.0,,+5%
21573,Boosted Beam Capacitor,0.25,,+2%
21574,Efficient Beam Amplifier,1.0,,+5%
21575,Additional Cooling System,0.25,,+2%
21576,Boosted Cooling System,0.0,+6%,
21577,Additional Cooling System,0.333,+8%,
21578,Retuned Output Coupler,1.0,,+5%
21579,Retuned Beam Amplifier,0.0,+6%,
21580,Efficient Lens Optics,0.25,,+2%
21581,Boosted Reflector Glass,0.667,+10%,
21582,Enhanced Emission Chamber,0.5,,+3%
21583,Additional Output Coupler,0.5,,+3%
21584,Retuned Cooling System,0.75,,+4%
21585,Retuned Diode Battery,0.333,+8%,
21586,Enhanced Lens Optics,0.75,,+4%
21587,Efficient Emission Chamber,0.167,+7%,
21588,Additional Output Coupler,0.0,+6%,
21589,Retuned Beam Capacitor,0.25,,+2%
21590,Retuned Reflector Glass,0.667,+10%,
21591,Retuned Light Filter,0.833,+11%,
21592,Retuned Beam Amplifier,0.833,+11%,
21593,Boosted Diode Battery,0.25,,+2%
21594,Efficient Emission Chamber,0.25,,+2%
21595,Retuned Light Filter,0.25,,+2%
21596,Enhanced Lens Optics,0.25,,+2%
21597,Efficient Output Coupler,0.5,,+3%
21598,Additional Photon Mirror,0.333,+8%,
21599,Additional Diode Battery,0.167,+7%,
21600,Efficient Photon Mirror,0.75,,+4%
21601,Enhanced Emission Chamber,0.25,,+2%
21602,Retuned Reflector Glass,0.5,,+3%
21603,Enhanced Beam Amplifier,0.167,+7%,
21604,Enhanced Lens Optics,0.5,+9%,
21605,Efficient Lens Optics,0.25,,+2%
21606,Enhanced Light Filter,0.5,,+3%
21607,Additional Emission Chamber,0.25,,+2%
21608,Efficient Diode Battery,0.5,,+3%
21609,Boosted Photon Mirror,0.5,,+3%
21610,Boosted Output Coupler,0.167,+7%,
21611,Boosted Photon Mirror,1.0,,+5%
21612,Efficient Beam Amplifier,0.333,+8%,
21613,Efficient Reflector Glass,0.5,,+3%
21614,Additional Beam Capacitor,0.25,,+2%
21615,Retuned Cooling System,0.667,+10%,
21616,Efficient Cooling System,0.75,,+4%
21617,Boosted Beam Amplifier,0.0,+6%,
21618,Efficient Cooling System,0.167,+7%,
21619,Enhanced Photon Mirror,0.833,+11%,
21620,Retuned Beam Amplifier,0.333,+8%,
21621,Additional Cooling System,0.25,,+2%
21622,Boosted Cooling System,1.0,,+5%
21623,Retuned Output Coupler,0.333,+8%,
21624,Retuned Light Filter,0.667,+10%,
21625,Retuned Reflector Glass,0.0,+6%,
21626,Additional Light Filter,0.25,,+2%
21627,Retuned Photon Mirror,0.0,+6%,
21628,Additional Cooling System,0.5,+9%,
21629,Additional Emission Chamber,0.167,+7%,
21630,Efficient Reflector Glass,0.167,+7%,
21631,Additional Beam Capacitor,0.333,+8%,
21632,Efficient Output Coupler,0.25,,+2%
21633,Boosted Beam Amplifier,0.0,+6%,
21634,Boosted Output Coupler,0.25,,+2%
21635,Retuned Cooling System,0.0,+6%,
21636,Retuned Photon Mirror,0.5,,+3%
21637,Additional Beam Amplifier,0.0,+6%,
21638,Boosted Light Filter,0.167,+7%,
21639,Retuned Reflector Glass,0.833,+11%,
21640,Enhanced Light Filter,0.25,,+2%
21641,Boosted Beam Capacitor,0.25,,+2%
21642,Boosted Beam Capacitor,0.0,+6%,
21643,Retuned Diode Battery,0.5,,+3%
21644,Boosted Light Filter,0.25,,+2%
21645,Additional Emission Chamber,0.75,,+4%
21646,Additional Emission Chamber,0.5,+9%,
21647,Efficient Reflector Glass,0.5,,+3%
21648,Enhanced Output Coupler,0.25,,+2%
21649,Efficient Beam Amplifier,0.667,+10%,
21650,Enhanced Reflector Glass,0.5,,+3%
21651,Enhanced Diode Battery,1.0,+12%,
21652,Additional Beam Capacitor,0.833,+11%,
21653,Additional Beam Capacitor,0.0,+6%,
21654,Efficient Emission Chamber,0.0,+6%,
21655,Efficient Reflector Glass,0.667,+10%,
21656,Boosted Reflector Glass,0.0,+6%,
21657,Retuned Cooling System,0.75,,+4%
21658,Efficient Photon Mirror,0.5,+9%,
21659,Enhanced Emission Chamber,0.0,+6%,
21660,Enhanced Beam Capacitor,1.0,,+5%
21661,Retuned Reflector Glass,0.25,,+2%
21662,Efficient Light Filter,0.0,+6%,
21663,Enhanced Emission Chamber,0.25,,+2%
21664,Retuned Light Filter,0.167,+7%,
21665,Retuned Reflector Glass,0.25,,+2%
21666,Enhanced Diode Battery,0.25,,+2%
21667,Retuned Cooling System,0.0,+6%,
21668,Retuned Cooling System,0.75,,+4%
21669,Retuned Output Coupler,0.25,,+2%
21670,Efficient Photon Mirror,0.667,+10%,
21671,Boosted Reflector Glass,0.5,,+3%
21672,Efficient Output Coupler,0.25,,+2%
21673,Boosted Reflector Glass,0.75,,+4%
21674,Boosted Beam Capacitor,0.0,+6%,
21675,Retuned Emission Chamber,0.667,+10%,
21676,Enhanced Reflector Glass,0.167,+7%,
21677,Enhanced Reflector Glass,0.25,,+2%
21678,Enhanced Reflector Glass,1.0,,+5%
21679,Efficient Lens Optics,0.167,+7%,
21680,Additional Diode Battery,0.5,+9%,
21681,Boosted Cooling System,0.5,,+3%
21682,Additional Emission Chamber,0.667,+10%,
21683,Boosted Beam Amplifier,0.25,,+2%
21684,Retuned Diode Battery,0.25,,+2%
21685,Efficient Cooling System,0.25,,+2%
21686,Additional Output Coupler,0.25,,+2%
21687,Efficient Output Coupler,0.167,+7%,
21688,Efficient Beam Amplifier,0.75,,+4%
21689,Boosted Emission Chamber,0.0,+6%,
21690,Boosted Light Filter,0.25,,+2%
21691,Enhanced Reflector Glass,0.25,,+2%
21692,Efficient Beam Amplifier,0.0,+6%,
21693,Retuned Lens Optics,0.333,+8%,
21694,Retuned Beam Amplifier,0.0,+6%,
21695,Efficient Beam Capacitor,0.0,+6%,
21696,Retuned Diode Battery,0.167,+7%,
21697,Enhanced Photon Mirror,0.167,+7%,
21698,Boosted Lens Optics,0.25,,+2%
21699,Additional Beam Amplifier,0.25,,+2%
21700,Additional Diode Battery,0.333,+8%,
21701,Efficient Output Coupler,0.75,,+4%
21702,Efficient Beam Capacitor,0.0,+6%,
21703,Boosted Photon Mirror,0.5,,+3%
21704,Boosted Beam Capacitor,0.0,+6%,
21705,Enhanced Output Coupler,0.0,+6%,
21706,Enhanced Lens Optics,0.25,,+2%
21707,Efficient Cooling System,0.167,+7%,
21708,Enhanced Beam Capacitor,1.0,+12%,
21709,Boosted Output Coupler,0.5,,+3%
21710,Efficient Beam Capacitor,0.25,,+2%
21711,Boosted Beam Amplifier,0.167,+7%,
21712,Retuned Beam Amplifier,0.667,+10%,
21713,Retuned Output Coupler,1.0,+12%,
21714,Efficient Photon Mirror,0.167,+7%,
21715,Enhanced Beam Capacitor,0.25,,+2%
21716,Enhanced Lens Optics,0.25,,+2%
21717,Enhanced Cooling System,0.0,+6%,
21718,Efficient Diode Battery,0.25,,+2%
21719,Retuned Cooling System,0.167,+7%,
21720,Efficient Diode Battery,0.833,+11%,
21721,Enhanced Reflector Glass,0.667,+10%,
21722,Retuned Lens Optics,0.25,,+2%
21723,Efficient Beam Amplifier,0.167,+7%,
21724,Additional Cooling System,0.25,,+2%
21725,Enhanced Light Filter,1.0,,+5%
21726,Enhanced Lens Optics,1.0,+12%,
21727,Retuned Diode Battery,1.0,,+5%
21728,Enhanced Emission Chamber,0.25,,+2%
21729,Additional Cooling System,0.0,+6%,
21730,Enhanced Light Filter,0.5,,+3%
21731,Efficient Beam Capacitor,0.25,,+2%
21732,Boosted Diode Battery,1.0,,+5%
21733,Retuned Beam Amplifier,0.167,+7%,
21734,Retuned Beam Capacitor,0.333,+8%,
21735,Additional Photon Mirror,0.5,+9%,
21736,Boosted Diode Battery,0.333,+8%,
21737,Boosted Emission Chamber,0.75,,+4%
21738,Efficient Diode Battery,0.0,+6%,
21739,Boosted Beam Capacitor,0.5,,+3%
21740,Additional Cooling System,0.25,,+2%
21741,Boosted Output Coupler,0.167,+7%,
21742,Additional Emission Chamber,0.25,,+2%
21743,Retuned Light Filter,0.167,+7%,
21744,Retuned Beam Amplifier,0.25,,+2%
21745,Efficient Emission Chamber,0.833,+11%,
21746,Boosted Diode Battery,1.0,,+5%
21747,Enhanced Beam Amplifier,0.25,,+2%
21748,Boosted Emission Chamber,0.333,+8%,
21749,Efficient Output Coupler,0.0,+6%,
21750,Additional Lens Optics,0.333,+8%,
21751,Additional Cooling System,0.167,+7%,
21752,Boosted Photon Mirror,0.167,+7%,
21753,Retuned Cooling System,0.75,,+4%
21754,Enhanced Reflector Glass,0.5,,+3%
21755,Enhanced Cooling System,0.5,,+3%
21756,Additional Output Coupler,0.25,,+2%
21757,Efficient Output Coupler,0.167,+7%,
21758,Enhanced Beam Capacitor,0.25,,+2%
21759,Additional Diode Battery,0.25,,+2%
21760,Efficient Diode Battery,0.5,,+3%
21761,Enhanced Photon Mirror,0.25,,+2%
21762,Efficient Output Coupler,0.5,,+3%
21763,Boosted Beam Amplifier,0.5,,+3%
21764,Enhanced Beam Capacitor,0.5,,+3%
21765,Boosted Photon Mirror,0.25,,+2%
21766,Retuned Reflector Glass,0.25,,+2%
21767,Additional Reflector Glass,0.667,+10%,
21768,Enhanced Light Filter,0.25,,+2%
21769,Additional Output Coupler,1.0,,+5%
21770,Efficient Light Filter,0.25,,+2%
21771,Retuned Beam Amplifier,0.5,+9%,
21772,Additional Output Coupler,0.167,+7%,
21773,Boosted Output Coupler,0.0,+6%,
21774,Efficient Emission Chamber,0.0,+6%,
21775,Efficient Beam Capacitor,0.667,+10%,
21776,Efficient Beam Amplifier,0.25,,+2%
21777,Retuned Photon Mirror,0.333,+8%,
21778,Enhanced Light Filter,0.25,,+2%
21779,Boosted Beam Amplifier,0.5,,+3%
21780,Efficient Emission Chamber,0.25,,+2%
21781,Efficient Beam Capacitor,0.5,,+3%
21782,Retuned Emission Chamber,0.25,,+2%
21783,Enhanced Output Coupler,0.25,,+2%
21784,Retuned Photon Mirror,1.0,+12%,
21785,Efficient Lens Optics,0.333,+8%,
21786,Boosted Photon Mirror,0.667,+10%,
21787,Enhanced Light Filter,0.25,,+2%
21788,Efficient Beam Amplifier,0.75,,+4%
21789,Additional Photon Mirror,0.25,,+2%
21790,Retuned Reflector Glass,0.25,,+2%
21791,Boosted Lens Optics,0.0,+6%,
21792,Boosted Photon Mirror,0.167,+7%,
21793,Boosted Diode Battery,0.0,+6%,
21794,Efficient Lens Optics,0.25,,+2%
21795,Efficient Cooling System,0.5,,+3%
21796,Additional Cooling System,0.5,,+3%
21797,Enhanced Photon Mirror,0.0,+6%,
21798,Enhanced Emission Chamber,0.167,+7%,
21799,Boosted Diode Battery,0.25,,+2%
21800,Additional Photon Mirror,0.5,,+3%
21801,Enhanced Emission Chamber,0.333,+8%,
21802,Boosted Beam Capacitor,0.0,+6%,
21803,Retuned Lens Optics,0.167,+7%,
21804,Efficient Output Coupler,0.25,,+2%
21805,Enhanced Cooling System,0.75,,+4%
21806,Additional Reflector Glass,0.25,,+2%
21807,Enhanced Reflector Glass,0.5,,+3%
21808,Additional Output Coupler,0.25,,+2%
21809,Retuned Output Coupler,0.25,,+2%
21810,Boosted Emission Chamber,0.333,+8%,
21811,Boosted Diode Battery,0.25,,+2%
21812,Boosted Photon Mirror,0.0,+6%,
21813,Enhanced Lens Optics,0.833,+11%,
21814,Enhanced Light Filter,0.167,+7%,
21815,Retuned Beam Capacitor,0.25,,+2%
21816,Efficient Emission Chamber,0.167,+7%,
21817,Enhanced Lens Optics,1.0,,+5%
21818,Retuned Output Coupler,0.5,,+3%
21819,Enhanced Cooling System,0.25,,+2%
21820,Additional Beam Capacitor,0.25,,+2%
21821,Retuned Output Coupler,0.0,+6%,
21822,Additional Emission Chamber,0.5,,+3%
21823,Boosted Emission Chamber,0.25,,+2%
21824,Enhanced Light Filter,0.0,+6%,
21825,Efficient Diode Battery,0.25,,+2%
21826,Efficient Photon Mirror,0.25,,+2%
21827,Efficient Light Filter,1.0,,+5%
21828,Boosted Photon Mirror,1.0,+12%,
21829,Retuned Emission Chamber,0.0,+6%,
21830,Boosted Reflector Glass,1.0,,+5%
21831,Enhanced Emission Chamber,0.75,,+4%
21832,Additional Beam Capacitor,0.833,+11%,
21833,Additional Cooling System,0.0,+6%,
21834,Boosted Beam Amplifier,0.5,,+3%
21835,Additional Lens Optics,0.833,+11%,
21836,Additional Diode Battery,0.5,,+3%
21837,Enhanced Light Filter,0.667,+10%,
21838,Efficient Reflector Glass,0.333,+8%,
21839,Efficient Beam Amplifier,0.25,,+2%
21840,Boosted Beam Capacitor,0.25,,+2%
21841,Retuned Reflector Glass,0.667,+10%,
21842,Boosted Beam Amplifier,0.167,+7%,
21843,Retuned Cooling System,0.0,+6%,
21844,Additional Emission Chamber,0.25,,+2%
21845,Additional Light Filter,0.25,,+2%
21846,Efficient Light Filter,0.0,+6%,
21847,Retuned Light Filter,0.5,+9%,
21848,Boosted Beam Capacitor,0.5,+9%,
21849,Additional Photon Mirror,0.0,+6%,
21850,Enhanced Diode Battery,0.0,+6%,
21851,Retuned Lens Optics,0.75,,+4%
21852,Additional Beam Amplifier,0.25,,+2%
21853,Enhanced Lens Optics,0.5,,+3%
21854,Retuned Cooling System,0.75,,+4%
21855,Additional Cooling System,0.667,+10%,
21856,Enhanced Beam Amplifier,0.5,,+3%
21857,Retuned Reflector Glass,0.25,,+2%
21858,Boosted Beam Capacitor,0.5,,+3%
21859,Additional Lens Optics,0.25,,+2%
21860,Efficient Output Coupler,0.667,+10%,
21861,Enhanced Cooling System,0.25,,+2%
21862,Retuned Lens Optics,0.5,,+3%
21863,Enhanced Lens Optics,0.25,,+2%
21864,Efficient Photon Mirror,0.167,+7%,
21865,Additional Photon Mirror,0.333,+8%,
21866,Efficient Output Coupler,0.25,,+2%
21867,Boosted Output Coupler,0.25,,+2%
21868,Additional Beam Amplifier,0.25,,+2%
21869,Additional Lens Optics,0.25,,+2%
21870,Retuned Reflector Glass,0.333,+8%,
21871,Additional Photon Mirror,0.5,,+3%
21872,Efficient Diode Battery,0.0,+6%,
21873,Enhanced Emission Chamber,0.5,+9%,
21874,Boosted Lens Optics,0.75,,+4%
21875,Enhanced Light Filter,0.167,+7%,
21876,Enhanced Reflector Glass,0.25,,+2%
21877,Additional Beam Capacitor,0.25,,+2%
21878,Boosted Lens Optics,0.25,,+2%
21879,Enhanced Beam Capacitor,0.0,+6%,
21880,Retuned Emission Chamber,0.5,+9%,
21881,Retuned Photon Mirror,0.833,+11%,
21882,Enhanced Output Coupler,1.0,,+5%
21883,Boosted Beam Capacitor,0.5,+9%,
21884,Boosted Beam Capacitor,0.0,+6%,
21885,Efficient Reflector Glass,0.75,,+4%
21886,Efficient Beam Capacitor,0.333,+8%,
21887,Efficient Output Coupler,0.667,+10%,
21888,Efficient Reflector Glass,0.0,+6%,
21889,Efficient Light Filter,0.5,,+3%
21890,Efficient Beam Amplifier,0.25,,+2%
21891,Enhanced Cooling System,0.75,,+4%
21892,Enhanced Emission Chamber,0.25,,+2%
21893,Efficient Lens Optics,0.167,+7%,
21894,Retuned Photon Mirror,0.667,+10%,
21895,Efficient Emission Chamber,0.75,,+4%
21896,Efficient Reflector Glass,0.25,,+2%
21897,Enhanced Photon Mirror,1.0,,+5%
21898,Efficient Lens Optics,0.333,+8%,
21899,Enhanced Emission Chamber,0.667,+10%,
21900,Efficient Light Filter,0.25,,+2%
21901,Boosted Reflector Glass,0.75,,+4%
21902,Enhanced Cooling System,0.75,,+4%
21903,Retuned Beam Amplifier,0.833,+11%,
21904,Enhanced Reflector Glass,0.167,+7%,
21905,Boosted Light Filter,0.167,+7%,
21906,Enhanced Lens Optics,1.0,,+5%
21907,Efficient Cooling System,0.25,,+2%
21908,Boosted Lens Optics,0.0,+6%,
21909,Efficient Photon Mirror,0.25,,+2%
21910,Retuned Photon Mirror,0.0,+6%,
21911,Additional Photon Mirror,0.25,,+2%
21912,Additional Light Filter,0.0,+6%,
21913,Retuned Beam Amplifier,0.833,+11%,
21914,Efficient Beam Capacitor,0.5,+9%,
21915,Additional Lens Optics,0.167,+7%,
21916,Additional Beam Amplifier,0.167,+7%,
21917,Retuned Beam Amplifier,0.5,,+3%
21918,Enhanced Diode Battery,0.5,,+3%
21919,Boosted Lens Optics,0.25,,+2%
21920,Retuned Photon Mirror,0.333,+8%,
21921,Retuned Lens Optics,0.333,+8%,
21922,Boosted Diode Battery,0.5,+9%,
21923,Additional Diode Battery,0.167,+7%,
21924,Boosted Beam Amplifier,0.25,,+2%
21925,Retuned Photon Mirror,0.75,,+4%
21926,Enhanced Emission Chamber,0.833,+11%,
21927,Retuned Photon Mirror,0.5,,+3%
21928,Enhanced Diode Battery,0.333,+8%,
21929,Efficient Lens Optics,0.75,,+4%
21930,Additional Output Coupler,0.333,+8%,
21931,Retuned Cooling System,0.333,+8%,
21932,Efficient Photon Mirror,0.167,+7%,
21933,Boosted Beam Capacitor,0.667,+10%,
21934,Additional Output Coupler,0.333,+8%,
21935,Additional Beam Capacitor,1.0,+12%,
21936,Additional Light Filter,0.167,+7%,
21937,Additional Reflector Glass,0.5,,+3%
21938,Efficient Cooling System,0.167,+7%,
21939,Additional Beam Amplifier,0.75,,+4%
21940,Efficient Photon Mirror,0.25,,+2%
21941,Retuned Light Filter,0.75,,+4%
21942,Boosted Output Coupler,0.167,+7%,
21943,Additional Emission Chamber,0.25,,+2%
21944,Enhanced Beam Amplifier,0.5,,+3%
21945,Efficient Output Coupler,0.5,+9%,
21946,Efficient Lens Optics,0.0,+6%,
21947,Retuned Beam Amplifier,0.25,,+2%
21948,Additional Emission Chamber,0.0,+6%,
21949,Additional Light Filter,0.5,+9%,
21950,Boosted Beam Capacitor,1.0,,+5%
21951,Enhanced Beam Amplifier,0.5,,+3%
21952,Retuned Photon Mirror,0.0,+6%,
21953,Enhanced Beam Amplifier,0.25,,+2%
21954,Retuned Diode Battery,0.0,+6%,
21955,Retuned Beam Amplifier,0.0,+6%,
21956,Retuned Output Coupler,0.25,,+2%
21957,Boosted Output Coupler,0.667,+10%,
21958,Additional Photon Mirror,0.75,,+4%
21959,Additional Cooling System,0.167,+7%,
21960,Additional Lens Optics,0.5,,+3%
21961,Boosted Beam Capacitor,1.0,,+5%
21962,Additional Cooling System,0.75,,+4%
21963,Efficient Light Filter,0.25,,+2%
21964,Enhanced Light Filter,0.25,,+2%
21965,Enhanced Emission Chamber,0.25,,+2%
21966,Enhanced Beam Capacitor,0.167,+7%,
21967,Efficient Reflector Glass,0.667,+10%,
21968,Enhanced Lens Optics,0.833,+11%,
21969,Additional Photon Mirror,0.333,+8%,
21970,Efficient Beam Amplifier,0.333,+8%,
21971,Retuned Diode Battery,0.25,,+2%
21972,Additional Diode Battery,0.0,+6%,
21973,Efficient Emission Chamber,0.5,,+3%
21974,Boosted Reflector Glass,0.5,,+3%
21975,Enhanced Diode Battery,0.25,,+2%
21976,Boosted Beam Capacitor,0.25,,+2%
21977,Efficient Beam Capacitor,0.75,,+4%
21978,Efficient Reflector Glass,0.25,,+2%
21979,Retuned Reflector Glass,1.0,,+5%
21980,Additional Reflector Glass,0.667,+10%,
21981,Retuned Cooling System,0.75,,+4%
21982,Retuned Beam Capacitor,0.0,+6%,
21983,Retuned Cooling System,0.25,,+2%
21984,Boosted Beam Capacitor,0.167,+7%,
21985,Enhanced Emission Chamber,0.25,,+2%
21986,Retuned Light Filter,1.0,,+5%
21987,Efficient Light Filter,0.5,,+3%
21988,Boosted Output Coupler,0.0,+6%,
21989,Enhanced Beam Capacitor,0.25,,+2%
21990,Boosted Photon Mirror,0.25,,+2%
21991,Enhanced Beam Amplifier,0.833,+11%,
21992,Boosted Light Filter,0.167,+7%,
21993,Efficient Beam Amplifier,0.25,,+2%
21994,Boosted Photon Mirror,0.333,+8%,
21995,Additional Cooling System,0.75,,+4%
21996,Enhanced Photon Mirror,0.5,,+3%
21997,Efficient Emission Chamber,0.25,,+2%
21998,Additional Lens Optics,0.167,+7%,
21999,Additional Beam Capacitor,0.667,+10%,
22000,Enhanced Beam Amplifier,0.167,+7%,
22001,Boosted Light Filter,0.167,+7%,
22002,Additional Output Coupler,0.25,,+2%
22003,Efficient Reflector Glass,0.25,,+2%
22004,Efficient Emission Chamber,0.167,+7%,
22005,Efficient Light Filter,0.5,,+3%
22006,Retuned Emission Chamber,0.333,+8%,
22007,Enhanced Beam Amplifier,0.0,+6%,
22008,Additional Reflector Glass,0.0,+6%,
22009,Retuned Reflector Glass,0.0,+6%,
22010,Efficient Emission Chamber,0.667,+10%,
22011,Additional Emission Chamber,0.333,+8%,
22012,Additional Lens Optics,0.5,,+3%
22013,Enhanced Beam Amplifier,0.25,,+2%
22014,Boosted Emission Chamber,0.75,,+4%
22015,Enhanced Cooling System,0.333,+8%,
22016,Additional Diode Battery,0.25,,+2%
22017,Retuned Beam Amplifier,0.0,+6%,
22018,Retuned Photon Mirror,0.25,,+2%
22019,Enhanced Light Filter,0.333,+8%,
22020,Enhanced Output Coupler,0.25,,+2%
22021,Additional Cooling System,0.0,+6%,
22022,Additional Output Coupler,0.0,+6%,
22023,Retuned Output Coupler,0.833,+11%,
22024,Additional Cooling System,0.833,+11%,
22025,Boosted Light Filter,0.5,,+3%
22026,Boosted Emission Chamber,0.25,,+2%
22027,Efficient Diode Battery,0.25,,+2%
22028,Efficient Beam Amplifier,0.75,,+4%
22029,Retuned Emission Chamber,0.25,,+2%
22030,Boosted Output Coupler,0.25,,+2%
22031,Efficient Diode Battery,0.5,,+3%
22032,Boosted Beam Capacitor,0.5,+9%,
22033,Enhanced Diode Battery,1.0,,+5%
22034,Retuned Emission Chamber,0.5,+9%,
22035,Efficient Reflector Glass,0.75,,+4%
22036,Retuned Diode Battery,0.25,,+2%
22037,Boosted Reflector Glass,0.5,+9%,
22038,Enhanced Beam Amplifier,0.5,,+3%
22039,Efficient Reflector Glass,0.25,,+2%
22040,Boosted Beam Capacitor,0.667,+10%,
22041,Retuned Lens Optics,0.0,+6%,
22042,Enhanced Lens Optics,0.333,+8%,
22043,Enhanced Cooling System,0.5,,+3%
22044,Efficient Beam Amplifier,0.333,+8%,
22045,Enhanced Output Coupler,0.0,+6%,
22046,Enhanced Cooling System,0.833,+11%,
22047,Additional Beam Amplifier,1.0,,+5%
22048,Boosted Photon Mirror,0.25,,+2%
22049,Additional Beam Amplifier,0.0,+6%,
22050,Additional Output Coupler,0.25,,+2%
22051,Efficient Cooling System,0.0,+6%,
22052,Enhanced Output Coupler,0.833,+11%,
22053,Additional Reflector Glass,0.75,,+4%
22054,Retuned Cooling System,0.5,,+3%
22055,Retuned Beam Capacitor,0.25,,+2%
22056,Enhanced Diode Battery,0.0,+6%,
22057,Efficient Diode Battery,0.5,+9%,
22058,Enhanced Output Coupler,0.0,+6%,
22059,Efficient Lens Optics,0.25,,+2%
22060,Additional Reflector Glass,0.333,+8%,
22061,Additional Output Coupler,0.5,,+3%
22062,Additional Reflector Glass,0.25,,+2%
22063,Retuned Light Filter,0.0,+6%,
22064,Additional Beam Capacitor,0.75,,+4%
22065,Boosted Beam Capacitor,1.0,+12%,
22066,Enhanced Diode Battery,0.167,+7%,
22067,Enhanced Light Filter,0.0,+6%,
22068,Retuned Photon Mirror,0.5,,+3%
22069,Boosted Light Filter,0.167,+7%,
22070,Boosted Emission Chamber,0.167,+7%,
22071,Enhanced Cooling System,0.0,+6%,
22072,Boosted Diode Battery,0.5,,+3%
