sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage
31962,Stretched Cornea,0.458,+33%,
31963,Fissured Cornea,0.0,,+12%
31964,Leaking Aperture,0.5,,+15%
31965,Leaking Lens,0.167,,+13%
31966,Stretched Aperture,0.083,+15%,
31967,Nervous Retina,0.354,+28%,
31968,Fidgety Aperture,0.104,+16%,
31969,Leaking Cornea,0.125,+17%,
31970,Stretched Reflector,0.146,+18%,
31971,Fissured Reflector,0.396,+30%,
31972,Fidgety Reflector,0.0,+11%,
31973,Leaking Pupil,0.104,+16%,
31974,Nervous Mirror,0.479,+34%,
31975,Leaking Pupil,0.0,,+12%
31976,Nervous Mirror,0.333,+11%,+14%
31977,Fissured Reflector,0.167,,+13%
31978,Stretched Cornea,0.0,,+12%
31979,Leaking Reflector,0.333,,+14%
31980,Nervous Reflector,0.042,+13%,
31981,Leaking Reflector,0.083,+15%,+12%
31982,Stretched Reflector,0.125,+17%,
31983,Nervous Pupil,0.042,+13%,+12%
31984,Stretched Lens,0.125,+17%,
31985,Fidgety Iris,0.167,+11%,+13%
31986,Fissured Iris,0.062,+14%,
31987,Leaking Lens,0.0,,+12%
31988,Leaking Reflector,0.125,+17%,
31989,Stretched Fluids,0.021,+12%,
31990,Leaking Cornea,0.0,,+12%
31991,Fissured Projector,0.062,+14%,
31992,Nervous Retina,0.271,+24%,
31993,Stretched Iris,0.167,,+13%
31994,Nervous Iris,0.333,,+14%
31995,Leaking Aperture,0.333,,+14%
31996,Fidgety Mirror,0.396,+30%,
31997,Nervous Projector,0.021,+12%,
31998,Stretched Mirror,0.229,+14%,+13%
31999,Nervous Cornea,0.229,+22%,
32000,Fidgety Iris,0.479,+34%,
32001,Nervous Mirror,0.646,+34%,+13%
32002,Fidgety Reflector,0.604,+24%,+14%
32003,Leaking Reflector,0.0,+11%,
32004,Fidgety Cornea,0.0,+11%,
32005,Nervous Reflector,0.021,+12%,
32006,Nervous Lens,0.396,+30%,+12%
32007,Nervous Cornea,0.292,+25%,
32008,Stretched Lens,0.0,,+12%
32009,Fidgety Mirror,0.604,+32%,+13%
32010,Stretched Reflector,0.0,,+12%
32011,Fissured Reflector,0.062,+14%,
32012,Stretched Pupil,0.0,+11%,
32013,Stretched Mirror,0.104,+16%,
32014,Fidgety Aperture,0.125,+17%,
32015,Leaking Reflector,0.5,,+15%
32016,Leaking Retina,0.479,+34%,
32017,Nervous Cornea,0.167,,+13%
32018,Nervous Iris,0.562,+22%,+14%
32019,Stretched Pupil,0.042,+13%,
32020,Fidgety Aperture,0.062,+14%,
32021,Fidgety Fluids,0.0,,+12%
32022,Fissured Mirror,0.0,,+12%
32023,Stretched Pupil,0.396,+30%,
32024,Leaking Projector,0.0,,+12%
32025,Stretched Lens,0.5,,+15%
32026,Fissured Lens,0.042,+13%,
32027,Fidgety Reflector,0.333,,+14%
32028,Fissured Iris,0.354,+28%,
32029,Leaking Iris,0.167,,+13%
32030,Leaking Retina,0.0,,+12%
32031,Fissured Projector,0.396,+30%,
32032,Stretched Projector,0.0,+11%,
32033,Stretched Retina,0.333,+11%,+14%
32034,Fidgety Cornea,0.083,+15%,
32035,Leaking Aperture,0.167,+19%,+12%
32036,Nervous Cornea,0.0,,+12%
32037,Stretched Aperture,0.0,,+12%
32038,Leaking Fluids,0.188,+20%,+12%
32039,Nervous Reflector,0.021,+12%,
32040,Nervous Projector,0.021,+12%,+12%
32041,Fidgety Pupil,0.0,,+12%
32042,Fissured Fluids,0.5,+35%,+12%
32043,Fissured Reflector,0.354,+28%,
32044,Nervous Aperture,0.333,,+14%
32045,Nervous Aperture,0.333,,+14%
32046,Fissured Iris,0.146,+18%,
32047,Nervous Aperture,0.333,+27%,
32048,Stretched Iris,0.333,,+14%
32049,Nervous Pupil,0.521,+12%,+15%
32050,Fidgety Retina,0.625,+17%,+15%
32051,Fissured Pupil,0.021,+12%,
32052,Fidgety Lens,0.312,+26%,
32053,Leaking Retina,0.396,+30%,
32054,Fissured Cornea,0.0,,+12%
32055,Stretched Projector,0.0,,+12%
32056,Nervous Pupil,0.0,,+12%
32057,Nervous Mirror,0.5,,+15%
32058,Fissured Fluids,0.396,+30%,
32059,Nervous Aperture,0.521,+12%,+15%
32060,Leaking Lens,0.0,,+12%
32061,Nervous Lens,0.0,,+12%
32062,Nervous Fluids,0.5,,+15%
32063,Fidgety Lens,0.0,+11%,
32064,Fissured Cornea,0.0,+11%,
32065,Nervous Fluids,0.167,,+13%
32066,Leaking Pupil,0.5,,+15%
32067,Fissured Fluids,0.333,,+14%
32068,Stretched Pupil,0.167,,+13%
32069,Nervous Lens,0.271,+24%,
32070,Nervous Lens,0.188,+20%,
32071,Fissured Projector,0.521,+20%,+14%
32072,Leaking Lens,0.0,+11%,
32073,Stretched Pupil,0.146,+18%,+12%
32074,Stretched Retina,0.0,,+12%
32075,Fidgety Projector,0.167,,+13%
32076,Fissured Lens,0.0,+11%,
32077,Stretched Fluids,0.333,,+14%
32078,Fissured Pupil,0.5,,+15%
32079,Fidgety Reflector,0.0,,+12%
32080,Fissured Retina,0.0,+11%,
32081,Nervous Retina,0.0,,+12%
32082,Leaking Cornea,0.458,+33%,
32083,Nervous Pupil,0.167,,+13%
32084,Leaking Fluids,0.0,,+12%
32085,Fidgety Mirror,0.458,+33%,
32086,Nervous Pupil,0.0,,+12%
32087,Fidgety Lens,0.188,+20%,
32088,Nervous Mirror,0.5,,+15%
32089,Leaking Fluids,0.292,+25%,
32090,Stretched Iris,0.396,+30%,
32091,Leaking Projector,0.0,,+12%
32092,Leaking Aperture,0.0,,+12%
32093,Fissured Mirror,0.0,,+12%
32094,Fidgety Pupil,0.0,,+12%
32095,Nervous Projector,0.5,,+15%
32096,Nervous Retina,0.208,+21%,
32097,Stretched Retina,0.417,+31%,
32098,Fissured Mirror,0.062,+14%,
32099,Nervous Aperture,0.042,+13%,
32100,Leaking Reflector,0.0,,+12%
32101,Fissured Retina,0.167,,+13%
32102,Fissured Reflector,0.167,,+13%
32103,Fidgety Fluids,0.312,+26%,
32104,Stretched Retina,0.396,+30%,
32105,Fissured Projector,0.333,,+14%
32106,Nervous Lens,0.0,+11%,
32107,Nervous Lens,0.125,+17%,
32108,Leaking Mirror,0.167,,+13%
32109,Nervous Retina,0.0,,+12%
32110,Stretched Lens,0.0,,+12%
32111,Fissured Cornea,0.125,+17%,+12%
32112,Fissured Pupil,0.167,,+13%
32113,Fidgety Iris,0.333,,+14%
32114,Nervous Fluids,0.104,+16%,
32115,Stretched Retina,0.0,+11%,
32116,Fidgety Iris,0.167,+19%,
32117,Leaking Reflector,0.0,,+12%
32118,Leaking Lens,0.167,,+13%
32119,Fissured Projector,0.208,+21%,
32120,Fissured Mirror,0.167,,+13%
32121,Leaking Pupil,0.0,+11%,
32122,Stretched Aperture,0.146,+18%,
32123,Fissured Mirror,0.0,,+12%
32124,Leaking Pupil,0.0,,+12%
32125,Nervous Iris,0.0,,+12%
32126,Fissured Fluids,0.208,+21%,
32127,Leaking Pupil,0.167,,+13%
32128,Leaking Iris,0.0,+11%,
32129,Fidgety Cornea,0.229,+14%,+13%
32130,Nervous Cornea,0.0,,+12%
32131,Fissured Aperture,0.188,+20%,
32132,Leaking Iris,0.062,+14%,
32133,Stretched Pupil,0.292,+25%,+12%
32134,Fidgety Fluids,0.333,,+14%
32135,Stretched Lens,0.333,,+14%
32136,Fidgety Fluids,0.25,+23%,
32137,Fissured Projector,0.271,+24%,
32138,Stretched Retina,0.0,,+12%
32139,Fissured Retina,0.0,,+12%
32140,Fissured Cornea,0.0,,+12%
32141,Fissured Cornea,0.5,,+15%
32142,Fidgety Projector,0.438,+24%,+13%
32143,Fidgety Cornea,0.312,+26%,+12%
32144,Fissured Reflector,0.0,,+12%
32145,Stretched Lens,0.271,+24%,
32146,Fissured Cornea,0.021,+12%,
32147,Stretched Fluids,0.333,,+14%
32148,Fissured Lens,0.0,,+12%
32149,Stretched Fluids,0.146,+18%,
32150,Fissured Projector,0.167,,+13%
32151,Leaking Aperture,0.021,+12%,
32152,Fidgety Pupil,0.104,+16%,
32153,Fissured Projector,0.167,,+13%
32154,Stretched Mirror,0.0,,+12%
32155,Fissured Pupil,0.333,,+14%
32156,Stretched Iris,0.0,,+12%
32157,Leaking Retina,0.146,+18%,
32158,Fissured Lens,0.0,,+12%
32159,Fissured Iris,0.479,+26%,+13%
32160,Fissured Cornea,0.333,,+14%
32161,Fissured Pupil,0.146,+18%,
32162,Leaking Lens,0.0,+11%,
32163,Leaking Aperture,0.0,,+12%
32164,Stretched Pupil,0.062,+14%,+12%
32165,Fidgety Cornea,0.0,+11%,
32166,Fissured Fluids,0.5,,+15%
32167,Fissured Fluids,0.146,+18%,
32168,Leaking Aperture,0.583,+15%,+15%
32169,Leaking Mirror,0.0,+11%,
32170,Leaking Aperture,0.167,+19%,
32171,Fidgety Projector,0.354,+12%,+14%
32172,Leaking Cornea,0.333,,+14%
32173,Stretched Retina,0.0,,+12%
32174,Fissured Reflector,0.042,+13%,
32175,Stretched Mirror,0.167,,+13%
32176,Fissured Reflector,0.125,+17%,
32177,Fidgety Aperture,0.312,+18%,+13%
32178,Fissured Pupil,0.479,+34%,
32179,Fissured Pupil,0.312,+26%,+12%
32180,Fissured Fluids,0.104,+16%,
32181,Leaking Fluids,0.167,+19%,
32182,Stretched Cornea,0.188,+20%,+12%
32183,Leaking Lens,0.0,,+12%
32184,Leaking Pupil,0.0,+11%,
32185,Fidgety Lens,0.0,+11%,
32186,Fissured Pupil,0.0,,+12%
32187,Fidgety Retina,0.125,+17%,+12%
32188,Nervous Lens,0.021,+12%,
32189,Stretched Reflector,0.25,+23%,+12%
32190,Fissured Lens,0.479,+34%,
32191,Fidgety Aperture,0.125,+17%,
32192,Leaking Cornea,0.5,,+15%
32193,Fissured Fluids,0.042,+13%,
32194,Leaking Reflector,0.062,+14%,
32195,Stretched Mirror,0.0,+11%,+12%
32196,Stretched Pupil,0.042,+13%,
32197,Stretched Aperture,0.0,,+12%
32198,Leaking Reflector,0.0,,+12%
32199,Fidgety Retina,0.042,+13%,
32200,Fissured Pupil,0.167,,+13%
32201,Leaking Aperture,0.062,+14%,
32202,Fidgety Mirror,0.167,+19%,
32203,Nervous Cornea,0.042,+13%,
32204,Stretched Fluids,0.167,,+13%
32205,Fissured Pupil,0.354,+28%,+12%
32206,Stretched Retina,0.167,+11%,+13%
32207,Fidgety Reflector,0.5,,+15%
32208,Stretched Reflector,0.188,+20%,+12%
32209,Leaking Fluids,0.25,+23%,
32210,Stretched Iris,0.0,,+12%
32211,Leaking Iris,0.0,,+12%
32212,Fidgety Pupil,0.0,,+12%
32213,Fidgety Fluids,0.083,+15%,
32214,Nervous Mirror,0.375,+29%,
32215,Nervous Pupil,0.438,+32%,
32216,Leaking Mirror,0.708,+21%,+15%
32217,Leaking Projector,0.167,,+13%
32218,Fidgety Projector,0.438,+32%,
32219,Fissured Cornea,0.5,,+15%
32220,Fidgety Reflector,0.312,+26%,
32221,Leaking Aperture,0.0,+11%,
32222,Fidgety Pupil,0.104,+16%,
32223,Fidgety Iris,0.0,,+12%
32224,Nervous Lens,0.333,,+14%
32225,Nervous Pupil,0.167,,+13%
32226,Leaking Pupil,0.0,+11%,
32227,Leaking Pupil,0.0,+11%,
32228,Nervous Reflector,0.333,,+14%
32229,Stretched Pupil,0.333,,+14%
32230,Nervous Aperture,0.0,,+12%
32231,Stretched Pupil,0.167,,+13%
32232,Fidgety Mirror,0.021,+12%,
32233,Stretched Mirror,0.0,,+12%
32234,Fissured Pupil,0.125,+17%,
32235,Nervous Mirror,0.0,+11%,
32236,Nervous Reflector,0.042,+13%,
32237,Fissured Pupil,0.312,+26%,
32238,Fissured Cornea,0.0,+11%,
32239,Fissured Retina,0.0,,+12%
32240,Leaking Iris,0.167,,+13%
32241,Fidgety Reflector,0.167,+19%,
32242,Leaking Fluids,0.0,+11%,
32243,Fissured Cornea,0.167,,+13%
32244,Fidgety Reflector,0.396,+30%,
32245,Leaking Cornea,0.167,,+13%
32246,Leaking Aperture,0.0,+11%,
32247,Nervous Mirror,0.333,,+14%
32248,Fissured Fluids,0.021,+12%,
32249,Fissured Iris,0.0,,+12%
32250,Fissured Reflector,0.062,+14%,
32251,Nervous Reflector,0.042,+13%,
32252,Stretched Iris,0.5,,+15%
32253,Nervous Aperture,0.0,,+12%
32254,Fissured Aperture,0.0,,+12%
32255,Leaking Aperture,0.0,,+12%
32256,Nervous Pupil,0.167,,+13%
32257,Fissured Projector,0.208,+21%,
32258,Stretched Fluids,0.333,,+14%
32259,Nervous Retina,0.167,,+13%
32260,Leaking Mirror,0.229,+22%,
32261,Stretched Iris,0.292,+25%,
32262,Leaking Projector,0.0,,+12%
32263,Leaking Cornea,0.0,+11%,
32264,Stretched Iris,0.333,+11%,+14%
32265,Fidgety Reflector,0.375,+29%,
32266,Fidgety Mirror,0.0,+11%,
32267,Stretched Iris,0.354,+28%,+12%
32268,Fidgety Cornea,0.5,,+15%
32269,Nervous Iris,0.333,,+14%
32270,Fissured Reflector,0.229,+22%,
32271,Fissured Aperture,0.375,+29%,
32272,Fidgety Retina,0.042,+13%,
32273,Leaking Pupil,0.167,,+13%
32274,Nervous Lens,0.354,+28%,
32275,Fissured Iris,0.229,+22%,
32276,Stretched Cornea,0.083,+15%,
32277,Fissured Fluids,0.167,,+13%
32278,Stretched Reflector,0.208,+21%,
32279,Nervous Projector,0.167,,+13%
32280,Fissured Cornea,0.333,,+14%
32281,Fidgety Mirror,0.229,+22%,
32282,Nervous Reflector,0.104,+16%,+12%
32283,Nervous Aperture,0.312,+26%,
32284,Fidgety Retina,0.021,+12%,
32285,Fissured Reflector,0.167,,+13%
32286,Fissured Fluids,0.0,,+12%
32287,Leaking Reflector,0.125,+17%,
32288,Stretched Mirror,0.0,+11%,+12%
32289,Fissured Retina,0.167,,+13%
32290,Fissured Pupil,0.021,+12%,
32291,Fidgety Projector,0.292,+25%,
32292,Stretched Iris,0.333,+27%,+12%
32293,Fissured Iris,0.271,+24%,
32294,Fidgety Cornea,0.396,+30%,
32295,Nervous Reflector,0.5,,+15%
32296,Fidgety Aperture,0.0,+11%,
32297,Stretched Pupil,0.0,,+12%
32298,Nervous Aperture,0.292,+17%,+13%
32299,Stretched Cornea,0.5,+35%,+12%
32300,Nervous Fluids,0.146,+18%,
32301,Leaking Projector,0.333,,+14%
32302,Leaking Fluids,0.333,+27%,
32303,Leaking Reflector,0.5,,+15%
32304,Fidgety Lens,0.0,,+12%
32305,Fidgety Aperture,0.0,,+12%
32306,Fidgety Mirror,0.083,+15%,
32307,Leaking Fluids,0.0,,+12%
32308,Fidgety Pupil,0.167,,+13%
32309,Fidgety Cornea,0.0,,+12%
32310,Leaking Aperture,0.104,+16%,+12%
32311,Leaking Reflector,0.0,+11%,
32312,Stretched Pupil,0.396,+30%,
32313,Fissured Mirror,0.0,,+12%
32314,Leaking Fluids,0.0,,+12%
32315,Fissured Projector,0.229,+22%,
32316,Fissured Retina,0.104,+16%,
32317,Stretched Retina,0.333,,+14%
32318,Nervous Retina,0.0,+11%,
32319,Leaking Fluids,0.0,,+12%
32320,Leaking Pupil,0.083,+15%,
32321,Stretched Iris,0.021,+12%,
32322,Leaking Pupil,0.042,+13%,
32323,Nervous Cornea,0.021,+12%,
32324,Nervous Lens,0.417,+31%,+12%
32325,Stretched Reflector,0.521,+12%,+15%
32326,Fissured Pupil,0.0,+11%,
32327,Leaking Pupil,0.208,+21%,+12%
32328,Fissured Projector,0.417,+31%,
32329,Fidgety Iris,0.333,,+14%
32330,Fidgety Fluids,0.0,,+12%
32331,Leaking Iris,0.021,+12%,
32332,Nervous Iris,0.0,+11%,
32333,Nervous Fluids,0.354,+28%,
32334,Fidgety Pupil,0.0,+11%,
32335,Leaking Iris,0.333,,+14%
32336,Nervous Reflector,0.333,,+14%
32337,Stretched Cornea,0.5,,+15%
32338,Stretched Pupil,0.167,+19%,+12%
32339,Fissured Iris,0.083,+15%,
32340,Fissured Aperture,0.042,+13%,
32341,Leaking Mirror,0.417,+31%,+12%
32342,Stretched Retina,0.021,+12%,
32343,Fissured Pupil,0.125,+17%,
32344,Fidgety Projector,0.375,+29%,
32345,Fissured Projector,0.25,+23%,
32346,Fissured Aperture,0.167,,+13%
32347,Fissured Lens,0.333,,+14%
32348,Nervous Aperture,0.375,+29%,
32349,Leaking Lens,0.104,+16%,
32350,Nervous Projector,0.333,,+14%
32351,Fidgety Projector,0.0,,+12%
32352,Fidgety Cornea,0.167,,+13%
32353,Nervous Iris,0.146,+18%,
32354,Fissured Lens,0.125,+17%,+12%
32355,Stretched Lens,0.0,+11%,
32356,Nervous Cornea,0.333,,+14%
32357,Leaking Iris,0.0,,+12%
32358,Leaking Iris,0.5,,+15%
32359,Leaking Mirror,0.188,+20%,
32360,Leaking Aperture,0.0,+11%,
32361,Fissured Cornea,0.292,+25%,
32362,Nervous Reflector,0.438,+32%,
32363,Fissured Iris,0.0,+11%,
32364,Stretched Lens,0.0,,+12%
32365,Fidgety Cornea,0.167,,+13%
32366,Stretched Retina,0.333,,+14%
32367,Nervous Retina,0.0,+11%,
32368,Fissured Reflector,0.167,+19%,+12%
32369,Fidgety Lens,0.333,,+14%
32370,Stretched Projector,0.333,,+14%
32371,Nervous Projector,0.167,+19%,
32372,Fissured Projector,0.333,,+14%
32373,Nervous Aperture,0.167,,+13%
32374,Stretched Pupil,0.0,+11%,
32375,Fissured Mirror,0.0,,+12%
32376,Fissured Lens,0.0,+11%,
32377,Leaking Cornea,0.417,+31%,
32378,Fidgety Fluids,0.125,+17%,
32379,Leaking Mirror,0.104,+16%,
32380,Fidgety Iris,0.333,,+14%
32381,Fissured Aperture,0.5,+11%,+15%
32382,Fissured Cornea,0.062,+14%,
32383,Leaking Retina,0.0,+11%,
32384,Fidgety Retina,0.125,+17%,
32385,Stretched Projector,0.0,,+12%
32386,Fissured Cornea,0.0,,+12%
32387,Fidgety Projector,0.0,,+12%
32388,Stretched Mirror,0.167,,+13%
32389,Stretched Retina,0.146,+18%,
32390,Stretched Retina,0.062,+14%,+12%
32391,Nervous Fluids,0.0,+11%,
32392,Fissured Cornea,0.0,+11%,
32393,Leaking Fluids,0.0,+11%,
32394,Nervous Reflector,0.0,,+12%
32395,Fissured Projector,0.333,,+14%
32396,Nervous Cornea,0.583,+23%,+14%
32397,Fissured Aperture,0.0,,+12%
32398,Fissured Cornea,0.0,,+12%
32399,Fidgety Iris,0.458,+33%,
32400,Fissured Reflector,0.0,,+12%
32401,Fidgety Cornea,0.0,,+12%
32402,Fissured Cornea,0.0,,+12%
32403,Leaking Pupil,0.021,+12%,
32404,Leaking Lens,0.083,+15%,+12%
32405,Leaking Lens,0.0,,+12%
32406,Stretched Pupil,0.0,,+12%
32407,Leaking Mirror,0.208,+21%,
32408,Leaking Mirror,0.021,+12%,
32409,Fissured Iris,0.0,,+12%
32410,Nervous Lens,0.0,,+12%
32411,Leaking Pupil,0.0,,+12%
32412,Fidgety Mirror,0.125,+17%,
32413,Leaking Cornea,0.167,,+13%
32414,Fissured Retina,0.5,+35%,
32415,Stretched Pupil,0.125,+17%,
32416,Stretched Lens,0.021,+12%,
32417,Stretched Lens,0.167,,+13%
32418,Nervous Cornea,0.062,+14%,
32419,Leaking Lens,0.0,+11%,
32420,Fissured Projector,0.0,,+12%
32421,Leaking Fluids,0.042,+13%,
32422,Leaking Iris,0.0,,+12%
32423,Leaking Mirror,0.062,+14%,
32424,Fidgety Pupil,0.0,,+12%
32425,Leaking Iris,0.0,+11%,+12%
32426,Leaking Fluids,0.333,+27%,+12%
32427,Nervous Fluids,0.167,,+13%
32428,Fissured Pupil,0.0,,+12%
32429,Leaking Lens,0.042,+13%,
32430,Fissured Retina,0.0,,+12%
32431,Fidgety Lens,0.0,,+12%
32432,Fidgety Projector,0.0,,+12%
32433,Fidgety Lens,0.167,,+13%
32434,Fidgety Mirror,0.0,,+12%
32435,Nervous Reflector,0.417,+31%,
32436,Stretched Lens,0.0,+11%,+12%
32437,Fissured Pupil,0.021,+12%,
32438,Fidgety Aperture,0.167,,+13%
32439,Fissured Projector,0.292,+25%,
32440,Nervous Reflector,0.0,,+12%
32441,Leaking Mirror,0.021,+12%,+12%
32442,Nervous Iris,0.292,+25%,
32443,Leaking Iris,0.167,+19%,
32444,Nervous Fluids,0.625,+17%,+15%
32445,Fidgety Iris,0.5,,+15%
32446,Stretched Projector,0.229,+22%,
32447,Fidgety Reflector,0.0,+11%,
32448,Leaking Retina,0.0,+11%,+12%
32449,Fissured Retina,0.062,+14%,
32450,Leaking Fluids,0.0,,+12%
32451,Fidgety Projector,0.5,,+15%
32452,Stretched Retina,0.354,+20%,+13%
32453,Fidgety Lens,0.5,,+15%
32454,Fidgety Retina,0.0,,+12%
32455,Nervous Retina,0.0,+11%,
32456,Stretched Pupil,0.625,+17%,+15%
32457,Leaking Projector,0.375,+29%,
32458,Fidgety Aperture,0.312,+26%,
32459,Stretched Aperture,0.167,,+13%
32460,Fidgety Aperture,0.0,,+12%
32461,Leaking Retina,0.5,,+15%
32462,Stretched Retina,0.5,,+15%
32463,Nervous Cornea,0.0,,+12%
32464,Leaking Retina,0.333,,+14%
32465,Stretched Reflector,0.083,+15%,
32466,Leaking Fluids,0.0,+11%,+12%
32467,Leaking Pupil,0.979,+34%,+15%
32468,Fissured Fluids,0.0,+11%,
32469,Leaking Mirror,0.0,,+12%
32470,Stretched Iris,0.062,+14%,
32471,Fidgety Fluids,0.167,,+13%
32472,Nervous Pupil,0.0,,+12%
32473,Stretched Pupil,0.333,,+14%
32474,Fidgety Projector,0.167,,+13%
32475,Fissured Mirror,0.0,+11%,
32476,Fissured Pupil,0.021,+12%,
32477,Leaking Lens,0.167,+19%,
32478,Stretched Retina,0.333,,+14%
32479,Nervous Retina,0.021,+12%,+12%
32480,Nervous Fluids,0.083,+15%,+12%
32481,Stretched Lens,0.333,+27%,
32482,Stretched Lens,0.0,,+12%
32483,Fissured Pupil,0.375,+29%,
32484,Nervous Pupil,0.333,+27%,
32485,Leaking Projector,0.354,+28%,
32486,Leaking Lens,0.5,,+15%
32487,Stretched Pupil,0.438,+32%,
32488,Fidgety Projector,0.0,,+12%
32489,Leaking Fluids,0.0,+11%,
32490,Stretched Iris,0.083,+15%,
32491,Leaking Reflector,0.396,+30%,
32492,Nervous Reflector,0.042,+13%,
32493,Fidgety Aperture,0.333,,+14%
32494,Nervous Reflector,0.0,,+12%
32495,Stretched Lens,0.021,+12%,
32496,Nervous Cornea,0.062,+14%,+12%
32497,Nervous Cornea,0.146,+18%,
32498,Fidgety Pupil,0.5,,+15%
32499,Fidgety Projector,0.0,,+12%
32500,Stretched Iris,0.25,+23%,
32501,Leaking Mirror,0.167,+11%,+13%
32502,Stretched Aperture,0.333,,+14%
32503,Fidgety Retina,0.333,,+14%
32504,Stretched Aperture,0.458,+25%,+13%
32505,Leaking Aperture,0.167,+11%,+13%
32506,Stretched Reflector,0.5,+35%,
32507,Stretched Lens,0.167,,+13%
32508,Nervous Iris,0.333,,+14%
32509,Leaking Mirror,0.083,+15%,
32510,Nervous Aperture,0.125,+17%,
32511,Fidgety Lens,0.0,,+12%
32512,Nervous Lens,0.333,,+14%
32513,Nervous Aperture,0.188,+20%,
32514,Leaking Mirror,0.208,+21%,+12%
32515,Fissured Pupil,0.0,+11%,+12%
32516,Fissured Mirror,0.0,,+12%
32517,Fidgety Retina,0.312,+26%,
32518,Fidgety Cornea,0.208,+13%,+13%
32519,Fidgety Fluids,0.708,+21%,+15%
32520,Stretched Cornea,0.0,,+12%
32521,Nervous Cornea,0.562,+22%,+14%
32522,Fissured Cornea,0.042,+13%,
32523,Fissured Lens,0.104,+16%,
32524,Leaking Projector,0.5,+35%,
32525,Fidgety Projector,0.0,,+12%
32526,Leaking Projector,0.167,,+13%
32527,Stretched Mirror,0.0,,+12%
32528,Fissured Reflector,0.333,,+14%
32529,Leaking Retina,0.208,+21%,
32530,Fissured Lens,0.0,+11%,
32531,Nervous Aperture,0.062,+14%,+12%
32532,Fidgety Retina,0.167,,+13%
32533,Nervous Retina,0.062,+14%,
32534,Fissured Aperture,0.0,,+12%
32535,Stretched Aperture,0.167,+19%,
32536,Fidgety Fluids,0.0,+11%,
32537,Nervous Cornea,0.333,,+14%
32538,Nervous Lens,0.146,+18%,
32539,Fidgety Lens,0.417,+31%,
32540,Leaking Cornea,0.0,,+12%
32541,Fidgety Pupil,0.104,+16%,
32542,Leaking Fluids,0.271,+16%,+13%
32543,Stretched Lens,0.333,,+14%
32544,Fissured Projector,0.417,+31%,
32545,Nervous Aperture,0.0,,+12%
32546,Fidgety Cornea,0.25,+23%,
32547,Leaking Projector,0.0,+11%,+12%
32548,Fidgety Retina,0.167,,+13%
32549,Fidgety Lens,0.229,+22%,+12%
32550,Fissured Cornea,0.0,+11%,
32551,Stretched Aperture,0.0,,+12%
32552,Fidgety Aperture,0.208,+21%,
32553,Leaking Aperture,0.354,+28%,
32554,Leaking Pupil,0.188,+20%,
32555,Fissured Aperture,0.167,+19%,
32556,Fissured Iris,0.042,+13%,+12%
32557,Nervous Pupil,0.188,+20%,
32558,Fissured Retina,0.0,,+12%
32559,Fidgety Aperture,0.167,,+13%
32560,Leaking Aperture,0.167,+19%,
32561,Nervous Projector,0.0,,+12%
32562,Fissured Lens,0.0,,+12%
32563,Fissured Mirror,0.229,+22%,+12%
32564,Stretched Cornea,0.0,,+12%
32565,Stretched Cornea,0.333,,+14%
32566,Stretched Iris,0.0,,+12%
32567,Nervous Mirror,0.479,+34%,
32568,Nervous Iris,0.458,+17%,+14%
32569,Fidgety Retina,0.0,+11%,
32570,Stretched Cornea,0.0,+11%,
32571,Fidgety Pupil,0.5,,+15%
32572,Fissured Aperture,0.0,,+12%
32573,Fissured Lens,0.167,+19%,
32574,Nervous Retina,0.333,+27%,
32575,Stretched Pupil,0.333,+27%,
32576,Nervous Aperture,0.333,,+14%
32577,Fidgety Fluids,0.167,,+13%
32578,Stretched Mirror,0.0,+11%,
32579,Fidgety Iris,0.458,+33%,
32580,Nervous Cornea,0.0,+11%,
32581,Stretched Retina,0.333,+11%,+14%
32582,Nervous Mirror,0.021,+12%,
32583,Fissured Reflector,0.333,,+14%
32584,Leaking Mirror,0.042,+13%,+12%
32585,Stretched Retina,0.271,+24%,+12%
32586,Stretched Reflector,0.0,,+12%
32587,Fidgety Aperture,0.333,,+14%
32588,Fissured Retina,0.292,+25%,
32589,Leaking Mirror,0.208,+21%,
32590,Fissured Iris,0.0,+11%,
32591,Fissured Cornea,0.333,,+14%
32592,Stretched Cornea,0.167,,+13%
32593,Nervous Pupil,0.333,+27%,+12%
32594,Fissured Reflector,0.5,,+15%
32595,Fidgety Aperture,0.562,+22%,+14%
32596,Stretched Mirror,0.5,,+15%
32597,Fissured Reflector,0.583,+15%,+15%
32598,Fidgety Retina,0.0,,+12%
32599,Fissured Retina,0.167,,+13%
32600,Fissured Cornea,0.062,+14%,
32601,Stretched Cornea,0.0,,+12%
32602,Stretched Pupil,0.021,+12%,
32603,Leaking Mirror,0.271,+24%,
32604,Leaking Aperture,0.021,+12%,+12%
32605,Stretched Cornea,0.0,,+12%
32606,Fissured Iris,0.458,+33%,
32607,Fissured Mirror,0.0,,+12%
32608,Stretched Cornea,0.021,+12%,
32609,Fidgety Projector,0.104,+16%,
32610,Leaking Pupil,0.0,,+12%
32611,Stretched Mirror,0.167,+19%,
32612,Leaking Mirror,0.021,+12%,
32613,Nervous Retina,0.375,+29%,
32614,Fissured Lens,0.354,+12%,+14%
32615,Nervous Reflector,0.042,+13%,
32616,Fidgety Reflector,0.5,,+15%
32617,Nervous Retina,0.0,,+12%
