Seed	Name	Perfection	Ship_Hyperdrive_JumpDistance
11145	Clammy Stellar Processor	0.08	54 ly
11146	Moistened Bio-Reality Generator	0.64	82 ly
11147	Clammy Sensory Veil	0.76	88 ly
11148	Threaded Sensory Veil	0.08	54 ly
11149	Threaded Emotal Core	0.1	55 ly
11150	Threaded Memory Calculus	0.64	82 ly
11151	Moistened Stellar Processor	0.0	50 ly
11152	Moistened Sensory Veil	0.0	50 ly
11153	Moistened Cluster Stem	0.02	51 ly
11154	Moistened Sensory Veil	0.08	54 ly
11155	Moistened Neural Matrix	0.2	60 ly
11156	Fragile Sensory Veil	0.2	60 ly
11157	Moistened Lobe Actuator	0.12	56 ly
11158	Clammy Emotal Core	0.12	56 ly
11159	Clammy Neural Matrix	0.2	60 ly
11160	Fragile Cluster Stem	0.22	61 ly
11161	Threaded Hive Stem	0.16	58 ly
11162	Gooey Cluster Stem	0.28	64 ly
11163	Fragile Lobes	0.06	53 ly
11164	Moistened Lobes	0.08	54 ly
11165	Gooey Bio-Reality Generator	0.0	50 ly
11166	Threaded Lobes	0.58	79 ly
11167	Threaded Memory Calculus	0.24	62 ly
11168	Threaded Stellar Processor	0.8	90 ly
11169	Threaded Memory Calculus	0.2	60 ly
11170	Gooey Cluster Stem	0.92	96 ly
11171	Moistened Lobes	0.02	51 ly
11172	Moistened Sensory Veil	0.3	65 ly
11173	Moistened Bio-Reality Generator	0.16	58 ly
11174	Threaded Emotal Core	0.74	87 ly
11175	Threaded Lobe Actuator	0.12	56 ly
11176	Clammy Hive Stem	0.18	59 ly
11177	Moistened Stellar Processor	0.04	52 ly
11178	Clammy Bio-Reality Generator	0.2	60 ly
11179	Gooey Sensory Veil	0.08	54 ly
11180	Clammy Sensory Veil	0.0	50 ly
11181	Threaded Lobes	0.54	77 ly
11182	Threaded Lobes	0.02	51 ly
11183	Fragile Lobes	0.26	63 ly
11184	Fragile Bio-Reality Generator	0.52	76 ly
11185	Threaded Cluster Stem	0.94	97 ly
11186	Gooey Stellar Processor	0.52	76 ly
11187	Fragile Lobe Actuator	0.12	56 ly
11188	Clammy Neural Matrix	0.14	57 ly
11189	Moistened Memory Calculus	0.02	51 ly
11190	Clammy Bio-Reality Generator	0.4	70 ly
11191	Clammy Sensory Veil	0.4	70 ly
11192	Clammy Bio-Reality Generator	0.08	54 ly
11193	Moistened Stellar Processor	0.56	78 ly
11194	Clammy Lobe Actuator	0.08	54 ly
11195	Clammy Memory Calculus	0.52	76 ly
11196	Fragile Lobe Actuator	0.2	60 ly
11197	Clammy Hive Stem	0.06	53 ly
11198	Threaded Cluster Stem	0.42	71 ly
11199	Moistened Neural Matrix	0.6	80 ly
11200	Fragile Bio-Reality Generator	0.08	54 ly
11201	Gooey Bio-Reality Generator	0.14	57 ly
11202	Gooey Lobes	0.82	91 ly
11203	Clammy Stellar Processor	0.02	51 ly
11204	Fragile Cluster Stem	0.72	86 ly
11205	Gooey Stellar Processor	0.04	52 ly
11206	Gooey Neural Matrix	0.12	56 ly
11207	Threaded Lobe Actuator	0.4	70 ly
11208	Gooey Sensory Veil	0.2	60 ly
11209	Threaded Stellar Processor	1.0	100 ly
11210	Threaded Bio-Reality Generator	0.4	70 ly
11211	Gooey Sensory Veil	0.04	52 ly
11212	Gooey Bio-Reality Generator	0.56	78 ly
11213	Moistened Memory Calculus	0.06	53 ly
11214	Moistened Neural Matrix	0.54	77 ly
11215	Threaded Stellar Processor	0.24	62 ly
11216	Threaded Cluster Stem	0.12	56 ly
11217	Fragile Cluster Stem	0.74	87 ly
11218	Threaded Neural Matrix	0.06	53 ly
11219	Threaded Neural Matrix	0.2	60 ly
11220	Moistened Lobes	0.1	55 ly
11221	Clammy Memory Calculus	0.44	72 ly
11222	Clammy Sensory Veil	0.02	51 ly
11223	Fragile Memory Calculus	0.7	85 ly
11224	Moistened Cluster Stem	0.04	52 ly
11225	Threaded Lobe Actuator	0.2	60 ly
11226	Moistened Cluster Stem	0.7	85 ly
11227	Fragile Stellar Processor	0.08	54 ly
11228	Gooey Lobes	0.02	51 ly
11229	Gooey Cluster Stem	0.08	54 ly
11230	Fragile Emotal Core	0.2	60 ly
11231	Moistened Hive Stem	0.16	58 ly
11232	Moistened Lobe Actuator	0.06	53 ly
11233	Clammy Cluster Stem	0.24	62 ly
11234	Threaded Stellar Processor	0.32	66 ly
11235	Threaded Lobe Actuator	0.9	95 ly
11236	Gooey Bio-Reality Generator	0.74	87 ly
11237	Fragile Stellar Processor	0.12	56 ly
11238	Moistened Lobe Actuator	0.22	61 ly
11239	Fragile Lobes	0.1	55 ly
11240	Clammy Emotal Core	0.64	82 ly
11241	Clammy Sensory Veil	0.06	53 ly
11242	Moistened Neural Matrix	0.26	63 ly
11243	Moistened Cluster Stem	0.62	81 ly
11244	Fragile Hive Stem	0.3	65 ly
11245	Threaded Hive Stem	0.62	81 ly
11246	Clammy Bio-Reality Generator	0.76	88 ly
11247	Gooey Lobe Actuator	0.98	99 ly
11248	Gooey Cluster Stem	0.0	50 ly
11249	Fragile Bio-Reality Generator	0.94	97 ly
11250	Clammy Memory Calculus	0.96	98 ly
11251	Fragile Stellar Processor	0.22	61 ly
11252	Clammy Lobe Actuator	0.0	50 ly
11253	Fragile Stellar Processor	0.0	50 ly
11254	Fragile Memory Calculus	0.02	51 ly
11255	Moistened Cluster Stem	0.0	50 ly
11256	Gooey Hive Stem	0.06	53 ly
11257	Threaded Neural Matrix	0.02	51 ly
11258	Clammy Lobes	0.08	54 ly
11259	Clammy Stellar Processor	0.78	89 ly
11260	Threaded Lobe Actuator	0.32	66 ly
11261	Fragile Emotal Core	0.32	66 ly
11262	Gooey Cluster Stem	0.56	78 ly
11263	Threaded Bio-Reality Generator	0.02	51 ly
11264	Fragile Lobes	0.08	54 ly
11265	Threaded Lobes	0.04	52 ly
11266	Threaded Lobe Actuator	0.68	84 ly
11267	Threaded Stellar Processor	0.94	97 ly
11268	Fragile Bio-Reality Generator	0.86	93 ly
11269	Threaded Emotal Core	0.1	55 ly
11270	Fragile Memory Calculus	0.04	52 ly
11271	Threaded Stellar Processor	0.9	95 ly
11272	Threaded Cluster Stem	0.28	64 ly
11273	Threaded Sensory Veil	0.54	77 ly
11274	Moistened Lobes	0.5	75 ly
11275	Clammy Sensory Veil	0.62	81 ly
11276	Fragile Emotal Core	0.2	60 ly
11277	Moistened Stellar Processor	0.52	76 ly
11278	Gooey Cluster Stem	0.04	52 ly
11279	Moistened Stellar Processor	0.02	51 ly
11280	Moistened Lobes	0.88	94 ly
11281	Fragile Lobe Actuator	0.34	67 ly
11282	Clammy Cluster Stem	0.06	53 ly
11283	Moistened Lobes	0.0	50 ly
11284	Threaded Emotal Core	0.54	77 ly
11285	Clammy Bio-Reality Generator	0.54	77 ly
11286	Gooey Bio-Reality Generator	0.68	84 ly
11287	Moistened Memory Calculus	0.0	50 ly
11288	Clammy Hive Stem	0.5	75 ly
11289	Threaded Memory Calculus	0.4	70 ly
11290	Fragile Lobes	0.2	60 ly
11291	Threaded Neural Matrix	0.88	94 ly
11292	Clammy Hive Stem	0.08	54 ly
11293	Fragile Stellar Processor	0.08	54 ly
11294	Fragile Stellar Processor	0.18	59 ly
11295	Threaded Memory Calculus	0.0	50 ly
11296	Gooey Hive Stem	0.2	60 ly
11297	Moistened Stellar Processor	0.8	90 ly
11298	Threaded Lobe Actuator	0.3	65 ly
11299	Clammy Sensory Veil	0.0	50 ly
11300	Moistened Hive Stem	0.1	55 ly
11301	Threaded Emotal Core	0.72	86 ly
11302	Fragile Stellar Processor	0.42	71 ly
11303	Moistened Bio-Reality Generator	0.84	92 ly
11304	Fragile Hive Stem	0.72	86 ly
11305	Threaded Memory Calculus	0.46	73 ly
11306	Moistened Stellar Processor	0.02	51 ly
11307	Moistened Emotal Core	0.54	77 ly
11308	Moistened Cluster Stem	0.16	58 ly
11309	Moistened Lobe Actuator	0.9	95 ly
11310	Threaded Neural Matrix	0.0	50 ly
11311	Fragile Neural Matrix	0.1	55 ly
11312	Clammy Cluster Stem	0.38	69 ly
11313	Clammy Stellar Processor	0.68	84 ly
11314	Clammy Cluster Stem	0.04	52 ly
11315	Clammy Emotal Core	0.0	50 ly
11316	Gooey Sensory Veil	0.66	83 ly
11317	Fragile Stellar Processor	0.58	79 ly
11318	Threaded Neural Matrix	0.62	81 ly
11319	Threaded Neural Matrix	0.08	54 ly
11320	Threaded Cluster Stem	0.36	68 ly
11321	Moistened Memory Calculus	0.92	96 ly
11322	Clammy Sensory Veil	0.42	71 ly
11323	Threaded Stellar Processor	0.06	53 ly
11324	Moistened Neural Matrix	0.02	51 ly
11325	Moistened Lobe Actuator	0.52	76 ly
11326	Gooey Sensory Veil	0.18	59 ly
11327	Moistened Memory Calculus	0.02	51 ly
11328	Fragile Lobe Actuator	0.04	52 ly
11329	Clammy Bio-Reality Generator	0.12	56 ly
11330	Moistened Sensory Veil	0.0	50 ly
11331	Fragile Bio-Reality Generator	0.92	96 ly
11332	Threaded Hive Stem	0.0	50 ly
11333	Gooey Hive Stem	0.64	82 ly
11334	Gooey Neural Matrix	0.76	88 ly
11335	Fragile Lobe Actuator	0.16	58 ly
11336	Moistened Hive Stem	0.74	87 ly
11337	Threaded Memory Calculus	0.88	94 ly
11338	Fragile Stellar Processor	0.0	50 ly
11339	Moistened Hive Stem	0.24	62 ly
11340	Gooey Lobes	0.32	66 ly
11341	Fragile Lobe Actuator	0.18	59 ly
11342	Clammy Hive Stem	0.62	81 ly
11343	Threaded Lobe Actuator	0.4	70 ly
11344	Threaded Cluster Stem	0.34	67 ly
11345	Moistened Bio-Reality Generator	0.32	66 ly
11346	Clammy Sensory Veil	0.38	69 ly
11347	Clammy Lobes	0.04	52 ly
11348	Clammy Memory Calculus	0.38	69 ly
11349	Threaded Emotal Core	0.16	58 ly
11350	Moistened Neural Matrix	0.14	57 ly
11351	Fragile Hive Stem	0.78	89 ly
11352	Clammy Hive Stem	0.0	50 ly
11353	Gooey Neural Matrix	0.32	66 ly
11354	Moistened Lobe Actuator	0.2	60 ly
11355	Threaded Bio-Reality Generator	0.54	77 ly
11356	Moistened Memory Calculus	0.24	62 ly
11357	Clammy Lobes	0.9	95 ly
11358	Clammy Hive Stem	0.06	53 ly
11359	Moistened Emotal Core	0.42	71 ly
11360	Gooey Memory Calculus	0.12	56 ly
11361	Gooey Lobe Actuator	0.1	55 ly
11362	Threaded Sensory Veil	0.0	50 ly
11363	Gooey Lobe Actuator	0.02	51 ly
11364	Clammy Bio-Reality Generator	0.0	50 ly
11365	Threaded Memory Calculus	0.96	98 ly
11366	Fragile Bio-Reality Generator	0.0	50 ly
11367	Gooey Stellar Processor	0.88	94 ly
11368	Clammy Lobe Actuator	0.86	93 ly
11369	Fragile Stellar Processor	0.34	67 ly
11370	Gooey Memory Calculus	0.5	75 ly
11371	Gooey Memory Calculus	0.02	51 ly
11372	Moistened Emotal Core	0.38	69 ly
11373	Moistened Sensory Veil	0.56	78 ly
11374	Threaded Lobes	0.26	63 ly
11375	Gooey Sensory Veil	0.74	87 ly
11376	Clammy Neural Matrix	0.9	95 ly
11377	Gooey Emotal Core	1.0	100 ly
11378	Clammy Stellar Processor	0.04	52 ly
11379	Fragile Hive Stem	0.32	66 ly
11380	Threaded Bio-Reality Generator	0.78	89 ly
11381	Gooey Emotal Core	0.46	73 ly
11382	Threaded Emotal Core	0.64	82 ly
11383	Moistened Bio-Reality Generator	0.86	93 ly
11384	Fragile Memory Calculus	0.36	68 ly
11385	Threaded Lobe Actuator	0.58	79 ly
11386	Clammy Bio-Reality Generator	0.34	67 ly
11387	Gooey Bio-Reality Generator	0.54	77 ly
11388	Fragile Sensory Veil	0.22	61 ly
11389	Threaded Lobe Actuator	0.6	80 ly
11390	Threaded Stellar Processor	0.2	60 ly
11391	Gooey Neural Matrix	0.0	50 ly
11392	Gooey Neural Matrix	0.4	70 ly
11393	Threaded Emotal Core	0.68	84 ly
11394	Fragile Neural Matrix	0.02	51 ly
11395	Moistened Lobes	0.76	88 ly
11396	Clammy Memory Calculus	0.0	50 ly
11397	Gooey Neural Matrix	0.38	69 ly
11398	Gooey Lobe Actuator	0.02	51 ly
11399	Clammy Bio-Reality Generator	0.34	67 ly
11400	Fragile Emotal Core	0.02	51 ly
11401	Threaded Stellar Processor	0.74	87 ly
11402	Clammy Memory Calculus	0.04	52 ly
11403	Gooey Emotal Core	0.84	92 ly
11404	Threaded Memory Calculus	0.3	65 ly
11405	Threaded Cluster Stem	0.0	50 ly
11406	Clammy Lobe Actuator	0.04	52 ly
11407	Clammy Stellar Processor	0.08	54 ly
11408	Fragile Memory Calculus	0.3	65 ly
11409	Fragile Neural Matrix	0.12	56 ly
11410	Moistened Bio-Reality Generator	0.02	51 ly
11411	Threaded Emotal Core	0.22	61 ly
11412	Clammy Hive Stem	0.16	58 ly
11413	Threaded Memory Calculus	0.02	51 ly
11414	Gooey Hive Stem	0.02	51 ly
11415	Moistened Bio-Reality Generator	0.0	50 ly
11416	Moistened Lobe Actuator	0.14	57 ly
11417	Clammy Neural Matrix	0.32	66 ly
11418	Threaded Lobe Actuator	0.04	52 ly
11419	Fragile Neural Matrix	0.3	65 ly
11420	Threaded Memory Calculus	0.7	85 ly
11421	Fragile Neural Matrix	0.34	67 ly
11422	Gooey Memory Calculus	0.08	54 ly
11423	Gooey Stellar Processor	0.12	56 ly
11424	Moistened Sensory Veil	0.92	96 ly
11425	Gooey Cluster Stem	0.0	50 ly
11426	Moistened Stellar Processor	0.16	58 ly
11427	Threaded Lobe Actuator	0.74	87 ly
11428	Gooey Bio-Reality Generator	0.74	87 ly
11429	Clammy Neural Matrix	0.7	85 ly
11430	Gooey Hive Stem	0.22	61 ly
11431	Clammy Lobe Actuator	0.22	61 ly
11432	Fragile Memory Calculus	0.6	80 ly
11433	Threaded Stellar Processor	0.08	54 ly
11434	Threaded Lobe Actuator	0.08	54 ly
11435	Clammy Stellar Processor	0.06	53 ly
11436	Fragile Stellar Processor	0.52	76 ly
11437	Fragile Stellar Processor	0.66	83 ly
11438	Gooey Neural Matrix	0.02	51 ly
11439	Clammy Cluster Stem	0.06	53 ly
11440	Fragile Lobes	0.98	99 ly
11441	Threaded Neural Matrix	0.72	86 ly
11442	Clammy Cluster Stem	0.38	69 ly
11443	Moistened Sensory Veil	0.84	92 ly
11444	Gooey Cluster Stem	0.32	66 ly
11445	Gooey Emotal Core	0.38	69 ly
11446	Clammy Memory Calculus	0.42	71 ly
11447	Clammy Bio-Reality Generator	0.12	56 ly
11448	Clammy Lobes	0.54	77 ly
11449	Threaded Neural Matrix	0.0	50 ly
11450	Threaded Lobes	0.8	90 ly
11451	Moistened Sensory Veil	0.0	50 ly
11452	Gooey Emotal Core	0.38	69 ly
11453	Moistened Lobe Actuator	0.06	53 ly
11454	Threaded Bio-Reality Generator	0.14	57 ly
11455	Fragile Lobe Actuator	0.22	61 ly
11456	Fragile Memory Calculus	0.2	60 ly
11457	Moistened Sensory Veil	0.1	55 ly
11458	Fragile Bio-Reality Generator	0.06	53 ly
11459	Clammy Cluster Stem	0.94	97 ly
11460	Gooey Emotal Core	0.32	66 ly
11461	Fragile Lobes	0.08	54 ly
11462	Threaded Lobe Actuator	0.08	54 ly
11463	Clammy Lobe Actuator	0.76	88 ly
11464	Fragile Hive Stem	0.16	58 ly
11465	Threaded Bio-Reality Generator	0.96	98 ly
11466	Gooey Lobes	0.68	84 ly
11467	Moistened Hive Stem	0.38	69 ly
11468	Gooey Hive Stem	0.12	56 ly
11469	Moistened Emotal Core	0.06	53 ly
11470	Threaded Lobe Actuator	0.72	86 ly
11471	Gooey Emotal Core	0.22	61 ly
11472	Threaded Memory Calculus	0.1	55 ly
11473	Clammy Bio-Reality Generator	0.6	80 ly
11474	Fragile Sensory Veil	0.18	59 ly
11475	Moistened Lobe Actuator	0.74	87 ly
11476	Gooey Stellar Processor	0.8	90 ly
11477	Threaded Memory Calculus	0.42	71 ly
11478	Gooey Memory Calculus	0.94	97 ly
11479	Gooey Lobe Actuator	0.96	98 ly
11480	Threaded Hive Stem	0.36	68 ly
11481	Gooey Neural Matrix	0.24	62 ly
11482	Clammy Neural Matrix	0.44	72 ly
11483	Gooey Hive Stem	0.32	66 ly
11484	Fragile Lobes	0.0	50 ly
11485	Clammy Hive Stem	0.52	76 ly
11486	Fragile Sensory Veil	0.14	57 ly
11487	Threaded Hive Stem	0.08	54 ly
11488	Fragile Emotal Core	0.02	51 ly
11489	Gooey Emotal Core	0.06	53 ly
11490	Threaded Neural Matrix	0.16	58 ly
11491	Threaded Lobes	0.04	52 ly
11492	Threaded Bio-Reality Generator	0.52	76 ly
11493	Moistened Hive Stem	0.86	93 ly
11494	Clammy Emotal Core	0.58	79 ly
11495	Threaded Cluster Stem	0.34	67 ly
11496	Threaded Neural Matrix	0.2	60 ly
11497	Fragile Neural Matrix	0.88	94 ly
11498	Moistened Sensory Veil	0.02	51 ly
11499	Fragile Memory Calculus	0.0	50 ly
11500	Gooey Sensory Veil	0.98	99 ly
11501	Gooey Emotal Core	0.38	69 ly
11502	Clammy Emotal Core	0.44	72 ly
11503	Moistened Neural Matrix	0.08	54 ly
11504	Threaded Sensory Veil	0.74	87 ly
11505	Moistened Emotal Core	0.4	70 ly
11506	Clammy Cluster Stem	0.64	82 ly
11507	Clammy Lobes	0.36	68 ly
11508	Moistened Cluster Stem	0.0	50 ly
11509	Fragile Lobe Actuator	0.0	50 ly
11510	Fragile Emotal Core	0.8	90 ly
11511	Gooey Bio-Reality Generator	0.26	63 ly
11512	Fragile Lobes	0.0	50 ly
11513	Fragile Cluster Stem	0.02	51 ly
11514	Threaded Neural Matrix	0.18	59 ly
11515	Clammy Emotal Core	0.5	75 ly
11516	Threaded Neural Matrix	0.62	81 ly
11517	Gooey Bio-Reality Generator	0.02	51 ly
11518	Threaded Sensory Veil	0.24	62 ly
11519	Clammy Hive Stem	0.72	86 ly
11520	Clammy Sensory Veil	0.3	65 ly
11521	Moistened Lobe Actuator	0.7	85 ly
11522	Gooey Lobe Actuator	0.7	85 ly
11523	Threaded Hive Stem	0.12	56 ly
11524	Fragile Lobe Actuator	0.72	86 ly
11525	Moistened Sensory Veil	0.24	62 ly
11526	Clammy Hive Stem	0.82	91 ly
11527	Moistened Emotal Core	0.04	52 ly
11528	Gooey Memory Calculus	0.38	69 ly
11529	Fragile Neural Matrix	0.26	63 ly
11530	Gooey Sensory Veil	0.06	53 ly
11531	Threaded Cluster Stem	0.02	51 ly
11532	Gooey Neural Matrix	0.04	52 ly
11533	Gooey Hive Stem	0.0	50 ly
11534	Fragile Stellar Processor	0.2	60 ly
11535	Clammy Bio-Reality Generator	0.68	84 ly
11536	Clammy Lobes	0.7	85 ly
11537	Fragile Hive Stem	0.1	55 ly
11538	Gooey Lobes	0.9	95 ly
11539	Fragile Bio-Reality Generator	0.1	55 ly
11540	Fragile Lobes	0.5	75 ly
11541	Clammy Lobe Actuator	0.94	97 ly
11542	Gooey Sensory Veil	0.12	56 ly
11543	Gooey Emotal Core	0.2	60 ly
11544	Moistened Stellar Processor	0.56	78 ly
11545	Clammy Stellar Processor	0.34	67 ly
11546	Gooey Neural Matrix	0.74	87 ly
11547	Clammy Neural Matrix	0.12	56 ly
11548	Gooey Emotal Core	0.0	50 ly
11549	Moistened Cluster Stem	0.16	58 ly
11550	Threaded Stellar Processor	0.04	52 ly
11551	Threaded Bio-Reality Generator	0.56	78 ly
11552	Gooey Cluster Stem	0.02	51 ly
11553	Clammy Lobes	0.02	51 ly
11554	Moistened Sensory Veil	0.28	64 ly
11555	Moistened Neural Matrix	0.06	53 ly
11556	Clammy Stellar Processor	0.12	56 ly
11557	Moistened Lobes	0.66	83 ly
11558	Moistened Sensory Veil	0.08	54 ly
11559	Moistened Stellar Processor	0.0	50 ly
11560	Clammy Stellar Processor	0.62	81 ly
11561	Clammy Emotal Core	0.5	75 ly
11562	Threaded Emotal Core	0.12	56 ly
11563	Fragile Memory Calculus	0.92	96 ly
11564	Fragile Memory Calculus	0.26	63 ly
11565	Fragile Memory Calculus	0.56	78 ly
11566	Gooey Memory Calculus	0.04	52 ly
11567	Threaded Memory Calculus	0.06	53 ly
11568	Gooey Stellar Processor	0.06	53 ly
11569	Moistened Cluster Stem	0.86	93 ly
11570	Moistened Lobes	0.8	90 ly
11571	Gooey Lobes	0.02	51 ly
11572	Moistened Bio-Reality Generator	0.58	79 ly
11573	Moistened Hive Stem	0.88	94 ly
11574	Clammy Memory Calculus	0.0	50 ly
11575	Gooey Stellar Processor	0.0	50 ly
11576	Clammy Bio-Reality Generator	0.74	87 ly
11577	Clammy Cluster Stem	0.3	65 ly
11578	Moistened Bio-Reality Generator	0.02	51 ly
11579	Fragile Sensory Veil	0.62	81 ly
11580	Gooey Sensory Veil	0.1	55 ly
11581	Gooey Neural Matrix	0.12	56 ly
11582	Fragile Lobe Actuator	0.82	91 ly
11583	Fragile Cluster Stem	0.62	81 ly
11584	Clammy Lobes	0.28	64 ly
11585	Threaded Stellar Processor	0.02	51 ly
11586	Clammy Neural Matrix	0.08	54 ly
11587	Moistened Sensory Veil	0.96	98 ly
11588	Threaded Cluster Stem	0.0	50 ly
11589	Gooey Emotal Core	0.1	55 ly
11590	Threaded Lobes	0.36	68 ly
11591	Fragile Cluster Stem	0.1	55 ly
11592	Threaded Hive Stem	0.0	50 ly
11593	Fragile Lobes	0.24	62 ly
11594	Gooey Emotal Core	0.06	53 ly
11595	Fragile Lobes	0.38	69 ly
11596	Gooey Neural Matrix	0.24	62 ly
11597	Gooey Lobe Actuator	0.1	55 ly
11598	Moistened Lobes	0.5	75 ly
11599	Fragile Hive Stem	0.2	60 ly
11600	Moistened Lobe Actuator	0.1	55 ly
11601	Gooey Cluster Stem	0.06	53 ly
11602	Moistened Lobes	0.42	71 ly
11603	Moistened Neural Matrix	0.38	69 ly
11604	Clammy Memory Calculus	0.2	60 ly
11605	Clammy Hive Stem	0.18	59 ly
11606	Gooey Lobe Actuator	0.0	50 ly
11607	Threaded Neural Matrix	0.2	60 ly
11608	Threaded Sensory Veil	0.0	50 ly
11609	Threaded Emotal Core	0.66	83 ly
11610	Fragile Lobes	0.2	60 ly
11611	Threaded Lobe Actuator	0.78	89 ly
11612	Threaded Cluster Stem	0.1	55 ly
11613	Threaded Hive Stem	0.94	97 ly
11614	Clammy Memory Calculus	0.12	56 ly
11615	Fragile Cluster Stem	0.0	50 ly
11616	Gooey Neural Matrix	0.44	72 ly
11617	Moistened Sensory Veil	0.04	52 ly
11618	Threaded Cluster Stem	0.76	88 ly
11619	Threaded Stellar Processor	0.08	54 ly
11620	Clammy Stellar Processor	0.06	53 ly
11621	Gooey Sensory Veil	0.46	73 ly
11622	Gooey Neural Matrix	0.4	70 ly
11623	Gooey Hive Stem	0.12	56 ly
11624	Fragile Stellar Processor	0.38	69 ly
11625	Threaded Hive Stem	0.2	60 ly
11626	Threaded Memory Calculus	0.76	88 ly
11627	Gooey Lobes	0.0	50 ly
11628	Moistened Neural Matrix	0.02	51 ly
11629	Threaded Lobes	0.12	56 ly
11630	Moistened Lobe Actuator	0.0	50 ly
11631	Threaded Lobe Actuator	0.52	76 ly
11632	Fragile Memory Calculus	0.1	55 ly
11633	Threaded Sensory Veil	0.1	55 ly
11634	Gooey Memory Calculus	0.02	51 ly
11635	Moistened Emotal Core	0.02	51 ly
11636	Clammy Lobe Actuator	0.66	83 ly
11637	Threaded Cluster Stem	0.02	51 ly
11638	Threaded Hive Stem	0.14	57 ly
11639	Fragile Sensory Veil	0.14	57 ly
11640	Fragile Hive Stem	0.66	83 ly
11641	Fragile Cluster Stem	0.24	62 ly
11642	Gooey Cluster Stem	0.4	70 ly
11643	Moistened Lobe Actuator	0.34	67 ly
11644	Fragile Hive Stem	0.24	62 ly
11645	Moistened Stellar Processor	0.02	51 ly
11646	Gooey Memory Calculus	0.82	91 ly
11647	Clammy Lobe Actuator	0.0	50 ly
11648	Threaded Memory Calculus	0.02	51 ly
11649	Moistened Lobe Actuator	0.1	55 ly
11650	Moistened Sensory Veil	0.4	70 ly
11651	Gooey Stellar Processor	0.72	86 ly
11652	Clammy Bio-Reality Generator	0.0	50 ly
11653	Fragile Stellar Processor	0.48	74 ly
11654	Moistened Memory Calculus	0.1	55 ly
11655	Moistened Sensory Veil	0.34	67 ly
11656	Moistened Bio-Reality Generator	0.1	55 ly
11657	Gooey Hive Stem	0.94	97 ly
11658	Clammy Lobe Actuator	0.08	54 ly
11659	Clammy Memory Calculus	0.84	92 ly
11660	Gooey Bio-Reality Generator	0.2	60 ly
11661	Moistened Lobe Actuator	0.02	51 ly
11662	Clammy Neural Matrix	0.88	94 ly
11663	Fragile Stellar Processor	0.42	71 ly
11664	Threaded Bio-Reality Generator	0.64	82 ly
11665	Fragile Neural Matrix	0.7	85 ly
11666	Moistened Memory Calculus	0.14	57 ly
11667	Fragile Memory Calculus	0.12	56 ly
11668	Gooey Cluster Stem	0.06	53 ly
11669	Moistened Bio-Reality Generator	0.52	76 ly
11670	Threaded Cluster Stem	0.98	99 ly
11671	Clammy Sensory Veil	0.0	50 ly
11672	Threaded Cluster Stem	0.18	59 ly
11673	Threaded Bio-Reality Generator	0.3	65 ly
11674	Gooey Cluster Stem	0.74	87 ly
11675	Fragile Cluster Stem	0.06	53 ly
11676	Gooey Emotal Core	0.06	53 ly
11677	Fragile Stellar Processor	0.68	84 ly
11678	Gooey Stellar Processor	0.3	65 ly
11679	Fragile Cluster Stem	0.16	58 ly
11680	Moistened Emotal Core	0.32	66 ly
11681	Gooey Cluster Stem	0.0	50 ly
11682	Moistened Sensory Veil	0.98	99 ly
11683	Threaded Neural Matrix	0.0	50 ly
11684	Threaded Lobe Actuator	0.0	50 ly
11685	Clammy Lobe Actuator	0.0	50 ly
11686	Clammy Hive Stem	0.36	68 ly
11687	Clammy Emotal Core	0.74	87 ly
11688	Clammy Emotal Core	0.76	88 ly
11689	Moistened Stellar Processor	0.4	70 ly
11690	Fragile Memory Calculus	0.04	52 ly
11691	Threaded Bio-Reality Generator	0.42	71 ly
11692	Clammy Lobes	0.42	71 ly
11693	Moistened Hive Stem	0.28	64 ly
11694	Gooey Sensory Veil	0.7	85 ly
11695	Clammy Lobes	0.0	50 ly
11696	Threaded Stellar Processor	0.5	75 ly
11697	Moistened Cluster Stem	0.04	52 ly
11698	Threaded Lobes	0.78	89 ly
11699	Threaded Memory Calculus	0.52	76 ly
11700	Gooey Emotal Core	0.0	50 ly
11701	Clammy Neural Matrix	0.84	92 ly
11702	Clammy Stellar Processor	0.24	62 ly
11703	Fragile Lobes	0.24	62 ly
11704	Clammy Sensory Veil	0.46	73 ly
11705	Fragile Emotal Core	0.1	55 ly
11706	Threaded Bio-Reality Generator	0.88	94 ly
11707	Gooey Bio-Reality Generator	0.64	82 ly
11708	Fragile Memory Calculus	0.52	76 ly
11709	Moistened Memory Calculus	0.32	66 ly
11710	Fragile Lobes	0.0	50 ly
11711	Gooey Bio-Reality Generator	0.26	63 ly
11712	Gooey Neural Matrix	0.06	53 ly
11713	Threaded Hive Stem	0.1	55 ly
11714	Gooey Sensory Veil	0.44	72 ly
11715	Gooey Neural Matrix	0.78	89 ly
11716	Gooey Lobes	0.24	62 ly
11717	Clammy Bio-Reality Generator	0.26	63 ly
11718	Moistened Sensory Veil	0.0	50 ly
11719	Fragile Sensory Veil	0.0	50 ly
11720	Gooey Neural Matrix	0.12	56 ly
11721	Moistened Lobes	0.12	56 ly
11722	Fragile Neural Matrix	0.38	69 ly
11723	Fragile Neural Matrix	0.02	51 ly
11724	Clammy Cluster Stem	0.1	55 ly
11725	Gooey Lobes	0.5	75 ly
11726	Threaded Lobes	0.02	51 ly
11727	Moistened Lobes	0.34	67 ly
