Seed,Name,Perfection,Ship_Hyperdrive_JumpDistance,Ship_Hyperdrive_JumpsPerCell
11174,Glassy Emotal Core,0.5,175 ly,
11175,Glassy Lobe Actuator,1.0,,+100%
11176,Engorged Hive Stem,1.0,,+100%
11177,Beloved Stellar Processor,1.0,,+100%
11178,Engorged Bio-Reality Generator,1.0,,+100%
11179,Glorious Sensory Veil,1.0,,+100%
11180,Engorged Sensory Veil,1.0,,+100%
11181,Glassy Lobes,0.0,150 ly,
11182,Glassy Lobes,1.0,,+100%
11183,Tremendous Lobes,0.92,196 ly,
11184,Tremendous Bio-Reality Generator,0.14,157 ly,
11185,Glassy Cluster Stem,0.24,162 ly,
11186,Glorious Stellar Processor,0.52,176 ly,
11187,Tremendous Lobe Actuator,1.0,,+100%
11188,Engorged Neural Matrix,1.0,,+100%
11189,Beloved Memory Calculus,1.0,,+100%
11190,Engorged Bio-Reality Generator,0.0,150 ly,
11191,Engorged Sensory Veil,0.62,181 ly,
11192,Engorged Bio-Reality Generator,1.0,,+100%
11193,Beloved Stellar Processor,0.44,172 ly,
11194,Engorged Lobe Actuator,1.0,,+100%
11195,Engorged Memory Calculus,0.6,180 ly,
11196,Tremendous Lobe Actuator,1.0,,+100%
11197,Engorged Hive Stem,1.0,,+100%
11198,Glassy Cluster Stem,0.02,151 ly,
11199,Beloved Neural Matrix,0.02,151 ly,
11200,Tremendous Bio-Reality Generator,1.0,,+100%
11201,Glorious Bio-Reality Generator,1.0,,+100%
11202,Glorious Lobes,0.4,170 ly,
11203,Engorged Stellar Processor,1.0,,+100%
11204,Tremendous Cluster Stem,0.3,165 ly,
11205,Glorious Stellar Processor,1.0,,+100%
11206,Glorious Neural Matrix,1.0,,+100%
11207,Glassy Lobe Actuator,0.2,160 ly,
11208,Glorious Sensory Veil,1.0,,+100%
11209,Glassy Stellar Processor,0.12,156 ly,
11210,Glassy Bio-Reality Generator,0.0,150 ly,
11211,Glorious Sensory Veil,1.0,,+100%
11212,Glorious Bio-Reality Generator,0.18,159 ly,
11213,Beloved Memory Calculus,1.0,,+100%
11214,Beloved Neural Matrix,0.8,190 ly,
11215,Glassy Stellar Processor,1.0,,+100%
11216,Glassy Cluster Stem,1.0,,+100%
11217,Tremendous Cluster Stem,0.3,165 ly,
11218,Glassy Neural Matrix,1.0,,+100%
11219,Glassy Neural Matrix,1.0,,+100%
11220,Beloved Lobes,1.0,,+100%
11221,Engorged Memory Calculus,0.98,199 ly,
11222,Engorged Sensory Veil,1.0,,+100%
11223,Tremendous Memory Calculus,0.04,152 ly,
11224,Beloved Cluster Stem,1.0,,+100%
11225,Glassy Lobe Actuator,1.0,,+100%
11226,Beloved Cluster Stem,0.0,150 ly,
11227,Tremendous Stellar Processor,1.0,,+100%
11228,Glorious Lobes,1.0,,+100%
11229,Glorious Cluster Stem,1.0,,+100%
11230,Tremendous Emotal Core,1.0,,+100%
11231,Beloved Hive Stem,1.0,,+100%
11232,Beloved Lobe Actuator,1.0,,+100%
11233,Engorged Cluster Stem,1.0,,+100%
11234,Glassy Stellar Processor,0.8,190 ly,
11235,Glassy Lobe Actuator,0.06,153 ly,
11236,Glorious Bio-Reality Generator,0.14,157 ly,
11237,Tremendous Stellar Processor,1.0,,+100%
11238,Beloved Lobe Actuator,1.0,,+100%
11239,Tremendous Lobes,1.0,,+100%
11240,Engorged Emotal Core,0.84,192 ly,
11241,Engorged Sensory Veil,1.0,,+100%
11242,Beloved Neural Matrix,0.0,150 ly,
11243,Beloved Cluster Stem,0.08,154 ly,
11244,Tremendous Hive Stem,0.66,183 ly,
11245,Glassy Hive Stem,0.0,150 ly,
11246,Engorged Bio-Reality Generator,0.08,154 ly,
11247,Glorious Lobe Actuator,0.38,169 ly,
11248,Glorious Cluster Stem,1.0,,+100%
11249,Tremendous Bio-Reality Generator,0.14,157 ly,
11250,Engorged Memory Calculus,0.3,165 ly,
11251,Tremendous Stellar Processor,1.0,,+100%
11252,Engorged Lobe Actuator,1.0,,+100%
11253,Tremendous Stellar Processor,1.0,,+100%
11254,Tremendous Memory Calculus,1.0,,+100%
11255,Beloved Cluster Stem,1.0,,+100%
11256,Glorious Hive Stem,1.0,,+100%
11257,Glassy Neural Matrix,1.0,,+100%
11258,Engorged Lobes,1.0,,+100%
11259,Engorged Stellar Processor,0.36,168 ly,
11260,Glassy Lobe Actuator,0.92,196 ly,
11261,Tremendous Emotal Core,0.08,154 ly,
11262,Glorious Cluster Stem,0.04,152 ly,
11263,Glassy Bio-Reality Generator,1.0,,+100%
11264,Tremendous Lobes,1.0,,+100%
11265,Glassy Lobes,1.0,,+100%
11266,Glassy Lobe Actuator,0.36,168 ly,
11267,Glassy Stellar Processor,0.02,151 ly,
11268,Tremendous Bio-Reality Generator,0.3,165 ly,
11269,Glassy Emotal Core,1.0,,+100%
11270,Tremendous Memory Calculus,1.0,,+100%
11271,Glassy Stellar Processor,0.0,150 ly,
11272,Glassy Cluster Stem,0.18,159 ly,
11273,Glassy Sensory Veil,0.04,152 ly,
11274,Beloved Lobes,0.6,180 ly,
11275,Engorged Sensory Veil,0.3,165 ly,
11276,Tremendous Emotal Core,1.0,,+100%
11277,Beloved Stellar Processor,0.04,152 ly,
11278,Glorious Cluster Stem,1.0,,+100%
11279,Beloved Stellar Processor,1.0,,+100%
11280,Beloved Lobes,0.0,150 ly,
11281,Tremendous Lobe Actuator,0.14,157 ly,
11282,Engorged Cluster Stem,1.0,,+100%
11283,Beloved Lobes,1.0,,+100%
11284,Glassy Emotal Core,0.08,154 ly,
11285,Engorged Bio-Reality Generator,0.4,170 ly,
11286,Glorious Bio-Reality Generator,0.24,162 ly,
11287,Beloved Memory Calculus,1.0,,+100%
11288,Engorged Hive Stem,0.58,179 ly,
11289,Glassy Memory Calculus,0.1,155 ly,
11290,Tremendous Lobes,1.0,,+100%
11291,Glassy Neural Matrix,0.06,153 ly,
11292,Engorged Hive Stem,1.0,,+100%
11293,Tremendous Stellar Processor,1.0,,+100%
11294,Tremendous Stellar Processor,1.0,,+100%
11295,Glassy Memory Calculus,1.0,,+100%
11296,Glorious Hive Stem,1.0,,+100%
11297,Beloved Stellar Processor,0.18,159 ly,
11298,Glassy Lobe Actuator,0.26,163 ly,
11299,Engorged Sensory Veil,1.0,,+100%
11300,Beloved Hive Stem,1.0,,+100%
11301,Glassy Emotal Core,0.38,169 ly,
11302,Tremendous Stellar Processor,0.46,173 ly,
11303,Beloved Bio-Reality Generator,0.6,180 ly,
11304,Tremendous Hive Stem,0.32,166 ly,
11305,Glassy Memory Calculus,0.02,151 ly,
11306,Beloved Stellar Processor,1.0,,+100%
11307,Beloved Emotal Core,0.32,166 ly,
11308,Beloved Cluster Stem,1.0,,+100%
11309,Beloved Lobe Actuator,0.32,166 ly,
11310,Glassy Neural Matrix,1.0,,+100%
11311,Tremendous Neural Matrix,1.0,,+100%
11312,Engorged Cluster Stem,0.84,192 ly,
11313,Engorged Stellar Processor,0.58,179 ly,
11314,Engorged Cluster Stem,1.0,,+100%
11315,Engorged Emotal Core,1.0,,+100%
11316,Glorious Sensory Veil,0.02,151 ly,
11317,Tremendous Stellar Processor,0.06,153 ly,
11318,Glassy Neural Matrix,0.0,150 ly,
11319,Glassy Neural Matrix,1.0,,+100%
11320,Glassy Cluster Stem,0.1,155 ly,
11321,Beloved Memory Calculus,0.48,174 ly,
11322,Engorged Sensory Veil,0.56,178 ly,
11323,Glassy Stellar Processor,1.0,,+100%
11324,Beloved Neural Matrix,1.0,,+100%
11325,Beloved Lobe Actuator,0.0,150 ly,
11326,Glorious Sensory Veil,1.0,,+100%
11327,Beloved Memory Calculus,1.0,,+100%
11328,Tremendous Lobe Actuator,1.0,,+100%
11329,Engorged Bio-Reality Generator,1.0,,+100%
11330,Beloved Sensory Veil,1.0,,+100%
11331,Tremendous Bio-Reality Generator,0.62,181 ly,
11332,Glassy Hive Stem,1.0,,+100%
11333,Glorious Hive Stem,0.04,152 ly,
11334,Glorious Neural Matrix,0.34,167 ly,
11335,Tremendous Lobe Actuator,1.0,,+100%
11336,Beloved Hive Stem,0.12,156 ly,
11337,Glassy Memory Calculus,0.96,198 ly,
11338,Tremendous Stellar Processor,1.0,,+100%
11339,Beloved Hive Stem,1.0,,+100%
11340,Glorious Lobes,0.26,163 ly,
11341,Tremendous Lobe Actuator,1.0,,+100%
11342,Engorged Hive Stem,0.08,154 ly,
11343,Glassy Lobe Actuator,0.02,151 ly,
11344,Glassy Cluster Stem,0.22,161 ly,
11345,Beloved Bio-Reality Generator,0.58,179 ly,
11346,Engorged Sensory Veil,0.04,152 ly,
11347,Engorged Lobes,1.0,,+100%
11348,Engorged Memory Calculus,0.7,185 ly,
11349,Glassy Emotal Core,1.0,,+100%
11350,Beloved Neural Matrix,1.0,,+100%
11351,Tremendous Hive Stem,0.58,179 ly,
11352,Engorged Hive Stem,1.0,,+100%
11353,Glorious Neural Matrix,0.34,167 ly,
11354,Beloved Lobe Actuator,1.0,,+100%
11355,Glassy Bio-Reality Generator,0.92,196 ly,
11356,Beloved Memory Calculus,1.0,,+100%
11357,Engorged Lobes,0.02,151 ly,
11358,Engorged Hive Stem,1.0,,+100%
11359,Beloved Emotal Core,0.1,155 ly,
11360,Glorious Memory Calculus,1.0,,+100%
11361,Glorious Lobe Actuator,1.0,,+100%
11362,Glassy Sensory Veil,1.0,,+100%
11363,Glorious Lobe Actuator,1.0,,+100%
11364,Engorged Bio-Reality Generator,1.0,,+100%
11365,Glassy Memory Calculus,0.18,159 ly,
11366,Tremendous Bio-Reality Generator,1.0,,+100%
11367,Glorious Stellar Processor,0.48,174 ly,
11368,Engorged Lobe Actuator,0.8,190 ly,
11369,Tremendous Stellar Processor,0.08,154 ly,
11370,Glorious Memory Calculus,0.06,153 ly,
11371,Glorious Memory Calculus,1.0,,+100%
11372,Beloved Emotal Core,0.58,179 ly,
11373,Beloved Sensory Veil,0.08,154 ly,
11374,Glassy Lobes,0.26,163 ly,
11375,Glorious Sensory Veil,0.34,167 ly,
11376,Engorged Neural Matrix,0.38,169 ly,
11377,Glorious Emotal Core,0.0,150 ly,
11378,Engorged Stellar Processor,1.0,,+100%
11379,Tremendous Hive Stem,0.62,181 ly,
11380,Glassy Bio-Reality Generator,0.92,196 ly,
11381,Glorious Emotal Core,0.12,156 ly,
11382,Glassy Emotal Core,0.0,150 ly,
11383,Beloved Bio-Reality Generator,0.2,160 ly,
11384,Tremendous Memory Calculus,0.28,164 ly,
11385,Glassy Lobe Actuator,0.78,189 ly,
11386,Engorged Bio-Reality Generator,0.64,182 ly,
11387,Glorious Bio-Reality Generator,0.6,180 ly,
11388,Tremendous Sensory Veil,1.0,,+100%
11389,Glassy Lobe Actuator,0.02,151 ly,
11390,Glassy Stellar Processor,1.0,,+100%
11391,Glorious Neural Matrix,1.0,,+100%
11392,Glorious Neural Matrix,0.96,198 ly,
11393,Glassy Emotal Core,0.28,164 ly,
11394,Tremendous Neural Matrix,1.0,,+100%
11395,Beloved Lobes,0.32,166 ly,
11396,Engorged Memory Calculus,1.0,,+100%
11397,Glorious Neural Matrix,0.68,184 ly,
11398,Glorious Lobe Actuator,1.0,,+100%
11399,Engorged Bio-Reality Generator,0.68,184 ly,
11400,Tremendous Emotal Core,1.0,,+100%
11401,Glassy Stellar Processor,0.3,165 ly,
11402,Engorged Memory Calculus,1.0,,+100%
11403,Glorious Emotal Core,0.12,156 ly,
11404,Glassy Memory Calculus,1.0,200 ly,
11405,Glassy Cluster Stem,1.0,,+100%
11406,Engorged Lobe Actuator,1.0,,+100%
11407,Engorged Stellar Processor,1.0,,+100%
11408,Tremendous Memory Calculus,0.0,150 ly,
11409,Tremendous Neural Matrix,1.0,,+100%
11410,Beloved Bio-Reality Generator,1.0,,+100%
11411,Glassy Emotal Core,1.0,,+100%
11412,Engorged Hive Stem,1.0,,+100%
11413,Glassy Memory Calculus,1.0,,+100%
11414,Glorious Hive Stem,1.0,,+100%
11415,Beloved Bio-Reality Generator,1.0,,+100%
11416,Beloved Lobe Actuator,1.0,,+100%
11417,Engorged Neural Matrix,0.64,182 ly,
11418,Glassy Lobe Actuator,1.0,,+100%
11419,Tremendous Neural Matrix,0.0,150 ly,
11420,Glassy Memory Calculus,0.22,161 ly,
11421,Tremendous Neural Matrix,0.04,152 ly,
11422,Glorious Memory Calculus,1.0,,+100%
11423,Glorious Stellar Processor,1.0,,+100%
11424,Beloved Sensory Veil,0.56,178 ly,
11425,Glorious Cluster Stem,1.0,,+100%
11426,Beloved Stellar Processor,1.0,,+100%
11427,Glassy Lobe Actuator,0.0,150 ly,
11428,Glorious Bio-Reality Generator,0.28,164 ly,
11429,Engorged Neural Matrix,0.1,155 ly,
11430,Glorious Hive Stem,1.0,,+100%
11431,Engorged Lobe Actuator,1.0,,+100%
11432,Tremendous Memory Calculus,0.28,164 ly,
11433,Glassy Stellar Processor,1.0,,+100%
11434,Glassy Lobe Actuator,1.0,,+100%
11435,Engorged Stellar Processor,1.0,,+100%
11436,Tremendous Stellar Processor,0.54,177 ly,
11437,Tremendous Stellar Processor,0.86,193 ly,
11438,Glorious Neural Matrix,1.0,,+100%
11439,Engorged Cluster Stem,1.0,,+100%
11440,Tremendous Lobes,0.02,151 ly,
11441,Glassy Neural Matrix,0.78,189 ly,
11442,Engorged Cluster Stem,0.02,151 ly,
11443,Beloved Sensory Veil,0.56,178 ly,
11444,Glorious Cluster Stem,0.18,159 ly,
11445,Glorious Emotal Core,0.02,151 ly,
11446,Engorged Memory Calculus,0.34,167 ly,
11447,Engorged Bio-Reality Generator,1.0,,+100%
11448,Engorged Lobes,0.3,165 ly,
11449,Glassy Neural Matrix,1.0,,+100%
11450,Glassy Lobes,0.68,184 ly,
11451,Beloved Sensory Veil,1.0,,+100%
11452,Glorious Emotal Core,0.16,158 ly,
11453,Beloved Lobe Actuator,1.0,,+100%
11454,Glassy Bio-Reality Generator,1.0,,+100%
11455,Tremendous Lobe Actuator,1.0,,+100%
11456,Tremendous Memory Calculus,1.0,,+100%
11457,Beloved Sensory Veil,1.0,,+100%
11458,Tremendous Bio-Reality Generator,1.0,,+100%
11459,Engorged Cluster Stem,0.12,156 ly,
11460,Glorious Emotal Core,0.02,151 ly,
11461,Tremendous Lobes,1.0,,+100%
11462,Glassy Lobe Actuator,1.0,,+100%
11463,Engorged Lobe Actuator,0.0,150 ly,
11464,Tremendous Hive Stem,1.0,,+100%
11465,Glassy Bio-Reality Generator,0.32,166 ly,
11466,Glorious Lobes,0.86,193 ly,
11467,Beloved Hive Stem,0.78,189 ly,
11468,Glorious Hive Stem,1.0,,+100%
11469,Beloved Emotal Core,1.0,,+100%
11470,Glassy Lobe Actuator,0.0,150 ly,
11471,Glorious Emotal Core,1.0,,+100%
11472,Glassy Memory Calculus,1.0,,+100%
11473,Engorged Bio-Reality Generator,0.62,181 ly,
11474,Tremendous Sensory Veil,1.0,,+100%
11475,Beloved Lobe Actuator,0.72,186 ly,
11476,Glorious Stellar Processor,0.26,163 ly,
11477,Glassy Memory Calculus,0.66,183 ly,
11478,Glorious Memory Calculus,0.18,159 ly,
11479,Glorious Lobe Actuator,0.02,151 ly,
11480,Glassy Hive Stem,0.32,166 ly,
11481,Glorious Neural Matrix,1.0,,+100%
11482,Engorged Neural Matrix,0.36,168 ly,
11483,Glorious Hive Stem,0.8,190 ly,
11484,Tremendous Lobes,1.0,,+100%
11485,Engorged Hive Stem,0.04,152 ly,
11486,Tremendous Sensory Veil,1.0,,+100%
11487,Glassy Hive Stem,1.0,,+100%
11488,Tremendous Emotal Core,1.0,,+100%
11489,Glorious Emotal Core,1.0,,+100%
11490,Glassy Neural Matrix,1.0,,+100%
11491,Glassy Lobes,1.0,,+100%
11492,Glassy Bio-Reality Generator,0.0,150 ly,
11493,Beloved Hive Stem,0.04,152 ly,
11494,Engorged Emotal Core,0.08,154 ly,
11495,Glassy Cluster Stem,0.7,185 ly,
11496,Glassy Neural Matrix,1.0,,+100%
11497,Tremendous Neural Matrix,0.04,152 ly,
11498,Beloved Sensory Veil,1.0,,+100%
11499,Tremendous Memory Calculus,1.0,,+100%
11500,Glorious Sensory Veil,0.64,182 ly,
11501,Glorious Emotal Core,0.48,174 ly,
11502,Engorged Emotal Core,0.02,151 ly,
11503,Beloved Neural Matrix,1.0,,+100%
11504,Glassy Sensory Veil,0.02,151 ly,
11505,Beloved Emotal Core,0.98,199 ly,
11506,Engorged Cluster Stem,0.38,169 ly,
11507,Engorged Lobes,0.16,158 ly,
11508,Beloved Cluster Stem,1.0,,+100%
11509,Tremendous Lobe Actuator,1.0,,+100%
11510,Tremendous Emotal Core,0.7,185 ly,
11511,Glorious Bio-Reality Generator,0.24,162 ly,
11512,Tremendous Lobes,1.0,,+100%
11513,Tremendous Cluster Stem,1.0,,+100%
11514,Glassy Neural Matrix,1.0,,+100%
11515,Engorged Emotal Core,0.74,187 ly,
11516,Glassy Neural Matrix,0.0,150 ly,
11517,Glorious Bio-Reality Generator,1.0,,+100%
11518,Glassy Sensory Veil,1.0,,+100%
11519,Engorged Hive Stem,0.06,153 ly,
11520,Engorged Sensory Veil,0.04,152 ly,
11521,Beloved Lobe Actuator,0.08,154 ly,
11522,Glorious Lobe Actuator,0.12,156 ly,
11523,Glassy Hive Stem,1.0,,+100%
11524,Tremendous Lobe Actuator,0.32,166 ly,
11525,Beloved Sensory Veil,1.0,,+100%
11526,Engorged Hive Stem,0.38,169 ly,
11527,Beloved Emotal Core,1.0,,+100%
11528,Glorious Memory Calculus,0.28,164 ly,
11529,Tremendous Neural Matrix,0.24,162 ly,
11530,Glorious Sensory Veil,1.0,,+100%
11531,Glassy Cluster Stem,1.0,,+100%
11532,Glorious Neural Matrix,1.0,,+100%
11533,Glorious Hive Stem,1.0,,+100%
11534,Tremendous Stellar Processor,1.0,,+100%
11535,Engorged Bio-Reality Generator,0.0,150 ly,
11536,Engorged Lobes,0.0,150 ly,
11537,Tremendous Hive Stem,1.0,,+100%
11538,Glorious Lobes,0.4,170 ly,
11539,Tremendous Bio-Reality Generator,1.0,,+100%
11540,Tremendous Lobes,0.22,161 ly,
11541,Engorged Lobe Actuator,0.08,154 ly,
11542,Glorious Sensory Veil,1.0,,+100%
11543,Glorious Emotal Core,1.0,,+100%
11544,Beloved Stellar Processor,0.04,152 ly,
11545,Engorged Stellar Processor,0.02,151 ly,
11546,Glorious Neural Matrix,0.02,151 ly,
11547,Engorged Neural Matrix,1.0,,+100%
11548,Glorious Emotal Core,1.0,,+100%
11549,Beloved Cluster Stem,1.0,,+100%
11550,Glassy Stellar Processor,1.0,,+100%
11551,Glassy Bio-Reality Generator,0.24,162 ly,
11552,Glorious Cluster Stem,1.0,,+100%
11553,Engorged Lobes,1.0,,+100%
11554,Beloved Sensory Veil,0.0,150 ly,
11555,Beloved Neural Matrix,1.0,,+100%
11556,Engorged Stellar Processor,1.0,,+100%
11557,Beloved Lobes,0.42,171 ly,
11558,Beloved Sensory Veil,1.0,,+100%
11559,Beloved Stellar Processor,1.0,,+100%
11560,Engorged Stellar Processor,0.04,152 ly,
11561,Engorged Emotal Core,0.34,167 ly,
11562,Glassy Emotal Core,1.0,,+100%
11563,Tremendous Memory Calculus,0.04,152 ly,
11564,Tremendous Memory Calculus,0.52,176 ly,
11565,Tremendous Memory Calculus,0.38,169 ly,
11566,Glorious Memory Calculus,1.0,,+100%
11567,Glassy Memory Calculus,1.0,,+100%
11568,Glorious Stellar Processor,1.0,,+100%
11569,Beloved Cluster Stem,0.06,153 ly,
11570,Beloved Lobes,0.34,167 ly,
11571,Glorious Lobes,1.0,,+100%
11572,Beloved Bio-Reality Generator,0.12,156 ly,
11573,Beloved Hive Stem,0.86,193 ly,
11574,Engorged Memory Calculus,1.0,,+100%
11575,Glorious Stellar Processor,1.0,,+100%
11576,Engorged Bio-Reality Generator,0.52,176 ly,
11577,Engorged Cluster Stem,0.02,151 ly,
11578,Beloved Bio-Reality Generator,1.0,,+100%
11579,Tremendous Sensory Veil,0.12,156 ly,
11580,Glorious Sensory Veil,1.0,,+100%
11581,Glorious Neural Matrix,1.0,,+100%
11582,Tremendous Lobe Actuator,0.14,157 ly,
11583,Tremendous Cluster Stem,0.12,156 ly,
11584,Engorged Lobes,0.62,181 ly,
11585,Glassy Stellar Processor,1.0,,+100%
11586,Engorged Neural Matrix,1.0,,+100%
11587,Beloved Sensory Veil,0.12,156 ly,
11588,Glassy Cluster Stem,1.0,,+100%
11589,Glorious Emotal Core,1.0,,+100%
11590,Glassy Lobes,0.3,165 ly,
11591,Tremendous Cluster Stem,1.0,,+100%
11592,Glassy Hive Stem,1.0,,+100%
11593,Tremendous Lobes,1.0,,+100%
11594,Glorious Emotal Core,1.0,,+100%
11595,Tremendous Lobes,0.28,164 ly,
11596,Glorious Neural Matrix,1.0,,+100%
11597,Glorious Lobe Actuator,1.0,,+100%
11598,Beloved Lobes,0.38,169 ly,
11599,Tremendous Hive Stem,1.0,,+100%
11600,Beloved Lobe Actuator,1.0,,+100%
11601,Glorious Cluster Stem,1.0,,+100%
11602,Beloved Lobes,0.0,150 ly,
11603,Beloved Neural Matrix,0.3,165 ly,
11604,Engorged Memory Calculus,1.0,,+100%
11605,Engorged Hive Stem,1.0,,+100%
11606,Glorious Lobe Actuator,1.0,,+100%
11607,Glassy Neural Matrix,1.0,,+100%
11608,Glassy Sensory Veil,1.0,,+100%
11609,Glassy Emotal Core,0.28,164 ly,
11610,Tremendous Lobes,1.0,,+100%
11611,Glassy Lobe Actuator,0.92,196 ly,
11612,Glassy Cluster Stem,1.0,,+100%
11613,Glassy Hive Stem,0.22,161 ly,
11614,Engorged Memory Calculus,1.0,,+100%
11615,Tremendous Cluster Stem,1.0,,+100%
11616,Glorious Neural Matrix,0.0,150 ly,
11617,Beloved Sensory Veil,1.0,,+100%
11618,Glassy Cluster Stem,0.8,190 ly,
11619,Glassy Stellar Processor,1.0,,+100%
11620,Engorged Stellar Processor,1.0,,+100%
11621,Glorious Sensory Veil,0.24,162 ly,
11622,Glorious Neural Matrix,0.06,153 ly,
11623,Glorious Hive Stem,1.0,,+100%
11624,Tremendous Stellar Processor,0.7,185 ly,
11625,Glassy Hive Stem,1.0,,+100%
11626,Glassy Memory Calculus,0.0,150 ly,
11627,Glorious Lobes,1.0,,+100%
11628,Beloved Neural Matrix,1.0,,+100%
11629,Glassy Lobes,1.0,,+100%
11630,Beloved Lobe Actuator,1.0,,+100%
11631,Glassy Lobe Actuator,0.16,158 ly,
11632,Tremendous Memory Calculus,1.0,,+100%
11633,Glassy Sensory Veil,1.0,,+100%
11634,Glorious Memory Calculus,1.0,,+100%
11635,Beloved Emotal Core,1.0,,+100%
11636,Engorged Lobe Actuator,0.98,199 ly,
11637,Glassy Cluster Stem,1.0,,+100%
11638,Glassy Hive Stem,1.0,,+100%
11639,Tremendous Sensory Veil,1.0,,+100%
11640,Tremendous Hive Stem,0.6,180 ly,
11641,Tremendous Cluster Stem,1.0,,+100%
11642,Glorious Cluster Stem,0.64,182 ly,
11643,Beloved Lobe Actuator,0.14,157 ly,
11644,Tremendous Hive Stem,1.0,,+100%
11645,Beloved Stellar Processor,1.0,,+100%
11646,Glorious Memory Calculus,0.94,197 ly,
11647,Engorged Lobe Actuator,1.0,,+100%
11648,Glassy Memory Calculus,1.0,,+100%
11649,Beloved Lobe Actuator,1.0,,+100%
11650,Beloved Sensory Veil,0.06,153 ly,
11651,Glorious Stellar Processor,0.14,157 ly,
11652,Engorged Bio-Reality Generator,1.0,,+100%
11653,Tremendous Stellar Processor,0.32,166 ly,
11654,Beloved Memory Calculus,1.0,,+100%
11655,Beloved Sensory Veil,0.84,192 ly,
11656,Beloved Bio-Reality Generator,1.0,,+100%
11657,Glorious Hive Stem,0.8,190 ly,
11658,Engorged Lobe Actuator,1.0,,+100%
11659,Engorged Memory Calculus,0.04,152 ly,
11660,Glorious Bio-Reality Generator,1.0,,+100%
11661,Beloved Lobe Actuator,1.0,,+100%
11662,Engorged Neural Matrix,0.88,194 ly,
11663,Tremendous Stellar Processor,0.06,153 ly,
11664,Glassy Bio-Reality Generator,0.68,184 ly,
11665,Tremendous Neural Matrix,0.14,157 ly,
11666,Beloved Memory Calculus,1.0,,+100%
11667,Tremendous Memory Calculus,1.0,,+100%
11668,Glorious Cluster Stem,1.0,,+100%
11669,Beloved Bio-Reality Generator,0.48,174 ly,
11670,Glassy Cluster Stem,0.26,163 ly,
11671,Engorged Sensory Veil,1.0,,+100%
11672,Glassy Cluster Stem,1.0,,+100%
11673,Glassy Bio-Reality Generator,0.04,152 ly,
11674,Glorious Cluster Stem,0.04,152 ly,
11675,Tremendous Cluster Stem,1.0,,+100%
11676,Glorious Emotal Core,1.0,,+100%
11677,Tremendous Stellar Processor,0.1,155 ly,
11678,Glorious Stellar Processor,0.16,158 ly,
11679,Tremendous Cluster Stem,1.0,,+100%
11680,Beloved Emotal Core,0.48,174 ly,
11681,Glorious Cluster Stem,1.0,,+100%
11682,Beloved Sensory Veil,0.2,160 ly,
11683,Glassy Neural Matrix,1.0,,+100%
11684,Glassy Lobe Actuator,1.0,,+100%
11685,Engorged Lobe Actuator,1.0,,+100%
11686,Engorged Hive Stem,0.5,175 ly,
11687,Engorged Emotal Core,0.0,150 ly,
11688,Engorged Emotal Core,0.16,158 ly,
11689,Beloved Stellar Processor,0.44,172 ly,
11690,Tremendous Memory Calculus,1.0,,+100%
11691,Glassy Bio-Reality Generator,0.64,182 ly,
11692,Engorged Lobes,0.34,167 ly,
11693,Beloved Hive Stem,0.18,159 ly,
11694,Glorious Sensory Veil,0.48,174 ly,
11695,Engorged Lobes,1.0,,+100%
11696,Glassy Stellar Processor,0.06,153 ly,
11697,Beloved Cluster Stem,1.0,,+100%
11698,Glassy Lobes,0.02,151 ly,
11699,Glassy Memory Calculus,0.0,150 ly,
11700,Glorious Emotal Core,1.0,,+100%
11701,Engorged Neural Matrix,0.28,164 ly,
11702,Engorged Stellar Processor,1.0,,+100%
11703,Tremendous Lobes,1.0,,+100%
11704,Engorged Sensory Veil,0.06,153 ly,
11705,Tremendous Emotal Core,1.0,,+100%
11706,Glassy Bio-Reality Generator,0.28,164 ly,
11707,Glorious Bio-Reality Generator,0.24,162 ly,
11708,Tremendous Memory Calculus,0.66,183 ly,
11709,Beloved Memory Calculus,0.54,177 ly,
11710,Tremendous Lobes,1.0,,+100%
11711,Glorious Bio-Reality Generator,0.08,154 ly,
11712,Glorious Neural Matrix,1.0,,+100%
11713,Glassy Hive Stem,1.0,,+100%
11714,Glorious Sensory Veil,0.68,184 ly,
11715,Glorious Neural Matrix,0.2,160 ly,
11716,Glorious Lobes,1.0,,+100%
11717,Engorged Bio-Reality Generator,0.82,191 ly,
11718,Beloved Sensory Veil,1.0,,+100%
11719,Tremendous Sensory Veil,1.0,,+100%
11720,Glorious Neural Matrix,1.0,,+100%
11721,Beloved Lobes,1.0,,+100%
11722,Tremendous Neural Matrix,0.92,196 ly,
11723,Tremendous Neural Matrix,1.0,,+100%
11724,Engorged Cluster Stem,1.0,,+100%
11725,Glorious Lobes,0.92,196 ly,
11726,Glassy Lobes,1.0,,+100%
11727,Beloved Lobes,0.04,152 ly,
11728,Glassy Sensory Veil,0.7,185 ly,
11729,Tremendous Bio-Reality Generator,0.4,170 ly,
11730,Beloved Memory Calculus,0.76,188 ly,
11731,Engorged Hive Stem,0.0,150 ly,
11732,Engorged Neural Matrix,1.0,,+100%
11733,Beloved Lobe Actuator,0.14,157 ly,
11734,Glassy Memory Calculus,0.04,152 ly,
11735,Engorged Stellar Processor,0.2,160 ly,
11736,Engorged Hive Stem,1.0,,+100%
11737,Tremendous Cluster Stem,0.0,150 ly,
11738,Engorged Lobes,0.74,187 ly,
11739,Glassy Stellar Processor,0.0,150 ly,
