Seed,Name,Perfection,Ship_PulseDrive_MiniJumpFuelSpending,Ship_Boost,Ship_BoostManeuverability
18276,Twitching Heart Lump,0.325,+12%,+7%,
18277,Growing Blood Sac,0.156,,+6%,+2%
18278,Growing Chamber,0.306,+13%,,+2%
18279,Germinated Ventricle,0.306,+13%,,+2%
18280,Germinated Aorta,0.6,+15%,+6%,
18281,Growing Heart Lump,0.722,,+10%,+5%
18282,Writhing Blood Sac,0.1,,+6%,+1%
18283,Wriggling Chamber,0.267,,+6%,+4%
18284,Writhing Vessel,0.267,,+6%,+4%
18285,Writhing Ventricle,0.456,,+9%,+2%
18286,Writhing Heart Lump,0.2,+11%,+7%,
18287,Germinated Aorta,0.225,+12%,+6%,
18288,Growing Blood Sac,0.156,,+6%,+2%
18289,Wriggling Blood Pump,0.55,+13%,+8%,
18290,Twitching Chamber,0.597,+14%,,+5%
18291,Twitching Chamber,0.55,+13%,+8%,
18292,Growing Blood Sac,0.1,+11%,+6%,
18293,Growing Trunk Tissue,0.211,,+6%,+3%
18294,Writhing Ventricle,0.475,+14%,+6%,
18295,Writhing Trunk Tissue,0.325,+12%,+7%,
18296,Wriggling Chamber,0.597,+14%,,+5%
18297,Writhing Vessel,0.2,+11%,+7%,
18298,Growing Heart Lump,0.156,,+6%,+2%
18299,Germinated Heart Lump,0.6,+15%,+6%,
18300,Germinated Ventricle,0.222,+11%,,+5%
18301,Wriggling Blood Sac,0.056,+11%,,+2%
18302,Growing Chamber,0.475,+14%,+6%,
18303,Growing Heart Lump,0.625,+12%,+10%,
18304,Wriggling Heart Lump,0.475,+14%,+6%,
18305,Wriggling Heart Lump,0.325,+12%,+7%,
18306,Twitching Vessel,0.744,,+8%,+9%
18307,Growing Thorax,0.056,+11%,,+2%
18308,Twitching Blood Sac,0.1,+11%,+6%,
18309,Germinated Aorta,0.056,+11%,,+2%
18310,Twitching Heart Lump,1.0,+15%,+10%,
18311,Writhing Trunk Tissue,0.156,,+6%,+2%
18312,Wriggling Chamber,0.0,+11%,,+1%
18313,Wriggling Trunk Tissue,0.156,,+6%,+2%
18314,Twitching Muscle,0.575,+14%,+7%,
18315,Growing Chamber,0.156,,+6%,+2%
18316,Writhing Vessel,0.236,+12%,,+3%
18317,Germinated Thorax,0.056,+11%,,+2%
18318,Germinated Heart Lump,0.056,+11%,,+2%
18319,Wriggling Vessel,0.578,,+8%,+6%
18320,Writhing Ventricle,0.3,+11%,+8%,
18321,Growing Trunk Tissue,0.4,+11%,+9%,
18322,Wriggling Muscle,0.65,+13%,+9%,
18323,Growing Thorax,0.5,+15%,,+1%
18324,Growing Blood Sac,0.1,+11%,+6%,
18325,Writhing Heart Lump,0.256,,+7%,+2%
18326,Wriggling Blood Sac,0.306,+13%,,+2%
18327,Germinated Blood Pump,0.156,,+6%,+2%
18328,Twitching Ventricle,0.181,+12%,,+2%
18329,Twitching Thorax,0.456,,+9%,+2%
18330,Germinated Heart Lump,0.156,,+6%,+2%
18331,Wriggling Thorax,0.333,+11%,,+7%
18332,Twitching Blood Pump,0.256,,+7%,+2%
18333,Twitching Trunk Tissue,0.3,+11%,+8%,
18334,Growing Aorta,0.167,+11%,,+4%
18335,Writhing Vessel,0.222,+11%,,+5%
18336,Wriggling Aorta,0.256,,+7%,+2%
18337,Writhing Vessel,0.45,+13%,+7%,
18338,Wriggling Trunk Tissue,0.333,+11%,,+7%
18339,Writhing Heart Lump,0.056,+11%,,+2%
18340,Wriggling Blood Pump,0.2,,+7%,+1%
18341,Wriggling Blood Pump,0.181,+12%,,+2%
18342,Germinated Muscle,0.267,,+6%,+4%
18343,Germinated Chamber,0.2,+11%,+7%,
18344,Wriggling Thorax,0.778,,+10%,+6%
18345,Writhing Chamber,0.222,+11%,,+5%
18346,Growing Muscle,0.472,+13%,,+5%
18347,Writhing Blood Pump,0.4,+11%,+9%,
18348,Growing Muscle,0.225,+12%,+6%,
18349,Growing Vessel,0.5,+11%,,+10%
18350,Writhing Blood Pump,0.1,+11%,+6%,
18351,Growing Thorax,0.653,+14%,,+6%
18352,Wriggling Aorta,0.578,,+8%,+6%
18353,Twitching Heart Lump,0.378,,+6%,+6%
18354,Germinated Vessel,0.056,+11%,,+2%
18355,Twitching Vessel,0.4,+11%,+9%,
18356,Twitching Vessel,0.181,+12%,,+2%
18357,Germinated Heart Lump,0.056,+11%,,+2%
18358,Twitching Vessel,0.1,+11%,+6%,
18359,Wriggling Muscle,0.431,+14%,,+2%
18360,Wriggling Heart Lump,0.5,+11%,,+10%
18361,Wriggling Chamber,0.35,+13%,+6%,
18362,Wriggling Thorax,0.156,,+6%,+2%
18363,Twitching Chamber,0.633,,+8%,+7%
18364,Writhing Blood Sac,0.456,,+9%,+2%
18365,Germinated Trunk Tissue,0.156,,+6%,+2%
18366,Writhing Vessel,0.556,,+10%,+2%
18367,Germinated Chamber,0.056,+11%,,+2%
18368,Writhing Vessel,0.675,+14%,+8%,
18369,Twitching Aorta,0.422,,+7%,+5%
18370,Twitching Vessel,0.2,+11%,+7%,
18371,Germinated Thorax,0.156,,+6%,+2%
18372,Writhing Chamber,0.556,,+10%,+2%
18373,Writhing Ventricle,0.156,,+6%,+2%
18374,Germinated Vessel,0.1,+11%,+6%,
18375,Germinated Vessel,0.225,+12%,+6%,
18376,Writhing Ventricle,0.556,+15%,,+2%
18377,Wriggling Blood Sac,0.5,+11%,+10%,
18378,Wriggling Thorax,0.5,+11%,+10%,
18379,Writhing Blood Pump,0.322,,+6%,+5%
18380,Twitching Thorax,0.1,+11%,+6%,
18381,Germinated Trunk Tissue,0.211,,+6%,+3%
18382,Wriggling Aorta,0.644,,+7%,+9%
18383,Twitching Trunk Tissue,0.356,,+8%,+2%
18384,Growing Thorax,0.056,+11%,,+2%
18385,Twitching Blood Sac,0.556,,+10%,+2%
18386,Wriggling Chamber,0.056,+11%,,+2%
18387,Germinated Trunk Tissue,0.181,+12%,,+2%
18388,Writhing Blood Pump,0.475,+14%,+6%,
18389,Twitching Trunk Tissue,0.431,+14%,,+2%
18390,Twitching Trunk Tissue,0.056,+11%,,+2%
18391,Twitching Thorax,0.35,+13%,+6%,
18392,Writhing Muscle,0.056,+11%,,+2%
18393,Twitching Vessel,0.056,+11%,,+2%
18394,Writhing Thorax,0.431,+14%,,+2%
18395,Twitching Aorta,0.556,+15%,,+2%
18396,Growing Chamber,0.1,+11%,+6%,
18397,Growing Blood Sac,0.056,+11%,,+2%
18398,Writhing Thorax,0.167,+11%,,+4%
18399,Writhing Chamber,0.458,+12%,,+7%
18400,Wriggling Aorta,0.156,,+6%,+2%
18401,Germinated Chamber,0.556,+15%,,+2%
18402,Germinated Blood Pump,0.056,+11%,,+2%
18403,Writhing Heart Lump,0.431,+14%,,+2%
18404,Twitching Muscle,0.225,+12%,+6%,
18405,Growing Blood Pump,0.3,+11%,+8%,
18406,Writhing Thorax,0.556,+15%,,+2%
18407,Growing Blood Sac,0.675,+14%,+8%,
18408,Germinated Ventricle,0.306,+13%,,+2%
18409,Growing Blood Sac,0.678,,+9%,+6%
18410,Growing Blood Sac,0.1,+11%,+6%,
18411,Germinated Blood Sac,0.639,+13%,,+8%
18412,Germinated Thorax,0.156,,+6%,+2%
18413,Germinated Muscle,0.556,+15%,,+2%
18414,Germinated Thorax,0.6,,+6%,+10%
18415,Growing Thorax,0.056,+11%,,+2%
18416,Writhing Vessel,0.056,+11%,,+2%
18417,Wriggling Blood Pump,0.156,,+6%,+2%
18418,Twitching Aorta,0.9,+15%,+9%,
18419,Wriggling Muscle,0.2,+11%,+7%,
18420,Twitching Ventricle,0.417,+13%,,+4%
18421,Growing Muscle,0.2,+11%,+7%,
18422,Growing Aorta,0.475,+14%,+6%,
18423,Twitching Heart Lump,0.431,+14%,,+2%
18424,Germinated Blood Pump,0.375,+14%,,+1%
18425,Growing Heart Lump,0.694,+13%,,+9%
18426,Wriggling Chamber,0.056,+11%,,+2%
18427,Growing Blood Pump,0.4,+11%,+9%,
18428,Writhing Blood Pump,0.444,+11%,,+9%
18429,Wriggling Muscle,0.356,,+8%,+2%
18430,Twitching Muscle,0.156,,+6%,+2%
18431,Germinated Blood Pump,0.056,+11%,,+2%
18432,Wriggling Trunk Tissue,0.722,,+10%,+5%
18433,Wriggling Blood Pump,0.764,+14%,,+8%
18434,Wriggling Muscle,0.472,+13%,,+5%
18435,Wriggling Thorax,0.1,+11%,+6%,
18436,Germinated Muscle,0.156,,+6%,+2%
18437,Twitching Vessel,0.2,+11%,+7%,
18438,Germinated Muscle,0.306,+13%,,+2%
18439,Germinated Blood Sac,0.156,,+6%,+2%
18440,Writhing Aorta,0.356,,+8%,+2%
18441,Wriggling Trunk Tissue,0.156,,+6%,+2%
18442,Growing Thorax,0.056,+11%,,+2%
18443,Germinated Trunk Tissue,0.3,+11%,+8%,
18444,Germinated Aorta,0.278,+11%,,+6%
18445,Growing Blood Sac,0.225,+12%,+6%,
18446,Germinated Trunk Tissue,0.575,+14%,+7%,
18447,Writhing Ventricle,0.256,,+7%,+2%
18448,Growing Blood Pump,0.306,+13%,,+2%
18449,Germinated Chamber,0.4,+11%,+9%,
18450,Twitching Chamber,0.256,,+7%,+2%
18451,Twitching Vessel,0.1,+11%,+6%,
18452,Germinated Blood Sac,0.1,+11%,+6%,
18453,Twitching Muscle,0.722,,+10%,+5%
18454,Germinated Thorax,0.1,+11%,+6%,
18455,Germinated Aorta,0.225,+12%,+6%,
18456,Writhing Ventricle,0.431,+14%,,+2%
18457,Growing Chamber,0.292,+12%,,+4%
18458,Wriggling Blood Sac,0.35,+13%,+6%,
18459,Growing Blood Sac,0.356,,+8%,+2%
18460,Wriggling Chamber,0.431,+14%,,+2%
18461,Germinated Blood Sac,0.6,+15%,+6%,
18462,Growing Vessel,0.325,+12%,+7%,
18463,Twitching Heart Lump,0.611,,+10%,+3%
18464,Twitching Muscle,0.111,+11%,,+3%
18465,Twitching Aorta,0.675,+14%,+8%,
18466,Growing Heart Lump,0.156,,+6%,+2%
18467,Germinated Ventricle,0.225,+12%,+6%,
18468,Twitching Muscle,0.4,+11%,+9%,
18469,Germinated Thorax,0.056,+11%,,+2%
18470,Writhing Thorax,0.4,+11%,+9%,
18471,Growing Blood Sac,0.267,,+6%,+4%
18472,Twitching Blood Pump,0.056,+11%,,+2%
18473,Growing Trunk Tissue,0.456,,+9%,+2%
18474,Writhing Ventricle,0.056,+11%,,+2%
18475,Growing Blood Sac,0.65,+13%,+9%,
18476,Germinated Blood Pump,0.472,+13%,,+5%
18477,Germinated Vessel,0.475,+14%,+6%,
18478,Wriggling Thorax,0.389,+11%,,+8%
18479,Growing Blood Pump,0.156,,+6%,+2%
18480,Germinated Heart Lump,0.35,+13%,+6%,
18481,Writhing Blood Pump,0.056,+11%,,+2%
18482,Growing Ventricle,0.556,+15%,,+2%
18483,Wriggling Muscle,0.489,,+6%,+8%
18484,Wriggling Vessel,0.278,+11%,,+6%
18485,Wriggling Blood Sac,0.056,+11%,,+2%
18486,Twitching Blood Sac,0.181,+12%,,+2%
18487,Wriggling Blood Sac,0.4,+11%,+9%,
18488,Wriggling Thorax,0.322,,+6%,+5%
18489,Growing Ventricle,0.056,+11%,,+2%
18490,Wriggling Muscle,0.467,,+8%,+4%
18491,Germinated Aorta,0.1,+11%,+6%,
18492,Twitching Heart Lump,0.356,,+8%,+2%
18493,Writhing Heart Lump,0.486,+14%,,+3%
18494,Germinated Heart Lump,0.111,+11%,,+3%
18495,Twitching Trunk Tissue,0.1,+11%,+6%,
18496,Writhing Trunk Tissue,0.356,,+8%,+2%
18497,Twitching Blood Pump,0.425,+12%,+8%,
18498,Wriggling Trunk Tissue,0.7,+15%,+7%,
18499,Wriggling Chamber,0.667,,+10%,+4%
18500,Writhing Chamber,0.181,+12%,,+2%
18501,Wriggling Blood Sac,0.417,+13%,,+4%
18502,Writhing Aorta,0.6,,+6%,+10%
18503,Germinated Trunk Tissue,0.361,+13%,,+3%
18504,Germinated Ventricle,0.367,,+7%,+4%
18505,Germinated Vessel,0.322,,+6%,+5%
18506,Wriggling Aorta,0.431,+14%,,+2%
18507,Wriggling Chamber,0.167,+11%,,+4%
18508,Growing Chamber,0.1,+11%,+6%,
18509,Growing Blood Pump,0.361,+13%,,+3%
18510,Wriggling Thorax,0.431,+14%,,+2%
18511,Wriggling Vessel,0.2,+11%,+7%,
18512,Germinated Ventricle,0.225,+12%,+6%,
18513,Twitching Vessel,0.306,+13%,,+2%
18514,Germinated Blood Sac,0.256,,+7%,+2%
18515,Twitching Aorta,0.611,,+10%,+3%
18516,Writhing Chamber,0.056,+11%,,+2%
18517,Writhing Heart Lump,0.3,+11%,+8%,
18518,Growing Blood Pump,0.156,,+6%,+2%
18519,Twitching Blood Sac,0.111,+11%,,+3%
18520,Growing Blood Sac,0.6,+15%,+6%,
18521,Growing Trunk Tissue,0.225,+12%,+6%,
18522,Germinated Trunk Tissue,0.056,+11%,,+2%
18523,Germinated Blood Pump,0.458,+12%,,+7%
18524,Twitching Thorax,0.475,+14%,+6%,
18525,Germinated Blood Pump,0.156,,+6%,+2%
18526,Germinated Chamber,0.1,+11%,+6%,
18527,Germinated Aorta,0.306,+13%,,+2%
18528,Twitching Aorta,0.556,,+10%,+2%
18529,Growing Blood Sac,0.5,+11%,+10%,
18530,Writhing Vessel,0.708,+14%,,+7%
18531,Germinated Trunk Tissue,0.156,,+6%,+2%
18532,Wriggling Heart Lump,0.533,,+7%,+7%
18533,Twitching Thorax,0.456,,+9%,+2%
18534,Growing Trunk Tissue,0.6,+15%,+6%,
18535,Twitching Ventricle,0.472,+13%,,+5%
18536,Wriggling Muscle,0.367,,+7%,+4%
18537,Germinated Vessel,0.528,+13%,,+6%
18538,Germinated Heart Lump,0.5,+11%,+10%,
18539,Wriggling Aorta,0.367,,+7%,+4%
18540,Wriggling Blood Pump,0.844,,+9%,+9%
18541,Writhing Muscle,0.378,,+6%,+6%
18542,Twitching Muscle,0.325,+12%,+7%,
18543,Writhing Trunk Tissue,0.156,,+6%,+2%
18544,Twitching Aorta,0.65,+13%,+9%,
18545,Wriggling Thorax,0.356,,+8%,+2%
18546,Twitching Aorta,0.2,+11%,+7%,
18547,Writhing Thorax,0.256,,+7%,+2%
18548,Growing Vessel,0.456,,+9%,+2%
18549,Twitching Aorta,0.156,,+6%,+2%
18550,Writhing Aorta,0.722,+15%,,+5%
18551,Wriggling Trunk Tissue,0.611,+15%,,+3%
18552,Writhing Blood Sac,0.156,,+6%,+2%
18553,Germinated Chamber,0.575,+14%,+7%,
18554,Twitching Muscle,0.167,+11%,,+4%
18555,Germinated Ventricle,0.056,+11%,,+2%
18556,Germinated Blood Sac,0.2,+11%,+7%,
18557,Wriggling Ventricle,0.511,,+9%,+3%
18558,Writhing Blood Sac,0.056,+11%,,+2%
18559,Writhing Thorax,0.3,+11%,+8%,
18560,Twitching Muscle,0.256,,+7%,+2%
18561,Twitching Blood Pump,0.056,+11%,,+2%
18562,Germinated Aorta,0.475,+14%,+6%,
18563,Wriggling Thorax,0.167,+11%,,+4%
18564,Wriggling Blood Sac,0.475,+14%,+6%,
18565,Germinated Trunk Tissue,0.111,+11%,,+3%
18566,Germinated Ventricle,0.556,,+10%,+2%
18567,Wriggling Vessel,0.75,+13%,+10%,
18568,Twitching Chamber,0.819,+14%,,+9%
18569,Twitching Aorta,0.2,+11%,+7%,
18570,Wriggling Blood Sac,0.056,+11%,,+2%
18571,Growing Chamber,0.306,+13%,,+2%
18572,Wriggling Vessel,0.689,,+8%,+8%
18573,Germinated Aorta,0.256,,+7%,+2%
18574,Wriggling Ventricle,0.578,,+8%,+6%
18575,Germinated Thorax,0.744,,+8%,+9%
18576,Wriggling Trunk Tissue,0.1,+11%,+6%,
18577,Wriggling Ventricle,0.403,+12%,,+6%
18578,Wriggling Ventricle,0.211,,+6%,+3%
18579,Twitching Aorta,0.181,+12%,,+2%
18580,Writhing Muscle,0.056,+11%,,+2%
18581,Twitching Thorax,0.256,,+7%,+2%
18582,Writhing Trunk Tissue,0.167,+11%,,+4%
18583,Wriggling Trunk Tissue,0.431,+14%,,+2%
18584,Wriggling Blood Pump,0.156,,+6%,+2%
18585,Wriggling Ventricle,0.181,+12%,,+2%
18586,Twitching Chamber,0.5,+11%,+10%,
18587,Twitching Ventricle,0.625,+12%,+10%,
18588,Germinated Aorta,0.764,+14%,,+8%
18589,Growing Trunk Tissue,0.431,+14%,,+2%
18590,Twitching Heart Lump,0.225,+12%,+6%,
18591,Twitching Muscle,0.056,+11%,,+2%
18592,Twitching Aorta,0.611,+15%,,+3%
18593,Germinated Aorta,0.325,+12%,+7%,
18594,Twitching Blood Pump,0.675,+14%,+8%,
18595,Growing Vessel,0.431,+14%,,+2%
18596,Writhing Vessel,0.225,+12%,+6%,
18597,Germinated Aorta,0.333,+11%,,+7%
18598,Growing Chamber,0.1,+11%,+6%,
18599,Growing Muscle,0.056,+11%,,+2%
18600,Germinated Blood Pump,0.333,+11%,,+7%
18601,Writhing Chamber,0.211,,+6%,+3%
18602,Germinated Chamber,0.256,,+7%,+2%
18603,Germinated Blood Sac,0.156,,+6%,+2%
18604,Twitching Trunk Tissue,0.511,,+9%,+3%
18605,Growing Chamber,0.056,+11%,,+2%
18606,Writhing Ventricle,0.156,,+6%,+2%
18607,Writhing Thorax,0.1,+11%,+6%,
18608,Twitching Ventricle,0.9,+15%,+9%,
18609,Writhing Thorax,0.75,+13%,+10%,
18610,Growing Blood Sac,0.181,+12%,,+2%
18611,Growing Muscle,0.056,+11%,,+2%
18612,Growing Trunk Tissue,0.056,+11%,,+2%
18613,Germinated Vessel,0.514,+12%,,+8%
18614,Wriggling Aorta,0.356,,+8%,+2%
18615,Twitching Blood Sac,0.181,+12%,,+2%
18616,Twitching Blood Sac,0.225,+12%,+6%,
18617,Wriggling Blood Sac,0.4,+11%,+9%,
18618,Growing Aorta,0.267,,+6%,+4%
18619,Growing Vessel,0.1,+11%,+6%,
18620,Wriggling Chamber,0.056,+11%,,+2%
18621,Germinated Muscle,0.35,+13%,+6%,
18622,Growing Chamber,0.225,+12%,+6%,
18623,Writhing Blood Sac,0.181,+12%,,+2%
18624,Twitching Vessel,0.45,+13%,+7%,
18625,Germinated Trunk Tissue,0.775,+14%,+9%,
18626,Growing Vessel,0.356,,+8%,+2%
18627,Twitching Thorax,0.2,+11%,+7%,
18628,Wriggling Aorta,0.111,+11%,,+3%
18629,Growing Blood Pump,0.167,+11%,,+4%
18630,Twitching Vessel,0.181,+12%,,+2%
18631,Wriggling Trunk Tissue,0.156,,+6%,+2%
18632,Growing Heart Lump,0.1,+11%,+6%,
18633,Writhing Blood Pump,0.5,+11%,+10%,
18634,Writhing Ventricle,0.65,+13%,+9%,
18635,Growing Trunk Tissue,0.1,,+6%,+1%
18636,Twitching Aorta,0.356,,+8%,+2%
18637,Twitching Muscle,0.181,+12%,,+2%
18638,Wriggling Heart Lump,0.1,+11%,+6%,
18639,Twitching Thorax,0.2,+11%,+7%,
18640,Twitching Aorta,0.056,+11%,,+2%
18641,Writhing Ventricle,0.056,+11%,,+2%
18642,Wriggling Blood Pump,0.056,+11%,,+2%
18643,Germinated Vessel,0.489,,+6%,+8%
18644,Twitching Ventricle,0.322,,+6%,+5%
18645,Writhing Heart Lump,0.181,+12%,,+2%
18646,Wriggling Vessel,0.225,+12%,+6%,
18647,Twitching Thorax,0.0,+11%,,+1%
18648,Writhing Trunk Tissue,0.675,+14%,+8%,
18649,Growing Thorax,0.256,,+7%,+2%
18650,Germinated Ventricle,0.322,,+6%,+5%
18651,Writhing Blood Pump,0.056,+11%,,+2%
18652,Writhing Chamber,0.278,+11%,,+6%
18653,Writhing Blood Sac,0.556,,+10%,+2%
18654,Germinated Muscle,0.225,+12%,+6%,
18655,Wriggling Ventricle,0.056,+11%,,+2%
18656,Germinated Thorax,0.444,+11%,,+9%
18657,Writhing Thorax,0.475,+14%,+6%,
18658,Growing Vessel,0.431,+14%,,+2%
18659,Growing Aorta,0.056,+11%,,+2%
18660,Twitching Blood Pump,0.1,+11%,+6%,
18661,Wriggling Thorax,0.156,,+6%,+2%
18662,Twitching Ventricle,0.156,,+6%,+2%
18663,Writhing Aorta,0.403,+12%,,+6%
18664,Growing Chamber,0.556,,+10%,+2%
18665,Growing Ventricle,0.625,+12%,,+10%
18666,Writhing Vessel,0.306,+13%,,+2%
18667,Growing Blood Sac,0.211,,+6%,+3%
18668,Twitching Blood Pump,0.625,+12%,+10%,
18669,Writhing Muscle,0.056,+11%,,+2%
18670,Writhing Ventricle,0.403,+12%,,+6%
18671,Wriggling Thorax,0.456,,+9%,+2%
18672,Germinated Trunk Tissue,0.325,+12%,+7%,
18673,Wriggling Trunk Tissue,0.181,+12%,,+2%
18674,Growing Heart Lump,0.525,+12%,+9%,
18675,Writhing Vessel,0.575,+14%,+7%,
18676,Growing Aorta,0.181,+12%,,+2%
18677,Germinated Trunk Tissue,0.181,+12%,,+2%
18678,Germinated Blood Pump,0.431,+14%,,+2%
18679,Germinated Heart Lump,0.1,+11%,+6%,
18680,Wriggling Aorta,0.567,,+9%,+4%
18681,Wriggling Chamber,0.733,,+9%,+7%
18682,Twitching Trunk Tissue,0.467,,+8%,+4%
18683,Wriggling Muscle,0.611,,+10%,+3%
18684,Wriggling Blood Sac,0.256,,+7%,+2%
18685,Growing Vessel,0.575,+14%,+7%,
18686,Germinated Chamber,0.35,+13%,+6%,
18687,Twitching Aorta,0.156,,+6%,+2%
18688,Wriggling Aorta,0.356,,+8%,+2%
18689,Growing Vessel,0.25,+13%,,+1%
18690,Twitching Aorta,0.2,+11%,+7%,
18691,Twitching Trunk Tissue,0.2,+11%,+7%,
18692,Writhing Heart Lump,0.575,+14%,+7%,
18693,Writhing Ventricle,0.3,+11%,+8%,
18694,Writhing Aorta,0.278,+11%,,+6%
18695,Writhing Blood Sac,0.611,,+10%,+3%
18696,Writhing Ventricle,0.65,+13%,+9%,
18697,Germinated Blood Sac,0.675,+14%,+8%,
18698,Wriggling Aorta,0.6,+15%,+6%,
18699,Wriggling Chamber,0.611,+15%,,+3%
18700,Writhing Vessel,0.211,,+6%,+3%
18701,Wriggling Vessel,0.578,,+8%,+6%
18702,Twitching Blood Sac,0.181,+12%,,+2%
18703,Twitching Blood Sac,0.6,,+6%,+10%
18704,Wriggling Trunk Tissue,0.1,+11%,+6%,
18705,Germinated Blood Pump,0.056,+11%,,+2%
18706,Wriggling Thorax,0.222,+11%,,+5%
18707,Growing Blood Pump,0.156,,+6%,+2%
18708,Germinated Blood Sac,0.181,+12%,,+2%
18709,Germinated Chamber,0.278,+11%,,+6%
18710,Writhing Heart Lump,0.156,,+6%,+2%
18711,Wriggling Vessel,0.1,+11%,+6%,
18712,Growing Chamber,0.583,+13%,,+7%
18713,Germinated Muscle,0.2,+11%,+7%,
18714,Twitching Blood Pump,0.456,,+9%,+2%
18715,Growing Aorta,0.181,+12%,,+2%
18716,Germinated Chamber,0.425,+12%,+8%,
18717,Growing Chamber,0.456,,+9%,+2%
18718,Germinated Blood Pump,0.267,,+6%,+4%
18719,Writhing Trunk Tissue,0.4,+11%,+9%,
18720,Writhing Chamber,0.689,,+8%,+8%
18721,Twitching Vessel,0.522,,+8%,+5%
18722,Twitching Aorta,0.256,,+7%,+2%
18723,Growing Thorax,0.156,,+6%,+2%
18724,Wriggling Chamber,0.367,,+7%,+4%
18725,Wriggling Heart Lump,0.156,,+6%,+2%
18726,Twitching Blood Sac,0.431,+14%,,+2%
18727,Twitching Heart Lump,0.3,+11%,+8%,
18728,Germinated Thorax,0.181,+12%,,+2%
18729,Twitching Trunk Tissue,0.325,+12%,+7%,
18730,Writhing Muscle,0.556,,+10%,+2%
18731,Growing Blood Sac,0.2,+11%,+7%,
18732,Germinated Trunk Tissue,0.467,,+8%,+4%
18733,Germinated Aorta,0.181,+12%,,+2%
18734,Twitching Blood Sac,0.056,+11%,,+2%
18735,Germinated Muscle,0.306,+13%,,+2%
18736,Writhing Thorax,0.625,+12%,,+10%
18737,Growing Thorax,0.622,,+9%,+5%
18738,Germinated Heart Lump,0.3,+11%,+8%,
18739,Wriggling Blood Pump,0.733,,+9%,+7%
18740,Wriggling Heart Lump,0.311,,+7%,+3%
18741,Wriggling Heart Lump,0.4,+11%,+9%,
18742,Writhing Ventricle,0.356,,+8%,+2%
18743,Writhing Trunk Tissue,0.944,,+10%,+9%
18744,Wriggling Vessel,0.5,+11%,,+10%
18745,Twitching Blood Sac,0.1,,+6%,+1%
18746,Twitching Trunk Tissue,0.1,+11%,+6%,
18747,Twitching Trunk Tissue,0.306,+13%,,+2%
18748,Twitching Blood Pump,0.356,,+8%,+2%
18749,Writhing Trunk Tissue,0.278,+11%,,+6%
18750,Growing Blood Sac,0.181,+12%,,+2%
18751,Twitching Vessel,0.75,+13%,+10%,
18752,Growing Ventricle,0.411,,+8%,+3%
18753,Germinated Blood Sac,0.3,+11%,+8%,
18754,Growing Thorax,0.675,+14%,+8%,
18755,Twitching Vessel,0.267,,+6%,+4%
18756,Wriggling Vessel,0.056,+11%,,+2%
18757,Germinated Ventricle,0.3,+11%,+8%,
18758,Germinated Blood Pump,0.156,,+6%,+2%
18759,Writhing Ventricle,0.356,,+8%,+2%
18760,Twitching Heart Lump,0.1,+11%,+6%,
18761,Growing Aorta,0.225,+12%,+6%,
18762,Germinated Aorta,0.311,,+7%,+3%
18763,Twitching Trunk Tissue,0.556,+15%,,+2%
18764,Twitching Thorax,0.1,+11%,+6%,
18765,Writhing Ventricle,0.3,+11%,+8%,
18766,Wriggling Thorax,0.833,+15%,,+7%
18767,Writhing Thorax,0.056,+11%,,+2%
18768,Writhing Ventricle,0.1,+11%,+6%,
18769,Wriggling Heart Lump,0.1,+11%,+6%,
18770,Germinated Blood Pump,0.056,+11%,,+2%
18771,Writhing Vessel,0.533,,+7%,+7%
18772,Germinated Thorax,0.256,,+7%,+2%
18773,Wriggling Aorta,0.181,+12%,,+2%
18774,Germinated Thorax,0.306,+13%,,+2%
18775,Germinated Muscle,0.4,+11%,+9%,
18776,Writhing Blood Pump,0.1,+11%,+6%,
18777,Twitching Heart Lump,0.156,,+6%,+2%
18778,Germinated Blood Sac,0.556,,+10%,+2%
18779,Growing Blood Pump,0.256,,+7%,+2%
18780,Growing Vessel,0.2,+11%,+7%,
18781,Writhing Blood Pump,0.236,+12%,,+3%
18782,Writhing Blood Sac,0.156,,+6%,+2%
18783,Wriggling Muscle,0.225,+12%,+6%,
18784,Wriggling Thorax,0.2,+11%,+7%,
18785,Wriggling Thorax,0.267,,+6%,+4%
18786,Growing Trunk Tissue,0.211,,+6%,+3%
18787,Germinated Blood Sac,0.156,,+6%,+2%
18788,Germinated Ventricle,0.475,+14%,+6%,
18789,Writhing Vessel,0.411,,+8%,+3%
18790,Twitching Ventricle,0.3,+11%,+8%,
18791,Writhing Heart Lump,0.667,,+10%,+4%
18792,Writhing Chamber,0.181,+12%,,+2%
18793,Growing Heart Lump,0.211,,+6%,+3%
18794,Wriggling Trunk Tissue,0.456,,+9%,+2%
18795,Writhing Ventricle,0.156,,+6%,+2%
18796,Growing Aorta,0.2,+11%,+7%,
18797,Twitching Chamber,0.556,,+10%,+2%
18798,Writhing Chamber,0.056,+11%,,+2%
18799,Germinated Blood Sac,0.056,+11%,,+2%
18800,Twitching Aorta,0.575,+14%,+7%,
18801,Growing Blood Sac,0.3,+11%,+8%,
18802,Germinated Aorta,0.167,+11%,,+4%
18803,Germinated Blood Pump,0.611,,+10%,+3%
18804,Wriggling Ventricle,0.211,,+6%,+3%
18805,Twitching Vessel,0.556,,+10%,+2%
18806,Writhing Blood Sac,0.225,+12%,+6%,
18807,Germinated Vessel,0.575,+14%,+7%,
18808,Writhing Heart Lump,0.35,+13%,+6%,
