sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage,Ship_Weapons_ShieldLeech
18127,Fixated Projector,0.611,,+16%,+67%
18128,Focused Mirror,0.132,+41%,,
18129,Glassy Lens,0.0,,+16%,
18130,Fixated Iris,0.536,+52%,,+57%
18131,Fixated Lens,0.333,,+18%,
18132,Restless Pupil,0.292,,,+64%
18133,Wandering Projector,0.533,,+19%,+61%
18134,Glassy Cornea,0.417,,,+70%
18135,Focused Lens,0.5,,,+74%
18136,Wandering Retina,0.575,,+16%,+66%
18137,Glassy Lens,0.0,+36%,+16%,
18138,Wandering Fluids,0.0,,+16%,
18139,Restless Retina,0.333,,+18%,
18140,Restless Lens,0.526,+48%,+16%,
18141,Restless Pupil,0.5,,,+74%
18142,Focused Retina,0.0,+36%,,
18143,Focused Mirror,0.494,+46%,+17%,
18144,Focused Fluids,0.0,,+16%,
18145,Restless Projector,0.534,+44%,,+65%
18146,Focused Fluids,0.261,,+17%,+56%
18147,Glassy Fluids,0.167,,,+58%
18148,Fixated Pupil,0.211,+44%,,
18149,Glassy Lens,0.042,,,+52%
18150,Glassy Cornea,0.146,,,+57%
18151,Wandering Retina,0.375,,,+68%
18152,Restless Mirror,0.0,+36%,,
18153,Restless Pupil,0.611,,+16%,+67%
18154,Fixated Pupil,0.021,,,+51%
18155,Wandering Pupil,0.375,,,+68%
18156,Restless Projector,0.125,,,+56%
18157,Fixated Retina,0.5,,+19%,
18158,Glassy Iris,0.083,,,+54%
18159,Focused Reflector,0.132,+41%,,
18160,Wandering Projector,0.342,+49%,,
18161,Glassy Aperture,0.105,+40%,,
18162,Fixated Projector,0.5,,,+74%
18163,Fixated Aperture,0.0,,+16%,
18164,Fixated Reflector,0.0,,+16%,
18165,Focused Mirror,0.0,,+16%,
18166,Focused Pupil,0.0,,+16%,
18167,Focused Retina,0.325,+39%,,+61%
18168,Restless Iris,0.237,+45%,,
18169,Restless Reflector,0.263,+46%,,
18170,Wandering Projector,0.474,+54%,,
18171,Glassy Cornea,0.158,+42%,,
18172,Focused Iris,0.0,,,+50%
18173,Restless Aperture,0.5,,+19%,
18174,Focused Lens,0.395,+51%,,
18175,Wandering Reflector,0.079,+39%,,
18176,Focused Aperture,0.167,,+17%,
18177,Glassy Projector,0.0,,+16%,
18178,Glassy Reflector,0.289,+47%,,
18179,Wandering Cornea,0.954,,+18%,+74%
18180,Restless Cornea,0.746,+53%,+16%,
18181,Wandering Reflector,0.167,,+17%,
18182,Glassy Cornea,0.175,+40%,+16%,
18183,Wandering Projector,0.042,,,+52%
18184,Restless Projector,0.07,+37%,,+52%
18185,Focused Aperture,0.062,,,+53%
18186,Glassy Pupil,0.104,,,+55%
18187,Restless Retina,0.718,,+16%,+70%
18188,Wandering Projector,0.146,,,+57%
18189,Wandering Reflector,0.512,+49%,,+59%
18190,Glassy Mirror,0.396,,,+69%
18191,Focused Reflector,0.053,+38%,,
18192,Wandering Projector,0.167,,+17%,
18193,Restless Reflector,0.5,+55%,,
18194,Restless Retina,0.368,+50%,,
18195,Focused Reflector,0.539,,+16%,+65%
18196,Fixated Fluids,0.0,,+16%,
18197,Focused Cornea,0.0,,+16%,
18198,Focused Retina,0.0,,+16%,+50%
18199,Restless Aperture,0.417,+39%,,+65%
18200,Glassy Fluids,0.125,,,+56%
18201,Focused Fluids,0.0,+36%,,
18202,Glassy Mirror,0.0,+36%,,
18203,Wandering Retina,0.263,+42%,+16%,
18204,Focused Lens,0.167,,+17%,
18205,Focused Pupil,0.167,,+17%,
18206,Fixated Iris,0.237,+45%,,
18207,Wandering Lens,0.083,,,+54%
18208,Restless Fluids,0.167,,+17%,
18209,Fixated Pupil,0.07,+39%,,+50%
18210,Focused Iris,0.826,,+16%,+73%
18211,Fixated Retina,0.0,,+16%,
18212,Fixated Retina,0.132,+41%,,
18213,Focused Pupil,0.79,,+16%,+72%
18214,Fixated Retina,0.208,,,+60%
18215,Focused Retina,0.021,,,+51%
18216,Focused Fluids,0.417,,,+70%
18217,Fixated Pupil,0.0,,+16%,
18218,Restless Mirror,0.146,,,+57%
18219,Restless Retina,0.021,,,+51%
18220,Glassy Lens,0.395,+51%,,
18221,Focused Iris,0.5,,+19%,
18222,Glassy Retina,0.0,,+16%,
18223,Focused Iris,0.397,+52%,,+51%
18224,Wandering Retina,0.789,+54%,+16%,
18225,Wandering Aperture,0.271,,,+63%
18226,Restless Reflector,0.056,+36%,+17%,
18227,Glassy Lens,0.251,,+16%,+57%
18228,Fixated Aperture,0.208,,,+60%
18229,Wandering Mirror,0.0,,,+50%
18230,Fixated Mirror,0.132,+41%,,
18231,Glassy Cornea,0.167,,+17%,
18232,Glassy Mirror,0.5,,+19%,
18233,Glassy Cornea,0.062,,,+53%
18234,Fixated Pupil,0.0,,+16%,
18235,Focused Iris,0.0,+36%,,
18236,Restless Iris,0.333,,+18%,
18237,Restless Reflector,0.868,+52%,+19%,
18238,Glassy Fluids,0.021,,,+51%
18239,Fixated Projector,0.263,+46%,,
18240,Fixated Cornea,0.439,+46%,+16%,
18241,Glassy Projector,0.0,,,+50%
18242,Focused Reflector,0.079,+39%,,
18243,Wandering Cornea,0.447,+53%,,
18244,Restless Lens,0.07,+39%,,+50%
18245,Fixated Lens,0.14,+42%,,+50%
18246,Glassy Pupil,0.292,,,+64%
18247,Focused Cornea,0.0,,,+50%
18248,Glassy Cornea,0.0,+36%,,
18249,Focused Aperture,0.421,+52%,,
18250,Restless Projector,0.333,,+18%,
18251,Fixated Aperture,0.208,,,+60%
18252,Fixated Reflector,0.0,,,+50%
18253,Wandering Mirror,0.0,+36%,,
18254,Glassy Projector,0.0,,+16%,
18255,Fixated Retina,0.0,,+16%,
18256,Restless Reflector,0.0,,+16%,
18257,Glassy Reflector,0.0,+36%,,
18258,Restless Retina,0.0,,+16%,
18259,Fixated Fluids,0.132,+41%,,
18260,Restless Reflector,0.333,,+18%,
18261,Fixated Cornea,0.158,+42%,,
18262,Glassy Mirror,0.513,+53%,,+55%
18263,Wandering Fluids,0.333,,+18%,
18264,Glassy Reflector,0.977,+54%,,+74%
18265,Fixated Retina,0.0,,+16%,+50%
18266,Restless Projector,0.174,,+19%,+51%
18267,Fixated Iris,0.023,+36%,,+51%
18268,Focused Cornea,0.0,,+16%,
18269,Restless Iris,0.251,,+16%,+57%
18270,Restless Retina,0.415,,+18%,+59%
18271,Focused Reflector,0.021,,,+51%
18272,Wandering Iris,0.105,+40%,,
18273,Fixated Iris,0.0,+36%,,
18274,Restless Reflector,0.254,+38%,+19%,
18275,Restless Projector,0.292,,,+64%
18276,Glassy Lens,0.33,+41%,+18%,
18277,Fixated Retina,0.323,,+16%,+59%
18278,Fixated Aperture,0.053,+38%,,
18279,Focused Mirror,0.117,+41%,,+50%
18280,Focused Fluids,0.026,+37%,,
18281,Fixated Lens,0.092,,+18%,+50%
18282,Restless Retina,0.0,,+16%,+50%
18283,Wandering Aperture,0.0,,,+50%
18284,Restless Iris,0.0,,,+50%
18285,Restless Mirror,0.146,,,+57%
18286,Restless Lens,0.0,+36%,,
18287,Focused Fluids,0.079,+39%,,
18288,Fixated Retina,0.083,,,+54%
18289,Wandering Projector,0.421,+52%,,
18290,Glassy Aperture,0.0,,,+50%
18291,Glassy Aperture,0.395,+51%,,
18292,Fixated Retina,0.237,+45%,,
18293,Fixated Pupil,0.146,,,+57%
18294,Restless Mirror,0.298,+39%,+19%,
18295,Restless Pupil,0.316,+48%,,
18296,Wandering Aperture,0.0,+36%,,
18297,Restless Iris,0.158,+42%,,
18298,Fixated Lens,0.333,,+18%,
18299,Focused Lens,0.0,+36%,,
18300,Focused Mirror,0.348,+38%,,+63%
18301,Wandering Retina,0.0,+36%,,
18302,Fixated Aperture,0.158,+42%,,
18303,Fixated Lens,0.0,+36%,,
18304,Wandering Lens,0.0,+36%,+16%,
18305,Wandering Lens,0.211,+44%,,
18306,Glassy Iris,0.0,,+16%,
18307,Fixated Cornea,0.396,,,+69%
18308,Glassy Retina,0.026,+37%,,
18309,Focused Fluids,0.116,+39%,,+52%
18310,Glassy Lens,0.889,+55%,+17%,
18311,Restless Pupil,0.0,,,+50%
18312,Wandering Aperture,0.5,+55%,,
18313,Wandering Pupil,0.0,,+16%,
18314,Glassy Reflector,0.088,+38%,+16%,
18315,Fixated Aperture,0.167,,,+58%
18316,Restless Iris,0.368,+50%,,
18317,Focused Cornea,0.021,,,+51%
18318,Focused Lens,0.079,+39%,,
18319,Wandering Iris,0.083,,,+54%
18320,Restless Mirror,0.506,+45%,+18%,
18321,Fixated Pupil,0.45,+45%,+17%,
18322,Wandering Reflector,0.5,+55%,,
18323,Fixated Cornea,0.158,+42%,,
18324,Fixated Retina,0.237,+45%,,
18325,Restless Lens,0.042,,,+52%
18326,Wandering Retina,0.083,,,+54%
18327,Focused Projector,0.042,,,+52%
18328,Glassy Mirror,0.0,,,+50%
18329,Glassy Cornea,0.647,,+16%,+68%
18330,Focused Lens,0.0,,+16%,
18331,Wandering Cornea,0.0,,,+50%
18332,Glassy Projector,0.333,,+18%,
18333,Glassy Pupil,0.0,,+16%,
18334,Fixated Fluids,0.581,+45%,,+66%
18335,Restless Iris,0.512,+46%,,+62%
18336,Wandering Fluids,0.5,,+19%,
18337,Restless Iris,0.0,,+16%,
18338,Wandering Pupil,0.083,,,+54%
18339,Restless Lens,0.167,,,+58%
18340,Wandering Projector,0.0,,+16%,+50%
18341,Wandering Projector,0.062,,,+53%
18342,Focused Reflector,0.046,,+17%,+50%
18343,Focused Aperture,0.5,,+19%,
18344,Wandering Cornea,0.333,,+18%,
18345,Restless Aperture,0.86,+49%,,+74%
18346,Fixated Reflector,0.5,+55%,,
18347,Restless Projector,0.237,+45%,,
18348,Fixated Reflector,0.167,,+17%,
18349,Fixated Iris,0.768,+54%,,+65%
18350,Restless Projector,0.0,,+16%,
18351,Fixated Cornea,0.421,+54%,,+50%
18352,Wandering Fluids,0.125,,,+56%
18353,Glassy Lens,0.0,,,+50%
18354,Focused Iris,0.438,,,+71%
18355,Glassy Iris,0.0,+36%,,
18356,Glassy Iris,0.069,+36%,,+53%
18357,Focused Lens,0.162,+37%,,+56%
18358,Glassy Iris,0.0,,+16%,
18359,Wandering Reflector,0.208,,,+60%
18360,Wandering Lens,0.396,,,+69%
18361,Wandering Aperture,0.0,,+16%,
18362,Wandering Cornea,0.2,,+18%,+53%
18363,Glassy Aperture,0.0,,,+50%
18364,Restless Retina,0.539,,+16%,+65%
18365,Focused Pupil,0.0,,+16%,
18366,Restless Iris,0.167,,+17%,
18367,Focused Aperture,0.053,+38%,,
18368,Restless Iris,0.026,+37%,,
18369,Glassy Fluids,0.297,,+17%,+57%
18370,Glassy Iris,0.184,+43%,,
18371,Focused Cornea,0.0,,,+50%
18372,Restless Aperture,0.79,,+16%,+72%
18373,Restless Mirror,0.125,,,+56%
18374,Focused Iris,0.0,,+16%,
18375,Focused Iris,0.333,,+18%,
18376,Restless Mirror,0.304,+49%,,+50%
18377,Wandering Retina,0.5,,+19%,
18378,Wandering Cornea,0.5,,+19%,
18379,Restless Projector,0.333,,+18%,
18380,Glassy Cornea,0.333,,+18%,
18381,Focused Pupil,0.118,,+17%,+52%
18382,Wandering Fluids,0.062,,,+53%
18383,Glassy Pupil,0.0,,,+50%
18384,Fixated Cornea,0.474,+54%,,
18385,Glassy Retina,0.042,,,+52%
18386,Wandering Aperture,0.023,+37%,,+50%
18387,Focused Pupil,0.513,+51%,,+57%
18388,Restless Projector,0.368,+50%,,
18389,Glassy Pupil,0.146,,,+57%
18390,Glassy Pupil,0.511,+43%,,+65%
18391,Glassy Cornea,0.0,,+16%,
18392,Restless Reflector,0.211,+44%,,
18393,Glassy Iris,0.312,,,+65%
18394,Restless Cornea,0.0,,,+50%
18395,Glassy Fluids,0.0,,,+50%
18396,Fixated Aperture,0.056,+36%,+17%,
18397,Fixated Retina,0.289,+47%,,
18398,Restless Cornea,0.021,,,+51%
18399,Restless Aperture,0.397,+51%,,+52%
18400,Wandering Fluids,0.021,,,+51%
18401,Focused Aperture,0.184,+43%,,
18402,Focused Projector,0.158,+42%,,
18403,Restless Lens,0.0,,,+50%
18404,Glassy Reflector,0.053,+38%,,
18405,Fixated Projector,0.0,,+16%,
18406,Restless Cornea,0.026,+37%,,
18407,Fixated Retina,0.088,+38%,+16%,
18408,Focused Mirror,0.271,,,+63%
18409,Fixated Retina,0.0,,+16%,
18410,Fixated Retina,0.0,+36%,,
18411,Focused Retina,0.28,+45%,,+53%
18412,Focused Cornea,0.208,,,+60%
18413,Focused Reflector,0.026,+37%,,
18414,Focused Cornea,0.5,,+19%,
18415,Fixated Cornea,0.062,,,+53%
18416,Restless Iris,0.0,,,+50%
18417,Wandering Projector,0.167,,+17%,
18418,Glassy Fluids,0.167,,+17%,
18419,Wandering Reflector,0.395,+51%,,
18420,Glassy Mirror,0.5,,,+74%
18421,Fixated Reflector,0.056,+36%,+17%,
18422,Fixated Fluids,0.0,,+16%,
18423,Glassy Lens,0.07,+39%,,+50%
18424,Focused Projector,0.0,+36%,,
18425,Fixated Lens,0.884,+54%,,+70%
18426,Wandering Aperture,0.0,+36%,,
18427,Fixated Projector,0.5,,+19%,
18428,Restless Projector,0.474,+54%,,
18429,Wandering Reflector,0.0,,+16%,
18430,Glassy Reflector,0.0,,,+50%
18431,Focused Projector,0.021,,,+51%
18432,Wandering Pupil,0.0,,+16%,
18433,Wandering Projector,0.675,+53%,,+62%
18434,Wandering Reflector,0.0,+36%,,
18435,Wandering Cornea,0.158,+42%,,
18436,Focused Reflector,0.333,,+18%,
18437,Glassy Iris,0.0,,+16%,
18438,Focused Reflector,0.023,+37%,,+50%
18439,Focused Retina,0.246,,+19%,+53%
18440,Restless Fluids,0.0,,+16%,
18441,Wandering Pupil,0.333,,+18%,
18442,Fixated Cornea,0.51,+39%,,+69%
18443,Focused Pupil,0.053,+38%,,
18444,Focused Fluids,0.0,,,+50%
18445,Fixated Retina,0.184,+43%,,
18446,Focused Pupil,0.289,+47%,,
18447,Restless Mirror,0.216,,+16%,+56%
18448,Fixated Projector,0.053,+38%,,
18449,Focused Aperture,0.053,+38%,,
18450,Glassy Aperture,0.333,,+18%,
18451,Glassy Iris,0.0,,+16%,
18452,Focused Retina,0.0,+36%,,
18453,Glassy Reflector,0.0,,+16%,
18454,Focused Cornea,0.105,+40%,,
18455,Focused Fluids,0.5,,+19%,
18456,Restless Mirror,0.0,+36%,,
18457,Fixated Aperture,0.0,+36%,,
18458,Wandering Retina,0.333,,+18%,
18459,Fixated Retina,0.0,,,+50%
18460,Wandering Aperture,0.079,+39%,,
18461,Focused Retina,0.088,+38%,+16%,
18462,Fixated Iris,0.088,+38%,+16%,
18463,Glassy Lens,0.5,,,+74%
18464,Glassy Reflector,0.167,,,+58%
18465,Glassy Fluids,0.561,+45%,+19%,
18466,Fixated Lens,0.0,,+16%,
18467,Focused Mirror,0.0,+36%,+16%,
18468,Glassy Reflector,0.0,+36%,,
18469,Focused Cornea,0.062,,,+53%
18470,Restless Cornea,0.386,+41%,+19%,
18471,Fixated Retina,0.0,,+16%,
18472,Glassy Projector,0.053,+38%,,
18473,Fixated Pupil,0.083,,,+54%
18474,Restless Mirror,0.396,,,+69%
18475,Fixated Retina,0.0,,+16%,
18476,Focused Projector,0.026,+37%,,
18477,Focused Iris,0.167,,+17%,
18478,Wandering Cornea,0.354,,,+67%
18479,Fixated Projector,0.0,,+16%,
18480,Focused Lens,0.0,+36%,,
18481,Restless Projector,0.368,+50%,,
18482,Fixated Mirror,0.184,+43%,,
18483,Wandering Reflector,0.021,,,+51%
18484,Wandering Iris,0.395,+51%,,
18485,Wandering Retina,0.184,+43%,,
18486,Glassy Retina,0.417,,,+70%
18487,Wandering Retina,0.111,+36%,+18%,
18488,Wandering Cornea,0.229,,,+61%
18489,Fixated Mirror,0.0,,,+50%
18490,Wandering Reflector,0.333,,+18%,
18491,Focused Fluids,0.0,+36%,,
18492,Glassy Lens,0.0,,,+50%
18493,Restless Lens,0.164,+43%,,+50%
18494,Focused Lens,0.676,+54%,,+61%
18495,Glassy Pupil,0.681,+49%,+18%,
18496,Restless Pupil,0.146,,,+57%
18497,Glassy Projector,0.594,+47%,+18%,
18498,Wandering Pupil,0.0,,+16%,
18499,Wandering Aperture,0.458,,,+72%
18500,Restless Aperture,0.21,+41%,,+54%
18501,Wandering Retina,0.0,,,+50%
18502,Restless Fluids,0.333,,+18%,
18503,Focused Pupil,0.093,+39%,,+51%
18504,Focused Mirror,0.092,,+18%,+50%
18505,Focused Iris,0.0,,+16%,
18506,Wandering Fluids,0.146,,,+57%
18507,Wandering Aperture,0.083,,,+54%
18508,Fixated Aperture,0.0,+36%,,
18509,Fixated Projector,0.047,+37%,,+51%
18510,Wandering Cornea,0.0,+36%,,
18511,Wandering Iris,0.158,+42%,,
18512,Focused Mirror,0.5,,+19%,
18513,Glassy Iris,0.187,+42%,,+52%
18514,Focused Retina,0.5,,+19%,
18515,Glassy Fluids,0.0,,+16%,
18516,Restless Aperture,0.301,+37%,,+62%
18517,Restless Lens,0.333,,+18%,
18518,Fixated Projector,0.042,,,+52%
18519,Glassy Retina,0.104,,,+55%
18520,Fixated Retina,0.0,+36%,+16%,
18521,Fixated Pupil,0.0,,+16%,
18522,Focused Pupil,0.104,,,+55%
18523,Focused Projector,0.104,,,+55%
18524,Glassy Cornea,0.111,+36%,+18%,
18525,Focused Projector,0.287,,+16%,+58%
18526,Focused Aperture,0.184,+43%,,
18527,Focused Fluids,0.375,,,+68%
18528,Glassy Fluids,0.108,,+16%,+53%
18529,Fixated Retina,0.0,,+16%,
18530,Restless Iris,0.333,,,+66%
18531,Focused Pupil,0.036,,+16%,+51%
18532,Wandering Lens,0.323,,+16%,+59%
18533,Glassy Cornea,0.0,,+16%,
18534,Fixated Pupil,0.158,+42%,,
18535,Glassy Mirror,0.093,+39%,,+51%
18536,Wandering Reflector,0.092,,+18%,+50%
18537,Focused Iris,0.257,+46%,,+51%
18538,Focused Lens,0.912,+53%,+19%,
18539,Wandering Fluids,0.333,,,+66%
18540,Wandering Projector,0.333,,+18%,
18541,Restless Reflector,0.375,,,+68%
18542,Glassy Reflector,0.474,+43%,+19%,
18543,Restless Pupil,0.092,,+18%,+50%
18544,Glassy Fluids,0.0,,+16%,
18545,Wandering Cornea,0.104,,,+55%
18546,Glassy Fluids,0.333,,+18%,
18547,Restless Cornea,0.5,,,+74%
18548,Fixated Iris,0.703,,+18%,+67%
18549,Glassy Fluids,0.0,,+16%,
18550,Restless Fluids,0.0,+36%,,+50%
18551,Wandering Pupil,0.0,+36%,,
18552,Restless Retina,0.125,,,+56%
18553,Focused Aperture,0.0,,+16%,
18554,Glassy Reflector,0.486,+36%,,+71%
18555,Focused Mirror,0.208,,,+60%
18556,Focused Retina,0.026,+37%,,
18557,Wandering Mirror,0.021,,,+51%
18558,Restless Retina,0.208,+36%,,+59%
18559,Restless Cornea,0.0,,+16%,
18560,Glassy Reflector,0.379,,+18%,+58%
18561,Glassy Projector,0.023,+36%,,+51%
18562,Focused Fluids,0.211,+37%,+19%,
18563,Wandering Cornea,0.079,+39%,,
18564,Wandering Retina,0.211,+37%,+19%,
18565,Focused Pupil,0.606,+51%,,+61%
18566,Focused Mirror,0.862,,+16%,+74%
18567,Wandering Iris,0.5,,+19%,
18568,Glassy Aperture,0.5,+55%,,
18569,Glassy Fluids,0.363,+43%,+17%,
18570,Wandering Retina,0.395,+51%,,
18571,Fixated Aperture,0.458,,,+72%
18572,Wandering Iris,0.467,,+16%,+63%
18573,Focused Fluids,0.333,,+18%,
18574,Wandering Mirror,0.164,,+18%,+52%
18575,Focused Cornea,0.138,,+19%,+50%
18576,Wandering Pupil,0.132,+41%,,
18577,Wandering Mirror,0.0,+36%,,
18578,Wandering Mirror,0.036,,+16%,+51%
18579,Glassy Fluids,0.354,,,+67%
18580,Restless Reflector,0.479,,,+73%
18581,Glassy Cornea,0.216,,+16%,+56%
18582,Restless Pupil,0.083,,,+54%
18583,Wandering Pupil,0.438,,,+71%
18584,Wandering Projector,0.062,,,+53%
18585,Wandering Mirror,0.162,+36%,,+57%
18586,Glassy Aperture,0.0,,+16%,
18587,Glassy Mirror,0.0,+36%,,
18588,Focused Fluids,0.375,,,+68%
18589,Fixated Pupil,0.229,,,+61%
18590,Glassy Lens,0.175,+40%,+16%,
18591,Glassy Reflector,0.535,+46%,,+63%
18592,Glassy Fluids,0.104,,,+55%
18593,Focused Fluids,0.219,+41%,+16%,
18594,Glassy Projector,0.333,,+18%,
18595,Fixated Iris,0.047,+38%,,+50%
18596,Restless Iris,0.395,+45%,+16%,
18597,Focused Fluids,0.0,,,+50%
18598,Fixated Aperture,0.0,,+16%,
18599,Fixated Reflector,0.421,+52%,,
18600,Focused Projector,0.237,+45%,,
18601,Restless Aperture,0.728,,+17%,+69%
18602,Focused Aperture,0.0,,+16%,
18603,Focused Retina,0.292,,,+64%
18604,Glassy Pupil,0.042,,,+52%
18605,Fixated Aperture,0.442,+45%,,+60%
18606,Restless Mirror,0.0,,+16%,
18607,Restless Cornea,0.0,+36%,,
18608,Glassy Mirror,0.333,,+18%,
18609,Restless Cornea,0.026,+37%,,
18610,Fixated Retina,0.021,,,+51%
18611,Fixated Reflector,0.021,,,+51%
18612,Fixated Pupil,0.333,,,+66%
18613,Focused Iris,0.35,+46%,,+55%
18614,Wandering Fluids,0.312,,,+65%
18615,Glassy Retina,0.229,,,+61%
18616,Glassy Retina,0.155,+37%,+18%,
18617,Wandering Retina,0.474,+54%,,
18618,Fixated Fluids,0.0,,,+50%
18619,Fixated Iris,0.421,+52%,,
18620,Wandering Aperture,0.053,+38%,,
18621,Focused Reflector,0.237,+45%,,
18622,Fixated Aperture,0.0,,+16%,
18623,Restless Retina,0.375,,,+68%
18624,Glassy Iris,0.0,+36%,+16%,
18625,Focused Pupil,0.0,,+16%,
18626,Fixated Iris,0.523,,+18%,+62%
18627,Glassy Cornea,0.0,,+16%,
18628,Wandering Fluids,0.233,+44%,,+52%
18629,Fixated Projector,0.51,+38%,,+70%
18630,Glassy Iris,0.0,,,+50%
18631,Wandering Pupil,0.0,,+16%,+50%
18632,Fixated Lens,0.056,+36%,+17%,
18633,Restless Projector,0.0,,+16%,
18634,Restless Mirror,0.333,,+18%,
18635,Fixated Pupil,0.046,,+17%,+50%
18636,Glassy Fluids,0.611,,+16%,+67%
18637,Glassy Reflector,0.327,+47%,,+53%
18638,Wandering Lens,0.0,+36%,,
18639,Glassy Cornea,0.5,,+19%,
18640,Glassy Fluids,0.167,,,+58%
18641,Restless Mirror,0.421,+52%,,
18642,Wandering Projector,0.042,,,+52%
18643,Focused Iris,0.19,,+17%,+54%
18644,Glassy Mirror,0.458,,,+72%
18645,Restless Lens,0.07,+39%,,+50%
18646,Wandering Iris,0.0,+36%,,
18647,Glassy Cornea,0.626,+39%,,+74%
18648,Restless Pupil,0.0,+36%,,
18649,Fixated Cornea,0.167,,+17%,
18650,Focused Mirror,0.0,,,+50%
18651,Restless Projector,0.348,+39%,,+62%
18652,Restless Aperture,0.312,,,+65%
18653,Restless Retina,0.0,,+16%,
18654,Focused Reflector,0.167,,+17%,
18655,Wandering Mirror,0.375,,,+68%
18656,Focused Cornea,0.479,,,+73%
18657,Restless Cornea,0.132,+41%,,
18658,Fixated Iris,0.0,+36%,,
18659,Fixated Fluids,0.51,+37%,,+71%
18660,Glassy Projector,0.105,+40%,,
18661,Wandering Cornea,0.312,,,+65%
18662,Glassy Mirror,0.251,,+16%,+57%
18663,Restless Fluids,0.342,+49%,,
18664,Fixated Aperture,0.0,,+16%,
18665,Fixated Mirror,0.053,+38%,,
18666,Restless Iris,0.375,,,+68%
18667,Fixated Retina,0.5,,+19%,
18668,Glassy Projector,0.167,,+17%,
18669,Restless Reflector,0.139,+37%,,+55%
18670,Restless Mirror,0.0,,,+50%
18671,Wandering Cornea,0.0,,+16%,
18672,Focused Pupil,0.0,+36%,+16%,
18673,Wandering Pupil,0.062,,,+53%
18674,Fixated Lens,0.658,+51%,+16%,
18675,Restless Iris,0.395,+51%,,
18676,Fixated Fluids,0.5,,,+74%
18677,Focused Pupil,0.021,,,+51%
18678,Focused Projector,0.021,,,+51%
18679,Focused Lens,0.868,+52%,+19%,
18680,Wandering Fluids,0.713,,+19%,+66%
18681,Wandering Aperture,0.0,,+16%,
18682,Glassy Pupil,0.2,,+18%,+53%
18683,Wandering Reflector,0.458,,,+72%
18684,Wandering Retina,0.18,,+16%,+55%
18685,Fixated Iris,0.263,+42%,+16%,
18686,Focused Aperture,0.155,+37%,+18%,
18687,Glassy Fluids,0.287,,+16%,+58%
18688,Wandering Fluids,0.5,,,+74%
18689,Fixated Iris,0.0,+36%,,
18690,Glassy Fluids,0.231,+40%,+17%,
18691,Glassy Pupil,0.056,+36%,+17%,
18692,Restless Lens,0.053,+38%,,
18693,Restless Mirror,0.099,+37%,+17%,
18694,Restless Fluids,0.289,+47%,,
18695,Restless Retina,0.0,,,+50%
18696,Restless Mirror,0.026,+37%,,
18697,Focused Retina,0.158,+42%,,
18698,Wandering Fluids,0.167,,+17%,
18699,Wandering Aperture,0.0,,,+50%
18700,Restless Iris,0.082,,+17%,+51%
18701,Wandering Iris,0.395,,+16%,+61%
18702,Glassy Retina,0.188,,,+59%
18703,Glassy Retina,0.036,,+16%,+51%
18704,Wandering Pupil,0.0,,+16%,
18705,Focused Projector,0.354,,,+67%
18706,Wandering Cornea,0.442,+46%,,+59%
18707,Fixated Projector,0.333,,,+66%
18708,Focused Retina,0.069,+36%,,+53%
18709,Focused Aperture,0.237,+45%,,
18710,Restless Lens,0.036,,+16%,+51%
18711,Wandering Iris,0.0,,+16%,
18712,Fixated Aperture,0.105,+40%,,
18713,Focused Reflector,0.167,,+17%,
18714,Glassy Projector,0.458,,,+72%
18715,Fixated Fluids,0.0,,,+50%
18716,Focused Aperture,0.474,+54%,,
18717,Fixated Aperture,0.0,,+16%,
18718,Focused Projector,0.083,,,+54%
18719,Restless Pupil,0.395,+51%,,
18720,Restless Aperture,0.0,,+16%,
18721,Glassy Iris,0.81,,+18%,+70%
18722,Glassy Fluids,0.0,,+16%,
18723,Fixated Cornea,0.021,,,+51%
18724,Wandering Aperture,0.0,,+16%,
18725,Wandering Lens,0.167,,,+58%
18726,Glassy Retina,0.069,+36%,,+53%
18727,Glassy Lens,0.0,,+16%,
18728,Focused Cornea,0.373,+45%,,+57%
18729,Glassy Pupil,0.0,,+16%,
18730,Restless Reflector,0.108,,+16%,+53%
18731,Fixated Retina,0.231,+40%,+17%,
18732,Focused Pupil,0.0,,,+50%
18733,Focused Fluids,0.342,+49%,,
18734,Glassy Retina,0.458,,,+72%
18735,Focused Reflector,0.316,+48%,,
18736,Restless Cornea,0.167,,,+58%
18737,Fixated Cornea,0.739,,+18%,+68%
18738,Focused Lens,0.056,+36%,+17%,
18739,Wandering Projector,0.461,,+19%,+59%
18740,Wandering Lens,0.046,,+17%,+50%
18741,Wandering Lens,0.275,+41%,+17%,
18742,Restless Mirror,0.0,,,+50%
18743,Restless Pupil,0.0,,+16%,
18744,Wandering Iris,0.211,+44%,,
18745,Glassy Retina,0.167,,,+58%
18746,Glassy Pupil,0.053,+38%,,
18747,Glassy Pupil,0.042,,,+52%
18748,Glassy Projector,0.395,,+16%,+61%
18749,Restless Pupil,0.604,+45%,,+67%
18750,Fixated Retina,0.0,+36%,,
18751,Glassy Iris,0.0,+36%,,
18752,Fixated Mirror,0.467,,+16%,+63%
18753,Focused Retina,0.0,,+16%,
18754,Fixated Cornea,0.044,+37%,+16%,
18755,Glassy Iris,0.229,,,+61%
18756,Wandering Iris,0.132,+41%,,
18757,Focused Mirror,0.079,+39%,,
